"","miR200a","SNAI2","TWIST2","GSC","miR34a","GRHL2","ZEB1","CLDN7","TCF3","NP63","miR205","FOXC2","TWIST1","SNAI1","OVOL2","miR141","TGFbeta","ZEB2","KLF8","miR101","miR200b","CDH1","miR200c"
"miR205",0.0390513978676181,0.0662096248044005,0.16890825074969,0.0038277757560157,-0.192597183352281,-0.178351634135624,-0.174793293807597,-0.174745468314746,0.00851769349741108,0,0,-0.110779053538357,-0.00843944301349361,0.114309243618005,0.118276151709754,0.174745468314746,-0.00382618870634104,-0.258641635113526,-0.0266399136700566,-0.0265910996015917,-0.0135811348478094,0.00234551105437823,-0.0390513978676181
"miR200b",0.0330842318167581,-0.0497813498387254,0.0575383859899931,-0.0877415827195859,-0.185702242112424,-0.175286663120349,-0.172282684915941,-0.172232912685274,-0.00636909422068676,0,0,-0.0218999370535439,0.00647705523640766,0.13283051088371,0.115993076305765,0.172232912685274,0.0877461277609458,-0.239982745729744,0.0776629465824015,0.0777620064145401,-0.0443452945726821,-0.00285639684099428,-0.0330842318167581
"SNAI1",0.0481488746161223,0.0778804950793145,0.0791204769419405,0.000912270123862306,-0.0838592799849086,-0.0610233896606137,-0.0605241493972551,-0.0605066225375356,0.00597647389164357,0,0,-0.0457230440197218,-0.00595859111071786,-0.0693875652221754,0.0709604238247301,0.0605066225375356,-0.000897243241354963,-0.16090384865609,0.0233775018608066,0.0234252339620486,-0.00628156265401165,0.0963749311151533,-0.0481488746161223
"miR200c",0.185101350451158,-0.0908485617784175,-0.10139211734263,-0.051765780307451,0.12555466737589,0.212421413409471,0.214010640890259,0.213984973596418,-0.0125859945405801,0,0,0.0293024539258356,0.012593389130698,0.0390262363381296,-0.142325427699272,-0.213984973596418,0.0517441913609916,-0.145857390455613,0.0731458172541067,0.073210656416961,-0.186159086687739,-0.135778047906616,-0.185101350451158
"miR200a",0.185101350451158,-0.0908485617784175,-0.10139211734263,-0.051765780307451,0.12555466737589,0.212421413409471,0.214010640890259,0.213984973596418,-0.0125859945405801,0,0,0.0293024539258356,0.012593389130698,0.0390262363381296,-0.142325427699272,-0.213984973596418,0.0517441913609916,-0.145857390455613,0.0731458172541067,0.073210656416961,-0.186159086687739,-0.135778047906616,-0.185101350451158
"miR141",0.185101350451158,-0.0908485617784175,-0.10139211734263,-0.051765780307451,0.12555466737589,0.212421413409471,0.214010640890259,0.213984973596418,-0.0125859945405801,0,0,0.0293024539258356,0.012593389130698,0.0390262363381296,-0.142325427699272,-0.213984973596418,0.0517441913609916,-0.145857390455613,0.0731458172541067,0.073210656416961,-0.186159086687739,-0.135778047906616,-0.185101350451158
"GSC",0.0124439006085149,-0.0854278993021476,-0.0382749169532406,0.00740680246318469,-0.00476234712656457,-0.102145086999681,-0.102280633158234,-0.102268808120526,-0.0278002977346353,0,0,-0.0432244365276926,0.0278498121736846,-0.0838007083136407,0.101671770052557,0.102268808120526,-0.00742697225616927,-0.132203324357861,-0.0543603941932815,-0.0542931636998681,-0.0275104293945069,-0.027613997163425,-0.0124439006085149
"FOXC2",-0.150404365341213,0.0403191112964512,0.1580028913924,-0.0273200086573395,-0.210278090319383,-0.188652886177326,-0.186714950029919,-0.186643107590167,0.00635974000205949,0,0,-0.111454667170403,-0.00626397614446598,0.130975352281425,0.125788399463133,0.186643107590167,0.0273449758200928,-0.119873752700642,0.00435161899904671,0.00438414043752128,0.175293544276333,0.132827180211897,0.150404365341213
"TWIST2",0.136597700409705,-0.0905275722563098,-0.107196613242706,0.0399415845111206,0.0526209824249028,0.156067339834898,0.157954846137804,0.157912121810873,-0.009227169450576,0,0,-0.0288945818821809,0.00920152221406573,0.044073217871939,-0.137683454269851,-0.157912121810873,-0.0399484066683958,-0.107924352050537,0.0749979404627377,0.0749953334219897,-0.119801155031608,0.0253167031783779,-0.136597700409705
"TWIST1",-0.0209338327585818,-0.156472989122472,-0.118784576455375,0.0147319113678156,-0.041468004469979,-0.131553116417101,-0.131318862323745,-0.131316024103532,-0.0992239803157745,0,0,0.137230326768011,-0.000664097980401422,-0.026166833118417,0.119474135553104,0.131316024103532,-0.0147911350673227,-0.0949925605684647,0.0621998731436162,0.0622914929215378,-0.0445989043658757,0.0243830307766631,0.0209338327585818
