"","CDH1","miR200b","miR200c","OVOL2","NP63","miR205","TWIST2","ZEB1","miR101","KLF8","TGFbeta","TCF3","FOXC2","SNAI1","TWIST1","GSC","SNAI2","miR141","CLDN7","miR34a","GRHL2","miR200a","ZEB2"
"TWIST2",0.209939743650143,0.0584666124328717,0.0793907429869928,0.149753776081701,0.132250710061302,0.131985403589535,0.148899367177832,0.0926505682985368,0.130975519884335,0.131039826889454,0.0440464438222502,0.23595467815918,0.121989927188741,0.0614320864609212,-0.235994573860418,-0.04387370680004,-0.165984505216529,-0.0926035392535277,-0.0926035392535277,-0.00926508103334861,-0.101871434107682,-0.0793907429869928,-0.265042204857331
"miR200b",0.189383930929306,0.0782098060492174,0.117685818171756,0.148653149997802,0.119484755759561,0.119161315205092,0.092578584904008,0.00850171734137945,0.118891930240367,0.118861311746797,-0.04687136387131,0.0536566261277914,0.0195341379066037,0.112332781554523,-0.0539716356668126,0.0470395304016254,-0.123644083590657,-0.00851399300365143,-0.00851399300365143,-0.00662365038110352,-0.0228947528060903,-0.117685818171756,-0.253312460383365
"miR200c",0.135794722642066,0.160542749037329,0.0957761886788833,0.18580132547668,0.154205916702976,0.153775847394286,0.0127736303712089,0.0387328618416873,-0.0771545342130616,-0.076945608021642,0.131707270535814,0.0360504408286189,0.039860660930785,-0.0500632913749645,-0.0362855887943671,-0.131623187270657,0.0908630960865734,-0.0387214789548533,-0.0387214789548533,-0.119761752430706,-0.0532744302026437,-0.0957761886788833,-0.241564242256395
"miR200a",0.0452835846381635,0.0468211974730491,0.107829753288846,-0.122391350018224,-0.0950911097668254,-0.0951728584783947,0.0244866821910149,0.0125282507303044,0.0969971405453645,0.0969683231396515,-0.0813892604118393,-0.0197857805169491,-0.0287058516394666,0.0470144283279022,0.0199085307129057,0.0814812974993768,-0.122359189540852,-0.0124802640505139,-0.0124802640505139,0.0770107445301601,0.00190462143225372,-0.107829753288846,-0.235092709282439
"miR141",0.0452835846381635,0.0468211974730491,0.107829753288846,-0.122391350018224,-0.0950911097668254,-0.0951728584783947,0.0244866821910149,0.0125282507303044,0.0969971405453645,0.0969683231396515,-0.0813892604118393,-0.0197857805169491,-0.0287058516394666,0.0470144283279022,0.0199085307129057,0.0814812974993768,-0.122359189540852,-0.0124802640505139,-0.0124802640505139,0.0770107445301601,0.00190462143225372,-0.107829753288846,-0.235092709282439
"SNAI1",0.125988204852034,-0.00426011839493069,0.13406298835446,-0.104575822345616,-0.0944101364805402,-0.0943978845814959,0.0210376580754113,-0.0730065492562818,0.179620573995963,0.179812438324485,0.0415685352379894,0.140922930386048,0.127070314148593,-0.0114867654924233,-0.140732351035039,-0.0414848140354485,-0.14535416957383,0.0730731822075502,0.0730731822075502,0.143592027839832,0.0807405574732141,-0.13406298835446,-0.223052792766479
"miR101",-0.0523765911455941,0.0641807924378081,0.03596422480304,-0.0786331692818152,-0.0542607057122171,-0.054370930360548,-0.0302426062227248,0.00751451354918709,-0.201385601072036,-0.101260657562452,-0.00380713865922042,-0.182715338514357,-0.176670551533505,-0.151330812694318,0.182683693980677,0.00371155640398226,0.126093670810763,-0.00752110528973618,-0.00752110528973618,-0.0939772372829385,-0.00103132879128408,-0.03596422480304,-0.0766264888019954
"CDH1",0.104569576349494,-0.00304955784438428,0.0229900304639991,-0.0172343969895527,-0.0101947819142434,-0.0104002261874843,0.082392995839851,0.00399627295187364,0.0289787760392058,0.028334992272909,0.0112059402587957,0.0799999316894331,0.0187714189615577,-0.0307620741238635,-0.0795165319550373,-0.0112202619233823,-0.068177237298429,-0.00392568207414025,-0.00392568207414025,-0.015380610344937,-0.00290616767273902,-0.0229900304639991,-0.0513625793438198
"GRHL2",0.0283619441229152,0.105664414460785,-0.0819819519292516,-0.109225506771376,-0.218644346349707,-0.218934191360729,0.0340277138107342,0.0970264893376776,0.0275541059344266,0.0275004063877916,-0.130569911253075,0.034533380534873,0.0421770248229316,0.11527786921751,-0.034851317987905,0.130583769576662,-0.0094444309585527,-0.0970581510076232,-0.0970581510076232,-0.0793867184631495,0.0386036741719641,0.0819819519292516,-0.0468723265703448
"ZEB1",0.144009462817099,-0.00280345111786763,0.0110406528387369,0.137210498893924,0.111096048633425,0.111061561910813,0.0660032934432153,-0.104051463075422,0.0223895758597952,0.0222051458660408,0.0281744221407786,0.0937395054417297,0.110013197996714,0.103177724969367,-0.0936812146246367,-0.0281705344982221,0.00236770968835811,0.00405028151825728,0.00405028151825728,0.0159604957541452,-0.0183471402518373,-0.0110406528387369,-0.0235239219775246
"FOXC2",0.143991077364453,-0.00273830409248765,0.0109689530088386,0.137233734770117,0.111061561910813,0.11083114716427,0.0658871992956326,-0.00405028151825728,0.0222051458660408,0.0222034342113843,0.0281705344982221,0.0933226510027932,0.10989901420811,0.103277345373137,-0.0937395054417297,-0.0280978040675929,0.002357285495604,0.00399289258709424,0.00399289258709424,0.0158883377403252,-0.0183724472407211,-0.0109689530088386,-0.0234984290940775
"TGFbeta",-0.0781535945256441,0.134697377127771,-0.0546180311826417,0.128424001499557,0.118497962329872,0.118252663883429,-0.0756713005931261,0.0967815235937162,-0.0906981928167045,-0.0906545673311113,-0.10960316561539,0.00342331842410335,0.034117062435803,-0.0475888021176664,-0.00366836641266778,0.00951324498012455,0.123502545449024,-0.0968280120033495,-0.0968280120033495,-0.12978870922958,-0.105677935341467,0.0546180311826417,0.0148110351900589
"OVOL2",0.0448457558284584,-0.00874973258149467,0.0762053571006861,0.119867575034961,0.228593408559953,0.228754386962917,-0.112618060590886,-0.0864829528539943,-0.126181557202098,-0.125941380853436,0.214075659991476,-0.0384407544493938,-0.0141689651115245,-0.124519491541591,0.0385270791742338,-0.214081171455321,0.1080412887651,0.0864955885690468,0.0864955885690468,0.0502763992875302,-0.0473045103788549,-0.0762053571006861,0.0388671081496723
"TCF3",-0.204471982095237,0.0028824153887214,-0.0227501306699308,0.0172693465456933,0.0104002261874843,0.0109782608695652,-0.0817332541217151,-0.00392568207414025,-0.028334992272909,-0.0290055331759041,-0.0112202619233823,-0.0785478503728793,-0.0185384301330733,0.0303800968782069,0.0799999316894331,0.0105314817892514,0.0684066503571651,0.00398785520803192,0.00398785520803192,0.0154441865038774,0.00289642836163296,0.0227501306699308,0.0513024604419918
"KLF8",-0.204471982095237,0.0028824153887214,-0.0227501306699308,0.0172693465456933,0.0104002261874843,0.0109782608695652,-0.0817332541217151,-0.00392568207414025,-0.028334992272909,-0.0290055331759041,-0.0112202619233823,-0.0785478503728793,-0.0185384301330733,0.0303800968782069,0.0799999316894331,0.0105314817892514,0.0684066503571651,0.00398785520803192,0.00398785520803192,0.0154441865038774,0.00289642836163296,0.0227501306699308,0.0513024604419918
"CLDN7",-0.204471982095237,0.0028824153887214,-0.0227501306699308,0.0172693465456933,0.0104002261874843,0.0109782608695652,-0.0817332541217151,-0.00392568207414025,-0.028334992272909,-0.0290055331759041,-0.0112202619233823,-0.0785478503728793,-0.0185384301330733,0.0303800968782069,0.0799999316894331,0.0105314817892514,0.0684066503571651,0.00398785520803192,0.00398785520803192,0.0154441865038774,0.00289642836163296,0.0227501306699308,0.0513024604419918
"SNAI2",-0.104569371038088,0.00293308556704475,-0.0229741784657149,0.0171809652611875,0.0101703658647602,0.0101947819142434,-0.0822105784719159,-0.0040279809503448,-0.0286978284480712,-0.0289787760392058,-0.0113511519360552,-0.0795165319550373,-0.0185155407646715,0.030783001425978,0.0796049432716859,0.0112059402587957,-0.0317592077400997,0.00399627295187364,0.00399627295187364,0.0155386665991191,0.00299173649146148,0.0229741784657149,0.0513920752025061
"TWIST1",0.057503608400393,-0.0815090913202048,0.0203146073634539,-0.182169207320315,-0.169458789327863,-0.169175970567552,-0.0911542961507094,-0.133532418731681,0.0747389230372675,0.0748046502692547,-0.00766930846831786,-0.0320494932680272,0.0453169373252087,0.136962902652006,-0.0678042732649325,0.00774984016553121,0.00638663484742189,0.133562405145244,0.133562405145244,0.133718118757531,0.149386024072206,-0.0203146073634539,0.0995630172241708
"NP63",0.0870957835726599,-0.131603451695418,-0.0205692658715357,0.133043250909506,0.230590615016431,0.33071959180061,0.0239947501954978,-0.0321541769737446,0.0183977133163578,0.0181043858312984,0.103198914759193,0.0709667575793307,0.0184445918708281,-0.0357793876811515,-0.0707401223274514,-0.103265669290799,-0.0399630125811718,0.0321423020606859,0.0321423020606859,0.0162148461527926,-0.124991678259886,0.0205692658715357,0.11593374992818
"miR34a",-0.0987953252970654,-0.0930119205878009,0.0171248936233096,-0.132751784161367,-0.116149862337814,-0.115943606542783,-0.0638750642232558,-0.0774687768849711,-0.10066954407284,-0.100634971239404,-0.00506658749510136,-0.136127152769146,-0.186489531217016,-0.164990543678402,0.136231866459871,0.00489160303251485,0.0198234828720641,0.0774452179650642,0.0774452179650642,-0.0420850751797888,0.0872112912057348,-0.0171248936233096,0.170596985237288
"ZEB2",-0.324607544490628,-0.284724834611125,-0.216380722425801,-0.178879808726696,-0.161994409818656,-0.161273926397522,-0.136697506035394,-0.112712938981156,-0.0890194726753364,-0.0890125121415628,-0.085670094967095,-0.0428566090553712,-0.0281013272055081,0.0135057152346754,0.0429621508093127,0.0856078986360627,0.0907881489483649,0.112670959205097,0.112670959205097,0.115541655276396,0.128743155608999,0.216380722425801,0.226161030288454
"miR205",-0.0256891561910532,-0.12940945394127,-0.0964566833216104,0.0974499232977115,0.0724269891184049,0.0726152757104176,0.0438607738399494,-0.0338689365789388,-0.000562963493039751,-0.000689379413935927,-0.00620825314355073,0.0838633733827542,0.099261279219544,0.106030442141097,-0.0840898879414627,0.00613842295786592,0.02397671728596,0.0337857077991721,0.0337857077991721,0.0410323949904321,0.0167966446207754,0.0964566833216104,0.238515745691908
