"","SNAI2","miR200c","KLF8","TWIST1","miR34a","GRHL2","FOXC2","NP63","miR205","SNAI1","miR141","CLDN7","ZEB1","OVOL2","TCF3","ZEB2","TGFbeta","GSC","TWIST2","miR101","miR200a","CDH1","miR200b"
"miR101",-0.0750672101339149,0.0580430039385801,-0.279541592014384,0.156720247137137,0.150294777794074,0.121553349717822,0.0815908016235783,0,0,0.188387907613755,-0.124176975401235,-0.124176975401235,-0.124093260296261,-0.119042289271625,-0.156834822172874,-0.253419476079039,-0.00911901508515873,-0.00912069196682957,0.096133891501037,0.179413990132256,-0.0580430039385801,-0.0962110958498214,-0.033115352497521
"KLF8",-0.239596741631341,0.0888663704802507,-0.300406168270085,-0.0462819704598647,0.116568889186419,0.0638313022813383,0.131223623649764,0,0,0.193540417800134,-0.0656885557434268,-0.0656885557434268,-0.0658385027134008,-0.0551001493124979,0.0466691921442791,-0.252354799504026,0.186220488006275,0.186836764968392,0.273006161799793,0.298752167376031,-0.0888663704802507,0.127292849059722,0.155663793767444
"CLDN7",-0.239596741631341,0.0888663704802507,-0.300406168270085,-0.0462819704598647,0.116568889186419,0.0638313022813383,0.131223623649764,0,0,0.193540417800134,-0.0656885557434268,-0.0656885557434268,-0.0658385027134008,-0.0551001493124979,0.0466691921442791,-0.252354799504026,0.186220488006275,0.186836764968392,0.273006161799793,0.298752167376031,-0.0888663704802507,0.127292849059722,0.155663793767444
"CDH1",-0.239222766919155,0.0885118283067161,-0.298752167376031,-0.0463616517347651,0.116399352762578,0.0639644061997878,0.130727775630169,0,0,0.193039329370348,-0.0658385027134008,-0.0658385027134008,-0.0656459821377643,-0.0551956780992823,0.0462819704598647,-0.251751383859752,0.186013846845811,0.186220488006275,0.272255179205744,0.297752523236404,-0.0885118283067161,0.0274397141996225,0.15560906570674
"miR200b",-0.0869200420221921,0.115322780525258,0.00816949025444301,-0.132932903328441,0.00443209721772386,-0.0019276321871895,-0.0573947255719997,0,0,-0.101427008749997,0.00161579205637119,0.00161579205637119,0.00168341979579682,-0.0683286688200399,0.132819026640626,-0.233119149284082,0.0865603715564809,0.0866217296148392,0.0674153008563673,-0.00824333485658271,-0.115322780525258,-0.0092242305288026,-0.0482914193195358
"GSC",0.017821515210177,0.133140970423772,-0.149439584576743,0.12255565265538,0.0627390313849663,-0.0742424571026878,0.0344779162480953,0,0,0.234028147588319,0.0716677893867701,0.0716677893867701,0.0717090563550959,0.0810981909250594,-0.12253009681587,-0.217856501463992,-0.0336764595466435,-0.0336697362823153,0.00750795987313634,0.149389892472916,-0.133140970423772,-0.10205051547842,-0.131577156285728
"SNAI1",-0.0962247101263181,0.0191249405353376,-0.201391699503185,0.161521997152798,0.228160606370078,0.137938189823132,0.102768026771078,0,0,0.116226756506807,-0.138330162504869,-0.138330162504869,-0.138280207094126,-0.128304005769988,-0.161623673535776,-0.202369542806458,0.00715863892253929,0.00714048957093951,0.135391891657048,0.201272213262821,-0.0191249405353376,-0.14406500959719,0.0194053304162504
"miR200c",0.117329707719598,0.0838921927547681,0.031164729339497,0.0709219256694999,0.109649888239544,0.0227556490626618,0.0328940740862485,0,0,0.0419266970816909,-0.0267844946246263,-0.0267844946246263,-0.0267217771501095,-0.0897937520652212,-0.0709441094398535,-0.196135092449121,-0.125486730740041,-0.1255140009882,-0.00829560873394657,-0.031081879298072,-0.0838921927547681,-0.0582884742475128,-0.0931965999422329
"TWIST2",0.17966282925355,0.113422747357169,0.0284341020287829,0.108272951733612,0.0619594676188895,-0.0550316643151716,0.0949131358415824,0,0,0.174745735597185,0.0541334666603442,0.0541334666603442,0.0541415380067417,0.0707624330320004,-0.108254428729466,-0.170006664436795,-0.0452326313015083,-0.0452836610379274,-0.139951132588234,-0.0283098330864593,-0.113422747357169,-0.194011089547675,-0.135036440047145
"miR200a",0.141067284672205,0.0690722791791473,0.0282526309104343,0.148078954004648,0.00812527183867025,0.0152944166595188,0.0591621975710712,0,0,0.0989030716627685,-0.017059220232776,-0.017059220232776,-0.0171058677494095,0.0564428828634541,-0.14798874000521,-0.150275551117404,-0.130451123036961,-0.130524979959059,-0.102782600955504,-0.0280887319154414,-0.0690722791791473,-0.123566177566449,-0.120651981332028
"GRHL2",-0.129633459434953,-0.0731100886070991,-0.120718306281648,-0.0859999686391598,0.0979380001941149,0.031777098516592,-0.056345152148451,-0.00853631481530386,0.00853457921643547,-0.054513431445917,-0.0997478007289446,-0.0997478007289446,-0.0997322974284885,-0.103809324404292,0.0859306004675892,-0.0742046053271379,0.111144920031893,0.111229732972241,0.124228052035866,0.120497345852052,0.0731100886070991,0.103248374360524,0.142897324382722
"FOXC2",-0.0247034221547153,0.0167325797785161,0.00291684021680434,-0.097946729534023,-0.00122028028579973,0.00234437613204291,-0.0860839395571056,0,0,-0.0906051942859217,-0.00353579401780675,-0.00353579401780675,-0.00343164373532567,-0.0744691021883495,0.0978396993402421,-0.0559603415887192,0.0036008456460742,0.00364535232750406,0.0948478402243388,-0.00299386467634938,-0.0167325797785161,0.0650884358882782,-0.00647068648818506
"TGFbeta",-0.107774693170761,0.0694892450097252,-0.0359372512857256,-0.0741900442562862,-0.118860167547041,-0.0948173960914768,-0.00726460886258961,0,0,-0.0257704344788218,0.0937439037741531,0.0937439037741531,0.0937519663396615,0.0967255262853625,0.0742876096591406,-0.0535291245455438,0.0854299186310352,0.185477268144291,0.0671140849184288,0.0357980652126426,-0.0694892450097252,0.0714766997022242,0.0553525358957382
"NP63",0.181447321785123,-0.00321994496845409,0.231378659798534,0.0402669709590966,-0.0471938196248714,0.0687329941172021,-0.120339747106562,-0.00418403674447556,-0.0958159632555245,-0.154732312551155,0.01359242667678,0.01359242667678,0.0135398377760916,-0.0598353567386979,-0.0401166287623054,0.0099290053045449,-0.0108526954986938,-0.0108800819731987,-0.199533722096621,-0.231033246124538,0.00321994496845409,-0.0648236434311649,-0.118936425157903
