"","SNAI2","miR101","ZEB2","TCF3","miR200b","miR200c","miR34a","FOXC2","ZEB1","miR205","CLDN7","NP63","GRHL2","miR141","SNAI1","OVOL2","miR200a","TGFbeta","GSC","TWIST1","CDH1","KLF8","TWIST2"
"ZEB2",-0.144881371454121,-0.131312454052973,-0.070089476955669,-0.0496400706200914,-0.0413247260237068,-0.0207950988358471,-0.0174905468523509,-0.012824223844982,-0.00892718154606285,-0.00886088477253666,-0.00879142238722955,-0.00849676949518928,0.00691789315081364,0.00879142238722955,0.00980225787151182,0.0116442763253708,0.0135285405253072,0.0142719618703238,0.0145053520630093,0.0497618495669471,0.0534635970400229,0.131450670366476,0.140649820132679
"miR34a",-0.281748156537772,-0.0429394808501296,-0.0673539776650422,0.16474440629644,-0.153120608216842,0.143523951339152,0.184091405222884,0.142044756887664,0.12797916121767,0.0232144389870442,0.128026517026372,0.0229684458370073,-0.126529097602218,-0.128026517026372,-0.290112550724887,-0.0774027849984931,0.0902199196130928,0.0417184478564499,0.0414426964792015,-0.162769017950365,0.102190303272384,0.0422115306350097,0.0663423604004107
"NP63",-0.2236846140716,-0.287416391984455,-0.0584143507815265,-0.301051183517301,-0.0789997523544857,-0.0369779761241567,-0.141268694537769,-0.0821263767018942,-0.0777715539117351,-0.0783197749979942,-0.077748143368848,-0.177932844645458,0.103577682908381,0.077748143368848,0.227919119511695,-0.0320425891495159,-0.0694604868002437,0.0936419312976801,0.0947048688394017,0.300290496879805,0.092623753661273,0.288597926059788,0.257558494604197
"KLF8",0.258515581074914,0.349662502022226,-0.0547943727693641,0.372132394449892,0.223818648763973,0.054114082233244,0.138580088833833,0.10584010952802,0.0526364232502086,0.00891304347826087,0.0530131192967288,0.00920206081930133,-0.0514878196056253,-0.0530131192967288,-0.309344359059662,-0.0306376277872154,2.56595924766707e-05,-0.212092201333127,-0.213469761601389,-0.37397169745086,-0.150165786175054,-0.353730450167063,-0.314415766281884
"CLDN7",0.258515581074914,0.349662502022226,-0.0547943727693641,0.372132394449892,0.223818648763973,0.054114082233244,0.138580088833833,0.10584010952802,0.0526364232502086,0.00891304347826087,0.0530131192967288,0.00920206081930133,-0.0514878196056253,-0.0530131192967288,-0.309344359059662,-0.0306376277872154,2.56595924766707e-05,-0.212092201333127,-0.213469761601389,-0.37397169745086,-0.150165786175054,-0.353730450167063,-0.314415766281884
"SNAI2",0.154069541961302,0.344173706938143,-0.0542072504376792,0.373084579256968,0.220845277866717,0.0534003081948906,0.138838190242579,0.106599107939872,0.052351100767694,0.00909933868268089,0.0525353499479994,0.00916987393674345,-0.0510425341368014,-0.0525353499479994,-0.308533737271134,-0.0303298017518525,0.000184602901835585,-0.21057033799008,-0.211116282189153,-0.371706269499986,-0.0483470759398261,-0.346243007343957,-0.308518649929456
"TWIST1",0.323044529181922,0.137976050426637,-0.037515829422978,-0.136943442328742,0.119859224912839,0.0303425314286009,-0.0753299000163917,-0.00119473033813552,0.02547731195508,0.0168954224532969,0.0255877557416607,0.0173746431304908,-0.0218399113432689,-0.0255877557416607,0.182410053428033,-0.0347987930978261,-0.0203946804664836,-0.043192207946989,-0.0428327921621496,0.0356191716579469,-0.218393633348255,-0.138522781492713,-0.237593579473501
"miR200c",0.210055052740989,0.0606024678392729,-0.0366614131311002,0.00199563187795797,0.115466766894325,0.010191388088112,-0.119812153616147,-0.017962403259141,-0.0120133422361382,-0.0424614647182962,-0.0120934688316953,-0.0425894192233611,0.00629378748932519,0.0120934688316953,0.136333121563782,0.0256898091883155,-0.0234293164757822,-0.112652406500463,-0.113027372412652,-0.00315954036251067,-0.0539994527732941,-0.0599054468385885,-0.0743263516987379
"miR141",0.210055052740989,0.0606024678392729,-0.0366614131311002,0.00199563187795797,0.115466766894325,0.010191388088112,-0.119812153616147,-0.017962403259141,-0.0120133422361382,-0.0424614647182962,-0.0120934688316953,-0.0425894192233611,0.00629378748932519,0.0120934688316953,0.136333121563782,0.0256898091883155,-0.0234293164757822,-0.112652406500463,-0.113027372412652,-0.00315954036251067,-0.0539994527732941,-0.0599054468385885,-0.0743263516987379
"OVOL2",0.15839851675292,0.144535069662941,-0.0329901871472865,0.0696318614476989,0.116439845550562,-0.000733204852453326,-0.068191370973732,0.00976565771637821,-0.0197020094464102,-0.020562551924087,-0.019865186798861,-0.0210908635955614,0.0121352405335992,0.019865186798861,0.0447799917545811,-0.0627771937710115,-0.0257655191192382,-0.0294708894702745,-0.0302424944085461,-0.0697253798996089,-0.0910728109320029,-0.144289409836,-0.137158235612232
"miR200b",0.156175031057155,0.0574931270036005,-0.0273711047672439,0.0850626481974278,0.0544410321154057,0.014685895139274,0.0189248303661823,0.0242033099332548,0.0053927687620874,0.040439619843978,0.00545593262432322,0.0405960086835017,-0.00101847711366728,-0.00545593262432322,0.0392306918328645,-0.022005259704722,-0.00862908690538514,-0.13110846422389,-0.131020972177713,-0.0854752663260049,-0.10567053142221,-0.0579361946164386,-0.121661177903919
"miR205",0.074175987336561,0.0292502651629352,-0.0176656208767829,-0.0890867221993801,0.0308069479268086,0.00666311507623599,-0.02064661900009,-0.0976605897643513,-0.00406252577077144,-0.0396140420527217,-0.0040892335135324,-0.0395744027701927,-0.00194300136565601,0.0040892335135324,0.122438345724654,0.0226233757169672,-0.0112608569725781,0.0047928105216165,0.00451507682855191,0.088069465908453,-0.025934713980012,-0.0284805048525277,0.0284096726368025
"FOXC2",0.0521027423643815,0.00226490798458441,-0.00362888049987744,-0.102203792938731,0.025059625315755,-0.00594479687055721,-0.0341374058151855,-0.101470967050177,-0.0113906363770902,-0.0386912584213737,-0.0115270945023001,-0.0389623345937782,0.00212052688061229,0.0115270945023001,0.133962640347025,0.0308491208509066,-0.00950418417387494,0.0141242531527412,0.0136824429248887,0.101488380590827,0.0523193488075521,-0.00118143058698415,0.0467930893327855
"ZEB1",-0.0521459967733957,-0.00227886882076502,0.00418164698254102,0.101488380590827,-0.0247314963349041,0.00627016575382,0.0340395644405141,0.101437860507918,-0.0885909131533317,0.0389623345937782,0.0113906363770902,0.038827261596882,-0.00196906266356143,-0.0113906363770902,-0.133451790693572,-0.0306618984461804,0.00902008670166481,-0.0137887724686076,-0.0141242531527412,-0.101100776703971,-0.0525046175996061,0.00226490798458441,-0.0466881275007244
"GRHL2",0.00876771234909423,0.00508603753452048,0.00552651324200709,-0.0254981736704903,0.0538843810637696,-0.00591128621047387,-0.00729444309166918,-0.0278730653788922,-0.00335548780855748,-0.153996556320229,-0.00349720107610732,-0.154414835647511,-0.0864942786834193,0.00349720107610732,0.0087267800123517,-0.0410947153056955,-0.000422208176370771,0.0861266543905224,0.0855373984716324,0.0255126253729008,0.0570404183185325,-0.00458337456519964,0.00964939720877677
"miR200a",0.162170567788232,0.0272281998364693,0.00740821804691707,-0.016257185887926,0.0568360363118911,-0.014688361302648,-0.128926306070243,-0.0228986628328829,-0.0208215878540903,-0.0447124963745596,-0.021006615563608,-0.0451816628931307,0.0134072753679067,0.021006615563608,0.141797816213465,0.0308200506670901,-0.008331942054337,-0.0979681656812254,-0.0984078984327935,0.0158031580546888,0.0359533424753282,-0.0264987592543577,-0.0357368947442064
"miR101",-0.229957286564767,0.0396022613473968,0.0260720412881622,0.211051509119296,-0.0583491116380718,-0.0192749251168933,0.106641514612445,0.139722325872142,-0.0149263324649726,-0.0251232048555103,-0.0150275156824012,-0.0257136940429972,0.0109249403526498,0.0150275156824012,-0.278732891105973,0.0294677036273712,0.00176587989234337,0.0252182564767672,0.0246011640218963,-0.209258682607724,0.133776775662867,-0.139760434513784,0.104213367407083
