"","ZEB2","TWIST2","miR101","KLF8","TWIST1","miR34a","OVOL2","CDH1","FOXC2","miR205","NP63","GRHL2","GSC","TGFbeta","miR200a","miR200c","miR200b","miR141","CLDN7","ZEB1","TCF3","SNAI1","SNAI2"
"GSC",-0.127708987993862,0.00544305431308801,0.102215870859261,0.103288635688944,-0.208704390028061,-0.0245148916979658,0.10845596382704,0.0223504912687348,-0.115343557491422,0.0179632578773402,0.0183943006176226,0.0650944517192595,-0.0313148203014108,-0.0310960086078206,0.0921366201081489,0.0320369928401686,0.0943566219184725,-0.0643378963444448,-0.0643378963444448,-0.0631440501905986,0.207754032246307,0.115485301843769,0.00352757592166945
"NP63",-0.123859078658571,-0.103278571272077,-0.0519451668071422,-0.0509610119740922,0.0878592067530604,0.150724098298952,0.316263518987006,-0.102402874922769,0.0448643715341065,0.166798488884235,0.0678088070269692,0.223123176205964,0.0174441885225992,0.0178036360004761,0.155014084802331,-0.0696979146455193,0.214652622436481,-0.176937709088573,-0.176937709088573,-0.176847799032558,-0.0892616526186499,0.0263782658550453,0.084678785496129
"TGFbeta",-0.111167019229791,-0.0167151600158894,0.041470725339836,0.042640303834549,-0.0861917186315702,-0.11096030146972,-0.0135583287831305,-0.0578894688161768,-0.0390869821073309,-0.00271147643041675,-0.00234897983733962,-0.0121516178025193,-0.0306707597661723,-0.130090836828591,0.0480779814685054,0.0618559251426546,0.106970979684838,0.0121368985619017,0.0121368985619017,0.0133965457646203,0.0839953625859187,0.100724979080948,0.0241781310699906
"ZEB2",-0.10180687199287,-0.0834381026360736,-0.0722562057959081,-0.0709883942871627,-0.0513158042220756,-0.0481032721209505,-0.0420640154305805,-0.0343013120077473,-0.0189740142897134,-0.01146401288488,-0.0112625874123048,-0.00943446403095136,-0.00591235121323884,-0.00532425719209209,-0.0050834003751709,0.00298864835060139,0.00536284057298312,0.00951499142328248,0.00951499142328248,0.0106941075894242,0.0497521625444488,0.0766544081614154,0.102893730758076
"miR34a",-0.0904873495824781,-0.210194899048493,-0.00104094382054314,0.000370780211417519,0.0321710259643688,-0.000955241254152221,0.15388027180022,-0.0809253318479082,0.114469687935032,0.0304769025370002,0.0312413735571149,0.0964399207694859,-0.0105023839434804,-0.0102290461450263,0.133610472901045,-0.0614688805350277,0.120740235986103,-0.0965379618293285,-0.0965379618293285,-0.0951163356927296,-0.0335496250054119,0.105345633538162,0.103052459628639
"SNAI1",-0.0627182792750657,0.11407063331608,0.113328998458709,0.112400874267893,-0.0346087641322086,-0.144671401083531,-0.192646004549171,-0.0126130451614137,0.0170549436993329,-0.0280565940115116,-0.0286091546584119,-0.158867021422426,-0.0407061869153605,-0.0413156538513401,-0.0491423683477748,0.119682288962459,-0.0645939502654953,0.158153746353749,0.158153746353749,0.157388509760445,0.0361942003954227,-0.097672148426632,-0.102882959052832
"OVOL2",-0.0496777009428291,-0.182302451118609,-0.12101884701662,-0.11937599692395,-0.0395635808333093,0.113871459483357,0.377643889301892,0.054004118102309,0.00674775192877458,0.262074650385035,0.263216624693314,0.208796823524457,0.234437100641553,0.234599688824975,0.169851541505423,-0.132448670847312,0.177793467834529,-0.182713457778695,-0.182713457778695,-0.18156659680281,0.0385726449294175,0.151842789664505,0.171480701913126
"SNAI2",-0.0348332724519307,-0.110146079538926,-0.0520188157784625,-0.0555837285459697,0.117735527107752,0.062796308038649,0.146217440166214,-0.105217453055308,0.0392936904053592,0.0308894193875835,0.0299833126623183,0.0791104832592939,-0.00116981416738114,-0.00148221317632222,0.0584583360567852,-0.0251958512786645,0.0631752331796855,-0.0795854731039766,-0.0795854731039766,-0.0832833113040592,-0.113913437880331,-0.0144421161353611,-0.0205244930169129
"TCF3",-0.034501143493439,-0.106959691383633,-0.0498220255923287,-0.0571979755252746,0.120272003617382,0.0609991403834972,0.143650670165294,-0.20302591625446,0.0371450276445657,0.030036231884058,0.0282443243696071,0.0758413008857466,-0.00145116614038003,-0.00190431096546613,0.0564039607421165,-0.0230944875917209,0.0602941511686066,-0.0759998690323883,-0.0759998690323883,-0.0844883304301867,-0.110688266928128,-0.0137170964526457,0.0815266620204689
"KLF8",-0.034501143493439,-0.106959691383633,-0.0498220255923287,-0.0571979755252746,0.120272003617382,0.0609991403834972,0.143650670165294,-0.20302591625446,0.0371450276445657,0.030036231884058,0.0282443243696071,0.0758413008857466,-0.00145116614038003,-0.00190431096546613,0.0564039607421165,-0.0230944875917209,0.0602941511686066,-0.0759998690323883,-0.0759998690323883,-0.0844883304301867,-0.110688266928128,-0.0137170964526457,0.0815266620204689
