"","ZEB2","KLF8","SNAI2","miR200b","miR200c","miR200a","TCF3","FOXC2","ZEB1","CLDN7","GSC","NP63","miR205","TGFbeta","GRHL2","miR141","TWIST1","CDH1","SNAI1","OVOL2","miR34a","TWIST2","miR101"
"GSC",-0.0933533152865416,-0.0397295491470529,0.0523003946782948,0.103150623279406,0.0898195310949949,0.0898195310949949,0.0914706484131429,0.137790118722047,0.0889506148374001,0.0889844006594212,0.00364424828152807,0,0,-0.00358435010842235,-0.0898470307666629,-0.0889844006594212,-0.090795015906115,0.00334770259671941,-0.0245648855907444,-0.0923588091283291,-0.063061971605654,0.01914239419842,0.0401270859776711
"ZEB2",-0.0828154495027059,-0.0644802798014104,-0.0526489098026003,-0.0140560671930751,-0.0117096198909631,-0.0117096198909631,-0.00641941016289604,-0.005606070338343,-0.00499144493792562,-0.00483260917704832,-0.0018301444952768,0,0,0.00181351775331768,0.00419323788298535,0.00483260917704832,0.00533314195694349,0.014363955088658,0.0160275984719016,0.0208673035442198,0.0241663296950968,0.0618899443167898,0.0636698747977809
"SNAI1",-0.0666711072198214,0.0322340142605044,-0.0603517051172332,-0.0156476621986524,0.00487092836721368,0.00487092836721368,0.00469798006078849,0.108427345346192,-0.0704910877616977,-0.0705149459099502,0.00933986305951399,0,0,-0.00929048901698986,0.0702509095131827,0.0705149459099502,-0.00438681967268105,0.0928688438939715,-0.0788192754995666,0.0775780090214623,0.0950387475400583,-0.0278513305630956,-0.0319922340091153
"NP63",-0.0615649404426744,-0.00811268497478923,-0.0331717110687199,0.0810549914866666,0.0198915659686978,0.0198915659686978,-0.0167185684411716,0.0202292018398946,0.00334510926131327,0.00336987693712136,-0.0123717070660012,-0.193682862375492,-0.0936828623754921,0.0122963942611127,0.0502329076815273,-0.00336987693712136,0.016267541850798,-0.0496444037571732,0.0548228810214096,-0.132917612636074,0.0134270531596008,0.0208552374806623,0.00757537481524101
"miR200c",-0.0266203901853496,-0.0898128834625907,-0.0929037556856841,0.0201368889166151,0.0202673764943548,0.0202673764943548,0.0516413448718758,0.0182460880752836,0.0150474872777934,0.0151771629101574,0.0923746345124523,0,0,-0.0923814520744921,-0.0127361939678993,-0.0151771629101574,-0.0521219932295373,-0.00737537069610341,-0.0805351912920354,-0.0805819457827827,-0.113403101601456,0.0992507263333683,0.0894724778576052
"miR101",-0.0250819489660118,-0.12119333984717,0.0759086713227514,0.0807742377235806,0.0564118869329413,0.0564118869329413,0.00507469116420379,-0.0966467770238507,0.0928961411967243,0.0929900734995489,-0.00335475221079177,0,0,0.00340673554258796,-0.0936542011582348,-0.0929900734995489,-0.00486190895497886,-0.0479449063791793,-0.0156211010240843,-0.0953503358574442,-0.0644730578210873,0.0451704636657733,0.0212252403177016
"GRHL2",-0.0200255966947166,-0.104665243743435,-0.120167883091856,0.0460609013816671,0.104377653122312,0.104377653122312,0.0562195628726348,0.0271201395581219,0.0977155802751496,0.0977856726617189,-0.145051667707364,-0.186385612021517,-0.186387347620385,0.145036700717891,-0.129225648640682,-0.0977856726617189,-0.0562629179798664,0.140009542299708,0.083127043491149,-0.193160344327109,-0.0889176363118309,0.114415704323072,0.104474214208684
"ZEB1",-0.0158554284585768,-0.0332678272320571,-0.066822037887678,-7.04274341298051e-05,0.00411704808625336,0.00411704808625336,0.0868493903722055,0.0930985994844971,-0.101235791768328,-0.00123551910128945,-0.00533669031499557,0,0,0.0053204536902011,0.00103833851215325,0.00123551910128945,-0.0871769006331922,0.066365744656784,0.0770337501217258,-0.0671006648011649,0.00504384451360903,0.125819742917677,0.0331047058829994
"miR200a",-0.0125952030594887,0.0740026892243725,0.049928293925806,0.0616676025974821,0.00123118375768108,0.00123118375768108,0.0160842620348131,0.0174460659475017,-0.00873628757321564,-0.0086311632653956,-0.0903005355165643,0,0,0.0903323508060834,0.00765789112986758,0.0086311632653956,-0.0157692524957918,0.000918313917233106,0.123620673463015,-0.060955046133327,0.00994581704545528,0.0104968948976418,-0.0739306457100899
"TCF3",-0.0111167595427532,-0.0163760722442036,-0.0026253912392474,0.0177477282736615,0.0211464597709299,0.0211464597709299,0.0369061413673233,-0.0174076451049935,0.0347034808892038,0.0353288694712906,-0.00152088834721376,0,0,0.00126712724516554,-0.0360813478554441,-0.0353288694712906,-0.0424240503702275,0.102771887839834,-0.0294685825046345,-0.0327822573285496,-0.0259754117233209,0.0268844962377011,0.0118014931948816
