"","CDH1","miR200b","miR200c","KLF8","miR101","GRHL2","SNAI1","TCF3","OVOL2","miR34a","NP63","miR205","TWIST1","miR141","CLDN7","ZEB1","FOXC2","ZEB2","TGFbeta","GSC","TWIST2","miR200a","SNAI2"
"miR200b",0.177443299276841,0.2086556769234,-0.0289909115156142,-0.0306882822338251,-0.0311709737795187,0.263822313721164,-0.130423772340206,0.0549185719226349,0.180912901621118,0.258679394098703,0,0,-0.0544201765486905,-0.272140308899453,-0.272140308899453,-0.271767351960244,0.106904613051356,-0.228893724307107,0.106264273736131,0.106258592434431,-0.129854554914168,0.0289909115156142,-0.0187238710584267
"miR200a",0.177443299276841,0.2086556769234,-0.0289909115156142,-0.0306882822338251,-0.0311709737795187,0.263822313721164,-0.130423772340206,0.0549185719226349,0.180912901621118,0.258679394098703,0,0,-0.0544201765486905,-0.272140308899453,-0.272140308899453,-0.271767351960244,0.106904613051356,-0.228893724307107,0.106264273736131,0.106258592434431,-0.129854554914168,0.0289909115156142,-0.0187238710584267
"miR141",0.177443299276841,0.2086556769234,-0.0289909115156142,-0.0306882822338251,-0.0311709737795187,0.263822313721164,-0.130423772340206,0.0549185719226349,0.180912901621118,0.258679394098703,0,0,-0.0544201765486905,-0.272140308899453,-0.272140308899453,-0.271767351960244,0.106904613051356,-0.228893724307107,0.106264273736131,0.106258592434431,-0.129854554914168,0.0289909115156142,-0.0187238710584267
"TCF3",-0.0880919441866233,0.335267194604485,-0.0159561315094401,-0.193547606671775,-0.190016091249334,0.224506128904202,-0.0511749110644916,-0.0963587069554625,0.181876793929118,0.1619475184781,0,0,0.0925832955324228,-0.228891149540774,-0.228891149540774,-0.226737033313586,0.0804948762818757,-0.204451261688766,0.200862376751059,0.201514905299183,0.131271289877379,0.0159561315094401,0.157887538447712
"KLF8",-0.0880919441866233,0.335267194604485,-0.0159561315094401,-0.193547606671775,-0.190016091249334,0.224506128904202,-0.0511749110644916,-0.0963587069554625,0.181876793929118,0.1619475184781,0,0,0.0925832955324228,-0.228891149540774,-0.228891149540774,-0.226737033313586,0.0804948762818757,-0.204451261688766,0.200862376751059,0.201514905299183,0.131271289877379,0.0159561315094401,0.157887538447712
"SNAI2",0.00967346950272337,0.332584820451598,-0.0155533144342793,-0.189255844088129,-0.189550665634382,0.22121346721499,-0.0503183862042352,-0.0916324323186113,0.179528556205967,0.158840255836389,0,0,0.0918455262613027,-0.225184034003451,-0.225184034003451,-0.224438296158327,0.0781615354115864,-0.202361643578552,0.200414495090462,0.200500243232226,0.132242798252737,0.0155533144342793,0.0594579883215578
"GSC",0.127706109146396,0.125084314072019,-0.065134781431699,0.0114047887775639,0.01068376609458,0.2340238756159,-0.102461470179831,0.072923692810429,0.191905793161887,0.196459694375141,0,0,-0.0722209072239225,-0.237036665815945,-0.237036665815945,-0.236955097188494,0.152100102415903,-0.134313668837505,0.000370687227818879,0.000306510613777036,-0.194306795216913,0.065134781431699,-0.191395835083116
"SNAI1",-0.11139026554412,0.0431754224047346,0.110012763065856,-0.0126917753783047,-0.0125853920676935,-0.108563141316831,-0.0942803818223895,-0.0434064738820332,-0.10724289413998,-0.102113058216695,0,0,0.0432700538103999,0.106454850989612,0.106454850989612,0.106600856680051,-0.0108718020333322,-0.113242903550822,-0.0106460630051854,-0.0106150334685793,0.119361285653707,-0.110012763065856,0.125718331740852
"TWIST2",0.20452272930972,-0.00212846251754686,-0.0474750923364236,0.116796891484633,0.115993922934235,0.194246138727806,-0.0894852736327187,0.0945221838691456,0.158041517374296,0.152545072362106,0,0,-0.0936929232219804,-0.193037002893256,-0.193037002893256,-0.19327645283638,0.0334728329544642,-0.0908583614067069,-0.020850145780677,-0.0209764921334153,-0.263747361442377,0.0474750923364236,-0.268505763331706
"TWIST1",0.0219346874524917,0.0322228401657793,-0.0688835772010384,0.0892868621766109,0.0887152344317521,0.197975830137239,-0.00706532071132915,0.0500589535794075,0.15968428913436,0.149999053107933,0,0,-0.14947483665799,-0.197355198390595,-0.197355198390595,-0.197487113930097,0.0932815958020794,-0.0755288535309416,-0.0068515673050408,-0.00693397911969882,-0.217801471290145,0.0688835772010384,-0.194650043609055
"TGFbeta",0.0704223419344901,0.167454348743576,-0.0779679347033694,-0.0639157507904547,-0.0642100497012025,0.190841476288941,-0.115928968600911,0.0102250014691255,0.168284946511333,0.214061564894741,0,0,-0.0099935672577035,-0.192420811286579,-0.192420811286579,-0.191973253128893,0.112798472187671,-0.0562304141194524,0.111133408846016,0.211178151964047,-0.0146762091552517,0.0779679347033694,0.0342470591486914
