"","miR101","CDH1","GSC","SNAI2","miR200c","miR200a","miR200b","TWIST1","TCF3","NP63","CLDN7","ZEB1","ZEB2","miR141","GRHL2","miR205","OVOL2","miR34a","TWIST2","TGFbeta","SNAI1","FOXC2","KLF8"
"TWIST2",0.0843276201196919,0.0253075750381078,0.0791995919653531,-0.0585430417113102,0.128860880689091,0.128860880689091,0.068317670923539,0.322267993383304,0.322423301648839,0.066727595606775,0.0538648072556905,0.0538623320427953,-0.206755186264207,-0.0538648072556905,-0.0600434753558543,-0.0667875035197545,-0.0702311980587908,-0.130036239980226,0.028562989500989,-0.0792708152873071,-0.269743862642909,-0.289768139057685,-0.0842919905628019
"TWIST1",0.144805167694508,0.192319936209883,0.0331642314472375,0.100791903535737,0.0457441428280043,0.0457441428280043,0.0502001499882647,0.137481259607646,0.237369337903822,-0.0887266456989052,-0.0804379033359492,-0.0804037212925047,-0.185145426251709,0.0804379033359492,0.0870650977761825,0.0890487448425928,0.0884473754194892,-0.0566859238336775,-0.119180132497149,-0.033244136438636,-0.265855437584071,-0.360217952808828,-0.144692634706409
"NP63",-0.00796039821909597,0.100477039924515,0.133007430271863,-0.0457888823615286,0.0206660013525098,0.0206660013525098,0.157659806922255,0.144292075999479,0.144725151282773,-0.0528014481501002,-0.0444538730131132,-0.0445811042244561,-0.151289664918456,0.0444538730131132,-0.0915481787987166,-0.0481873738619376,0.191098790607211,0.0387867795969438,0.0451134792270916,-0.13283968811552,-0.0841569736312942,-0.11524819171017,0.00787267411141463
"miR34a",0.0690338567766496,0.0738423076693777,0.0679875524622385,-0.0951628156359188,0.160581673408681,0.160581673408681,0.0363887115413999,0.226548309851554,0.226645150332449,0.105848948433464,0.10516551929842,0.10518979212499,-0.141525378987605,-0.10516551929842,-0.117050915792887,-0.105881116768469,-0.0986624013074789,-0.160823198875876,0.137182308474272,-0.0681287468217048,-0.269009483520649,-0.286904412839851,-0.0689579886143877
"KLF8",0.00816065753221831,-0.0748619535158326,0.0177451049187795,-0.0115025431268056,0.0328856634844568,0.0328856634844568,0.00675963207493992,0.099152735265835,0.0977490566598331,0.0467297059562704,0.0252894238455772,0.0259221269140043,-0.0398007372924978,-0.0252894238455772,-0.0289296212898599,-0.0459782608695652,-0.0546557536514624,-0.0307466133487101,0.00576131425342462,-0.0182345013298725,-0.0384148306135863,-0.0662317308615728,-0.00689408027100538
"OVOL2",-0.038488811421162,-0.0789466747208521,0.213935322492471,-0.0863270203188662,-0.0804347715787956,-0.0804347715787956,0.0823589575195018,0.159618800898268,0.159800442506785,-0.298017063502132,-0.0780041455754174,-0.0780425961921898,-0.01219041239719,0.0780041455754174,0.135631695122487,0.297665936113115,0.175210153597424,0.018728891610114,0.0882445951004039,-0.213797535896351,-0.209110284350792,-0.223957903225001,0.0384054625513069
"ZEB2",-0.18931792189448,-0.167325925244833,-0.152712843860376,-0.145054944982441,-0.141286429400153,-0.141286429400153,-0.124084543964026,-0.0992651453860557,-0.0990134688958873,-0.0152279007479179,-0.00891665245327213,-0.00886583482962205,-0.00399122090642133,0.00891665245327213,0.0131084090639574,0.0150807052102669,0.0164082879251473,0.0649087985483821,0.147097242560693,0.152404325426246,0.168222325145298,0.170948023018189,0.189068337040602
"GSC",0.183718848263542,0.09597130497091,-0.031325471042824,0.0101840529712121,-0.0713150624820517,-0.0713150624820517,0.0261388551431139,0.335784710612834,0.335856586411454,-0.109393304823103,-0.108556178523666,-0.10851442890074,0.0178680107400247,0.108556178523666,0.117539616469895,0.109316675002609,0.103459859806767,-0.0454708585980158,-0.0221012979277255,0.0312472366942777,-0.280640453165406,-0.385510894870219,-0.183724694393404
"ZEB1",-0.00269929686368896,-0.0173981506423076,0.000393812588374642,0.029069708586706,-0.0129432393662402,-0.0129432393662402,-0.00298038490706431,-0.091966798143526,-0.0920286945781711,0.0438901509213191,-0.00908288437839091,-0.109085338381734,0.0195624094086348,0.00908288437839091,-0.00341232819161742,-0.043913142069727,-0.0528770169183733,0.0220102228060498,-0.0883769442572759,-0.000335497950028308,0.0994176815526849,0.106762694594778,0.00274558805734045
"FOXC2",-0.00274558805734045,-0.0173784597137334,0.000401411290082179,0.0290971469791278,-0.0129165373606229,-0.0129165373606229,-0.00295285558662815,-0.0920286945781711,-0.091989262401515,0.043913142069727,-0.00907820824325911,-0.00908288437839091,0.0195747772431784,0.00907820824325911,-0.00341195047536542,-0.0438724806438663,-0.0528895696330982,0.0220224529778837,-0.0883689926033319,-0.000393812588374642,0.0994497867065064,0.10683498847277,0.00274387640268389
