"","CDH1","miR141","GRHL2","miR200b","NP63","miR205","miR34a","miR200c","miR200a","OVOL2","TWIST1","FOXC2","ZEB2","TCF3","TGFbeta","GSC","KLF8","miR101","SNAI1","CLDN7","ZEB1","TWIST2","SNAI2"
"miR141",0.00592107485703932,-0.151150344116679,-0.147387990268142,0.114157786501838,-0.0675462512755164,-0.0674573939803325,-0.0658821234856668,0.170797121466409,0.170797121466409,-0.0482644235469276,-0.0632208302337627,0.0398024245804304,-0.197366785483718,0.0628348326296099,-0.0192137026581381,-0.0187955588530294,-0.0057403977111528,-0.00585746842186207,0.106979723185317,0.151150344116679,0.150943443408931,0.0851847561581174,0.0935869959452294
"TWIST2",-0.00121637330384984,0.127732432099131,0.120832168458791,-0.0757302365780398,0.0937675641501552,0.0935878404112168,0.167609744595309,0.0301682733073391,0.0301682733073391,0.0784819475643893,-0.348182860664601,0.263565526401397,-0.196802316890328,0.348372365245482,0.0340755826534597,0.0338455395101371,0.0717026078657291,0.0717199881373827,0.243041122365331,-0.127732432099131,-0.12767162795627,0.175782374255679,0.279617585694995
"miR200c",0.142204130373647,0.227411007356918,0.209377487193648,0.0378122637391823,0.111162779729286,0.111301397109773,0.108673211019863,-0.0213284390705375,-0.0213284390705375,0.0810041799308693,0.0957238175745996,-0.0596873489459383,-0.185971621355688,-0.0953792296751068,-0.07126716039929,-0.0712023935599117,-0.0299836846363507,-0.0301367771042013,-0.156044106875604,-0.227411007356918,-0.227424175794628,-0.156392444099691,-0.174496412885289
"SNAI2",0.130675399293075,-0.0234885432906599,-0.0240914610138037,-0.166293864289787,-0.0195118619762326,-0.0189502928381192,0.00431995137978687,0.0956479256187242,0.0956479256187242,-0.0176666436706557,-0.17759816539311,0.0773565882476282,-0.172844987258021,0.177822594119987,0.143827849382287,0.144433257116856,0.237463035029108,0.23747621528647,0.0434229071271907,0.0234885432906599,0.0234362679418291,0.269432492638215,0.186289235605607
"TCF3",0.0306750696361688,-0.0225509634637558,-0.0231246092925404,-0.166953765949542,-0.0188732512356538,-0.0201449275362319,0.00503152117094052,0.0946983223645362,0.0946983223645362,-0.0173080514248336,-0.178422859724236,0.0781940981087588,-0.172643144176831,0.178858484119203,0.144271626902235,0.142604053945919,0.237806441904267,0.237433919180381,0.0433577813558413,0.0225509634637558,0.0232494969092446,0.269413039114424,0.286319316530767
"KLF8",0.0306750696361688,-0.0225509634637558,-0.0231246092925404,-0.166953765949542,-0.0188732512356538,-0.0201449275362319,0.00503152117094052,0.0946983223645362,0.0946983223645362,-0.0173080514248336,-0.178422859724236,0.0781940981087588,-0.172643144176831,0.178858484119203,0.144271626902235,0.142604053945919,0.237806441904267,0.237433919180381,0.0433577813558413,0.0225509634637558,0.0232494969092446,0.269413039114424,0.286319316530767
"CLDN7",0.0306750696361688,-0.0225509634637558,-0.0231246092925404,-0.166953765949542,-0.0188732512356538,-0.0201449275362319,0.00503152117094052,0.0946983223645362,0.0946983223645362,-0.0173080514248336,-0.178422859724236,0.0781940981087588,-0.172643144176831,0.178858484119203,0.144271626902235,0.142604053945919,0.237806441904267,0.237433919180381,0.0433577813558413,0.0225509634637558,0.0232494969092446,0.269413039114424,0.286319316530767
"TGFbeta",0.0256771461854098,-0.0851581503249804,-0.082817109113808,-0.0705704029231878,-0.0786966619050709,-0.07800982625503,0.0631358072534997,0.113623719325658,0.113623719325658,-0.0749892095954027,-0.0663041970417865,0.0269818223820334,-0.151411802163144,0.0665310933274943,0.0233876207109024,0.124115239377905,0.0727041727889927,0.0727477982745859,0.10574758061307,0.0851581503249804,0.0850794116533138,0.175332450789713,0.243993021621156
"miR205",-0.00210829446872523,-0.120676389014195,-0.123476602168304,0.166590987714607,-0.0548617301332967,-0.054713082823813,-0.140318278258466,0.130289194478217,0.130289194478217,-0.0405800750169849,-0.0918049972488586,0.118559581928925,-0.143972268197106,0.0910472030888158,-0.109269828529086,-0.108569939622564,-0.0633544279518601,-0.0635684588674368,0.051454295228851,0.120676389014195,0.120313660600883,0.042934261100877,-0.0772662055883472
"SNAI1",-0.0591811752894365,-0.0922351517643073,-0.0880185619845928,-0.0138407787896357,-0.0812969673538938,-0.081615516729047,0.134814805082618,0.102178032606633,0.102178032606633,-0.0758856541400737,-0.294705087919497,0.313654659747933,-0.1160709271295,0.294504289836532,-0.0596337490218332,-0.0598657875062648,-0.0445784885911015,-0.0446156135587342,0.183273575244864,0.0922351517643073,0.0922403248903038,0.0961071270165649,0.25180555610819
