"","miR101","KLF8","ZEB2","OVOL2","ZEB1","miR141","SNAI1","CDH1","miR205","GSC","TGFbeta","miR200c","miR200a","FOXC2","NP63","TCF3","TWIST1","miR200b","GRHL2","CLDN7","miR34a","TWIST2","SNAI2"
"CDH1",0.22627985682029,0.226360734177864,-0.118238520108379,-0.088478884224019,-0.0774302676752828,-0.0772104733514311,0.00462016596158809,0.131497275435042,-0.016634832872581,0.187855908952789,0.187792484438191,0.0981481929858041,0.0981481929858041,0.0536749389809004,0.017097082487373,-0.14138169267027,-0.141163897185543,-0.226444030292991,0.074607588162356,0.0772104733514311,0.0462744487668104,-0.252155375220438,-0.240590421348861
"miR101",0.0171407527265514,0.117191261804894,-0.0834093890635309,-0.277516224571803,-0.243490410030375,-0.243235309671125,0.0659959170311358,-0.00723493413452546,-0.0632566939147603,-0.0260247484429342,-0.0259392274777212,0.168480124793254,0.168480124793254,-0.066767013874023,0.0637946951744705,-0.0395481724757942,-0.0396365589319338,0.0847594500264189,0.231786433602476,0.243235309671125,0.116864129042476,0.0108707902049638,0.107347621630277
"SNAI1",0.0156564443472275,0.0156792184870357,-0.0768701200736082,-0.173315916295532,-0.139937939980337,-0.139849996838397,-0.0513884900429066,-0.0568166898280575,-0.0263847095573159,-0.0300396355984044,-0.0300043126667962,0.114077332003938,0.114077332003938,-0.0602066429223074,0.0265648124732679,-0.009416539664497,-0.00948755985160199,0.0606259294620383,0.136338059513812,0.139849996838397,0.00500143699904747,0.0790855821388046,0.112025547837281
"ZEB2",-0.0957950184772784,-0.0957582270844757,-0.0759125143541819,-0.0607163189866347,-0.0398546656423275,-0.0397581858061223,-0.0232470637300653,-0.0190463504358034,-0.015049891362161,0.00216236329403952,0.00223441250919572,0.00456753189727822,0.00456753189727822,0.0146056090683531,0.0151660983655698,0.024156096884875,0.0242421540073197,0.0363890065209471,0.0375300767717648,0.0397581858061223,0.0476132356657205,0.0704290607103261,0.0787460500393848
"GRHL2",0.106482372982934,0.106470928817258,-0.0657879619798766,-0.0900721473409262,0.103414329462545,0.103366946135799,-0.107043777616297,-0.0413421091938383,-0.00725536780035021,0.144585437515451,0.144554949203561,-0.081989386673992,-0.081989386673992,0.105669589247749,0.0071737946535359,0.0335177181104042,0.0335234987913684,-0.177412302485978,-0.0376804262588064,-0.103366946135799,-0.0863217237568193,-0.0648272389600828,-0.136577822730601
"miR34a",-0.0952057915633859,-0.0952153951282292,-0.040137478884418,-0.271806325462981,-0.235004730581925,-0.234810547969359,0.0537673906977723,-0.0441849219034956,-0.0541438910546501,-0.0493167754832555,-0.0492280764625651,0.195653950506437,0.195653950506437,-0.0657127794814555,0.0546056012747194,-0.0208095990573449,-0.0210040673401191,0.188653008678172,0.225942923206851,0.234810547969359,0.107914624157017,0.0511798254475703,0.224470607499853
"ZEB1",-0.0432905006307605,-0.0433654482776248,-0.0379064406232892,0.32901403820385,0.192354259477551,0.292113312704883,-0.10951144469844,-0.0371618387509116,0.0990942667903862,-0.00216447231116475,-0.0021825384148093,-0.245828210269415,-0.245828210269415,0.0905462652948225,-0.099625937097318,0.121695153206235,0.121717387847806,-0.249783078664451,-0.261557372761676,-0.292113312704883,-0.256978733756019,0.155127648024991,0.0192408721689619
"FOXC2",-0.0433654482776248,-0.0434903990675534,-0.0377782189916942,0.328297465148385,0.292113312704883,0.291610415626618,-0.109459037756173,-0.0372615988697099,0.0979693006749077,-0.00206568918896677,-0.00216447231116475,-0.245596792887398,-0.245596792887398,0.0906172078853757,-0.0990942667903862,0.121481092818673,0.121695153206235,-0.249497355096446,-0.261235936231226,-0.291610415626618,-0.256628339332977,0.155033023343057,0.0192920345862723
"miR200c",-0.0349943710191369,-0.0350177851612788,-0.0243423061308692,0.283662277471104,0.251105914851711,0.250846786780843,0.0759088621039967,-0.0122922901492853,0.080312937488997,-0.117153868616209,-0.117225453017628,-0.118318945645105,-0.118318945645105,-0.0590131706923024,-0.0809598185979361,-0.0300326698982964,-0.0297501965557938,-0.0878608967785264,-0.236502873749092,-0.250846786780843,-0.235922720234819,0.165826057211288,0.141467544695309
"TGFbeta",0.0632336332898774,0.0632841834557235,-0.0198925043376016,0.0251423517618797,0.0222880861705594,0.022255321276685,-0.12578004532743,0.0953480684970788,0.00476351353919967,0.21461362527528,0.114580176536558,-0.00413188929380141,-0.00413188929380141,0.0867319285485771,-0.00488616276242126,0.0510004463294586,0.0510798600294564,-0.161233480267213,-0.0217386105779508,-0.022255321276685,0.0960123989383506,-0.229582186916916,-0.24361788381101
