"","SNAI2","TWIST2","ZEB2","ZEB1","miR34a","NP63","CDH1","miR200b","OVOL2","FOXC2","TCF3","GSC","TGFbeta","SNAI1","miR200a","TWIST1","miR205","miR200c","miR141","CLDN7","GRHL2","miR101","KLF8"
"ZEB1",0.00406813612163112,-0.174047429316212,-0.0827157802873595,0.32377222400979,0.395887700282002,0.231411608836213,-0.0982661361965655,0.328198954518968,0.139897794544059,0.0616293890926623,-0.172446926080299,0.132828041278582,0.134226906544325,-0.141276796082545,-0.310720058255162,0.174253941410183,-0.228575075901393,-0.370672608213261,-0.42201597561739,-0.42201597561739,-0.422493858490985,0.0333029663483847,0.0322052037560778
"FOXC2",0.00402775735199739,-0.17256047002868,-0.082662522877386,0.42201597561739,0.39297325033398,0.228575075901393,-0.0978819999048787,0.326013194872164,0.138818528156757,0.0616597930600422,-0.170447151407023,0.131092280702817,0.132828041278582,-0.141393413332456,-0.309572860976788,0.172446926080299,-0.223655043372252,-0.367869392105029,-0.418619826202119,-0.418619826202119,-0.418927839355879,0.0322052037560778,0.0333537240306272
"TWIST1",0.0875112857436024,0.174785129106426,-0.0713558202464481,-0.317893863272863,-0.248130126269344,-0.221766890113976,0.00503383881199798,-0.119822812233767,-0.155001987574652,-0.111268921675385,0.0670127739867414,-0.0920389002620888,-0.0931021066770495,0.0538770487137986,0.215715882521339,-0.168430176586266,0.219044759545981,0.139231974375683,0.316168348783748,0.316168348783748,0.326002664956591,-0.0814318083354355,-0.0815951305482523
"ZEB2",-0.09876745198938,-0.0863578233145087,-0.0691763101786557,-0.0520697380880131,-0.0416713210899647,-0.0357457223011194,-0.0341828356259529,-0.0339249775603093,-0.0267628952777087,-0.0181564744931669,-0.0162595896273924,-0.00947879718976782,-0.00946586527935517,-0.00701260257583358,0.00742905642233999,0.0169724023963209,0.0358541821709676,0.0422750157292643,0.0521338124830501,0.0521338124830501,0.0543111156867243,0.102553657105561,0.104324615769934
"miR205",0.0264906934831058,-0.138176761545495,-0.0676572708025209,0.377537865399906,0.353847297140456,0.206571880723089,-0.0126391136254435,0.201059719982292,0.128014475776417,0.0775037345661997,-0.144588185630109,0.0871141002350775,0.0885884693828318,-0.12796650175717,-0.173564786673559,0.146779199179798,-0.202568313187662,-0.230755633271854,-0.374695664681902,-0.374695664681902,-0.379099417974721,0.00369735962287191,0.0053107271677746
"miR200b",0.113502847855299,-0.0166354607793171,-0.0571769899463047,0.308339085298534,0.200113109194273,0.170934595826386,0.0260693755511862,0.133721921375269,0.107562082694251,0.0800844232893017,0.015203763582969,-0.0236041008130885,-0.0224235263198606,-0.0113071155590085,-0.13606725377183,-0.0133891311680438,-0.167703744573499,-0.186546485330326,-0.306344401776267,-0.306344401776267,-0.315224142529823,-0.0739959072960992,-0.0725496337468755
"SNAI1",0.0742335655837174,0.0935070894784169,-0.0504372669179335,-0.146055965976254,-0.149186107219252,-0.11883665346328,0.139593718331316,-0.0546035391550253,-0.0980124772581856,-0.023683450674696,0.0562123903709671,-0.0434779475882827,-0.043101494908326,-0.0650758340728821,0.106830674587989,-0.0565603381941217,0.120172110459114,0.0464296870327293,0.145894981383676,0.145894981383676,0.151076429789625,-0.105030218979781,-0.105239553881306
"TCF3",-0.0388995016030525,-0.090876194873783,-0.0464769818930283,0.136166155132916,0.0795666823225309,0.103891681326967,-0.115004636511516,0.0729895726547906,0.0788831357641823,-0.0243087079790538,-0.0847113527646552,0.0255633913787479,0.0294604368744883,0.00294161653542193,-0.0493203345384337,0.0833560768692051,-0.0915217391304348,-0.0893291419409317,-0.132929494927379,-0.132929494927379,-0.137184955356654,0.0225045235915654,0.0198074590706296
"CLDN7",-0.0388995016030525,-0.090876194873783,-0.0464769818930283,0.136166155132916,0.0795666823225309,0.103891681326967,-0.115004636511516,0.0729895726547906,0.0788831357641823,-0.0243087079790538,-0.0847113527646552,0.0255633913787479,0.0294604368744883,0.00294161653542193,-0.0493203345384337,0.0833560768692051,-0.0915217391304348,-0.0893291419409317,-0.132929494927379,-0.132929494927379,-0.137184955356654,0.0225045235915654,0.0198074590706296
"OVOL2",0.0623587320180583,0.038118040301747,-0.0017497452161634,0.158244831674736,0.172281076607502,0.0927972156109975,0.0452224179219053,0.0590362144226151,-0.0305636608560538,-0.0256988168389792,-0.0591631960083921,0.0564827911014909,0.0566846484648066,-0.0847327456715204,-0.134230993221929,0.0584276374154851,-0.0914434844773422,-0.13578834542851,-0.157542258744242,-0.157542258744242,-0.133326769205324,-0.0540479425633653,-0.0537715752580562
