"","TWIST2","SNAI2","ZEB2","FOXC2","TCF3","SNAI1","miR200a","ZEB1","GRHL2","GSC","NP63","miR205","TGFbeta","miR34a","CDH1","miR141","CLDN7","miR200c","miR200b","OVOL2","TWIST1","miR101","KLF8"
"GSC",-0.0514592172731182,0.00564583175826412,-0.133645818465151,-0.0981444250716813,-0.239716069916403,0.147413502248242,0.0101362628875366,-0.107135055318795,-0.106589160079923,-0.0595853128515664,0,0,0.0596177067615113,-0.116937197253929,-0.0556808300078056,0.107075447475657,0.107075447475657,-0.0101362628875366,0.112881322788678,0.10535041132357,0.239545165239684,0.111953339666457,0.111980621605813
"TWIST1",0.0406097663733428,0.0629783555208785,-0.101774079354482,-0.0481989981338811,-0.144599805947216,0.0431608737464341,0.0155057474332403,-0.0755166246439031,-0.0747363065382985,-0.0352150819464577,0,0,0.0351627520109144,-0.06803601916844,-0.0992852853283405,0.0754209889627858,0.0754209889627858,-0.0155057474332403,0.0385577042985546,0.0887610257522967,0.0442934509185006,0.0168878045033328,0.016817097935589
"SNAI1",-0.0425976289561481,-0.0395627896496777,-0.0941468754547781,0.0396815417674506,-0.0319534412817708,-0.0632783251980969,0.071449281455424,0.0573930294244961,0.0561366890061239,-0.0307882841101728,0,0,0.0309824626568586,-0.0390162529202385,-0.139411198564987,-0.0573384413636076,-0.0573384413636076,-0.071449281455424,0.0281053856804439,-0.0665905511355235,0.0322646016698783,0.0838227341797073,0.0840944639848168
"ZEB2",-0.103650761072712,-0.102340146741623,-0.0892976407076287,-0.0588295597679671,-0.0395692887652813,-0.0391184444787735,-0.0089219205365905,-0.00770721270564575,-0.00640229472962776,-0.0012169445697412,0,0,0.00171020458119517,0.00268375249288857,0.00582387685418297,0.00749043994389202,0.00749043994389202,0.0089219205365905,0.0147784682401338,0.0238526255756221,0.0392786430121191,0.0843966067437436,0.0851115529984793
"NP63",0.0132659221982766,-0.0129775001403094,-0.0853728866175198,0.0154477099634156,0.0827041868821407,-0.0241996049532074,0.0647461755088975,0.0512076786031882,-0.055906652215794,-0.0105634316819543,-0.00418403674447556,0.0958159632555245,0.0104727139851568,0.0693208696901585,0.0255645870309194,-0.0513898736978313,-0.0513898736978313,-0.0647461755088975,-0.0786802524049578,0.0232349675903179,-0.0833930682913183,0.00185132324479751,0.00171699570491045
"GRHL2",-0.00930102013711656,0.0336935476442258,-0.0177544912281322,-0.0271270526179898,-0.0128405857157568,0.00770257114438887,-0.00559830416076297,-0.0149528665813718,-0.0124365285158814,0.0820676719253647,0.00853631481530386,0.00853457921643547,-0.0818620144033438,-0.0150733598026421,0.0727257829526159,0.0146709685406833,0.0146709685406833,0.00559830416076297,0.0317608875258332,-0.0287141643411368,0.0123347761313878,-0.040290345577717,-0.0398581082433273
"miR101",0.00543547904786601,0.0704644699353029,-0.0071974395314188,-0.0170011937699994,0.0168627885792161,-0.00680350740621934,-0.0424193312245038,-0.0922187621172975,-0.0930836394358993,-0.015407807193536,0,0,0.0157725289569448,-0.0261744049127179,0.0231036735795248,0.0920318862727307,0.0920318862727307,0.0424193312245038,0.044555993982388,0.0915858951621864,-0.0170100993394488,-0.0829877510146249,0.0175931033863108
"SNAI2",-0.0222763468331984,-0.114779293168638,-0.00448369297767384,0.0106595202191139,0.0620867851448325,-0.0135251308291184,-0.000694217200731335,-0.00476007387932518,-0.00438236097171257,-0.00438582518865504,0,0,0.00449311808965687,0.00438428726061911,0.0162533104162838,0.00481817664409126,0.00481817664409126,0.000694217200731335,0.00845972256812607,0.0172723188377801,-0.0619416999072555,0.0028991455177236,0.00299834429681555
"TCF3",-0.0219625472889048,-0.0149355566030833,-0.00445165812829522,0.0106176269528247,0.0622904596369255,-0.0134697449641755,-0.000699454163879823,-0.00476683782392152,-0.00424257759436867,-0.00434567490874621,0,0,0.00478069394082886,0.00450832603761653,-0.0836091636976266,0.00466077777198866,0.00466077777198866,0.000699454163879823,0.00817241785070314,0.0171724890297254,-0.061709627110304,0.0025421960000927,0.00339154781055314
"KLF8",-0.0219625472889048,-0.0149355566030833,-0.00445165812829522,0.0106176269528247,0.0622904596369255,-0.0134697449641755,-0.000699454163879823,-0.00476683782392152,-0.00424257759436867,-0.00434567490874621,0,0,0.00478069394082886,0.00450832603761653,-0.0836091636976266,0.00466077777198866,0.00466077777198866,0.000699454163879823,0.00817241785070314,0.0171724890297254,-0.061709627110304,0.0025421960000927,0.00339154781055314
"miR200c",0.0579205871230874,-0.0235038785156238,-0.00429587884079697,-0.0738438119324763,-0.00422766393799041,-0.0668607781207658,0.0031502088448805,0.00257552285477434,0.00201410311238648,0.0867847902230238,0,0,-0.0867200233836455,0.0962022284380372,-0.0633720836453403,-0.00253557115392553,-0.00253557115392553,-0.0031502088448805,0.0205049006642643,-0.0696884913431278,0.00433858278975846,-0.0403674849517611,-0.0403602806003328
"OVOL2",-0.0719456835385307,-0.0525079342735967,-0.00408099873800899,0.0734051309303324,-0.00767147211890915,0.074220913958401,0.000756941392869209,-0.00189614347883906,-0.00301801684870221,-0.0119375335978246,0.00906664885944927,0.00906556846748307,0.0122565095678422,-0.0615141611734714,-0.0648505672168143,0.00168160805875588,0.00168160805875588,-0.000756941392869209,0.0198938471499203,-0.0362661867876394,0.00743228069383182,0.0648980218366999,0.06545843331691
"miR205",0.151293354954727,0.0760322895325104,-0.00371313497349707,-0.077938231140381,0.112504554176817,-0.0910104073179546,0.0039458657523652,0.00492055185249294,0.00373012984971376,-0.00243849756268726,0,0,0.00277812619306339,0.0143235667035386,-0.0487054074912693,-0.00496527179386013,-0.00496527179386013,-0.0039458657523652,-0.0125840053711572,-0.0776830441613356,-0.112372763888114,-0.0809718148961103,-0.080545004707738
"TWIST2",-0.0751633780651575,-0.0694066652286363,-0.00179342382260186,0.0318377242089112,0.181418511088032,-0.0988975697519356,-0.0280499076026002,-0.0590213749160012,-0.0595698656246012,-0.0163613601746162,0,0,0.0166296073986804,0.0253530184743508,-0.0601026116000609,0.0588828706118213,0.0588828706118213,0.0280499076026002,0.0422980242894738,0.0732905267581725,-0.181528224266437,-0.020054612431588,-0.0196383549254832
