"","ZEB1","CLDN7","ZEB2","miR101","KLF8","miR200c","miR200a","CDH1","SNAI1","TCF3","NP63","miR205","FOXC2","TWIST1","TGFbeta","GSC","miR200b","TWIST2","SNAI2","GRHL2","OVOL2","miR141","miR34a"
"TGFbeta",0.00718450477370951,0.00717369750504939,-0.102003376319687,0.0154265714646081,0.0154009501476724,0.0548439670529488,-0.046466318344197,-0.0946517510834723,-0.127130184375653,-0.0386215867020659,0,0,0.00501679127050514,0.0386510832192079,0.108201570382587,0.208215036757917,0.129346658397987,0.0611936480242884,0.0945802238319958,-0.00610583770927166,-0.00387913662064344,-0.00717369750504939,0.104187175611478
"ZEB2",-0.108104719523046,-0.107908077414139,-0.0964293095110703,-0.0883600901956159,-0.0882755694283662,-0.0521775201526509,-0.0415181092362816,-0.0254964771507392,-0.0216830653035454,-0.0200177499574374,0,0,0.0164930353531925,0.0200226211153116,0.0343404549795229,0.0344469892891128,0.0372020855391654,0.0547433466283464,0.0916842387979992,0.106837223349426,0.107566654911985,0.107908077414139,0.109299005426672
"SNAI2",-0.0297915705409424,-0.0296943898104929,-0.0894971385620691,-0.14345765801462,-0.143491649204659,0.0295093084284581,-0.0571542961985423,-0.24266875837485,-0.179937888541258,-0.230836416547688,0,0,0.0275120247570778,0.23097016700108,0.221356264335223,0.22140323191036,0.2459247228509,0.19905786578594,0.12273024956044,0.0310559825308696,0.0302700260599332,0.0296943898104929,0.0863700625123539
"miR34a",-0.0330971484431669,-0.0331318919008073,-0.0834373096568255,0.118140911532499,0.118093854064767,-0.0272550475078474,-0.0933992938103753,0.0677606780659078,-0.0686937506582382,0.0727849128359994,0,0,0.0967337462403922,-0.0728786040329635,0.0108031315713387,0.0106830560263224,-0.0229019793326403,-0.256870814940947,-0.148191056482028,0.0361482036614362,0.057397534000542,0.0331318919008073,0.0474703891229916
"GSC",-0.131854056932016,-0.131708295242725,-0.0543141546902644,-0.126900927468264,-0.126807389390472,-0.038595742130657,-0.0967820583581572,0.070773984746254,0.0258422750198313,0.150375942567336,0,0,-0.0370326249349373,-0.150348789487858,0.0631696102410679,0.0632117834445811,0.120188639854723,0.0392183443260246,0.102149597787373,0.133470084203055,0.12102111293626,0.131708295242725,0.0375271132919245
"GRHL2",-0.0742046813964501,-0.0741110065246798,-0.0494160252589159,0.00630455904107812,0.00635297666509326,-0.0684269089504041,-0.0966437844956725,-0.0117993500683651,-0.0193010003077589,0.000466351687594297,0.00853631481530386,0.00853457921643547,0.0310554749328151,-0.000538610199647017,-0.041056236480809,-0.041096702785681,0.0985614826785496,-0.0297049492622084,0.000434190547999522,0.0115226881849194,0.0886514376587756,0.0741110065246798,0.0843450847279167
"TWIST1",-0.191829350414995,-0.191759135314923,-0.0341361820454809,-0.0588113268130041,-0.058705764894964,-0.0808735845310485,-0.129531214865015,-0.0413407977658907,0.17249442699072,0.082840078952788,0,0,-0.17738934324135,-0.182956902337072,0.0665339070552219,0.0666250927512884,0.073458600979223,-0.0713150592559211,-0.0393896508897914,0.192618955423869,0.154103372355588,0.191759135314923,0.0522967786548455
"NP63",0.12596668758411,0.125874741828713,-0.0116943530905919,0.161815410989654,0.161755100665623,0.0799158035462345,0.0847701367689777,0.160261334973168,0.177297682495665,0.218483477018636,-0.00418403674447556,0.0958159632555245,-0.0462612779011782,-0.218584453120958,-0.0638641266143341,-0.0641140281941913,-0.190897197264984,-0.16795563805341,-0.218341652901753,-0.16887857852788,-0.146997578823366,-0.125874741828713,-0.16325811124201
"miR200b",0.210837852824533,0.210933156602536,-0.00219158017211885,-0.00942592174782506,-0.00938269563925549,0.107778951237992,0.104103512882404,-0.0260960043729848,-0.0514656716802473,-0.0202700443016414,0,0,-0.0232070838531197,0.0203425112847966,0.0431206715213562,0.0430297706941587,-0.0386170466393487,0.0995983208907261,0.0894243335157092,-0.209005961851479,-0.144412875077425,-0.210933156602536,-0.121259918496329
"miR141",0.210837852824533,0.210933156602536,-0.00219158017211885,-0.00942592174782506,-0.00938269563925549,0.107778951237992,0.104103512882404,-0.0260960043729848,-0.0514656716802473,-0.0202700443016414,0,0,-0.0232070838531197,0.0203425112847966,0.0431206715213562,0.0430297706941587,-0.0386170466393487,0.0995983208907261,0.0894243335157092,-0.209005961851479,-0.144412875077425,-0.210933156602536,-0.121259918496329
