"","GRHL2","KLF8","SNAI2","miR101","miR34a","miR205","ZEB1","miR141","ZEB2","CDH1","miR200a","TGFbeta","SNAI1","FOXC2","TWIST1","TCF3","GSC","miR200b","miR200c","TWIST2","OVOL2","CLDN7","NP63"
"SNAI1",-0.164810557596658,0.314990864471645,0.198594215009273,0.315329356823589,0.111871101027689,-0.148287983955345,-0.155436439721685,-0.155331201352532,-0.171269072196324,0.218408967267412,-0.161615919668395,-0.0145919777823541,0.250492387806792,-0.16242929187217,-0.268862200927252,-0.26876869952984,0.0145851473812144,0.0437135616995366,0.00392864438217364,-0.0662958453983265,0.137209925987118,0.155331201352532,0.148600407380976
"miR101",-0.240947523300311,0.37844429366795,0.150723319698477,0.279338836029116,-0.01519734441627,-0.189335626429726,-0.223808679951739,-0.223646852721259,-0.137235236301413,0.0986827651638463,-0.179233409192832,-0.0328276937783066,0.337775131839097,-0.159774269528214,-0.259234746123434,-0.258635682365154,0.0327698413606625,0.126063085326757,0.0484485832095702,-0.0726640358900184,0.160617257476117,0.223646852721259,0.18975290545555
"ZEB2",-0.118653667354351,-0.113231277306703,-0.112226522379912,-0.112025116239951,-0.10982268750971,-0.10935571474585,-0.107307753768434,-0.107236805491937,-0.0866874616493735,-0.061184253101797,-0.0395505835871595,-0.014151186016332,-0.00892049658826899,-0.00854429794619539,0.00478881789162743,0.00596276693931606,0.0140274091595252,0.0476996462552934,0.0541939761780206,0.0718430245711476,0.102042018306592,0.107236805491937,0.109456427482138
"GSC",0.279778772531357,-0.114849624867797,0.0165356071314281,-0.115552134806218,0.0938550175941959,0.234129262431292,0.261986018286016,0.261916516023573,-0.0472590343921778,0.0738776381954052,0.116206870148864,0.0264277620245194,-0.180821449168178,0.207674776261068,0.0426312411555179,0.042199986363798,-0.026414926701711,-0.0925069917776961,-0.172005146858877,0.0196317050082032,-0.202621407619744,-0.261916516023573,-0.234186734796663
"miR200c",-0.216834389613183,0.137460775799493,0.108735165144287,0.13741935077878,-0.071614430590492,-0.152798513435374,-0.198046278801006,-0.197967491368606,-0.0430921050521249,0.0365657404501927,-0.117173206435782,-0.118029403496761,0.194779222274986,-0.00289353210348248,-0.116747950274538,-0.11705112846937,0.118103260418859,0.0716738059346412,0.0807433246481432,-0.0953950927039187,0.126181407724549,0.197967491368606,0.152894479314172
"SNAI2",-0.0853218449987567,0.0965940452496258,-0.0150099756315041,0.0957817251774813,-0.0094684952134385,-0.0704393933585324,-0.0802131621074399,-0.0802359575874219,-0.0330874400641977,0.125388437934034,-0.0567637090048643,-0.00393888729340626,0.118239792630279,-0.0997886328035031,0.0225491921226161,0.0214655867544623,0.0040918550839912,0.0127162327942596,0.0253380313861119,-0.092188044080885,0.0610130371639164,0.0802359575874219,0.0703661452100828
"KLF8",-0.0849061412342088,0.0963078616056292,0.0851237690406628,0.0934915898130499,-0.0100479597124009,-0.0688405797101449,-0.079935946357055,-0.0799688615455859,-0.0330123872527289,0.224555694793179,-0.0562358786048858,-0.00365606729014133,0.117751137678034,-0.0980991429167512,0.0245519081356044,0.0210185102653237,0.00401858315021021,0.0129588773880394,0.0255553319503256,-0.0906389964610807,0.0610075952811572,0.0799688615455859,0.0693608109240178
"CDH1",-0.084935359167527,0.0934915898130499,0.0840982193397379,0.0965940452496258,-0.0091419994475002,-0.0693608109240178,-0.0802359575874219,-0.079935946357055,-0.0327563252634612,0.125564800431853,-0.0566965711297781,-0.0040918550839912,0.117356838585744,-0.100721760755332,0.0214655867544623,0.0245519081356044,0.00365606729014133,0.0123539104467464,0.0250564252989446,-0.0931797039287954,0.0608608071453665,0.079935946357055,0.0704393933585324
"miR200b",0.270969497322389,0.138252286980069,0.174800105515135,0.138450406644346,0.235195384473729,0.199463850256027,0.253599471501643,0.253664420914755,-0.0221492741809458,0.171880241992733,0.120964616980932,-0.0627731264676753,0.0641407670143079,0.0520266952120447,-0.0715587410133163,-0.0711697855731164,0.0626890432025176,-0.131756825609918,-0.140256790653002,-0.0205032767431176,-0.165972300076916,-0.253664420914755,-0.199168844036016
"miR141",0.270969497322389,0.138252286980069,0.174800105515135,0.138450406644346,0.235195384473729,0.199463850256027,0.253599471501643,0.253664420914755,-0.0221492741809458,0.171880241992733,0.120964616980932,-0.0627731264676753,0.0641407670143079,0.0520266952120447,-0.0715587410133163,-0.0711697855731164,0.0626890432025176,-0.131756825609918,-0.140256790653002,-0.0205032767431176,-0.165972300076916,-0.253664420914755,-0.199168844036016
