"","TWIST2","KLF8","ZEB2","FOXC2","OVOL2","NP63","CLDN7","ZEB1","TCF3","miR200c","GSC","miR200b","TGFbeta","miR200a","TWIST1","miR141","GRHL2","miR205","miR34a","CDH1","SNAI1","miR101","SNAI2"
"NP63",0.172758105844216,0.173282817048837,-0.141883903813106,-0.0377658487947507,-0.0774086551857331,0.0238407408635926,0.00436315557109363,0.00438995894628321,-0.122885526855528,0.0525277040066193,0.0182115783095096,0.0750284960739256,-0.0178932105433901,-0.0525277040066193,0.12301791774524,-0.00436315557109363,-0.126998780940695,-0.124786570614237,-0.00370439769994941,-0.120763303700703,0.0044564543961718,-0.17311559296857,-0.16135088529706
"ZEB2",-0.13545831703392,-0.0976146895109059,-0.0883295431018439,-0.047940927680789,-0.0273991926732665,-0.0198553133207969,-0.0128681756036286,-0.0123322583455217,-0.0114722776824631,-0.0097568295983076,-0.00807877295328073,-0.00602242593863446,0.0065201698459274,0.0097568295983076,0.011340756419859,0.0128681756036286,0.0158300446767593,0.0233337762894985,0.0276010525797639,0.0482188542924495,0.0501906470806357,0.0974347099947625,0.125580563730933
"CDH1",0.135195468255665,0.156673363816295,-0.0777348602912196,-0.0221998056221307,-0.0225470376508095,-0.0291018644622842,-0.0368622005421998,-0.0365589806355723,-0.0993166220951003,0.0214921862401152,0.191272761323231,0.160851352774388,-0.191188877287795,-0.0214921862401152,0.0997681493195359,0.0368622005421998,0.0397626220431941,0.0283314484376309,0.0212382970698601,-0.166299892935434,-0.000979899078934375,-0.156501903818236,-0.12936388864136
"TCF3",0.135567450288231,0.156628661089428,-0.0776213023655444,-0.0218234390530406,-0.0226705260825065,-0.0283314484376309,-0.0366171652498032,-0.0368622005421998,-0.0995586356478593,0.0217575621185093,0.1905839811891,0.160799582987236,-0.191272761323231,-0.0217575621185093,0.0993166220951003,0.0366171652498032,0.0397528827320881,0.0301811594202899,0.0211588268711846,-0.0663216858271614,-0.000815607790479945,-0.156673363816295,-0.12935446070744
"SNAI1",0.010191582650444,0.0263761878277904,-0.0538150881576321,-0.109188852615206,0.0429908547616072,0.0411974796495627,0.0360221048688224,0.0367972244491043,-0.0180198382541868,0.0424746485582475,0.00717367389228216,-0.0546293564301939,-0.00811490316933299,-0.0424746485582475,0.0186641293041104,-0.0360221048688224,-0.0354742476416268,-0.0399673889855098,-0.0784503794781867,0.117260380550874,-0.0796529237093841,-0.026493178272011,0.0741299872589053
"TGFbeta",-0.112812243312676,-0.0330999399669058,-0.0437647962872924,-0.153380038498842,0.0608664574696405,0.0627731198242971,0.0655614834520447,0.0645917455197326,-0.0759645459581826,0.0560797492974982,-0.18413607270602,-0.164492506889835,0.0848845425348236,-0.0560797492974982,0.0750002367439244,-0.0655614834520447,-0.0676865777451633,-0.0631764994917814,-0.13564866740704,0.137748563946629,0.109838231323421,0.0330992474988805,0.182356127141159
"OVOL2",0.120563736480675,0.128424268089108,-0.0414523089180238,0.0755049627373602,-0.0863310939268627,0.0143029803257841,-0.0244854990010231,-0.0249315533291631,0.00212606901452425,-0.000631229579528535,0.0244707901794909,0.107855645803218,-0.023963046572789,0.000631229579528535,-0.00251093341276898,0.0244854990010231,-0.0163374151951751,-0.014950135113541,0.0786417022010043,0.0318530729885763,-0.0703235401300966,-0.128291567914734,-0.140452365708258
"miR200b",0.0213980189480014,0.0276609640939773,-0.0109058052190497,0.116407151985212,-0.0186800641951686,-0.0141665382598087,-0.00285790085878805,-0.00306703350513068,0.0762613433572074,0.00298764326626644,0.119553380777857,0.0368582966982846,-0.119212502675866,-0.00298764326626644,-0.0763811357171169,0.00285790085878805,0.00794381511735024,0.0135871886952095,0.0987219331145071,0.0333608442080034,-0.0724418250675647,-0.02759792601898,-0.12761165626285
"miR200a",-0.092137051468606,-0.0060207275360365,-0.00941465365921141,-0.166861356818896,-0.0147231659946804,-0.0111172208526671,-0.00126180529590471,-0.000581287218318058,-0.0884410495667736,0.00327086821756701,-0.100395295248444,-0.0463873751421737,0.100706630581596,-0.00327086821756701,0.0895014337896761,0.00126180529590471,0.00704823608631507,0.00919434898488674,-0.0128127577153466,0.121318577275964,0.13880735065732,0.00606755582032021,0.129431233599419
"miR141",-0.092137051468606,-0.0060207275360365,-0.00941465365921141,-0.166861356818896,-0.0147231659946804,-0.0111172208526671,-0.00126180529590471,-0.000581287218318058,-0.0884410495667736,0.00327086821756701,-0.100395295248444,-0.0463873751421737,0.100706630581596,-0.00327086821756701,0.0895014337896761,0.00126180529590471,0.00704823608631507,0.00919434898488674,-0.0128127577153466,0.121318577275964,0.13880735065732,0.00606755582032021,0.129431233599419
