"","SNAI2","miR101","TWIST2","ZEB2","SNAI1","OVOL2","GSC","NP63","CLDN7","GRHL2","miR34a","miR200a","miR141","ZEB1","miR205","TGFbeta","miR200c","CDH1","FOXC2","TCF3","TWIST1","miR200b","KLF8"
"ZEB2",-0.126106608744465,-0.125863776341151,-0.120493571801708,-0.0884538655694835,-0.0241769441023436,-0.0241125181364883,-0.00872345304195599,-0.00756792011680583,-0.00481420743839148,-0.00362994724089003,-0.00211757255910351,0.00252757776245618,0.00481420743839148,0.00484440341766181,0.00746720738051825,0.00875116427855453,0.0100010086411095,0.0171610278808233,0.0196737520461041,0.0236171625824335,0.0237486838450376,0.0240857090219227,0.125823007500478
"miR101",-0.0891047165898951,-0.0992863453430632,-0.017571675215708,-0.0847931317011131,-0.0197796572141801,-0.0924478479940893,-0.00414644646753326,-0.0271436779989483,0.00121655870486348,0.00361621134043005,-0.036571462260577,-0.0430131559802294,-0.00121655870486348,-0.0012396297967853,0.0271463023953371,0.00417495345593762,-0.0444050930953224,-0.0003627891460898,0.10141951237578,-0.00455366422722472,-0.00451765493027896,-0.039656374275797,-0.00066580395113885
"TGFbeta",-0.228816621115962,-0.166225600648717,-0.147694710934331,-0.0622892307367848,-0.0983319090325274,0.0330571967315541,-0.200516284236984,0.00608154691795786,-0.0298199428854132,-0.0301130325354784,-0.118620517968003,-0.0505168462195652,0.0298199428854132,0.0298211436930421,-0.00609517460942693,0.100551470572522,-0.0167284144692707,0.0956403846614096,0.0877871454138636,0.0513292450665572,0.051497148317981,0.131897836943749,0.166179205291023
"SNAI2",0.169963430928989,0.246600609999058,0.236203859919254,-0.0290534803273126,0.00920513155927071,-0.157706838927096,0.189782649580634,-0.0303638978242483,0.110612442665192,0.113393114120167,0.0685185294076299,0.0411298917207397,-0.110612442665192,-0.110625640048339,0.0302119757385751,-0.189760673926212,-0.0694517235156727,-0.108531979868605,0.0298651779651818,-0.149407607958612,-0.149407607958612,-0.269795376170349,-0.246502798615478
"KLF8",0.26980862038227,0.246247226165541,0.236047761178586,-0.0289753531895988,0.00908897409530295,-0.157260472388918,0.189295299121625,-0.0302890173410405,0.110475245498191,0.113247289144751,0.0683821805949657,0.0411022926293867,-0.110475245498191,-0.110508160686722,0.03,-0.189784695532718,-0.0693198873171868,-0.208321199264234,0.0296056385736189,-0.147734200909172,-0.14904107409407,-0.269562747338559,-0.245785297987922
"CLDN7",0.26980862038227,0.246247226165541,0.236047761178586,-0.0289753531895988,0.00908897409530295,-0.157260472388918,0.189295299121625,-0.0302890173410405,0.110475245498191,0.113247289144751,0.0683821805949657,0.0411022926293867,-0.110475245498191,-0.110508160686722,0.03,-0.189784695532718,-0.0693198873171868,-0.208321199264234,0.0296056385736189,-0.147734200909172,-0.14904107409407,-0.269562747338559,-0.245785297987922
"TWIST2",-0.103167765067931,-0.0251307846714879,-0.128071232516742,-0.0271669329258649,0.0317455310857981,-0.14656387265196,-0.0265677626550964,-0.0270792048259866,0.108324488530213,0.112719101418818,0.0685475838629054,0.040803161000593,-0.108324488530213,-0.108245604571422,0.0270175852583505,0.0265483877284346,-0.0637339649109249,0.0793552296278425,0.0128760063540268,0.000497172759970794,0.000420231050439996,-0.0106183043071954,0.0251012382096767
"miR200a",-0.121050590623889,-0.107660061937239,-0.0892297476172513,-0.0118163803254061,-0.0786509197871268,-0.118691551039083,-0.123659184583827,-0.0453721017430544,-0.013923616623427,-0.00797009576122585,-0.00882812648747989,-0.0136379749055198,0.013923616623427,0.0139787455067212,0.0453578845758249,0.123692136133687,0.00231685651353734,-0.00977906755101031,0.0820663173606528,0.0514028143120679,0.0513924618859029,0.0024374954176135,0.107652857585811
"miR205",0.0320812201673031,0.0191409936246738,0.108277650467055,-0.00740040180680667,-0.0639345243944507,0.134701382945868,0.0254446920985176,0.0488220210261405,0.00448881419916472,-0.00287000602340108,0.00515358965990838,0.000248370594849724,-0.00448881419916472,-0.00451303750073861,-0.0488616603086695,-0.0255224575325757,-0.0053408176767649,0.00167301974178648,0.0795391079844872,-0.092805871805639,-0.092801753359117,-0.00239489420308182,-0.0191547616952665
"miR141",-0.162300695716316,-0.137746576635884,-0.120638247366876,-0.00644699819402321,-0.0859477404570901,-0.126913275328173,-0.134728939551483,-0.0475375332148788,-0.0110718853875867,-0.00569159079412246,-0.00767639622855834,-0.0100350815922134,0.0110718853875867,0.0111149618024684,0.0475801847165671,0.134813022816641,0.00316772113759842,0.0641603378314762,0.0893212213487962,0.0603495139721408,0.0604160652832016,0.0445485215558375,0.137703350527314
