"","TWIST2","miR101","SNAI2","FOXC2","TGFbeta","TCF3","NP63","miR200c","ZEB2","OVOL2","SNAI1","miR200a","miR205","miR141","CLDN7","ZEB1","TWIST1","GSC","GRHL2","miR34a","miR200b","KLF8","CDH1"
"miR205",-0.0951356102460674,-0.00549283296822681,-0.00115608522324348,-0.0278864938048708,0.0974967101929327,-0.036810725031106,-0.0735109144435595,0.135118161030116,-0.203450647508112,0.0612400269563427,0.0349214601142799,-0.135118161030116,0.0788324881230759,0.0875260405280659,0.0875260405280659,0.0906023998279503,0.0339895891635552,-0.100667635442893,0.117253986831816,0.095375067148493,-0.159633569957842,0.00784466975400815,-0.0365160214123166
"miR200b",-0.0800426315327286,-0.0753295758187428,-0.0673804624945918,-0.113481527883021,-0.00984325158458329,-0.113191483418786,-0.0849960198578342,0.14868624885559,-0.198984317730073,0.0702064586470757,0.09197701805467,-0.14868624885559,0.0889590552230377,0.111820229725893,0.111820229725893,0.114113100244439,0.11098345880959,0.00756618586328523,0.133148599921073,0.126940426737464,-0.105063812838126,0.0770802332158107,-0.0201904377217798
"miR200a",-0.0800426315327286,-0.0753295758187428,-0.0673804624945918,-0.113481527883021,-0.00984325158458329,-0.113191483418786,-0.0849960198578342,0.14868624885559,-0.198984317730073,0.0702064586470757,0.09197701805467,-0.14868624885559,0.0889590552230377,0.111820229725893,0.111820229725893,0.114113100244439,0.11098345880959,0.00756618586328523,0.133148599921073,0.126940426737464,-0.105063812838126,0.0770802332158107,-0.0201904377217798
"miR200c",0.135077767003845,0.12403068587159,0.119084056803853,0.174403316783001,0.118052096693947,0.169615593334944,0.131795411345655,0.0125858556215559,-0.189114393116216,-0.10940980011312,-0.133424542970927,-0.0125858556215559,-0.133355745449085,-0.170649493120792,-0.170649493120792,-0.171560793649092,-0.168342244916646,-0.117328298857387,-0.190252092647319,-0.184500354285008,-0.0460347362838732,-0.124743916662988,-0.137503048041644
"miR141",0.135077767003845,0.12403068587159,0.119084056803853,0.174403316783001,0.118052096693947,0.169615593334944,0.131795411345655,0.0125858556215559,-0.189114393116216,-0.10940980011312,-0.133424542970927,-0.0125858556215559,-0.133355745449085,-0.170649493120792,-0.170649493120792,-0.171560793649092,-0.168342244916646,-0.117328298857387,-0.190252092647319,-0.184500354285008,-0.0460347362838732,-0.124743916662988,-0.137503048041644
"TWIST1",0.104796080320825,0.0782019361403047,0.0158726214731713,0.171246773136424,0.0124872565332264,0.13188959289032,0.115134198698361,0.0208292220854857,-0.179377893718929,-0.106554318972819,-0.252905989979049,-0.0208292220854857,-0.115719476410672,-0.117209028884476,-0.117209028884476,-0.117565780825264,-0.231457428063145,-0.0121410015704997,-0.128657014683266,-0.151714966467998,-0.0128178415050422,-0.0784947210827934,0.0793284628189138
"CDH1",-0.0273060984732004,-0.00982945797398892,-0.0245481532235961,-0.0180672428626193,0.0353125358063388,-0.0682559072605389,-0.0101987175738885,0.0549681937732668,-0.109721799354371,0.0119832671615433,-0.0141492985309103,-0.0549681937732668,0.00829835804641032,0.0023355580691858,0.0023355580691858,0.00135370313343954,0.069939838203434,-0.0351018027417072,0.00414011428977719,-0.00516737467882827,-0.0274650327750064,0.00889451572042222,0.0796119637370601
"TGFbeta",0.070777413932093,0.0530411917000785,0.00768207895704459,0.157177769196153,0.111535818798512,0.125812313350163,-0.00217891585664752,0.0319606948322752,-0.0565567126719067,0.001766483855048,-0.0949360434836009,-0.0319606948322752,0.00281396627910596,0.00165618086696708,0.00165618086696708,0.00195724049392761,-0.125957526973016,-0.21200627313664,0.00217095325330619,-0.0981065153522032,-0.0895139962650298,-0.0528369136326183,-0.021955178406805
"miR34a",-0.152087606690576,-0.0421826084456808,-0.0067889360795892,-0.150164738051753,-0.0291765648020048,-0.113219372641379,0.0637127995589381,-0.0566416876001291,-0.0367874025778166,-0.0674997076431904,0.0923927092936159,0.0566416876001291,-0.0644413177340474,-0.0526823690270185,-0.0526823690270185,-0.0531616383673449,0.11406101877209,0.0290999336752859,-0.0594494879254469,0.026848268997371,0.0363238507671783,0.0417936640695284,0.00450120388303601
"OVOL2",-0.0904257722131021,-0.125926138885183,-0.106339027366283,-0.159404055470431,-0.283836999351232,-0.117253092584976,-0.190943397231082,-0.162574602467763,-0.0338063553658217,0.0860142185336918,0.108042291939798,0.162574602467763,0.188794497610299,-0.1611626024028,-0.1611626024028,-0.162311365529338,0.118258415943008,0.285189374792149,-0.00270721266332275,-0.103338113361904,0.114066850636873,0.124976400447097,0.136740857477628
"ZEB1",-0.144593298330004,-0.055518668560855,-0.0555508696430207,-0.0624831226429674,0.0700379816719004,-0.0664885209955331,-0.0901842087358296,0.14134818198008,-0.0182338953924811,0.0733356224121594,0.0590885473549504,-0.14134818198008,0.0888622177023774,0.103377672830574,0.103377672830574,0.0028816914882701,0.0663184560343236,-0.0683614929906573,0.143152841240785,0.119201807826811,-0.154122157394735,0.055065308775411,0.107406247569951
"GRHL2",0.100996104116024,0.126523877247471,0.11408954130511,0.109082662821229,0.114821454168516,0.0933318635481489,0.0508316903293283,-0.061953377714923,0.0123101072386997,-0.202661492772423,-0.0840959469922803,0.061953377714923,-0.053138301225418,-0.0385035703233236,-0.0385035703233236,-0.0399104402506328,-0.0914386905323677,-0.113948379782578,-0.00207160555734634,-0.0566694354863639,0.0213689769240238,-0.127655089008552,-0.136866077055174
"FOXC2",0.143910251256213,0.055065308775411,0.0547316718745168,0.0622365126853302,-0.0683614929906573,0.069457200580932,0.0888622177023774,-0.139369266674885,0.0190370474234562,-0.071481292660356,-0.0581806324902642,0.139369266674885,-0.0938500192746192,-0.1004822949776,-0.1004822949776,-0.103377672830574,-0.0664885209955331,0.0712153482462451,-0.141136214171372,-0.117048074566859,0.152924717450546,-0.0572955947929041,-0.107011232312201
"NP63",-0.0461644158780285,-0.0499647206836831,-0.0644162719940418,-0.0611214954702635,-0.11851305595322,-0.10540292450336,-0.014820748461009,-0.012821507085554,0.0427497817557139,0.149577343394388,0.0136723313141578,0.012821507085554,-0.0853727167152593,-0.00427686052687644,-0.00427686052687644,-0.00439934177299589,0.105351314495506,0.118620890196583,-0.120925720844879,8.66438275966673e-05,0.107664981950076,0.0499345655216676,0.141074462915961
"GSC",0.0418352741214486,0.1488348712044,-0.0342585880044458,0.0724091559328634,-0.066725688161142,0.148452237397267,0.105851105068149,-0.0823743028244202,0.0581968549941582,-0.100059346761152,-0.265679269475844,0.0823743028244202,-0.108038886443271,-0.102754204223422,-0.102754204223422,-0.104010312820707,-0.147206390221187,0.0679762153261859,-0.115913791435676,-0.144617594869961,0.0969809707276222,-0.149837482475738,0.0603164398140207
"ZEB2",-0.195879220230695,-0.187435410086888,-0.163098812088132,-0.158870743217329,-0.155045770105357,-0.148020686822866,-0.134162287870004,-0.126862500470451,0.0727796979764412,0.113125454622167,0.126588392265268,0.126862500470451,0.134998978294547,0.148221796588253,0.148221796588253,0.148464100909715,0.148476951943751,0.153380016883156,0.167407705665899,0.1676561617715,0.169808656639402,0.187605445983355,0.263400282180285
"miR101",-0.0559912279028877,0.0804950430077716,-0.14664901708028,0.240032024610372,-0.0106498490101569,0.199221347562347,-0.0892951139916569,-0.00343223647132452,0.0855952886221353,0.08593210588439,-0.233917540449519,0.00343223647132452,0.0899853302419193,0.0839001988367959,0.0839001988367959,0.0843487667811616,-0.199925165639014,0.0104419156829721,0.0948260459534805,-0.0541828663631498,0.0336331292952583,-0.180173379929908,0.115153228084998
