"","CDH1","miR200a","GRHL2","KLF8","miR141","CLDN7","TWIST2","GSC","miR34a","NP63","miR205","SNAI1","TCF3","FOXC2","TWIST1","OVOL2","TGFbeta","ZEB1","miR101","SNAI2","ZEB2","miR200b","miR200c"
"miR205",0.184682721693785,-0.00353008019063504,0.269422119253119,0.0711838747171755,0.257143120154841,0.257143120154841,-0.0990325014660445,-0.033138069804119,0.265669769694601,0.138187236829317,0.138038589519834,-0.138004416671456,0.00613994961719234,-0.107988249776152,-0.00581871078847853,-0.0837157293549964,0.0332428150826462,-0.257246845574401,-0.0716031750488608,-0.0490268648043755,-0.272606183474157,-0.238599311844294,-0.263380034106153
"miR141",0.200495757880558,0.00722263004824766,0.25331053569003,0.143571332072465,0.24123906306001,0.24123906306001,-0.00986683630090719,-0.119152324519925,0.244270325367019,0.13081203195495,0.130737391826996,-0.154295559979514,0.0224943107082789,-0.022698677672283,-0.0223183194634736,-0.0812948043521531,0.119214818838623,-0.241307583574874,-0.143827086548168,-0.137814991948567,-0.272448318149169,-0.165638804682028,-0.254498666759901
"miR101",0.153410676764985,-0.0050518387067714,0.253310132869393,0.139816229796288,0.240660933419454,0.240660933419454,-0.0654418960151728,-0.0363777270906908,0.254506804794544,0.160054784246411,0.159839583742527,-0.297832538083704,0.228975569062685,-0.142748261805311,-0.229022490267796,-0.107312707051989,0.0363844346173742,-0.240741352654153,-0.239767049904218,-0.110952901489141,-0.245358598358394,-0.186498371570081,-0.242569732185772
"miR200b",0.115147002014494,-0.0133964040673294,0.257538505899232,-0.0611903635294551,0.245595625711083,0.245595625711083,-0.0926524699345158,0.0563434781558733,0.148423171638036,0.133396934492676,0.133258317112189,0.0408038867054419,-0.0141876096059928,-0.0282728350009275,0.0144730407845426,-0.0827788265301686,-0.0562559861096957,-0.245676198694359,0.0608427535730414,0.0722124440606318,-0.230864942454402,-0.223235821171781,-0.238980320321426
"miR200a",0.115147002014494,-0.0133964040673294,0.257538505899232,-0.0611903635294551,0.245595625711083,0.245595625711083,-0.0926524699345158,0.0563434781558733,0.148423171638036,0.133396934492676,0.133258317112189,0.0408038867054419,-0.0141876096059928,-0.0282728350009275,0.0144730407845426,-0.0827788265301686,-0.0562559861096957,-0.245676198694359,0.0608427535730414,0.0722124440606318,-0.230864942454402,-0.223235821171781,-0.238980320321426
"NP63",-0.103481284265634,0.0588159350038218,0.134252209845335,-0.0564878440681179,0.0123109795069251,0.0123109795069251,-0.0547329531958664,0.00457557561321803,0.00611138732595557,0.0290373785457883,0.128704188519993,0.0136457123120483,-0.0958956607844888,-0.0245225577892343,0.0951259984934532,0.0744046387750199,-0.0047501643881868,-0.0123635684076135,0.0573705679016614,0.0749708369471487,-0.181130053369476,-0.153824657114151,-0.0733261077318234
"miR34a",0.0440381180078629,-0.126168149993896,0.252261271361253,0.0265143991139106,0.239752509337652,0.239752509337652,-0.253211959115276,-0.0893996681157212,0.197471404426224,0.174144834129679,0.173927224804646,-0.132478325033966,-0.0417152606949305,-0.121872675900824,0.0415711809550613,-0.123401139234359,0.0893707051701896,-0.239827707506243,-0.0263232881735295,0.0752048935567949,-0.141294650755298,-0.180256002797178,-0.240391247525367
"TWIST1",-0.0736275723114494,0.0237351884326355,0.0760489399182638,-0.0831302503338559,0.0713320335158892,0.0713320335158892,0.0825892506563091,-0.00252229761154569,-0.0518964405454079,0.060899617256739,0.0609860341001674,0.220801589758859,-0.224980650677586,0.0106577941515685,0.125492876285598,-0.0522964912784859,0.0026673800076927,-0.0713380801589534,0.0824809449511939,-0.0360401682896236,-0.115442812039034,-0.0558821133133984,-0.0891794860701533
"TGFbeta",0.132806876668153,0.0546881169740034,-0.00648700881175768,0.106024197717403,-0.00595010216474333,-0.00595010216474333,0.0808131957178154,0.014834944308842,0.094137330575473,-0.00457123026368442,-0.00460393672321018,-0.0915273686676265,0.0286739814867948,0.00820365106828897,-0.0286127194896537,0.00320654216578282,-0.11480670836057,0.00595164606026621,-0.10612322064502,-0.116758576992123,-0.10311730726992,0.0731722218577055,-0.0479890064176729
"SNAI2",-0.0975311866547695,0.00208201807795561,0.0553766212037164,-0.0341014706514747,0.0526090928476858,0.0526090928476858,-0.0844446817320117,-0.0139316794740856,0.0331694736323766,0.0397771915103083,0.0395737244312817,-0.00202489369795556,-0.0976475139331988,-0.0245770195264168,0.0980963713869529,-0.029791398474582,0.0141018830720604,-0.0526527984672001,0.0335638548906617,-0.0416214259808631,-0.0599939354296065,-0.0538049317535307,-0.0557744823831018
