"","KLF8","SNAI2","ZEB2","miR205","ZEB1","CLDN7","GRHL2","miR200b","GSC","CDH1","SNAI1","TCF3","FOXC2","TWIST1","miR200c","miR200a","TGFbeta","TWIST2","miR141","NP63","miR34a","OVOL2","miR101"
"SNAI1",0.0886902320135422,-0.136847468409503,-0.0858658071701668,-0.10986138461187,-0.111648841615587,-0.111642433116219,-0.106274720071346,-0.111625866638702,-0.0334657726777935,-0.138725431476584,0.116288399612882,0.253804449347155,-0.0740999348355146,-0.253788610312621,0.101461305626233,0.101461305626233,0.0334515264125593,0.12717618757205,0.111642433116219,0.109781747268082,-0.106263387154892,0.112123061169028,-0.0886880481919167
"ZEB2",-0.091490505755164,-0.083326495658726,-0.0794820944241899,-0.0791876249071245,-0.0762413728730978,-0.0762234516821487,-0.0699948745118338,-0.0260793950813536,-0.0201987476997902,-0.00986440015423308,-0.00711730538875903,-0.00234140277342727,0.00245437477992858,0.00248916122894548,0.0191242146018026,0.0191242146018026,0.0200454121906117,0.0584371297468549,0.0762234516821487,0.0788544981640195,0.0808969595710215,0.085480190350116,0.0914378045708789
"NP63",-0.0387292502941374,-0.00502245097123232,-0.0515743494901894,-0.121469636859882,0.0100409313125601,0.0100582347573028,0.0931009797891105,-0.0850933454893419,-0.0128360011316874,0.115857866225116,-0.122177089260846,-0.012987038622475,0.0917121220568933,0.0133348451971413,0.00797845808586442,0.00797845808586442,0.01279492141993,-0.00252825683001777,-0.0100582347573028,0.021227805389547,0.0225368556623645,0.130414760566371,0.0388443881854691
"ZEB1",0.046687722973386,0.00188038170837921,-0.0425643958397825,0.11049104395607,0.0470841123430071,0.147069660989988,0.13426057626778,0.159110478289808,0.083646897979569,0.0358561784188975,0.163367413918143,0.15602923457513,-0.129287901009698,-0.156069497304463,-0.150794019541853,-0.150794019541853,-0.0836393513793124,0.118101696603452,-0.147069660989988,-0.110456557233458,-0.186941773638593,-0.111510687424059,-0.0467127055223408
"FOXC2",0.0465353857089525,0.00186947824239503,-0.0425318356223105,0.111019642492259,0.147069660989988,0.147037778250453,0.134173323813568,0.159088420635545,0.08378476013912,0.0358726056576527,0.163364108975838,0.155505349942413,-0.129326412701712,-0.15602923457513,-0.150751988607085,-0.150751988607085,-0.083646897979569,0.118066709326099,-0.147037778250453,-0.11049104395607,-0.186885514848157,-0.111467153541077,-0.046687722973386
"miR101",-0.172671086977684,0.130275935215012,-0.0261302853339177,0.159031058531698,0.193486437259276,0.193511156286335,0.177762581752248,0.097380055300337,0.0564760464983131,0.0862397874863593,-0.178339529083163,-0.199197530611371,0.0668026679957355,0.199128785589929,-0.0853790672694076,-0.0853790672694076,-0.0565271913892738,-0.0482925512490845,-0.193511156286335,-0.159080922063086,-0.0364964521040916,-0.152477832428481,0.0726843788404057
"SNAI2",0.0451802447622656,-0.088486373359566,-0.0204031507641209,-0.05249701953489,-0.0608543945528663,-0.0608651924118051,-0.0570315494130455,-0.0231535147753555,-0.0231074313645553,-0.0272474245524273,0.0965965291595891,-0.0152924031658031,-0.0627980946137068,0.0153173396910116,0.0403645681285648,0.0403645681285648,0.0231699111663435,-0.0160683113719969,0.0608651924118051,0.0526028224159838,-0.00298199826182411,0.0504190686713811,-0.0451726140869509
"CDH1",0.0448923213692987,0.0114812837240981,-0.0203684217692161,-0.0520090893859429,-0.0608651924118051,-0.0608411273398506,-0.0570643507935558,-0.0231480299312703,-0.0229703525749406,-0.0272513254691427,0.0965524482466244,-0.0157651787302121,-0.0628273742083754,0.0152924031658031,0.0403878798907475,0.0403878798907475,0.0231074313645553,-0.0161276157837947,0.0608411273398506,0.05249701953489,-0.0029670002231061,0.0504241094004722,-0.0451802447622656
"miR200c",0.014569776786304,0.121834427250307,-0.0162763775123918,0.138626358070187,0.189413776187513,0.189437657930478,0.173365579831761,0.0932644774908829,-0.0526386376401131,0.0676516529093777,-0.101911670121246,-0.0986071208948336,0.0549676304392211,0.0984814128628298,-0.0865122311037301,-0.0865122311037301,0.0525886421851545,-0.0181081889066658,-0.189437657930478,-0.138651238112839,-0.0967414429844335,-0.133065511992334,-0.0146166050705877
"miR200a",-0.00572072639199004,0.0936619741601121,-0.00509475268112688,0.109748641466701,0.152918455748482,0.15285797021256,0.145383991157965,0.108200892658668,-0.0573050324373423,-0.00346139757458561,-0.10653121345787,-0.0982587242650799,0.0565456662893008,0.0980916065284161,-0.0706877289175057,-0.0706877289175057,0.0574379748971186,-0.00659950779772502,-0.15285797021256,-0.109347006492469,-0.0659257830091369,-0.10331207386714,0.0056702959319922
"miR141",-0.00572072639199004,0.0936619741601121,-0.00509475268112688,0.109748641466701,0.152918455748482,0.15285797021256,0.145383991157965,0.108200892658668,-0.0573050324373423,-0.00346139757458561,-0.10653121345787,-0.0982587242650799,0.0565456662893008,0.0980916065284161,-0.0706877289175057,-0.0706877289175057,0.0574379748971186,-0.00659950779772502,-0.15285797021256,-0.109347006492469,-0.0659257830091369,-0.10331207386714,0.0056702959319922
