"","CDH1","OVOL2","miR205","GRHL2","CLDN7","miR34a","TGFbeta","miR200c","miR200a","SNAI2","FOXC2","KLF8","miR101","TWIST2","TWIST1","TCF3","SNAI1","ZEB2","GSC","miR141","ZEB1","NP63","miR200b"
"miR101",0.0917674913374834,0.281282227231103,0.273291385155949,0.265189562313404,0.240407982791614,0.176680146396644,0.12217128959189,-0.0192168903372038,-0.0192168903372038,0.111278931678049,0.143454004856507,0.0905026172580873,-0.00937376841860148,-0.0436402770523458,-0.0280115777680979,-0.027945015128289,-0.0511718636158383,-0.210696049692308,-0.121944910566326,-0.240407982791614,-0.240435338514892,-0.273884498739825,-0.177888296815297
"miR200c",0.133087255151143,0.293720866068942,0.287605730821854,0.282522689107667,0.255825846747804,0.165345997913664,0.0257211530316995,-0.0316161528922357,-0.0316161528922357,0.100509131955258,-9.36332202632854e-05,0.0609847926301707,0.060909146940174,-0.018789000631358,-0.057638873344747,-0.0574954182964604,-0.0178981236531848,-0.202274618964715,-0.0255109448688053,-0.255825846747804,-0.255899277527576,-0.288249057638985,-0.156002119566459
"miR205",-0.00673329910081316,-0.198253038376928,-0.195102463962034,-0.193514746866443,-0.158833874179229,-0.17367151970881,-0.0559667109135683,0.171423535357916,0.171423535357916,0.00639526574250299,-0.118077406882946,0.0237882041389542,0.0235841863656267,0.116022726125172,0.0900845008007036,0.0901503959450552,0.0980277803066407,-0.189013872775253,0.0558905325291849,0.158833874179229,0.158802197554094,0.195112373782667,-0.0128052759289038
"miR200b",-0.0337413889940261,-0.193724742522897,-0.190258271386926,-0.186946816773539,-0.160522647978129,-0.164717935580597,-0.160156761851565,0.171550896251417,0.171550896251417,0.0777974377291712,-0.0907744417528832,0.0746122331443298,0.0743366667021987,0.0967514027547462,0.011717194506756,0.0117423361131568,0.0681216032979216,-0.187065991257988,0.160090858751847,0.160522647978129,0.160465733543959,0.190197848426201,0.0187382653019218
"TWIST2",-0.0850024827000342,-0.156616126082774,-0.14489675658432,-0.125984948702072,-0.112594883173967,-0.0074338855544143,-0.0358763301046557,0.12574025379922,0.12574025379922,0.0803586240446308,0.0160589615239178,-0.010393871006221,-0.0103799667888981,0.0914390218259621,0.0257137287094139,0.0260471427840474,-0.0925434662610376,-0.143549811339496,0.0359448245636996,0.112594883173967,0.112582507109491,0.144758112557139,0.0101277261732609
"SNAI2",-0.0772809017492808,-0.0205727281200676,-0.0158611252991921,-0.00645801218813069,-0.00399645565090177,0.0181466598602829,0.00534480249924851,0.0545116141500397,0.0545116141500397,-0.0598192244059872,0.0201987420030586,0.00293964196432426,0.00293756087105659,0.0315859896262922,0.0306188318096935,0.0302674534999366,-0.0523242181841155,-0.106903729145041,-0.00522544453307378,0.00399645565090177,0.0040072535098406,0.015473181401848,-0.0225410921459219
"CDH1",-0.077243329761969,-0.0206634612437066,-0.0167856245287761,-0.00648510898072613,-0.00391142572999564,0.018324328934327,0.00522544453307378,0.0544444762749535,0.0544444762749535,0.0400746998754007,0.0203375018212705,0.0028070030979013,0.00293964196432426,0.0318434758699208,0.0302674534999366,0.0308252224242393,-0.0520592874445803,-0.106867572931167,-0.00484285149340277,0.00391142572999564,0.00399645565090177,0.0158611252991921,-0.0224968907553526
"TGFbeta",0.085618964300063,-0.0236898402493952,-0.0232336712768138,-0.0226824146582881,-0.0203033812832457,0.0411807584500784,0.089837006181812,0.0444596123386792,0.0444596123386792,-0.0229021379346793,0.0489355769558833,-0.0174561832788219,-0.0173890138803689,-0.0653548507607319,0.0364864881083102,0.0363412744854572,-0.0124256915396577,-0.0608551712979109,-0.189826146201707,0.0203033812832457,0.0202960048935253,0.0232718288129271,-0.0870679511122648
"GRHL2",0.0152702455255354,0.0995888670223572,0.208587826309388,0.0281138289261465,-0.108526812180137,-0.108297445997513,0.0666160464659654,0.116540280531251,0.116540280531251,-0.00202111162201325,0.0157974066797351,-0.000518909365783527,-0.000620146215997004,0.0328474959400604,0.0308078974856752,0.0306633804615698,0.00750363924355976,-0.0344960699226022,-0.0666620561002719,0.108526812180137,0.108529650812615,-0.208575677117309,0.0960911430048357
"miR34a",0.0630696059779915,0.246502193977935,0.237711848772686,0.227622892210703,0.205897414585881,0.136776122948507,0.0890521610529474,-0.155032345986797,-0.155032345986797,0.0868489115547013,0.124950485142594,0.0168287887604381,0.0170323843351154,-0.0536988104042796,-0.0366030259464346,-0.0363518705528922,-0.0412683564120496,-0.0202600953472979,-0.0888711426433752,-0.205897414585881,-0.205893607083674,-0.238058131437738,-0.0523712305162776
