"","CDH1","miR200b","miR101","TGFbeta","NP63","GRHL2","ZEB1","miR141","CLDN7","miR34a","SNAI1","TCF3","TWIST1","FOXC2","miR205","OVOL2","SNAI2","GSC","KLF8","ZEB2","TWIST2","miR200c","miR200a"
"miR200a",0.0684854536166406,0.068381695954503,0.0724127270363454,-0.0907441231405088,-0.106460122015541,-0.00879709637352831,0.00593609861887197,0.00562920706207248,0.00562920706207248,-0.00761480035230822,-0.022484169618641,-0.0503240523375876,-0.0512513339383684,0.040933397528971,0.107025254412911,0.136373207845568,-0.0966100526799483,0.0909100171501443,-0.0733438894584484,-0.209063422662336,-0.0190834412930647,-0.100201313499538,-0.107116204357009
"miR200c",0.0172085860881862,0.0422829979433559,0.0665385159811631,-0.0488848626098845,0.108478446447447,0.0161989231453565,0.00204457837912957,0.00182741075384528,0.00182741075384528,0.0959752830839589,-0.0699672767346401,-0.0432175636599451,-0.0439200497211427,0.00628378604934736,-0.108069702889601,-0.135193365993586,-0.0644202491709293,0.0490018974249014,-0.0671580902039937,-0.205284367777729,-0.0718504557678218,-0.100877864786321,-0.103329620675995
"miR200b",0.0172085860881862,0.0422829979433559,0.0665385159811631,-0.0488848626098845,0.108478446447447,0.0161989231453565,0.00204457837912957,0.00182741075384528,0.00182741075384528,0.0959752830839589,-0.0699672767346401,-0.0432175636599451,-0.0439200497211427,0.00628378604934736,-0.108069702889601,-0.135193365993586,-0.0644202491709293,0.0490018974249014,-0.0671580902039937,-0.205284367777729,-0.0718504557678218,-0.100877864786321,-0.103329620675995
"miR141",0.0172085860881862,0.0422829979433559,0.0665385159811631,-0.0488848626098845,0.108478446447447,0.0161989231453565,0.00204457837912957,0.00182741075384528,0.00182741075384528,0.0959752830839589,-0.0699672767346401,-0.0432175636599451,-0.0439200497211427,0.00628378604934736,-0.108069702889601,-0.135193365993586,-0.0644202491709293,0.0490018974249014,-0.0671580902039937,-0.205284367777729,-0.0718504557678218,-0.100877864786321,-0.103329620675995
"miR205",0.0839914781961083,0.0864486365554672,0.0196515758406357,0.00311523646612525,-0.0974777813500855,-0.00450919167340275,0.0124289903832008,0.0124488659126973,0.0124488659126973,0.00594921304730652,0.0868669224635521,-0.00470710939726672,-0.00460002978769545,0.090605384018299,0.0974282322469242,0.124377216935247,-0.0433610030797094,-0.00313269401254646,-0.0196152781999823,-0.195484828275646,0.0435713210648801,-0.0909290042849314,-0.105466894863452
"GSC",0.0851992862223945,0.0733630049360371,-0.0985690353770087,0.00639480997128788,-0.0716571279743224,-0.0494054288854116,-0.0431375851603114,-0.043210466004957,-0.043210466004957,-0.0734843760762243,0.155861681565065,-0.222637503408453,-0.222822783244896,0.104332250027875,0.0717931459057004,0.0859846471354521,-0.0303409788228942,-0.00636180485549494,0.0983264209877344,-0.116651033933449,0.0210725273119521,-0.0749277343777496,-0.0402135396635342
"TWIST1",-0.0586483698540442,0.0735003453657287,0.0307123149543332,-0.00940679342822198,-0.150210227480368,-0.133121087759842,-0.118921051552585,-0.118378457888233,-0.118378457888233,-0.0298443066369054,-0.0408381035224554,0.145049487613917,0.0466923675145767,0.0478713251422009,0.149212505742604,0.160618607170372,-0.0245161423851551,0.00911631528302051,-0.0290611672174413,-0.110666514370766,-0.0556883765440758,-0.115791887170955,0.00667256057820943
"miR101",-0.0171143335493002,0.061020095705006,0.0184790407975338,0.0203529405662207,0.0759204007569574,0.0146258820549986,0.00663695895018044,0.00708091267616178,0.00708091267616178,0.0179853970039769,-0.0633879132844804,0.0413900523875896,0.0427093020847841,-0.0779264469748126,-0.0767392124302725,-0.103837529789034,0.10535662110059,-0.0205944115268224,-0.117103333005844,-0.107429470374118,-0.0144615790522721,-0.049106943887122,-0.057341350632512
"SNAI1",0.0896524896138404,-0.0347688899120908,-0.0295130919415336,0.0305695859987522,0.101108648554331,0.0884008895511318,0.081866464100505,0.0823557491667712,0.0823557491667712,-0.0347664370321819,-0.0497287983917109,-0.0367514222981012,-0.0352753264668329,0.0472961379093312,-0.102005487564378,-0.111658776882254,-0.0915527392716748,-0.0308387038036564,0.0310202408376118,-0.0551916605188175,-0.00863608959908588,0.00673562553779422,-0.0714286108039823
"OVOL2",-0.154857420210131,-0.00221842855916635,-0.0782147213627035,-0.212033681167027,-0.2262795885518,-0.0449312004783415,0.0891842838949117,0.0889469226669919,0.0889469226669919,0.120687944406316,-0.0797851413331543,0.00271471468144719,0.00199534197444769,0.0273590485364125,0.226712825730248,0.117926587885361,0.0888574817265807,0.212154933371612,0.0775095460559029,-0.0162290839288062,0.0717299669988797,0.0862850655412716,-0.099330793883581
