"","miR101","ZEB2","OVOL2","NP63","miR205","miR200c","miR141","CLDN7","TGFbeta","GSC","miR200b","ZEB1","GRHL2","miR34a","FOXC2","miR200a","TCF3","TWIST1","SNAI1","CDH1","SNAI2","TWIST2","KLF8"
"TCF3",-0.226195041630854,-0.132344929239393,0.0272076174939155,0.0271506659964815,0.0266304347826087,0.076477558463541,0.0236392662353286,0.0236392662353286,-0.218577499332822,0.218214983472753,0.257298108998987,-0.0237892132053026,-0.0257874238227741,0.00110388098366083,0.0600227126824383,-0.076477558463541,0.161245060462905,0.161487074015664,-0.0407031578818968,0.320039363153548,0.266776217665819,0.258095838994555,0.226209942539809
"KLF8",-0.226195041630854,-0.132344929239393,0.0272076174939155,0.0271506659964815,0.0266304347826087,0.076477558463541,0.0236392662353286,0.0236392662353286,-0.218577499332822,0.218214983472753,0.257298108998987,-0.0237892132053026,-0.0257874238227741,0.00110388098366083,0.0600227126824383,-0.076477558463541,0.161245060462905,0.161487074015664,-0.0407031578818968,0.320039363153548,0.266776217665819,0.258095838994555,0.226209942539809
"SNAI2",-0.226228066814619,-0.132325092025995,0.0272775618469723,0.0270322182686685,0.0268938606549304,0.0767555382633934,0.0237539177664359,0.0237539177664359,-0.218643525219403,0.218600004805744,0.257439167760834,-0.0237702002521374,-0.0259190654347543,0.00106551827744926,0.0601286733952268,-0.0767555382633934,0.161577379460551,0.161593248158411,-0.0408323646039247,0.220020966092907,0.166822702524498,0.258106538364146,0.226256508422611
"CDH1",-0.226256508422611,-0.132231371313718,0.0273078062215187,0.0268938606549304,0.0271506659964815,0.076823608608967,0.0237892132053026,0.0237892132053026,-0.218600004805744,0.218577499332822,0.257450460086892,-0.0237539177664359,-0.02597896360786,0.0010032187320052,0.0600764793351655,-0.076823608608967,0.161487074015664,0.161577379460551,-0.0408345909126603,0.220013780193694,0.266800311274727,0.258060746349973,0.226195041630854
"ZEB2",-0.0980017574743727,-0.0879695443922325,-0.0187491263782486,-0.0147124407426172,-0.0145652452049661,-0.00862801617711578,-0.00355591426788676,-0.00355591426788676,-0.000118223382557319,0.000124997240392517,0.000772984337402013,0.0035640156281788,0.0051446012714397,0.00563500159380179,0.00723309237787975,0.00862801617711578,0.011994936898866,0.0120420247583168,0.0203425613300644,0.0257123983339014,0.0839495948461589,0.0845001607420813,0.0979967856645345
"TWIST1",0.0748739553788397,-0.0858915039096057,-0.112940602499392,-0.122826219639958,-0.123002981365152,-0.0218302607271708,-0.126325697359947,-0.126325697359947,-0.0150502221191578,0.0149991455952442,0.0468593794108949,0.126293736532322,0.137860317860528,0.105032901293758,0.209938578771316,0.0218302607271708,0.109184476228827,0.00919999821694849,-0.0412016986342208,0.039904262573703,-0.0833137593555212,-0.135727626496444,-0.0747723769294049
"GSC",0.0286238781101043,-0.0747202035667832,0.100491362386688,0.105767700086233,0.105583788517045,0.0911416119481275,0.10369773187165,0.10369773187165,-0.00140002214725531,0.00135173688526192,0.00367000599936027,-0.103736826894275,-0.112806305605469,-0.0316718190113089,-0.134035594096994,-0.0911416119481275,-0.0692065526220118,-0.0691618299028704,-0.0226930679948634,-0.0234020930598521,0.0684957799100148,0.0395003862691677,-0.0285332630972429
"TWIST2",0.0524647376524871,-0.0585675235832284,-0.0821692001582189,-0.0814154513178131,-0.0812494208161271,-0.00652026742365959,-0.0720577109351392,-0.0720577109351392,0.00164475564380387,-0.00159863786062294,-0.0036627813276514,0.072089673466873,0.0782673939101338,0.0187852540446946,0.0206627069744948,0.00652026742365959,0.00810022281023904,0.00806602649489202,0.0208555860036114,0.0623911458963041,-0.139077141803014,-0.129204393652216,-0.0525194855081961
"miR200b",-0.0240938313393336,-0.0356027486698924,0.0694284407084163,0.0592042580113412,0.0593642011426723,0.019917028111972,0.00757541101240373,0.00757541101240373,-0.113186582755552,0.113213853003711,0.0462401688172727,-0.00756358173785073,-0.0163146995937085,-0.00982781141538034,-0.0125272460484253,-0.019917028111972,0.0221041873796943,0.0221352446581894,-0.075354454795688,0.00301706245864715,0.123567057798695,0.0967068655335631,0.0240343954400504
"miR141",-0.0240938313393336,-0.0356027486698924,0.0694284407084163,0.0592042580113412,0.0593642011426723,0.019917028111972,0.00757541101240373,0.00757541101240373,-0.113186582755552,0.113213853003711,0.0462401688172727,-0.00756358173785073,-0.0163146995937085,-0.00982781141538034,-0.0125272460484253,-0.019917028111972,0.0221041873796943,0.0221352446581894,-0.075354454795688,0.00301706245864715,0.123567057798695,0.0967068655335631,0.0240343954400504
"miR205",0.0462107116030555,-0.0088903594894,-0.0598349809352687,-0.0501161318454547,-0.0500963122041902,0.00394491446719237,0.000183288137633292,0.000183288137633292,-0.00508799016557946,0.00508481606623015,0.00290121768494541,-0.000177077034665627,0.00847627292921055,0.00757787739221832,0.0930708231010921,-0.00394491446719237,-0.00405041401713342,-0.00405041401713342,-0.103949323420635,-0.0626025093460307,-0.0281778506184076,-0.107341715005944,-0.0461118318233446
"FOXC2",0.0327118919073619,0.00070360200587354,-0.06219478761916,-0.0540660339005007,-0.0541744643694625,-0.00201742437235254,-0.00240036352586503,-0.00240036352586503,-0.00573421898871423,0.00570490971069944,0.00348709955596023,0.00239228656518282,0.014009610216119,0.0121206810647943,0.0931007561775972,0.00201742437235254,-0.000873504392231889,-0.000896037064606833,-0.0976499293819808,-0.0744333376527907,-0.00985576282916744,-0.0879596110361494,-0.0326040576639988
"ZEB1",0.0326883789201103,0.000749539677035536,-0.062188644801316,-0.0541206378779694,-0.0540660339005007,-0.00197885480868309,-0.00239228656518282,-0.00239228656518282,-0.00571798236391976,0.00573421898871423,0.00351462887639639,-0.0975974429763821,0.0139903466872671,0.0121084508929604,0.0930852163720474,0.00197885480868309,-0.000896037064606833,-0.00090625298100458,-0.0976551228627461,-0.0744410617186955,-0.00985851865024037,-0.0879619965323326,-0.0327118919073619
