"","ZEB2","miR101","KLF8","SNAI2","TWIST2","miR34a","SNAI1","TCF3","miR200c","miR200b","NP63","TGFbeta","ZEB1","miR141","FOXC2","GRHL2","CLDN7","GSC","CDH1","miR205","OVOL2","miR200a","TWIST1"
"TWIST2",-0.100093195158958,0.00327616151383372,0.00375759503863971,0.0706319763030635,0.0866235275286127,-0.0133699589472505,0.031648428847844,0.073109305812253,0.0862285044605795,-0.038213782598042,-0.0547390391429877,-0.00258791279387423,-0.0673340270638557,-0.0672179072936846,0.0481937159757969,0.0628152957012723,0.0672179072936846,0.00233385565694262,-0.0674673658973959,0.0546483214461902,0.0519084732243487,-0.0862285044605795,-0.0715049286838886
"NP63",-0.0885897142283536,0.0140387519615703,0.0139757002591744,0.0169123215660353,0.0113986586941069,0.00274288867706189,-0.00746881876154214,0.0760153710801535,0.0256678518812432,0.0613612527232187,-0.00123892075342956,-0.00475170521119336,0.00511838295337242,0.00506986545144699,0.0224291101246536,0.0765320556555423,-0.00506986545144699,0.00464044765851719,0.0996780822096029,-0.0985407439069316,-0.0701731232208298,-0.0256678518812432,-0.0755419053559304
"ZEB2",-0.0808845111236904,-0.0778385309662054,-0.0774775775719508,-0.0763562164466272,-0.0757321946800513,-0.0204783005913233,-0.0189586626360147,-0.0101069112810216,-0.00902350367576657,-0.00583607019915008,-0.00492211349023208,-0.0022748001241385,-0.00222995345125972,-0.00213200064045595,-3.40622528670641e-05,0.000893665659183864,0.00213200064045595,0.00247124200135924,0.00404473760681378,0.00432558420606722,0.00849013442775654,0.00902350367576657,0.00984549247510479
"SNAI1",-0.0486811487150378,-0.0336882441986181,-0.03848173266648,0.0744842153384023,-0.00154353891554482,0.0296538505342571,-0.052953134087559,-0.0359991729376099,0.0717227522336158,-0.0244077267441114,-0.0743486366202219,0.00685637343619831,-0.0866793547371279,-0.0885440736317776,0.050169727362721,0.0826259186865408,0.0885440736317776,-0.00887680609332193,-0.0620580907155358,0.0785657402712878,0.0728573349903147,-0.0717227522336158,0.0364217175040547
"GSC",-0.047063937056407,0.0936793096990815,0.0901852727515408,-0.0629956818301191,0.0197577264533342,-0.0805175553190955,-0.150633779265924,0.238455576353682,0.0513985097337387,-0.0757105060848256,-0.0486251425944065,-0.00879239663812412,-0.0522274452537252,-0.0536244889942983,-0.0997418609331048,0.0497199791946721,0.0536244889942983,0.00710852452683576,0.0645008704780488,0.051745892034051,0.0524107583987126,-0.0513985097337387,-0.23750202409199
"ZEB1",-0.0305014118157326,-0.067796538525743,-0.0717937463585069,-0.0616627981966152,-0.137392434134798,0.0277327674738541,0.0897050739565875,-0.0963634978235246,0.000603369268204809,0.00109335982501118,0.0210009965278997,0.0151907272218743,-0.0848326567347997,0.0135381577125542,0.0791608839282601,-0.00331490188529634,-0.0135381577125542,-0.0172381427399713,-0.0100679505770738,-0.0170608884695021,-0.0355992766371545,-0.000603369268204809,0.0980839783321571
"FOXC2",-0.0294958311459007,-0.0717937463585069,-0.0652398206785521,-0.0575989206605109,-0.14117901174294,0.0294468260563772,0.0904109152060445,-0.0987406947590812,-0.000318344407177919,-0.000245317502285087,0.0170608884695021,0.0172381427399713,0.0135381577125542,0.0162090810792015,0.0788223864247636,-0.00497949740784789,-0.0162090810792015,-0.013867575768271,-0.0126463743236809,-0.0234176247123864,-0.0387419956619955,0.000318344407177919,0.0963634978235246
"miR141",-0.0238409458728186,-0.00425812240486909,-0.0028730858427856,0.0838846089637736,-0.0178029355625684,0.106405237114865,0.0738481307610611,0.0166609254120657,0.00667178631192454,0.028256617122143,0.0120736962379132,-0.0847628796019186,0.00751030402277638,0.00813814834952326,-0.0184934872265248,-0.000517794499454608,-0.00813814834952326,0.0857991490319704,0.0318114276613728,-0.0138472878497845,-0.02647150067548,-0.00667178631192454,-0.0183720335653407
"CDH1",-0.0184350792769429,0.0362147254004563,0.0342898442901719,0.0445059270730135,0.0731259130392776,-0.01299653000036,-0.0235459386584908,0.0913925888528487,0.0105265220123417,0.0039882022225732,-0.00473448108992343,0.000510319440887285,-0.00225110856659067,-0.00302921255978828,0.0279459225068904,0.00195342121673585,0.00302921255978828,-0.00196089946830304,0.0176516739776771,0.00737957610789981,0.00979690218258767,-0.0105265220123417,-0.088253146621773
"SNAI2",-0.0178603857722164,0.0351429623676097,0.0362147254004563,-0.0539834551772845,0.0712244184179626,-0.01301960390608,-0.0222658111355265,0.088253146621773,0.010551698715499,0.0031464399744324,-0.00615332485433568,0.00139322367443247,-0.00269896262067252,-0.00225110856659067,0.0262387948351273,0.00155552620967642,0.00225110856659067,-0.000510319440887285,0.0167961413485619,0.00473448108992343,0.00878069119783084,-0.010551698715499,-0.0901483225376236
"miR34a",-0.00195668961357954,-0.0754654007398832,-0.0707289225591825,-0.085809013766955,-0.233147203732593,0.0663787242498412,0.0551524138480933,-0.112500265527509,-0.0866908624921162,-0.00124789875504464,0.0611695563409009,-0.0218127545904502,0.0781762488148186,0.0800240772297316,0.0385984687991033,-0.0723400138572215,-0.0800240772297316,0.0238118012268265,-0.0272447173779372,-0.0654290223465398,-0.0608109459754659,0.0866908624921162,0.112063302382005
"miR205",0.0136687782972724,0.043158930763417,0.0382912919875237,0.021164859966656,0.118472585447012,-0.0266290421893157,-0.0985038643962971,0.096204766504253,-0.000638066700287283,-0.00651092975807415,-0.0140159088198459,-0.0133327442000466,-0.00955436881134316,-0.0115294995550606,-0.0849848613683324,0.00383172261131173,0.0115294995550606,0.0108791654030303,-0.0399581934409386,0.0190203682391304,0.032490687469857,0.000638066700287283,-0.0944008869276293
