"","KLF8","TWIST2","ZEB2","SNAI2","SNAI1","miR200b","miR200a","miR141","CLDN7","GRHL2","CDH1","TGFbeta","GSC","miR34a","ZEB1","miR200c","NP63","miR205","TWIST1","TCF3","FOXC2","OVOL2","miR101"
"ZEB2",-0.099183545146201,-0.087663263805621,-0.0873415748303367,-0.0739087173436435,-0.0431021021561715,-0.00760229596983868,-0.00730430932596997,-0.00329680282382009,-0.00329680282382009,-0.00181663921886672,-0.000984038512068541,-0.000534277218781145,0.00111251835580397,0.00116464283480184,0.00383468404805838,0.00730430932596997,0.0104471263368311,0.0106640460765275,0.0201117542561051,0.020353688430525,0.0309416988590494,0.0347748771534039,0.0997195062467608
"SNAI1",0.0235502755669316,-0.0728189035623165,-0.0695032479283012,-0.078784715502041,-0.0828604361774213,-0.0148796804899863,0.0586262977981655,0.0507117496579711,0.0507117496579711,0.0475363744913054,-0.0166735779255259,-0.0277707009623006,0.0329100899341301,0.0334049756695003,-0.0460626536038309,-0.0586262977981655,-0.0082947580735237,-0.00621316042588831,0.010031488386368,0.0126776290267759,-0.0433365105947837,-0.0717799960904413,-0.0198873827520168
"GSC",0.0582747758629554,-0.0318268877210578,-0.0598291180235592,0.00757831582794161,0.0122849323603566,0.0862497793742998,-0.0156265573812766,-0.0939814556765848,-0.0939814556765848,-0.087439222015119,-0.0662134273954666,0.0172964713337166,-0.0214587831587162,0.0705913677385635,0.0902273681954385,0.0156265573812766,0.0274137948115304,0.0256110782843939,0.103835516928695,0.101634520250954,-0.134905574880193,0.140235433298745,-0.0612163535385342
"TCF3",-0.0145704712572087,0.0190622450636563,-0.0207708789337568,0.00395960782164523,-0.0324070917754065,-0.00397631304698224,0.028399317695367,0.041733894095632,0.041733894095632,0.0371921366901354,0.0251837597205179,-0.019212787250415,0.00511092029373565,-0.0403683990971541,-0.0548889977784759,-0.028399317695367,-0.0251746670017592,-0.0304347826086957,0.0968936314734365,0.0893912113379089,-0.0204470211661763,-0.11761556060093,0.00576403406453991
"KLF8",-0.0145704712572087,0.0190622450636563,-0.0207708789337568,0.00395960782164523,-0.0324070917754065,-0.00397631304698224,0.028399317695367,0.041733894095632,0.041733894095632,0.0371921366901354,0.0251837597205179,-0.019212787250415,0.00511092029373565,-0.0403683990971541,-0.0548889977784759,-0.028399317695367,-0.0251746670017592,-0.0304347826086957,0.0968936314734365,0.0893912113379089,-0.0204470211661763,-0.11761556060093,0.00576403406453991
"miR200a",0.102934793520046,0.0566085986173069,-0.00849369451708621,0.0742035816270731,0.157219984387928,0.0211319320054419,0.0168343918375852,0.0225055340017349,0.0225055340017349,0.0116100570503323,0.0849680132643433,-0.0921142602118961,0.0964047792556194,-0.0107176353830124,-0.0186101315720466,-0.0168343918375852,-0.0639070150836772,-0.0621511949308427,-0.0582160128902205,-0.0559991147728831,-0.134050418854583,-0.176835147987326,-0.0999629985558877
"miR101",-0.0925898520001338,0.0848624588739678,-0.00622044015188033,0.101210349200256,0.0168064887524227,0.00509944200636988,0.0249222507750031,0.0364741464354767,0.0364741464354767,0.0275415586913359,0.0631968700853579,-0.00182342197872886,0.00711817585442162,-0.026296850455588,-0.0317221606736363,-0.0249222507750031,-0.0441409580282001,-0.0419075967013053,-0.0359042233788475,-0.0330202060507373,0.0138555874920691,-0.14857736886918,-0.00366981782999624
"FOXC2",0.0208515289588978,0.0667500228773153,-0.00494854142565666,-0.0201072543853355,0.134570270986082,-0.0291521908000922,0.0352798083300979,0.0499524647046755,0.0499524647046755,0.0280709165336006,0.167554779987403,-0.000728453772758354,0.00547330022470742,-0.030338609556981,-0.0455947318650286,-0.0352798083300979,-0.075483723086938,-0.0733964365594238,-0.100259016046549,-0.0979212512876483,-0.121842517248674,-0.208530070501922,-0.0175018207960168
"miR141",0.080708083108494,0.0358343640408191,-0.0022979963024667,0.0486111955454772,0.143120530603768,-0.0145129125602328,0.0104770129328026,0.0156633186395893,0.0156633186395893,0.00642982959033666,0.0178005226159845,-0.0843320320713156,0.0882714466699884,-0.00791793646651289,-0.0120638712675854,-0.0104770129328026,-0.0605546418105584,-0.0589409933300182,-0.0505157458141092,-0.0485946313014866,-0.122682327610893,-0.164407013570383,-0.078046075255751
"miR205",-0.00406645454622582,0.0561170693279106,0.00213144699427119,-0.0340117842216805,0.113433645458633,-0.0193995450199249,0.0179691026976689,0.0320130416603447,0.0320130416603447,0.0179537214745584,0.0744843012450081,0.00813617454313641,-0.00491287665391248,-0.0216831034307013,-0.0290354388976461,-0.0179691026976689,-0.0674335196844827,-0.0660065055134392,-0.0954141296352383,-0.0939108966547186,-0.106816581261898,-0.185068208409598,0.00630063691057903
