"","ZEB2","OVOL2","SNAI1","NP63","ZEB1","miR141","FOXC2","CDH1","GRHL2","miR200b","miR200c","GSC","TGFbeta","miR200a","TCF3","TWIST1","CLDN7","miR34a","miR205","SNAI2","miR101","KLF8","TWIST2"
"miR101",-0.101326263371768,-0.0976974144635971,-0.0410094061019744,-0.0951343027096846,-0.102030839646352,-0.101664009284795,-0.129831384421383,0.0257364670271383,-0.0918643618326749,-0.0184034801685669,-0.101559404189606,-0.00440869713287026,0.00455542427906919,0.101559404189606,0.0389283634718094,0.0390058380197836,0.101664009284795,0.0261332938912705,0.0942498811266486,-0.0957657482602386,0.0165591593267173,0.116719990865649,-0.0261791968829205
"ZEB2",-0.0964200278853675,-0.062559865073748,-0.0445207861138422,-0.0444987951095045,-0.0164827765406375,-0.015836877179172,-0.0137733931666463,-0.0131646773790455,-0.00783750351670371,-0.00628651251479165,-0.00221285866354951,-0.0012311386401042,0.00150886681134732,0.00221285866354951,0.0128833730979993,0.0130895854480082,0.015836877179172,0.0337076299969546,0.0428099199932975,0.080241694540182,0.103924620544895,0.104134430920067,0.109220671931067
"TGFbeta",-0.0914481644505266,0.0239937364438372,-0.0237282101473498,0.024620887852296,0.0296368508372331,0.0306450146136702,-0.0141820935566277,0.0791513371851237,0.0282505077638498,0.109601019279501,-0.0290172499307084,0.00310993633418261,-0.102702904279865,0.0290172499307084,0.0457180193833234,0.0460016397404582,-0.0306450146136702,-0.0823063827016399,-0.0270820489316092,0.000912166742156351,0.0153708161830513,0.0157579058091879,0.00307051590918772
"TWIST1",-0.0905807358193642,0.0603905413685141,0.00904880885362565,0.044247275786588,0.0246117191279452,0.0249679774652171,-0.192910948405457,-0.0575564349987158,0.0190248551441848,0.0138259383025074,-0.0413960709235504,0.00490054169655093,-0.00472412400965942,0.0413960709235504,0.199440570540903,0.0994855026117817,-0.0249679774652171,-0.0179608999287817,-0.0452685657543781,-0.077686735721363,-0.01042134369032,-0.0102560297432005,-0.112940616657633
"miR34a",-0.0873275291323622,-0.0918450434698528,-0.0959504803774582,-0.0840885747289439,-0.0821635679969337,-0.0824339006536421,-0.101524110551432,-0.0329757369358984,-0.0729692311079801,-0.0769148497932426,-0.12413047401054,-0.0260581204472539,0.0259283905870604,0.12413047401054,0.0331261421508899,0.0330718170030704,0.0824339006536421,-0.00773738917345764,0.0848170929040532,-0.105832430438456,-0.00478374364694216,-0.00489034321670245,0.000125880210277249
"TWIST2",-0.0599551189413551,0.0638132844381778,-0.00357243326457294,0.0475555765565281,0.0286022553555797,0.0290158311449843,0.0395610716916327,-0.0618520805513784,0.0221815715904175,0.02098492976873,-0.0137149860841553,0.00663081839889477,-0.00642915542983735,0.0137149860841553,-0.0349071031935144,-0.034854383874021,-0.0290158311449843,-0.0238094249140434,-0.0487383299242086,-0.0602489905399272,-0.00570328100220883,-0.00550862195968799,-0.0917841717491389
"miR200c",-0.0274540606195402,-0.0643483325751944,-0.0780545629879904,-0.0415673289779512,0.00617677283255795,0.0055623201373805,-0.0233747180108494,0.0292240037567998,0.0133493652771693,0.036766663669224,-0.00833023171150445,-0.0895205942368123,0.0892762982637189,0.00833023171150445,0.0561986159193273,0.0559634679535791,-0.0055623201373805,-0.00112117509150827,0.0430281429107751,0.0672120786257981,0.0717507851462236,0.0715328535155186,0.0508552687796708
"CLDN7",-0.0175134598972084,0.00978922257604801,-0.0267048611284102,0.00538786964899053,-0.00818376338845314,-0.0111936745174441,-0.0165551204775104,-0.0790404230341099,-0.0122272631390406,-7.7719068608708e-05,-0.014026926406121,-0.000465151207381555,-0.000640522165828523,0.014026926406121,-0.0410183617078171,-0.042664053866578,0.0111936745174441,-0.00224065094574802,0.000797101449275366,-0.0148799835002999,0.00380602362165275,0.00298647362910321,-0.0285864358417139
"SNAI2",-0.0175032782465527,0.0108039419776026,-0.0267223703374924,0.0037316016444531,-0.00898180171786128,-0.00982660563388479,-0.0163654725553865,0.0214007247337564,-0.0112912702789668,0.00039636171300854,-0.0133190453444822,-1.2136548904378e-05,-0.000339043026663865,0.0133190453444822,-0.042074412432315,-0.0422875063750064,0.00982660563388479,-0.00332160847921779,-0.0016128311281893,-0.114668413665487,0.00359157390951617,0.00325929268444593,-0.0283675299316728
"miR205",-0.0155748344578245,-0.0698116202412968,-0.0924998438189323,-0.0489395730311867,-0.00585581610653781,-0.00596699484965901,-0.0963843352048633,-0.000487201401806607,0.00349678076925774,0.000722009499207925,-0.00966531605523454,0.000944092424401037,-0.00101074851073654,0.00966531605523454,0.000701392590358768,0.000689037250792852,0.00596699484965901,0.000486570307148894,0.0492665971120508,0.000498340285315965,0.0180419136377554,0.0179905962837282,0.0806118685153636
"miR200a",-0.0105564041822359,0.0988790244866718,-0.00521354004586745,0.0771888245982837,0.0397095368904881,0.039747256652742,0.0174400508851976,0.103315151229357,0.021571885874486,0.0779769544586681,0.0174355983822512,-0.0815700128054714,0.0816336433845097,-0.0174355983822512,0.0496806795970554,0.0496525801546075,-0.039747256652742,-0.120157273941545,-0.0774482879002208,0.0389932816787452,0.0284014727325657,0.0284122792597081,-0.0528289790467695
"miR141",-0.0105564041822359,0.0988790244866718,-0.00521354004586745,0.0771888245982837,0.0397095368904881,0.039747256652742,0.0174400508851976,0.103315151229357,0.021571885874486,0.0779769544586681,0.0174355983822512,-0.0815700128054714,0.0816336433845097,-0.0174355983822512,0.0496806795970554,0.0496525801546075,-0.039747256652742,-0.120157273941545,-0.0774482879002208,0.0389932816787452,0.0284014727325657,0.0284122792597081,-0.0528289790467695
"CDH1",0.0175023267672402,-0.0120096843761831,0.0268937961101328,-0.0016128311281893,0.00982660563388479,0.00818376338845314,0.0159517391524611,-0.0218094997432521,0.0102501829845102,-0.000935489622798986,0.0123688579179143,-0.000640522165828523,-1.2136548904378e-05,-0.0123688579179143,0.042664053866578,0.042074412432315,-0.00818376338845314,0.00444992246892683,0.00538786964899053,0.0144745823417116,-0.00325929268444593,-0.00380602362165275,0.0280319720573231
