"","OVOL2","ZEB2","SNAI2","miR34a","CDH1","miR141","CLDN7","miR200a","TGFbeta","GSC","TWIST1","miR200b","miR200c","SNAI1","FOXC2","TCF3","ZEB1","GRHL2","TWIST2","miR101","KLF8","miR205","NP63"
"TWIST2",0.160492738653217,-0.106680505407503,-0.195348675429746,0.0791164992722191,-0.0642644715265158,0.101998481672691,0.101998481672691,0.103916754863497,0.0545294790821369,0.0542028341917963,0.24123780198697,0.064883110095833,0.00340556458363987,0.0513830294226186,-0.119786260996887,-0.240418515265114,-0.102068325723517,-0.111467818748063,0.196209288310989,0.0792065423882355,0.0788094031809497,-0.141364651392681,-0.142003098579577
"OVOL2",0.372118029228358,-0.0847914777663077,-0.347845223193514,0.145000887179724,-0.0169426710494276,0.175430939455671,0.175430939455671,0.177960469576889,0.330771845542535,0.329692976494916,0.186527634403088,0.112663551378268,0.11320653483945,-0.00968045433350806,-0.127646179543603,-0.184328152351437,-0.175989220672341,-0.234676989127298,0.328228777078271,0.273188012114834,0.271891717849455,-0.455009457287224,-0.457666141132123
"TGFbeta",-0.0872271352259399,-0.0847544305192139,-0.0934789500945524,-0.0852060091837486,0.0754402731519485,-0.0641804427293567,-0.0641804427293567,0.0134973590916714,0.0998984625597892,0.200010103155264,0.0818773519266356,0.14628537719208,-0.0732250769432723,-0.0196394565914986,-0.0624223383828311,-0.0820860965094868,0.0644156294806746,0.0675183435422495,0.0680601102926262,0.0528589309757233,0.0528610083797992,0.0781593454470166,0.0784755078890989
"ZEB2",-0.123542899549345,-0.074011071560888,-0.0613354800857226,-0.0475685406829049,-0.0375413790669736,-0.0258164059295775,-0.0258164059295775,-0.0245700755105331,-0.0186813719802043,-0.0181388475481307,-0.0157567003798064,0.00119661534979315,0.00322358371617829,0.0105701529607836,0.0142105601905196,0.015469302065227,0.0265688504536717,0.0337855154185151,0.0488500673200672,0.0708094762882416,0.0714289637940835,0.094105733636628,0.0960270227596525
"TWIST1",-0.198848755615455,-0.0704457707646347,0.208309866327685,-0.127248245197176,-0.0930295485783752,-0.153925085175147,-0.153925085175147,-0.0441024740264447,-0.0424529382005045,-0.0419418596084617,-0.178782845992609,0.01026398510678,-0.11969504094515,-0.050265784904909,0.0618682724936119,0.0779095299240835,0.15425740374192,0.169283604894408,-0.222018855891084,-0.0826841929727394,-0.082067751206071,0.1852784238408,0.186578604530564
"GSC",-0.174874909987026,-0.0687532392127402,0.0471756559429998,-0.0558185627880113,-0.0464240683563757,-0.128581802853093,-0.128581802853093,-0.0305759716153996,-0.0202715836557478,-0.0199317532042501,0.08041256882101,0.0888424455038973,-0.103501684106856,-0.00200970699789265,-0.133316439256682,-0.0810610482485592,0.128726840560484,0.141500317606005,-0.0502365433801852,-0.0805365325501499,-0.0800668934512334,0.160227561926752,0.161118383590002
"TCF3",0.180769925244648,-0.0535463446119761,-0.325493296630319,0.114835247405706,0.0121758495177816,0.131639165212632,0.131639165212632,0.0915046476427149,0.241874081388255,0.239735237813848,0.255386409148197,0.212069324692222,0.0429564917223109,0.0914318555853794,-0.156013604901511,-0.250884957066881,-0.133317839827707,-0.14382908476242,0.333289110990319,0.241579745414977,0.239419113616437,-0.158478260869565,-0.164143000753958
"KLF8",0.180769925244648,-0.0535463446119761,-0.325493296630319,0.114835247405706,0.0121758495177816,0.131639165212632,0.131639165212632,0.0915046476427149,0.241874081388255,0.239735237813848,0.255386409148197,0.212069324692222,0.0429564917223109,0.0914318555853794,-0.156013604901511,-0.250884957066881,-0.133317839827707,-0.14382908476242,0.333289110990319,0.241579745414977,0.239419113616437,-0.158478260869565,-0.164143000753958
"miR101",0.199889451256577,-0.0481639263152528,-0.170274493020153,0.098810338492674,0.00549962006682846,0.131016886507255,0.131016886507255,0.0881404169053908,0.0493034156551364,0.0488783261515772,0.0819691996692025,0.00283618919619033,0.0481005854869726,0.0344436734546915,-0.134986483876838,-0.0807437923822302,-0.131101260786283,-0.146938581883363,0.151713015579505,0.0350208439169865,0.134534361741374,-0.180590212450386,-0.181419521709257
"miR34a",0.218729467434891,-0.0463293791064224,-0.287658118916582,0.155442931618108,0.0187432765992864,0.170352939031654,0.170352939031654,0.160694527944936,0.0784944718791228,0.0778693549714,0.221131948549558,0.0502861993875208,0.12256057253627,0.131208143278544,-0.210196882984367,-0.219861999804154,-0.170707750643584,-0.186301192443193,0.377782959162354,0.105460391967307,0.10472860032625,-0.203691147166445,-0.205248473031678
