"","miR200c","miR200a","miR200b","TWIST2","miR101","KLF8","SNAI2","GSC","OVOL2","NP63","miR205","CLDN7","miR34a","FOXC2","SNAI1","TWIST1","TCF3","GRHL2","miR141","ZEB1","TGFbeta","ZEB2","CDH1"
"TWIST1",0.0972233124350799,0.0972233124350799,0.093714752716504,-0.0727972428712888,-0.0630597081418916,-0.0626484150083956,-0.0872507425836589,0.0249486710032196,0.0866735833959194,0.0599494621823972,0.0601655042909682,0.0213047818349203,0.0146435879657629,-0.0995766942951048,0.00219795414298595,-0.089636998001843,-0.0105794928851161,-0.0143584546885697,-0.0213047818349203,-0.0210864856802151,-0.0248092289594066,-0.211661242359089,-0.0912970461577557
"miR200b",0.113032925202704,0.113032925202704,0.154331451496799,-0.0456010036157798,-0.0547290219676643,-0.0541904966984016,-0.145331622662495,0.119009164348045,0.175348303954942,0.129865619793341,0.130125083095278,0.0351241133420698,0.0392031883208005,0.0689610172845764,0.0238892587243621,-0.0618253779997433,0.0616020613781836,-0.0131169686256828,-0.0351241133420698,-0.0349511381009647,-0.118873949367588,-0.184781853865039,-0.132537543196121
"CDH1",0.0991294156363488,0.0991294156363488,0.28899821796433,-0.253269151253444,-0.231822929558991,-0.231107973718028,-0.269653570606184,0.225550761553923,0.0573940779507042,0.04767613303175,0.04767613303175,0.0389217176245517,0.0128787232037961,0.0804407189805493,0.0302852098235136,-0.147780967048998,0.14740380901447,-0.0330615463951867,-0.0389217176245517,-0.038812622631691,-0.225454601805984,-0.15757592041071,0.189423670156501
"TGFbeta",-0.0140532957026282,-0.0140532957026282,-0.143652886265742,0.175937301805855,0.0921531636579615,0.0922231029285157,0.202153008149495,-0.209705985232955,-0.124163373096514,-0.109376269829552,-0.109218188608511,-0.0974139275626101,0.010608747036347,-0.101052246269897,-0.0249067925900624,0.103167760297577,-0.103104229337579,0.0896683431170461,0.0974139275626101,0.0975424139789026,0.109835001796596,-0.0642055712128314,-0.0369901456403294
"OVOL2",0.132564866119469,0.132564866119469,0.143053135845441,-0.108225216683687,-0.145658760314594,-0.145397746748468,-0.142272342752103,-0.184182061177234,0.25578531859384,0.275209801035923,0.275241132402943,0.119273094470056,0.144941045110973,-0.094914208187535,-0.0918273031573906,-0.0260128919754406,0.0258438393892957,0.030086762070895,-0.119273094470056,-0.11920692680091,0.184214441027322,-0.0541092981273933,-0.145356190189008
"miR34a",0.0670962139294974,0.0670962139294974,0.106497305819339,-0.0281134724158362,-0.112443202636461,-0.111988954019375,-0.174363542272117,0.0287863918629846,0.0902744425433032,0.0634036423825929,0.0635796220976193,0.0261013525165507,0.0229448844011376,-0.0629963452833399,-0.0150648742083176,0.00963440236891714,-0.00982099744186243,-0.017559762433392,-0.0261013525165507,-0.0259040763084422,-0.0286168379526853,-0.028373647988859,0.011414460629322
"FOXC2",0.0130727921430441,0.0130727921430441,0.0269449662103165,0.0413332422175225,-0.0576826181933026,-0.0570647108622857,-0.0564976254452085,-0.0170782377028244,0.154471750748585,0.109212262059699,0.109496892040723,0.0183782929183854,0.0190376872403831,-0.083063955915082,-0.0701065917585805,-0.00400501889132984,0.00361069712476833,0.00680927789685204,-0.0183782929183854,-0.0180990001200586,0.0172378104386827,-0.003062057172534,-0.137357506635846
"ZEB1",-0.0129501607098387,-0.0129501607098387,-0.0268370717929549,-0.0416266582480568,0.0574136884016129,0.0576826181933026,0.0565897657236902,0.0172378104386827,-0.154438365868998,-0.109594489901979,-0.109212262059699,-0.0180990001200586,-0.0186542713533899,0.0824822266725462,0.070403564431429,0.003893845683472,-0.00400501889132984,-0.00702570930924642,0.0180990001200586,-0.0817571225728375,-0.0171204951074213,0.00306079514860097,0.137411357517858
"GRHL2",-0.00955688560612383,-0.00955688560612383,-0.00850624539800198,0.087288264156788,0.109584470648934,0.10983712261425,0.108709968005753,0.0956586957146061,-0.11307819126386,-0.174695371002336,-0.174402054793578,-0.00576903402457375,-0.00702549544990664,0.0338202644271944,0.0101651962406699,0.0310514409472962,-0.0312884488668292,-0.0531728615900961,0.00576903402457375,0.00600202024410485,-0.0955572527859543,0.0113320871992828,-0.0160452655964315
"NP63",0.0458446428973524,0.0458446428973524,0.159949832456723,-0.182018935389704,-0.198591445518025,-0.198613376544946,-0.205271324591013,0.114839505245508,-0.0445593907501235,-0.127716144658345,-0.0278075032138051,0.0721505560498053,0.0750478454610005,0.0674638408538985,0.0159719652862242,-0.130176992779454,0.130031138409432,0.0206721887572518,-0.0721505560498053,-0.0723191798152384,-0.115002112437881,0.0271118463174629,0.125888224003391
"ZEB2",-0.19973004212922,-0.19973004212922,-0.186447344721191,-0.116306208856516,-0.113087320171923,-0.112992855784997,-0.109368266746446,-0.0586875063149316,-0.0571845009335131,-0.0477389989970787,-0.0476460333943517,-0.0370460924150373,-0.0283198782214308,-0.0250486605973076,-0.0188526792995866,-0.00890854498047561,0.00890692126118421,0.03149081227892,0.0370460924150373,0.0370924911148917,0.0587669451931807,0.0660021247869948,0.236873196482452
"SNAI1",0.0077424666499463,0.0077424666499463,0.0341497536346437,-0.0620846910087404,0.00632114031806669,0.00643563496614383,-0.0863884204816612,0.00649475022082118,0.127318320438717,0.111599280905498,0.111667891540146,0.0980895068848176,-0.00105123115215812,0.0285399957654866,-0.101394894165935,-0.0199535906362644,0.019838629901742,-0.0905884759984886,-0.0980895068848176,-0.0980378528356883,-0.00648713920240837,0.0788973413751814,-0.0846201076144341
"TWIST2",-0.05737061717416,-0.05737061717416,0.0102599841278192,-0.140801742943369,-0.0531192843626232,-0.0533443588805379,-0.140363652891079,0.00825500091090182,-0.0828441932041187,-0.0563352596694655,-0.0565047134804645,-0.0166905116945203,-0.0176857670477336,-0.053945386817053,0.0211671671788689,0.0912315478625329,-0.0911503316135837,0.0108326201061319,0.0166905116945203,0.016524672430541,-0.00837807262814796,0.08900242162139,-0.0532166028001789
