"","miR200c","SNAI2","miR101","CDH1","miR34a","ZEB1","GSC","TGFbeta","SNAI1","NP63","miR205","TCF3","TWIST1","FOXC2","ZEB2","OVOL2","GRHL2","miR141","CLDN7","KLF8","miR200a","TWIST2","miR200b"
"miR200c",0.0842731170808586,-0.128420774079181,-0.138591824209892,0.0324285990000984,0.0333488157216623,0.0481824052360922,-0.0769884919590143,-0.0770203072485334,-0.159177122020998,0,0,-0.125540826246823,-0.125500895460187,-0.00213633837957191,-0.227379236133592,-0.104665873666151,-0.0415767591454522,-0.0481955736738021,-0.0481955736738021,0.138499968729182,-0.0842731170808586,0.0369522988991596,-0.0916926511405135
"miR200b",0.0873910396085085,-0.0272018715873482,-0.0561992315989424,0.143161355785759,-0.0775599996915678,0.0275912713837247,-0.0823997960586692,-0.0823963872776493,-0.115127481384259,0,0,-0.0837857257465737,-0.0836807225669,0.0259673491167637,-0.207371462158933,0.0460540941228358,-0.0239981791467842,-0.0276111356372193,-0.0276111356372193,0.0561848228960859,-0.0873910396085085,0.0394179448888908,-0.0637171532878108
"miR200a",0.0873910396085085,-0.0272018715873482,-0.0561992315989424,0.143161355785759,-0.0775599996915678,0.0275912713837247,-0.0823997960586692,-0.0823963872776493,-0.115127481384259,0,0,-0.0837857257465737,-0.0836807225669,0.0259673491167637,-0.207371462158933,0.0460540941228358,-0.0239981791467842,-0.0276111356372193,-0.0276111356372193,0.0561848228960859,-0.0873910396085085,0.0394179448888908,-0.0637171532878108
"miR34a",0.0975765050523318,-0.0224340576328638,-0.0711691453204394,0.110637686107809,-0.0580679094022583,0.00531980681110504,-0.00144505328442155,-0.00141971070708143,-0.143168809891689,0,0,-0.105076158138868,-0.104906884127546,-0.0572249031952868,-0.150192865821318,0.0375218462047765,-0.00474906729016882,-0.00533241916216626,-0.00533241916216626,0.0712555774040289,-0.0975765050523318,-0.0247449529857041,-0.00479566789441613
"NP63",0.0671305141198266,-0.244358510036743,-0.202640369266937,0.10510700867864,-0.00327089695823601,-0.0380448525881538,-0.112529347037496,-0.112543040274748,0.102793482430505,-0.193682862375492,0.0936828623754921,0.200047190513006,0.200053922253161,0.030310210688064,-0.128052598936065,-0.111360080032183,0.0858779730321675,0.0380370490738581,0.0380370490738581,0.202752765779904,-0.0671305141198266,0.233235020801576,0.122040416526578
"GSC",0.0721886899091521,0.0206998696661671,0.100210091053534,-0.0150308348672521,-0.00578713040100646,-0.0953341083248117,-0.00312716919831225,-0.00313450366848846,0.0590854574187257,0,0,0.171621543847377,0.171595988007868,-0.156438529173659,-0.0397462284717317,0.096804196491976,0.0957430661834329,0.095328075142308,0.095328075142308,-0.100244193477729,-0.0721886899091521,-0.0121700692438025,0.0115698479271635
"ZEB1",-0.00146861901353313,-0.101130312600581,-0.0937989402696135,-0.112100503546437,0.00921562016238358,-0.0848712881757403,0.00452687664679726,0.0045220742648158,-0.0779147407271218,0,0,-0.0616904743902529,-0.0616730472387509,-0.0877735328068662,-0.02537369483771,-0.0778808781759957,-0.0117253462667425,-0.0151318929397041,-0.0151318929397041,0.0938158402292006,0.00146861901353313,-0.00199306065361444,0.00488604706627957
"SNAI2",-0.075650442222554,0.166125020750976,0.191313675175417,-0.124767028463667,0.0392549548124022,0.146961823633426,0.223280773237014,0.22324500893668,-0.12308566657295,0,0,-0.221279309233614,-0.221177296175943,-0.0265796640972948,-0.000325043130764696,-0.129312592601614,-0.145807435070571,-0.146993188842725,-0.146993188842725,-0.191349053760967,0.075650442222554,-0.266874174911663,-0.272206330395739
"CDH1",-0.0756802812781479,0.266141983818985,0.191349053760967,-0.124772982494443,0.0392803361086943,0.146993188842725,0.223323738230774,0.223280773237014,-0.123137762197363,0,0,-0.221422735528435,-0.221279309233614,-0.0265478384509159,-0.00031124668073401,-0.129341828830342,-0.145848793332953,-0.147039714648504,-0.147039714648504,-0.19157874545648,0.0756802812781479,-0.266925972435891,-0.272244079028561
"KLF8",-0.0757036343554465,0.266210074452856,0.19157874545648,-0.0248194108289922,0.0392909321351843,0.147039714648504,0.223214983472753,0.223323738230774,-0.123166513172842,0,0,-0.221955165344505,-0.221422735528435,-0.0263626422026335,-0.000304566802753115,-0.129362798564026,-0.145878011266271,-0.147072629837034,-0.147072629837034,-0.191712853637079,0.0757036343554465,-0.267150565361214,-0.272366847380951
"CLDN7",-0.0757036343554465,0.266210074452856,0.19157874545648,-0.0248194108289922,0.0392909321351843,0.147039714648504,0.223214983472753,0.223323738230774,-0.123166513172842,0,0,-0.221955165344505,-0.221422735528435,-0.0263626422026335,-0.000304566802753115,-0.129362798564026,-0.145878011266271,-0.147072629837034,-0.147072629837034,-0.191712853637079,0.0757036343554465,-0.267150565361214,-0.272366847380951
"TCF3",0.0757036343554465,-0.266210074452856,-0.19157874545648,0.0248194108289922,-0.0392909321351843,-0.147039714648504,-0.223214983472753,-0.223323738230774,0.123166513172842,0,0,0.221955165344505,0.221422735528435,0.0263626422026335,0.000304566802753115,0.129362798564026,0.145878011266271,0.147072629837034,0.147072629837034,0.191712853637079,-0.0757036343554465,0.267150565361214,0.272366847380951
"OVOL2",0.0892479386158659,0.22665406247681,0.213250942171418,0.115199190714065,-0.0597316893421041,-0.0902092579516355,0.23628227469794,0.236332566805524,0.104932274446231,0.186889225233431,-0.186890305625397,0.0089808656808838,0.00909057001870123,-0.0156079347493472,0.0129082676908789,0.189505060856521,0.122694171138305,0.0902074916688862,0.0902074916688862,-0.21324765208445,-0.0892479386158659,-0.194255559951189,-0.0666866268008897
"FOXC2",0.0014661466056056,0.101149842984706,0.0938158402292006,0.11209234432189,-0.00921562016238358,-0.0151318929397041,-0.00456052804007349,-0.00452687664679726,0.0779355146501828,0,0,0.0616285095412218,0.0616904743902529,0.0877958290496115,0.0253744520520698,0.0778768719904453,0.0117196805229625,0.0151255163917971,0.0151255163917971,-0.0937422390789687,-0.0014661466056056,0.0019787476765152,-0.00489989722128161
