"","KLF8","miR101","ZEB2","ZEB1","NP63","CDH1","miR34a","TWIST1","FOXC2","miR200a","GSC","TGFbeta","miR200b","SNAI1","miR200c","TCF3","GRHL2","miR205","OVOL2","miR141","CLDN7","SNAI2","TWIST2"
"ZEB2",-0.10084211448298,-0.100743672648183,-0.093366215790978,-0.0438098546077472,-0.0387788553186216,-0.0368537805762317,-0.035269779558349,-0.0278635816149055,-0.0165309772899147,-0.0158282751299156,-0.00018608173762188,0.000306163762882212,0.00177454858585847,0.00844503485776166,0.0244138708779282,0.0279658759302642,0.0383580760674804,0.0384999585104406,0.0395009648820428,0.0437300684836589,0.0437300684836589,0.0959376185395816,0.108647005980388
"GRHL2",0.0875325366910044,0.0881337955492288,-0.0855241811806653,-0.252083061533102,-0.261386288098677,-0.171847795720351,-0.256645281674767,-0.0216868529126594,-0.0388472986083184,-0.260315060294452,-0.131322429220613,0.131623432008907,0.220782695854001,-0.109381346687622,0.20645471048176,0.0217909051700153,0.066213678329165,0.260679899359243,0.158203597274671,0.251784131697546,0.251784131697546,-0.0913953071136717,-0.00336563064470356
"FOXC2",0.172856942378906,0.174159511572545,-0.0845110553303225,-0.333580429178606,-0.219899750139543,-0.257114066415487,-0.322738752997004,-0.0770207935751957,-0.107890055420488,-0.314797044120606,-0.0689645494231936,0.0696017548378114,0.33537765327195,-0.125088852015803,0.256108470500529,0.0774038490055698,0.272247475205432,0.218368169765458,0.205093606555434,0.332896438139781,0.332896438139781,-0.197481828220996,0.0161899526337017
"TWIST2",0.145644438355082,0.146083290214337,-0.0795538398911697,-0.244198672923055,-0.199739734093441,-0.179549911892644,-0.157341288507135,-0.0941946444376042,-0.041783204539579,-0.1640489252603,-0.0573988972232711,0.0576551374505308,0.17921315825549,-0.0190155378215205,0.0864955325266018,0.0943770247861217,0.222979165468035,0.199121826762424,0.186744896303457,0.243949752600159,0.243949752600159,-0.210107060256401,-0.128349984860404
"TGFbeta",0.153902124112065,0.153947134533709,-0.0795324439291543,-0.00905821100803246,-0.00721550800847356,0.0186649499393531,-0.0985884802049282,0.0663088721885659,0.0370219905780776,-0.046208740332869,-0.223290355082351,0.123335098200382,0.170504714536259,-0.0835730812783665,-0.0359437222946181,-0.0661886171571407,0.00812505769699845,0.00713101632136535,0.0066171454689558,0.00902441685047621,0.00902441685047621,-0.221515824935502,-0.149312986212213
"TWIST1",0.0645711166357142,0.0643689556039958,-0.0740796281720967,0.0892862386494284,0.088149455319924,0.149538750273492,0.0222121110135202,0.0178832668896588,0.0503368030447443,0.00386202315895107,-0.0106857267257587,0.0106446774948834,0.0292901813798257,0.025236888529982,-0.0823622707081759,-0.117851405966672,-0.0793869153866179,-0.0880433982848074,-0.0940920339823502,-0.0892068918843208,-0.0892068918843208,-0.0922723966835872,-0.0960511761774273
"miR141",0.216378949028405,0.217075970029089,-0.0493340981282587,-0.266892223219868,-0.187141618369288,-0.150157117710143,-0.256562448203249,0.00741043149568655,-0.00762901916610791,-0.159618552613072,-0.15657042583439,0.156910167676041,0.216829503689881,-0.136681831124056,0.117185447781422,-0.00724035592297555,0.236721160080228,0.186334794129018,0.172931513410472,0.266538014564856,0.266538014564856,-0.258897460418053,-0.0741534584855241
"miR200b",0.19501245384788,0.195853561877129,-0.0453430815087773,-0.286367747282454,-0.201630351409503,-0.0977203576232501,-0.270719855627856,-0.00312328376998455,-0.0142650396028373,-0.169010016622804,-0.149899415483243,0.150285743998832,0.184547513627555,-0.135234945594746,0.12987724773846,0.00337617875201569,0.251878986143924,0.200752441333085,0.187038131337548,0.285954169060818,0.285954169060818,-0.228081005165951,-0.046675611623908
"miR200a",0.19501245384788,0.195853561877129,-0.0453430815087773,-0.286367747282454,-0.201630351409503,-0.0977203576232501,-0.270719855627856,-0.00312328376998455,-0.0142650396028373,-0.169010016622804,-0.149899415483243,0.150285743998832,0.184547513627555,-0.135234945594746,0.12987724773846,0.00337617875201569,0.251878986143924,0.200752441333085,0.187038131337548,0.285954169060818,0.285954169060818,-0.228081005165951,-0.046675611623908
"miR101",0.0523863514314819,-0.0472826811867492,-0.036391774256021,-0.137256458508537,-0.120969343514733,-0.0731658770288396,-0.0669994339760871,-0.0125123561173808,0.0675137674221546,-0.0867503083752585,-0.0215741306438353,0.0217216962308697,0.0853443073165117,-0.0244924314926562,0.0566685244819383,0.012561459704125,0.120238822246372,0.120583557245575,0.122597927201593,0.137082106971013,0.137082106971013,0.0329441679096182,0.0016786261743448
"OVOL2",0.152503082014723,0.152726807928545,-0.0330767015830681,-0.12916890183483,-0.0592035234473204,-0.0862253496210383,-0.149737589094705,0.0461214655478946,0.0223694581038585,-0.129839852665932,-0.0483612970656257,0.0484653259456962,0.146067040734952,-0.0790367675468721,0.105752453293685,-0.0460153580736122,0.0471756136985799,0.0589366666316677,-0.00697188641740499,0.129044310967055,0.129044310967055,-0.155866347348823,-0.118083363917733
"CDH1",-0.141312756072378,-0.141322461355287,-0.0273765850302582,0.0297871851515523,0.029328130040184,-0.199650332178908,-0.00222611840484439,-0.161877822847519,-0.0971593927195942,0.000627651925515288,0.192599552380976,-0.192695712128915,-0.1788056461389,-0.0453079518281052,-0.030064413752149,0.161479416473017,-0.0265088014522646,-0.0291226857669431,-0.0314421773249807,-0.029711781259428,-0.029711781259428,0.136432693029236,0.148664230993404
"SNAI2",-0.141322461355287,-0.14136755170942,-0.0273290110646352,0.0298353470303112,0.0294881908090183,-0.199611938945972,-0.00216035777354232,-0.161861954149659,-0.0972574157104412,0.000680802743291905,0.192695712128915,-0.192742679704052,-0.178856945562992,-0.0452282499753711,-0.0300989151601794,0.161877822847519,-0.0265530120086045,-0.029328130040184,-0.0314875438868002,-0.0297871851515523,-0.0297871851515523,0.0365016761724703,0.148666483059674
