"","miR200a","CDH1","miR200c","GSC","miR200b","FOXC2","TWIST1","miR101","TWIST2","OVOL2","GRHL2","CLDN7","NP63","miR205","miR34a","SNAI2","miR141","ZEB1","KLF8","TCF3","SNAI1","ZEB2","TGFbeta"
"miR200c",0.134357432146628,0.112188269480986,0.136563413686905,0.178696175853908,0.0558254429189546,0.219393358820188,0.152002825001044,0.0294386860821699,-0.0301620786543341,0.0638672208917773,-0.00165551830212038,-0.00213803207251012,0,0,-0.0242466507680379,0.100599841016346,0.00213803207251012,0.00209808037166132,-0.0292729859993198,-0.151708520314353,-0.184999204206796,-0.283973462729731,-0.179196130403495
"miR200a",0.134357432146628,0.112188269480986,0.136563413686905,0.178696175853908,0.0558254429189546,0.219393358820188,0.152002825001044,0.0294386860821699,-0.0301620786543341,0.0638672208917773,-0.00165551830212038,-0.00213803207251012,0,0,-0.0242466507680379,0.100599841016346,0.00213803207251012,0.00209808037166132,-0.0292729859993198,-0.151708520314353,-0.184999204206796,-0.283973462729731,-0.179196130403495
"miR205",0.131475257462526,0.12213026972341,0.12148646498187,0.087532167399896,0.120522996414191,-0.0356031721391993,0.0452776825640433,0.0233327247887469,0.107031229193297,0.0678403496985358,0.00703788772113203,0.00809639247809066,0,0,-0.00218150866351136,-0.031228894756796,-0.00809639247809066,-0.00811564689729042,-0.0231712628699785,-0.0451994320801259,0.0500447164136109,-0.263674337601261,-0.0878225974903578
"NP63",0.0902238209753768,-0.0470504081054463,0.0864816154386857,0.0467284413630344,-0.032563559299483,0.0868480789854467,0.00778726892371608,0.00285794216782342,-0.0458048661210863,0.0700221043830019,0.0831817226944174,0.00316105527509122,-0.00418403674447556,0.0958159632555245,-0.0322734101524034,0.053235609561275,-0.00316105527509122,-0.0031417161309671,-0.00278392495196729,-0.00750229192382827,-0.137164937453642,-0.236903589178941,-0.0468670853902154
"SNAI2",0.0788534870324518,-0.0661674812892526,0.0690721986948934,0.0408996111552392,0.0210477073843025,0.0748591284112854,-0.0148915927551663,0.000546060975704204,-0.10170021123605,0.0195970301506324,0.00797594856187828,0.00871342682789743,0,0,-0.0416948713728741,-0.0181686195608148,-0.00871342682789743,-0.00868926019122482,-0.000623061426607746,0.0153631197772918,-0.128921093509352,-0.153668707992805,-0.0412370020848955
"KLF8",0.077887199103215,-0.166402357553365,0.0685316613925111,0.039154611317317,0.0208945474229269,0.0729478999165956,-0.0155171702420993,0.000393369731094821,-0.100741614570324,0.0193635852119232,0.00765042327977519,0.00834673666917444,0,0,-0.0414385831758187,0.0812771917836736,-0.00834673666917444,-0.00869417477033378,-0.000348667004228483,0.0174532786641709,-0.127761483548043,-0.152779146761736,-0.0407134295156132
"CLDN7",0.077887199103215,-0.166402357553365,0.0685316613925111,0.039154611317317,0.0208945474229269,0.0729478999165956,-0.0155171702420993,0.000393369731094821,-0.100741614570324,0.0193635852119232,0.00765042327977519,0.00834673666917444,0,0,-0.0414385831758187,0.0812771917836736,-0.00834673666917444,-0.00869417477033378,-0.000348667004228483,0.0174532786641709,-0.127761483548043,-0.152779146761736,-0.0407134295156132
"TWIST1",0.0336483058512037,-0.141110808948252,0.081127577361509,0.0236810840451244,0.0304141627677726,-0.0684877745552091,-0.15720124857305,-0.0901054066656558,-0.0799635622129981,-0.0705522508603085,-0.0568360420154778,-0.0560576735726832,0,0,0.0444556541032545,0.0791095952071207,0.0560576735726832,0.0560225043222078,0.0901552000232219,0.057185726584928,0.14558652887117,-0.117696422708823,-0.0237309071574081
"OVOL2",0.0156622256780153,0.0334723738123043,0.0238730841986456,0.00813382112890685,-0.0103704118186502,0.147002561558483,0.0501821870809417,-0.07004244337715,-0.128293463150358,-0.0731344902582192,0.0276745907101533,-0.00718226848032972,0.00906664885944927,0.00906556846748307,-0.0891947396090274,0.113448457030376,0.00718226848032972,0.0072152843809505,0.0700841178120775,-0.0500814749019618,-0.17131296288525,-0.0502094288685084,-0.00825782906541479
"ZEB1",-0.00720115836568865,-0.0727952592432305,-0.00790754272011268,-0.0116593723877176,-0.0163073179198028,0.0904630070042653,-0.00598048173399337,0.00102523290072537,-0.0990003948646836,-0.0614406986015942,-0.000253452966698944,0.000281762958970451,0,0,-0.00580019439540201,0.0307377332712216,-0.000281762958970451,-0.100258404482707,-0.00100539381773187,0.00593901713214369,-0.0974712820839097,0.0243954121146812,0.0116120346224718
"FOXC2",-0.00716802809945976,-0.0727716518868737,-0.00785908352473312,-0.0116626289741637,-0.0162780787036874,0.0904001721383468,-0.00593901713214369,0.00100539381773187,-0.0990488999537421,-0.0614489780517319,-0.000265162170510857,0.000268584759962641,0,0,-0.0058008059039937,0.0307227559827817,-0.000268584759962641,-0.000281762958970451,-0.00106872504002446,0.00606857999829961,-0.0974571180454591,0.0244413497858432,0.0116593723877176
"GSC",-0.0276933177233164,-0.0456108528613114,-0.0272179929227271,-0.0284404487900744,-0.0677474191410929,0.207862489155438,0.159091034715217,0.0403581720436905,-0.0747011330053445,0.0399609438564034,0.0103448958829605,0.011649197826153,0,0,-0.056375713308919,0.107983974815791,-0.011649197826153,-0.0116627121549614,-0.0403318644593114,-0.158832281840186,-0.0873333077762943,0.046197151193667,0.0283652704707682
"GRHL2",-0.0989611653382014,-0.015015337715622,0.0702712645424505,0.060911062175899,0.0751562240665807,0.101548317288545,0.0262516628265876,0.00797079012703909,-0.0451125543523087,0.0153009249943599,-0.0539578770987275,-0.0796282471953606,-0.00853631481530386,-0.00853457921643547,-0.0973865064435047,0.0157364514484777,0.0796282471953606,0.0795516041184577,-0.00799455877882834,-0.0261215975048927,-0.107755600975698,0.0518849763042061,-0.0609548544784317
"TGFbeta",-0.036378199416506,0.0110630502341116,-0.0537171388851575,-0.0193348264960576,0.0839292849341883,-0.249093025421617,-0.134278077638831,-0.0318608760619732,0.20718132213316,0.0126931560538433,0.0161725747957073,0.0155110491863279,0,0,0.177493532944177,-0.171149430430356,-0.0155110491863279,-0.0155664578812044,0.0317424640296488,0.133822016104558,0.258675821847671,0.105298496685675,-0.0803580532665866
