"","miR200c","miR200b","miR101","TWIST2","miR141","CLDN7","GRHL2","OVOL2","FOXC2","NP63","miR205","miR34a","SNAI1","TGFbeta","GSC","TCF3","TWIST1","ZEB1","SNAI2","KLF8","ZEB2","CDH1","miR200a"
"miR200b",0.0235459278196552,-0.0166713531137579,0.0892684673513582,0.103972796683789,0.192883263022586,0.192883263022586,0.193846808142968,0.127799777420921,0.0576506358718296,0,0,-0.102667193278962,-0.0589121402123932,-0.0540238736058816,-0.0541079568710394,-0.110428132879476,-0.110323129699803,-0.192887057318197,-0.104969036047093,-0.0894719902792066,-0.245063865402673,-0.137425442156675,-0.215521796060536
"miR34a",-0.0372545004763198,-0.0300483611708308,0.0633494692408303,-0.0490524448056158,0.0668586773895233,0.0668586773895233,0.0667899639696778,0.080220973263594,-0.116981742383793,0,0,0.0270838868667963,-0.123491894612545,0.0373580211275071,0.037609033322114,-0.0271552158327359,-0.027299295572605,-0.066819174554124,-0.0229180025547271,-0.062837599234684,-0.106930920524634,-0.0305120375723038,-0.122955977657669
"KLF8",0.0343029452949665,0.0222998926194765,-0.0309390446456382,-0.0024112568329093,0.00437127808842966,0.00437127808842966,0.00403515463838813,-0.0101819071506416,0.0272426065511494,0,0,-0.0323603025605988,0.0787144074398729,-0.00794483570391011,-0.00656727543564838,0.109100038624952,0.109196844046055,-0.00417012971407425,0.00165957915494134,0.0330102709904452,-0.0750184751796994,0.0822542802995157,-0.0391827302774157
"SNAI2",0.0344495122228494,0.0225665805721214,-0.0314966995439894,-0.00284592891096427,0.00427922470693495,0.00427922470693495,0.00395357859599579,-0.0102415016075189,0.0274036487708386,0,0,-0.032449248157983,0.0783176116667405,-0.00765860054091693,-0.00742720982670816,0.109595250420557,0.1093232156001,-0.00423380514155734,-0.0986163675957909,0.0320939733118088,-0.0747105565403872,-0.0178510589272286,-0.0392225824185857
"CDH1",0.0347339157214786,0.0229314840227336,-0.0320939733118088,-0.00329559147636803,0.00417012971407425,0.00417012971407425,0.00385660060144368,-0.0103100555231573,0.0277384545707444,0,0,-0.0325669250771551,0.0780161694639416,-0.00742720982670816,-0.00794483570391011,0.109196844046055,0.109595250420557,-0.00427922470693495,0.00111380653575654,0.0309390446456382,-0.0744907648192087,-0.0179645961347882,-0.0393801699309409
"NP63",0.101933434525334,0.00150940575459249,0.0301180539884054,-0.0428773102978543,-0.120031818073472,-0.120031818073472,-0.136981169921979,0.0557220727263045,-0.040294959843948,-0.193682862375492,0.0936828623754921,0.14403582422172,-0.111545748213177,0.0478800852224008,0.0481505266581367,-0.121572621204206,-0.121875549511173,0.120059978581582,0.00345359458073149,-0.0294327093971449,-0.0741263546153315,0.110340270751096,0.0556759331356566
"ZEB1",0.189755254652276,0.195870695184582,0.0188848162708121,-0.14386948246741,-0.161520411218814,-0.161520411218814,-0.168909712817065,-0.110853061622931,-0.0948241741326188,0,0,0.194285647670464,-0.15022269592392,-0.0920773582013848,-0.0920821605833662,-0.0343965709292463,-0.0344440448936829,0.0615323176794774,0.0275745282290247,-0.0188267685835349,-0.0410556398663284,0.10961204803458,0.159004951864742
"FOXC2",0.189768111173499,0.195894120755388,0.0188267685835349,-0.143913216564102,-0.161551443751961,-0.161551443751961,-0.168937286103461,-0.11087255839261,-0.0948383626507294,0,0,0.194285647670464,-0.150253384673896,-0.0920821605833662,-0.0921766015903027,-0.0341599778693094,-0.0343965709292463,0.161520411218814,0.0275542789350541,-0.018814787000939,-0.0410213128153502,0.109613462300168,0.159028192499261
"GRHL2",-0.17207971320489,-0.142406127966727,0.0182147870490126,0.0704836598180141,0.166029617143984,0.166029617143984,0.00898498025834281,-0.0792830871886916,0.0406445655647579,0.186385612021517,-0.186387347620385,-0.179258620353454,0.0221604515795172,-0.0384315886617693,-0.0383268197354568,-0.02620775378024,-0.0260690174370988,-0.166007999865883,-0.0293157439524053,-0.0181452417345181,-0.0188957892676318,-0.130160076395089,-0.182216028893109
"OVOL2",0.16654735924588,0.0494987020836774,0.0436228736066918,0.0320188117209003,-0.177769824903698,-0.177769824903698,-0.0165639434121576,0.0762540092234226,-0.0394873541251915,-0.186889225233431,0.186890305625397,0.124914233709208,0.0689325893598852,0.149360723468937,0.149522622719378,0.0542527282686051,0.0540872725459952,0.177791699636208,-0.0415237829894936,-0.0432489003879997,0.0534332099005332,0.202608440425857,0.205797314461428
"TWIST2",-0.0607963099994567,-0.0560006044862665,0.0724290385673809,0.0593689812606894,0.0503103189643701,0.0503103189643701,0.0515683093257969,0.0684114746494768,0.0218649355951254,0,0,0.0349355732505904,-0.114127279459578,0.0303992838446251,0.0305731124119994,-0.21976960516506,-0.219828023870445,-0.0502809392634834,-0.0513566114150062,-0.072100551433127,0.0748365159840515,-0.0777397053228538,0.012897778303539
"TCF3",-0.0343029452949665,-0.0222998926194765,0.0309390446456382,0.0024112568329093,-0.00437127808842966,-0.00437127808842966,-0.00403515463838813,0.0101819071506416,-0.0272426065511494,0,0,0.0323603025605988,-0.0787144074398729,0.00794483570391011,0.00656727543564838,-0.109100038624952,-0.109196844046055,0.00417012971407425,-0.00165957915494134,-0.0330102709904452,0.0750184751796994,-0.0822542802995157,0.0391827302774157
