"","ZEB2","miR34a","ZEB1","NP63","TWIST1","miR200b","CDH1","FOXC2","SNAI1","GSC","TGFbeta","miR200a","miR200c","TCF3","OVOL2","miR205","miR141","CLDN7","GRHL2","SNAI2","KLF8","miR101","TWIST2"
"FOXC2",-0.135228651502136,-0.270033237859466,-0.309784841652187,-0.245653292435287,-0.0890445804126049,-0.189897964511188,-0.159805646607451,0.129283005850619,-0.116555219125871,0.051627821433644,0.0518916049357771,0.317158432716709,0.224517251046323,0.0890107814040425,0.204594304376214,0.244175927295683,0.30937461707017,0.30937461707017,0.331267371730979,-0.117079823372584,-0.1162970528917,-0.116432273609568,0.0579896262180086
"TWIST1",-0.108616719515933,-0.055169771829187,-0.135383938977797,-0.132165395382707,0.0170587419369211,0.0338965826664601,-0.132795121208768,-0.0427190482347915,0.0194407849261837,0.0127437161570134,0.0127509232738846,0.124770362750058,0.0175684806807664,-0.116842251049962,0.122494528969676,0.131882576622396,0.13538899841383,0.13538899841383,0.146965859570536,-0.127794093317292,-0.0900138802172901,-0.0900417644975272,-0.10234833021635
"GRHL2",-0.102932596950016,-0.273268243471226,-0.315078887603795,-0.419914810954285,-0.0347705434258854,-0.162239740460987,-0.0634033566899319,0.117778964955109,-0.108150773367664,0.140994763446408,0.141251419599226,0.309162251529982,0.241258691228873,0.0348717053427592,0.233500976706989,0.418069869357187,0.3146201209241,0.3146201209241,0.329663812121537,-0.0413584807853736,-0.0506460136290016,-0.0508211973958928,0.0396358381855514
"ZEB2",-0.100149498498354,-0.0473177182512714,-0.0466952741576718,-0.0461923960784712,-0.0259822725043004,-0.0220474699441926,-0.0194934389388665,-0.00213166813231653,-0.000430272496165051,0.00605615205314825,0.00608386328974679,0.020558633072292,0.0228214024802529,0.0265489505370021,0.0431015828492999,0.0457740508661998,0.0466748980090585,0.0466748980090585,0.0503660085322523,0.0653729506606601,0.0783202671188443,0.0786772430652283,0.0925961770687452
"miR205",-0.0712447006972705,-0.26386619277997,-0.293775497247307,-0.234310461401988,-0.0991235849319661,-0.101970321123225,-0.0748456462488742,0.120096663453493,-0.111646936078671,0.0341881976989911,0.0344040364547441,0.184403156532845,0.124903420614206,0.0990535713410926,0.197950957346244,0.233022184719796,0.293452519892989,0.293452519892989,0.31293019456688,-0.0706536487624325,-0.0774081645043861,-0.0776747644167711,0.0843770001443243
"miR141",-0.0620187242508934,-0.219812843986145,-0.258028893026604,-0.20560736718397,-0.0877557202683577,-0.0849782088307284,-0.13416141820008,-0.0154505112142434,-0.00657875299683103,-0.0583492400576155,-0.0582049349944394,0.15984184385146,0.106840630038507,0.0882896096748679,0.174386990498138,0.204765000025626,0.257841186990772,0.257841186990772,0.275680113892714,0.0182920197571024,0.00948285840987865,0.00999256627342824,0.0705307360687145
"miR101",-0.0318811920436332,-0.131200278109229,-0.245859021095567,-0.212015539996979,0.00458793187972131,-0.0869679760385443,-0.0486486148540128,0.0851908793070685,-0.00582787784259879,0.0236837451527472,0.0237776505263145,0.139955884279406,0.113558946070205,-0.00436642014396408,0.183021012573817,0.211099625657277,0.245725208762421,0.245725208762421,0.263162911916269,-0.104105124550108,-0.00462921430635414,-0.104800679335463,-0.00223672985973131
"OVOL2",-0.0305672521075926,-0.106818530669901,-0.145083208036913,-0.131673876378396,0.0212376353122637,-0.0382465952381187,0.0448181586559326,0.0650958999106128,-0.0632017763588191,0.0332572785940303,0.0333337501548768,0.139399994732872,0.115880698433871,-0.0211171403838413,0.0292830992749097,0.131208227440962,0.14499095373024,0.14499095373024,0.126834986848351,-0.0834055043867129,-0.0891152179276527,-0.0891459254060204,-0.0645166464210399
"SNAI2",-0.0239403659119604,-0.0106939229800548,-0.0426971754421102,-0.041393978181369,-0.0810640804484518,-0.00231544245196842,-0.00863835418645022,0.0631083869608359,-0.0352468606619947,0.00608358913630886,0.00607971107964614,0.0331027919019717,0.00947894864313379,0.0805222777643749,0.0385473386589184,0.0413532847655636,0.0426541554009412,0.0426541554009412,0.0462592191599144,-0.110891315832374,-0.021099564694474,-0.0217453973052055,-0.0168684602650843
"CDH1",-0.0239127730118991,-0.0107354560103508,-0.0426541554009412,-0.0413532847655636,-0.0805222777643749,-0.00242288086846167,-0.00873136025340227,0.0622923773876815,-0.0355857048515516,0.00597515367586734,0.00608358913630886,0.0328752691030683,0.00939129641732674,0.0793483069808423,0.0383749457240043,0.0415330485046494,0.0423830222569198,0.0423830222569198,0.0460381663782148,-0.0109838210965794,-0.0207210586610231,-0.021099564694474,-0.0163767591292922
"TCF3",-0.0237457760623767,-0.011090422897768,-0.0423830222569198,-0.0415330485046494,-0.0793483069808423,-0.00243323482589211,0.0911596752879616,0.062405884765661,-0.0347437119982226,0.00588452471085012,0.00597515367586734,0.0329580663771273,0.0093976654384082,0.0825912885878123,0.0383446561086824,0.0404347826086957,0.0424598243634918,0.0424598243634918,0.0459829769486138,-0.0104380484773946,-0.0235373304536024,-0.0207210586610231,-0.0166504817570295
"TWIST2",-0.0220212173700217,0.112404414532145,0.18444441649702,0.173445066721361,-0.0969335546007516,0.0756194416141813,0.165710883914125,0.0170206333734785,0.0236157713381828,-0.0180253369107598,-0.0181298523602172,-0.0815122714886633,-0.110380730813304,0.0975804348993994,-0.158418206092346,-0.173210570033412,-0.184233808165023,-0.184233808165023,-0.195381940342773,-0.00794807218878336,0.00177771209665267,0.00214095977421387,-0.072183888807699
"NP63",-0.00509986115644815,0.176515823683199,0.234136125968657,0.38309742832915,0.125925567398126,0.165609347262906,0.103159634032756,-0.11801012173512,0.0948351763614234,-0.116349883041397,-0.11665626922492,-0.151084182434404,-0.141162977326612,-0.125492492114832,-0.226573143065727,-0.481409982069477,-0.233594290649951,-0.233594290649951,-0.353342699711409,0.0387561726995566,0.0536931304655014,0.0541646475442886,-0.0214057724797883
"TGFbeta",0.0181525266780295,0.06158198975622,0.0204688362220183,0.0187487389022489,0.0909576595026586,0.0913111398426525,0.0698335274155616,0.0227359304368583,-0.00597400116104007,-0.000637683493954281,-0.100678951418351,-0.0193584473329673,-0.00358079189761704,-0.0902769706455352,-0.0160435742318243,-0.0189858607338106,-0.0203400067178318,-0.0203400067178318,-0.0223513358259985,-0.0640271826850688,-0.0326570593665784,-0.0324195428339043,-0.0960174249825739
"KLF8",0.0237457760623767,0.011090422897768,0.0423830222569198,0.0415330485046494,0.0793483069808423,0.00243323482589211,-0.0911596752879616,-0.062405884765661,0.0347437119982226,-0.00588452471085012,-0.00597515367586734,-0.0329580663771273,-0.0093976654384082,-0.0825912885878123,-0.0383446561086824,-0.0404347826086957,-0.0424598243634918,-0.0424598243634918,-0.0459829769486138,0.0104380484773946,0.0235373304536024,0.0207210586610231,0.0166504817570295
"CLDN7",0.0237457760623767,0.011090422897768,0.0423830222569198,0.0415330485046494,0.0793483069808423,0.00243323482589211,-0.0911596752879616,-0.062405884765661,0.0347437119982226,-0.00588452471085012,-0.00597515367586734,-0.0329580663771273,-0.0093976654384082,-0.0825912885878123,-0.0383446561086824,-0.0404347826086957,-0.0424598243634918,-0.0424598243634918,-0.0459829769486138,0.0104380484773946,0.0235373304536024,0.0207210586610231,0.0166504817570295
"miR200c",0.0480686162282582,0.154422682567432,0.264545978825063,0.212772559505741,-0.0189908586825334,0.0707160517474751,0.0265784659955211,-0.0827354061980604,0.0727383603389685,-0.119961329326017,-0.120093135525453,-0.15752366337191,-0.116080283260947,0.0195602421216094,-0.182174408865774,-0.212065255436077,-0.264302920712078,-0.264302920712078,-0.281796083055906,0.137123947662673,0.115202364958155,0.115854358762413,0.0116053389624833
"miR200b",0.0484724496133809,0.137490869811459,0.243823704999728,0.195417604529007,-0.0289582544900468,0.0249238986108049,0.0850919597570002,-0.08275217251928,0.0710446492469748,-0.123313424577267,-0.123412279226845,-0.14589721582111,-0.104145572650698,0.0294625655360856,-0.166676660610386,-0.195008860971161,-0.243614125965666,-0.243614125965666,-0.261734291238259,0.159641431603683,0.130216068489703,0.130626716521114,0.0341105882976878
"SNAI1",0.0593651144082181,-0.00438223898483891,0.0764264895733139,0.0812759557169081,-0.0126337142814991,-0.00884574145337621,-0.071886929210831,-0.0575326907038048,-0.109084292749843,-0.0122653889943361,-0.0122936863704863,-0.0696163459966383,-0.00175059588090653,0.0120405168913632,-0.0819592794434591,-0.0811081047000005,-0.0764501932998949,-0.0764501932998949,-0.0803965722416152,0.0349577160549262,0.0598025750624916,0.0592525639873962,0.024854158724346
"miR200a",0.0616148908657707,0.236744656742119,0.278751166851939,0.222962322160704,0.0977231160758711,0.130770361967399,0.0756479244386005,0.0154672775354629,0.00827246408882476,0.0617013353088662,0.0615240786958311,-0.17146829140226,-0.118775340648756,-0.098191933089344,-0.189884738753527,-0.221821394490543,-0.278529981737184,-0.278529981737184,-0.295741905710361,-0.0408095036981126,-0.0244965619414267,-0.0247649240321295,-0.093035985403919
"GSC",0.0808958486629642,0.0305472426329428,0.103990146414944,0.107391699936346,0.112356136010659,0.00982166156158299,-0.00415187254587585,0.0381058642485519,0.02074776545339,-0.024199763828407,-0.0242199336213916,-0.093735351867194,-0.0108878112284907,-0.112723501203606,-0.103448839939217,-0.107104338109491,-0.103996662252048,-0.103996662252048,-0.112948750558485,-0.00754053754067005,0.0520963699775248,0.0519122168868708,-0.0149070674329134
"miR34a",0.0993309972234225,0.0331103375054702,0.137219185862067,0.134058864663581,0.046272138866473,-0.0157760417207808,-0.0365118666536374,-0.111253582685218,0.0688243778890262,-0.0106375740545904,-0.0106436080015762,-0.161993171193913,-0.0825227339880522,-0.0463359118660873,-0.124254490492985,-0.133742858078533,-0.137227990710921,-0.137227990710921,-0.149090083329507,0.108819489510557,0.0923951263261181,0.0926659468546983,-0.00764026456591545
"ZEB1",0.135367221729982,0.270228309100217,0.210006519954162,0.246414874226297,0.0892543071668881,0.189913524561869,0.159853840427111,-0.129566100569112,0.116609514606598,-0.0518916049357771,-0.0520121218550262,-0.317494185713267,-0.224658672779777,-0.0890445804126049,-0.204899041557087,-0.245653292435287,-0.309784841652187,-0.309784841652187,-0.331796552200027,0.117191613853499,0.116432273609568,0.116729125073619,-0.0579506631136829
