"","miR200c","CDH1","TGFbeta","miR101","TWIST2","SNAI1","CLDN7","GRHL2","TWIST1","TCF3","NP63","FOXC2","miR205","miR34a","ZEB1","miR141","OVOL2","SNAI2","KLF8","miR200b","GSC","miR200a","ZEB2"
"miR200c",0.147151187507678,0.0880126462191615,0.202751166619797,0.153344249745119,0.106738204261489,0.166995616422109,0.00910737661154929,0.0027074263303722,0.0207095884460598,0.0208323386420165,0.0540436032218936,0.0179894317270671,-0.0540222774710495,0.00895099763452486,-0.00911920588610228,-0.00910737661154929,-0.14353584584247,-0.145879870039024,-0.152933601713708,-0.050309697691803,-0.202559138622342,-0.147151187507678,-0.298229901970009
"TWIST2",0.162702311753376,0.0253433914742135,0.0813442867345552,-0.0625895915527451,0.163099266435308,-0.299761454701083,0.101521847693479,0.0955340929396094,0.385862416433748,0.385396491637145,0.0334845430636667,-0.32884760979384,-0.0333373407632029,-0.171744733155935,-0.10175182725683,-0.101521847693479,-0.156818267661811,-0.106003201056544,0.0634577361218447,-0.0067170118913304,-0.0803015882166006,-0.162702311753376,-0.234744745837453
"NP63",0.00461438225721131,0.14071344602988,-0.101171400251367,0.0120800650311777,0.0481245657536305,-0.149995632944683,-0.0497072224710711,-0.138108178874912,0.166836846139979,0.166462112604693,-0.0362939762598292,-0.131625800946736,-0.063668405511452,0.0236861813623816,0.0492563150580718,0.0497072224710711,0.21807868648032,-0.0798870563872199,-0.0107669447943226,0.0433283293130563,0.102598920234935,-0.00461438225721131,-0.120359087876851
"OVOL2",0.131255080902597,0.205804373845052,-0.182813159128169,0.0307686814030002,0.131400696969956,-0.245007813834604,0.128550521780735,0.16413801142229,0.107736846208999,0.107396942604942,-0.22681189879858,-0.108359274299675,0.22689724976391,-0.193570649817968,-0.12874685090171,-0.128550521780735,0.0218282283641721,-0.089961382367016,-0.0301084706180951,0.0908279405772484,0.183642634436811,-0.131255080902597,-0.0338812150693787
"GRHL2",0.00993421427098399,-0.0980624120327076,0.160875782929092,-0.0628147850373681,-0.0412233061418248,0.0756766306817173,0.00236236464626512,-0.00931759734709849,-0.0323957164760295,-0.0315690790981464,0.0559924143345659,0.00797863965618013,-0.0563308561139019,0.0169351491994261,-0.00250582476457059,-0.00236236464626512,-0.228600962484814,0.0853221921417327,0.0637241560484161,0.00140028318978277,-0.160645734757559,-0.00993421427098399,-0.0237601217556419
"TCF3",0.00781755381148225,-0.14534116364554,0.0141738210731086,0.0399810857011561,-0.088927823554703,0.184447792903233,-0.00313177241677459,-0.00335979839988107,-0.195842697561566,-0.192793326796803,0.00519917064589093,0.168655615463547,-0.00641304347826087,0.0688863593654586,0.00268924599319268,0.00313177241677459,-0.0196087525233234,0.0527077669552674,-0.0365091739145371,-0.0199670687062703,-0.0131406508719123,-0.00781755381148225,-0.0183214568944567
"KLF8",0.00781755381148225,-0.14534116364554,0.0141738210731086,0.0399810857011561,-0.088927823554703,0.184447792903233,-0.00313177241677459,-0.00335979839988107,-0.195842697561566,-0.192793326796803,0.00519917064589093,0.168655615463547,-0.00641304347826087,0.0688863593654586,0.00268924599319268,0.00313177241677459,-0.0196087525233234,0.0527077669552674,-0.0365091739145371,-0.0199670687062703,-0.0131406508719123,-0.00781755381148225,-0.0183214568944567
"CLDN7",0.00781755381148225,-0.14534116364554,0.0141738210731086,0.0399810857011561,-0.088927823554703,0.184447792903233,-0.00313177241677459,-0.00335979839988107,-0.195842697561566,-0.192793326796803,0.00519917064589093,0.168655615463547,-0.00641304347826087,0.0688863593654586,0.00268924599319268,0.00313177241677459,-0.0196087525233234,0.0527077669552674,-0.0365091739145371,-0.0199670687062703,-0.0131406508719123,-0.00781755381148225,-0.0183214568944567
"SNAI2",0.00710501922660759,-0.0460862146954757,0.0126698836468086,0.0393564209146742,-0.090850641572351,0.184819313127289,-0.00324595132440829,-0.00333976363451704,-0.197153941884239,-0.196421714825842,0.00495319389125751,0.171177647528243,-0.00532757331666648,0.0694521286609358,0.00312751766525385,0.00324595132440829,-0.0190208429135999,-0.0474574033340523,-0.0387549849603195,-0.0201168935386106,-0.012535013453983,-0.00710501922660759,-0.0168194676810468
"CDH1",-0.00798527136662736,0.0460527489362855,-0.012535013453983,-0.0387549849603195,0.0914264198489198,-0.184546367676306,0.00268924599319268,0.00283062916311841,0.196421714825842,0.195842697561566,-0.00532757331666648,-0.171122907416472,0.00519917064589093,-0.0690241077098294,-0.00324595132440829,-0.00268924599319268,0.0193454658670639,-0.0518498249684875,0.0399810857011561,0.0205424529120479,0.0141738210731086,0.00798527136662736,0.0169921611762584
