"","miR200a","miR200c","TWIST2","miR101","KLF8","miR34a","GSC","CLDN7","OVOL2","FOXC2","NP63","miR205","GRHL2","miR141","ZEB1","TGFbeta","SNAI1","TCF3","TWIST1","SNAI2","miR200b","ZEB2","CDH1"
"miR200b",0.120530276019632,0.123362370511195,0.0163624408794187,0.0109031451547074,0.0109661832297047,-0.0964371241299226,-0.0477705120723259,-0.00315042068092145,-0.0728009579048084,-0.0472253234850869,0,0,0.00211675476674551,0.00315042068092145,0.00301762033452458,0.0470967096907242,0.0915850580619294,0.0752077894642084,0.0747330567786411,0.0764300684734428,-0.144412172739223,-0.250815683198371,-0.0345731544872686
"miR200a",0.12544618179378,0.113636323116285,-0.0523407378714342,0.0178020812419793,0.0176724029162705,0.0070579512815989,-0.0900934199973858,0.0103588640790847,0.0741345248899727,-0.050933289764204,0,0,-0.00905169755884727,-0.0103588640790847,-0.0102707025045859,0.090234316279542,0.0825551360523294,0.124586445903661,0.125223859571821,0.0664443667780126,-0.104371344892316,-0.245265186927674,-0.170956063256324
"miR200c",0.116363318057397,0.105339809009753,0.0781112129122163,0.00522526757346433,0.00544139811631221,0.0139081852657637,0.124493460389653,0.00971164663490896,-0.0591986979349723,0.0620791530175633,0,0,-0.00839082462614781,-0.00971164663490896,-0.00990292377249235,-0.124469598922514,-0.0998218642887418,-0.145471704707656,-0.146257010178174,-0.110124028367523,-0.0658544077311037,-0.225932354008925,0.022031106289016
"miR141",0.116363318057397,0.105339809009753,0.0781112129122163,0.00522526757346433,0.00544139811631221,0.0139081852657637,0.124493460389653,0.00971164663490896,-0.0591986979349723,0.0620791530175633,0,0,-0.00839082462614781,-0.00971164663490896,-0.00990292377249235,-0.124469598922514,-0.0998218642887418,-0.145471704707656,-0.146257010178174,-0.110124028367523,-0.0658544077311037,-0.225932354008925,0.022031106289016
"NP63",0.00902610011145722,0.121475078093261,0.0642264591041939,0.0223565612491909,0.0222852854116998,-0.066808338736634,0.0836794025467074,-0.0827547918772856,-0.219382870172017,0.0122251904475837,0.257988251503474,-0.357896892948014,-0.104342173377855,0.0827547918772856,0.0828229878065654,-0.0827876304706415,-0.0691173338243199,-0.158222261741684,-0.157286549860163,-0.0622769915455669,0.00617715533388356,-0.179461004713036,0.148553526473771
"TWIST2",0.118278314042378,0.0530322040410256,0.0552353822717979,0.000109884626957961,-8.04293476494621e-05,0.0435943618084519,-0.0248962823238357,0.0654322004657473,0.0785492146684356,-0.0721006478745244,0,0,-0.065536005214768,-0.0654322004657473,-0.0652943418692791,0.0249091079795132,-0.0241036556768698,-0.155508030481841,-0.15485402595083,-0.0615791055558623,-0.017638278500986,-0.178287775754391,0.0477623162098248
"TGFbeta",0.00619370045429839,0.0758057219645591,-0.0427229845656642,0.00777497506035409,0.00773134957476089,-0.128778052477339,0.0468533481744729,-0.0731916116878071,-0.0799165454215296,-0.0319088190024824,0,0,0.0734893918003923,0.0731916116878071,0.0731715410460097,-0.146627894987503,0.084089774523467,0.0995301943186959,0.0997344009758329,0.0767817512896764,-0.142828083042212,-0.0793443473847494,-0.0837145279104508
"SNAI1",0.0153277862957729,0.0502794090446819,0.0241921369584903,0.0272545525422252,0.0273734148335533,-0.0709623840617552,0.035849720742718,-0.0462325894177511,-0.0588456509164579,-0.0221538185760528,0,0,0.0455291498557341,0.0462325894177511,0.0461378517222629,-0.0362374923731347,-0.0925679396302831,-0.00813287831772226,-0.00880271619753975,0.0533790247500002,-0.0510499403268987,-0.056485655276207,-0.0829386981199734
"TCF3",0.026957278453188,0.0095246842460083,0.0143890406874781,-0.00127129553963145,-0.00125639463067601,0.016635933446199,-0.00865546384010735,0.017830173574129,0.0226221083605903,-0.0103962405093772,0,0,-0.0182150873373003,-0.017830173574129,-0.0178996611943609,0.0068610103327664,-0.0241910973481743,-0.0801256796505927,-0.0826426205992859,-0.0170961321212665,-0.00186422942622161,-0.037893803309939,-0.023064773691745
"KLF8",0.026957278453188,0.0095246842460083,0.0143890406874781,-0.00127129553963145,-0.00125639463067601,0.016635933446199,-0.00865546384010735,0.017830173574129,0.0226221083605903,-0.0103962405093772,0,0,-0.0182150873373003,-0.017830173574129,-0.0178996611943609,0.0068610103327664,-0.0241910973481743,-0.0801256796505927,-0.0826426205992859,-0.0170961321212665,-0.00186422942622161,-0.037893803309939,-0.023064773691745
"CLDN7",0.026957278453188,0.0095246842460083,0.0143890406874781,-0.00127129553963145,-0.00125639463067601,0.016635933446199,-0.00865546384010735,0.017830173574129,0.0226221083605903,-0.0103962405093772,0,0,-0.0182150873373003,-0.017830173574129,-0.0178996611943609,0.0068610103327664,-0.0241910973481743,-0.0801256796505927,-0.0826426205992859,-0.0170961321212665,-0.00186422942622161,-0.037893803309939,-0.023064773691745
"ZEB1",-0.00224338422045539,0.00870499079567359,0.0659712918282833,-0.00690093879691874,-0.00708316444811827,0.00301208226753369,0.0353265255038749,-0.00784654308440721,-0.0747373150374516,-0.0509923861933123,0,0,0.00595013213845246,0.00784654308440721,-0.0920321200836384,-0.035255404513578,0.0257737520128349,-0.0532331939938614,-0.0529104912229443,0.0124772789620484,-0.00570160034917121,-0.0108933980025515,0.136838295392954
"FOXC2",0.00221371532532505,-0.00897942807562929,-0.0661653121845174,0.00708316444811827,0.00690001739986672,-0.00305488786895238,-0.03454820134326,0.00805696916533835,0.0748695191606178,0.0501106711392946,0,0,-0.00613710168319106,-0.00805696916533835,-0.00784654308440721,0.0353265255038749,-0.0260844165895191,0.052174158392239,0.0532331939938614,-0.0124781176902011,0.00586763121962781,0.0107078804843972,-0.136925871069761
"OVOL2",0.100641733613615,-0.111794905777795,-0.137293108383764,-0.0959602117984412,-0.0959580184071293,0.0614197805442469,-0.285839293253319,0.110171194376771,0.2580284268947,-0.104192552480345,-0.300276143134155,0.300216721576014,0.0401792679891537,-0.110171194376771,-0.110165080321101,0.285869606304465,0.145353076693958,0.156658179089126,0.156891975218901,0.133985971726829,-0.0114505996096275,0.0136034915683937,-0.259884407198846
"SNAI2",-0.026866739197553,-0.00969475492169657,-0.0136530074846788,0.00121716126174559,0.000963961580846554,-0.0161483483840927,0.00778373472256119,-0.0176060673165152,-0.0224818871136358,0.011888702589727,0,0,0.0180157847438686,0.0176060673165152,0.0177601510496264,-0.00781001932883072,0.0247130557467041,0.0813624081158861,0.0817727273034088,-0.082823337661656,0.00214033249521619,0.0382079456103696,-0.0766579421414784
"CDH1",-0.0268107909683144,-0.0092975224941029,-0.013455576341605,0.000963961580846554,0.00127129553963145,-0.0161114301349407,0.0068610103327664,-0.0178996611943609,-0.0226663777983685,0.0129949620578568,0,0,0.0182767696409721,0.0178996611943609,0.0176060673165152,-0.00778373472256119,0.0250741630236169,0.0826426205992859,0.0813624081158861,0.0171642227551379,0.00188641647785827,0.0384348734263915,-0.076572327285145
"GRHL2",0.105924066659828,-0.132292552017983,-0.109950435519683,-0.0886101530243678,-0.0886163152674243,0.105290445905191,-0.223199933066652,0.126594144635115,0.273133424251397,-0.0665741711639684,-0.306281053357567,0.306185595419806,0.0351316465138874,-0.126594144635115,-0.126528856088124,0.223948836873257,0.0647138868536414,0.122340720865778,0.123063305986305,0.112181687497168,0.0663307711903269,0.0394546062962623,-0.198984186386022
"miR34a",-0.127100744892101,0.0473643026330538,-0.0171771328746627,0.00651855253504617,0.0064340411644254,-0.0179062059458788,0.0511779897655221,-0.078914714326129,-0.0895885699284842,0.083919632057861,0,0,0.0777609879272267,0.078914714326129,0.0789527893482006,-0.0515490775051453,-0.0330511814056627,0.0124852634872711,0.0124372369073147,-0.06469761569347,0.0192911987862091,0.0995217920070754,0.0615891301481829
"GSC",-0.0242548438816603,-0.101341215293493,-0.0476058608977964,-0.0658814930037651,-0.0661016972285683,0.0525165847795517,-0.0644333882788524,0.0809202596775788,0.0866187162789487,0.0287255820004164,0,0,-0.0825402779860973,-0.0809202596775788,-0.0807520545493737,0.064070943210978,-0.00836570847267571,-0.0788566073205662,-0.0784061856492143,0.0194781960043186,0.0960728079199702,0.129290075353761,-0.0127928946645231
"TWIST1",-0.0316550261198708,-0.153007119928545,0.0366748114041389,-0.00724849951191984,-0.00741680106049326,0.0866948127184822,-0.0904732215374831,0.117334135735389,0.108253492498447,0.10354548350439,0,0,-0.118834900604974,-0.117334135735389,-0.117169642363867,0.0903964500751591,-0.00223837656973494,0.0352439571716156,-0.0643336813621284,-0.0565942530088873,0.116529707302136,0.20528018461924,0.0980458180622382
