"","TWIST2","ZEB2","FOXC2","OVOL2","miR200b","miR205","TWIST1","miR141","CLDN7","TGFbeta","GRHL2","miR200c","miR200a","GSC","miR34a","ZEB1","CDH1","TCF3","NP63","SNAI1","KLF8","miR101","SNAI2"
"CDH1",-0.371965852891354,-0.128576257507983,-0.110143944459995,-0.106542677062729,-0.256411087491803,-0.102775194772556,-0.206068757678141,-0.108653666586066,-0.108653666586066,-0.21813000268697,-0.0980224879215637,-0.116967918701235,-0.116967918701235,0.218054302459869,0.0495788513321053,0.1092007458885,0.201588348635881,0.205553485433785,0.103545610797209,0.0520481130664452,0.291312455069931,0.291263928655386,0.379351912169853
"SNAI2",-0.371735391442975,-0.12825608471934,-0.11031071084702,-0.106866291870375,-0.256350754206865,-0.103545610797209,-0.206340792498598,-0.1092007458885,-0.1092007458885,-0.218176970262107,-0.0984232352225806,-0.11767659627159,-0.11767659627159,0.21813000268697,0.0499376505660516,0.109010326503086,0.201280586838174,0.206068757678141,0.103005744814192,0.0518713441528394,0.291263928655386,0.2912008021596,0.279603191750616
"TCF3",-0.371425426164795,-0.127643301216652,-0.109982644501814,-0.106959741766007,-0.256306068780723,-0.102717391304348,-0.205553485433785,-0.109447288353977,-0.109447288353977,-0.218054302459869,-0.0987334576323062,-0.117946624940753,-0.117946624940753,0.218289937768914,0.0503099771599198,0.108653666586066,0.301083322058028,0.206811955908132,0.102775194772556,0.0519248946001044,0.2894498414505,0.291312455069931,0.379384386164469
"CLDN7",-0.371425426164795,-0.127643301216652,-0.109982644501814,-0.106959741766007,-0.256306068780723,-0.102717391304348,-0.205553485433785,-0.109447288353977,-0.109447288353977,-0.218054302459869,-0.0987334576323062,-0.117946624940753,-0.117946624940753,0.218289937768914,0.0503099771599198,0.108653666586066,0.301083322058028,0.206811955908132,0.102775194772556,0.0519248946001044,0.2894498414505,0.291312455069931,0.379384386164469
"miR101",0.00122466934398422,-0.10048609780229,-0.0970039362138735,-0.0569427344561991,0.0247099399083691,-0.0381422185003068,-0.0118784490876877,-0.0091460101525522,-0.0091460101525522,0.00691814063883675,-0.00369235963949411,-0.0555059284916029,-0.0555059284916029,-0.00682842746944655,-0.0281138785798344,0.00915589776337584,-0.0540824772685497,0.0122265389581634,0.0384860144272436,0.012952427863963,0.0709728561993237,-0.0287107974679012,0.0631446970146674
"ZEB2",-0.0987726859145957,-0.0910541525422086,-0.0360637020921248,-0.0237036662027751,-0.0224161441507099,-0.0169820967206479,-0.0163149047101823,-0.00838152253620008,-0.00838152253620008,-0.00612383075378401,-0.00494271339188436,0.0028193231849604,0.0028193231849604,0.00608996146460801,0.00738820475806718,0.00823594354670976,0.0164700547387832,0.0168491083570559,0.0171680279261018,0.0338616960164309,0.0788348934126904,0.0791918693590744,0.0865843931251725
"miR34a",-0.00773230506822372,-0.0644578842756934,-0.0985449871898948,-0.079104798668626,0.0207222305211102,-0.0716595916791828,-0.0194674564891098,-0.0669496267740343,-0.0669496267740343,0.00662594220447161,-0.0605175590052077,-0.105684291602162,-0.105684291602162,-0.0065420703413698,0.0126151761240026,0.0667790030813759,-0.0288168249877783,0.0195642969700055,0.0714381978441496,0.0235970496809568,-0.0617442685503344,-0.0615992547212011,-0.0864710708825374
"OVOL2",-0.130913979730023,-0.054070455459004,0.0479631294713583,-0.124504695406731,-0.0925625863025893,-0.0439639624813727,-0.0576717375990498,-0.0503230333535169,-0.0503230333535169,-0.0195503664168729,-0.0298845998030421,-0.0521410114090526,-0.0521410114090526,0.0196206375808941,0.0957290738377812,0.0506419153237102,-0.0541024034774283,0.0572724857466651,0.0442200153773634,-0.0605652020412221,0.117745354916631,0.117562206742081,0.114119829223903
"TGFbeta",-0.159498775578985,-0.0468545194196837,0.0547789108056951,-0.107647390188288,-0.129309735661735,-0.106319964070792,-0.069833414371017,-0.111582983658384,-0.111582983658384,-0.109757358058088,-0.10443154373707,-0.0768838649023211,-0.0768838649023211,0.00971000854483205,0.146603460505702,0.111592075487574,0.0826507039697776,0.0698084557795891,0.106322689609085,-0.0699067442374972,0.0970801721861057,0.0970947140146368,0.11835775356344
"SNAI1",-0.0421636945221667,-0.0335780993956001,-0.0910591297711668,0.0933868191142172,-0.00509242888698485,0.090512171633285,-0.0201272125412974,0.0908534562352052,0.0908534562352052,-0.000705713775302123,0.0862550659374736,0.0205963517522858,0.0205963517522858,0.000696151213706541,-0.0959881261163785,-0.0908149280281566,-0.0190394153857116,0.0202268451778836,-0.0903173664384798,-0.0904134809630061,0.0329136503817654,0.0330125463039465,0.158731092258629
