"","CDH1","SNAI2","miR200b","miR200c","miR200a","FOXC2","GSC","miR34a","GRHL2","TWIST1","OVOL2","ZEB1","ZEB2","miR141","CLDN7","TCF3","NP63","miR205","TGFbeta","SNAI1","TWIST2","KLF8","miR101"
"GSC",0.0398947463644434,0.146168494737636,0.119989142001073,0.0328807686546408,0.0328807686546408,-0.184155488191634,-0.0167680338552499,-0.0254323201993878,0.141572848812712,-0.308568120826058,0.118399467274946,0.132821196358315,-0.224221826770039,-0.132803820792704,-0.132803820792704,0.308378049269707,-0.128147606569208,-0.128247225335851,0.016807151029523,0.274484806258202,-0.0901301231212548,0.0937937527661902,0.0938902139089137
"SNAI1",-0.066570604679334,0.128348733582292,0.0728499128263946,0.0115189244289232,0.0115189244289232,-0.273237176946792,-0.0188122051199662,-0.0919063912696893,0.160757326122925,-0.201169051612495,0.134661440676446,0.150871421857926,-0.203978448342621,-0.150839379361082,-0.150839379361082,0.201047959638798,-0.145612766579718,-0.145670350505227,0.0187893720647278,0.16665515237352,-0.117397664579744,0.111495990446317,0.111559321273455
"miR101",0.0161650408506496,0.130424939180194,0.0636586563234684,0.0847089758449744,0.0847089758449744,-0.210683979161226,0.0270425512563022,-0.0459521397449672,0.0226239871143408,-0.171292479954294,-0.0291463119375724,0.0267427558109995,-0.200952543045792,-0.0266877147774146,-0.0266877147774146,0.171164810628759,0.0120749849669666,0.0119148967872479,-0.0271398103932112,0.204469030499725,-0.107812466653674,0.18104948553867,0.0812209505677792
"TWIST2",-0.0131257352329478,0.196946727243771,0.00577175720375663,0.0798716883601001,0.0798716883601001,-0.178456647290935,0.0339898080339877,-0.0484646412327291,0.0317463903786946,-0.19010886408014,-0.0149066503355136,0.0329041169885298,-0.197164312241399,-0.0328607469538876,-0.0328607469538876,0.189953555814605,-0.00278662660346648,-0.00306562631248519,-0.0341079677979956,0.17624813314269,-0.18734418646146,-0.0394182307227232,-0.0392652843321711
"miR141",0.138959057648835,0.152098002914662,0.00597361860299148,0.0712482602718729,0.0712482602718729,0.174550909449626,0.137050465137193,0.0294270833447372,-0.00220599471444623,0.078464329247848,-0.0558532279832223,0.00706780474916521,-0.140666568262646,-0.00702963859919232,-0.00702963859919232,-0.0784628503298244,0.0450585213967485,0.0446924293405907,-0.137235675572608,-0.182766059677492,-0.103364568417499,-0.162715302887997,-0.162619845231573
"miR205",0.103099704160946,0.067115222521869,0.0679147903517877,0.0698577929208142,0.0698577929208142,0.157992881511813,0.0269950146963331,0.0323348686416761,-0.0052166582749061,0.116101958039673,-0.0555045867157809,0.00326158678663635,-0.130453325213484,-0.003219972396753,-0.003219972396753,-0.116122550272283,0.0459445793067028,0.0455680061226774,-0.0271854606572916,-0.153616217298511,-0.120000713044918,-0.0888904832456017,-0.088776583752517
"miR34a",0.0468111567720026,0.245807116377646,-0.0863949105015944,0.100780013169623,0.100780013169623,-0.172830102924232,0.0623853932437755,-0.077876005236124,-0.0230541885081084,-0.0808126959655012,-0.0435160959584862,-0.0160587826194313,-0.125880227774256,0.0161132774947713,0.0161132774947713,0.0806245262505901,0.0354899381713071,0.0351663625662586,-0.062536241918419,0.173490855781822,-0.125868202162724,-0.0577814467904672,-0.0576018601278981
"KLF8",-0.298014853876423,-0.206367509981735,0.229781063839388,0.0751659813734088,0.0751659813734088,-0.243349706712612,-0.175146141488006,-0.110415954276187,-0.0455842731950866,-0.264497821842072,-0.0591608737897854,-0.0390742346362461,-0.118063284469084,0.0390413194477152,0.0390413194477152,0.264933446237038,0.0550163357627545,0.0556521739130435,0.175146141488006,0.238178439295074,0.177858991779407,0.292801020004272,0.293113939092336
"CLDN7",-0.298014853876423,-0.206367509981735,0.229781063839388,0.0751659813734088,0.0751659813734088,-0.243349706712612,-0.175146141488006,-0.110415954276187,-0.0455842731950866,-0.264497821842072,-0.0591608737897854,-0.0390742346362461,-0.118063284469084,0.0390413194477152,0.0390413194477152,0.264933446237038,0.0550163357627545,0.0556521739130435,0.175146141488006,0.238178439295074,0.177858991779407,0.292801020004272,0.293113939092336
"NP63",0.16262939392073,0.214470936840093,-0.151968981435522,0.0492856297574835,0.0492856297574835,0.248167768671994,0.145431475516474,-0.00585311198503128,-0.15125266056934,0.26128170811392,0.108065170426514,-0.053623705796835,-0.0446054420997571,0.0536980088242593,0.0536980088242593,-0.261441025964251,0.0233623333379726,0.12277118974382,-0.145741285009311,-0.242787770008304,-0.214190249005163,-0.281122765718529,-0.28121048982621
