"","miR200a","CDH1","miR200c","miR101","KLF8","OVOL2","miR205","TGFbeta","ZEB1","CLDN7","TCF3","TWIST1","FOXC2","miR34a","miR141","GSC","GRHL2","NP63","SNAI1","TWIST2","SNAI2","ZEB2","miR200b"
"miR200c",0.214642319059232,-0.00294574721242992,0.00759851960937419,0.12121933792548,0.12138503800833,0.24576167436152,0.239439399343576,0.0858788247668003,0.206291982226119,0.206298454848045,-0.0303953903490662,-0.0303879957589483,-0.0394850842424253,-0.0929630788252528,-0.206298454848045,-0.086000404623177,-0.232835096680217,-0.239905011570339,-0.153041318269406,-0.00512353558991178,-0.104761231105644,-0.225804901673164,-0.143153581031102
"GSC",0.13529614321885,-0.0946510908046241,0.00028979471721403,-0.269286430779686,-0.268825560875562,0.176444281571982,0.166117834609274,-0.01868064884857,0.131156972570055,0.131272568346827,0.128405363979651,0.128755159532935,0.132975992955281,-0.190856588510174,-0.131272568346827,0.0187264892871713,-0.149189825732053,-0.165568015647225,0.353725542323737,0.148618291878682,0.127566265159899,-0.141985997565079,-0.158468566784116
"TWIST2",0.114795752000629,-0.149423031500393,0.0139258464384381,-0.130660814963054,-0.130526117857738,0.147387204534075,0.13665813167884,-0.00764883786328908,0.105075452388462,0.10512463379251,0.0973990477438163,0.0975215845404765,0.180594666436482,-0.162337494788425,-0.10512463379251,0.00766766701736887,-0.118276861367288,-0.136207966504166,0.282918537982275,0.0170108077132185,0.00424883713257802,-0.127872591413153,-0.0814796378228313
"CLDN7",0.0885312594684285,-0.258091634856188,0.0102787096275561,-0.126366427504704,-0.124593219339006,0.131655833359397,0.118876811594203,-0.0146619059925543,0.0793180018040844,0.0795191501784398,0.0136316368066078,0.0151805235442651,0.123170551382181,-0.11934582071282,-0.0795191501784398,0.0145168996485267,-0.090519784777949,-0.11714270754796,0.205217968899045,0.103267782197564,0.0817640880783359,-0.100565139830338,-0.087143551689627
"SNAI2",0.0883216118811136,-0.158617565595586,0.0106308224247609,-0.128285817493769,-0.127857805978387,0.130958482249933,0.116449333125772,-0.0144440647574618,0.0789494268162265,0.0790356382931508,0.0163863668377578,0.0165291851184978,0.125845279624186,-0.119921086616662,-0.0790356382931508,0.014447081023755,-0.0898184307137806,-0.116072240805976,0.206602898934179,0.104595051289949,-0.0179855838809793,-0.100553448759477,-0.0873632115158333
"NP63",-0.075771964976377,0.251066680226881,0.117986748452384,0.128280501096878,0.126361536241348,-0.311527874652313,-0.501906562884779,0.149114478232973,-0.149725851225204,-0.150059366640537,-0.0161315485305203,-0.0173993595930133,-0.124909793266436,0.198523704574914,0.150059366640537,-0.149112766578317,0.285553869953047,0.401541128662939,-0.242603164379422,-0.112363934314242,-0.0799510359682756,-0.0691237516318644,0.152531394272126
"GRHL2",-0.0873663223927257,0.194576396820817,0.106211596620768,0.0921891106981491,0.0910455744509551,-0.303869902418869,-0.392885311074958,0.174005309537936,-0.0947204307813628,-0.0948900936610026,-0.0185580894207888,-0.0191968546673348,-0.0812997581815924,0.136170928782234,0.0948900936610026,-0.173952647908308,0.168860122861061,0.392498272527307,-0.194169065551885,-0.0891920484957369,-0.0594214731422086,-0.0295331723419269,0.111970756050879
"ZEB1",0.187175907150887,-0.258466827818469,-0.187146256155531,-0.111075108048196,-0.110509326792456,0.24040345541105,0.234617668196274,-0.0767381029163654,0.0799127280811202,0.180008252433468,0.0231935319837252,0.0235558965477159,0.159288771624829,-0.229026688342202,-0.180008252433468,0.0767621148262728,-0.225726767417004,-0.234238314247544,0.216238457306498,0.18432103382349,0.0697102602002465,-5.02823503032644e-05,-0.211191656585259
"FOXC2",-0.187280737247014,0.258330949532341,0.187285205481058,0.110509326792456,0.109336843352715,-0.24067614310752,-0.23502428245488,0.0767621148262728,-0.180008252433468,-0.180217828308011,-0.0225062854762895,-0.0231935319837252,-0.158470567080449,0.228869530634136,0.180217828308011,-0.0767154370872122,0.225958307479478,0.234617668196274,-0.21573374540304,-0.184012509650462,-0.0695836122491994,2.95851578017058e-05,0.211173018722355
"miR34a",0.124600063575757,0.052799496047045,-0.131883461158453,0.173205366443456,0.173280274249233,0.195049024765635,0.182076311605355,-0.0191433026034746,0.147492384778567,0.147466684138668,-0.081821363339577,-0.0818221506605599,-0.233121979348565,0.0354365014180837,-0.147466684138668,0.0190069354015968,-0.163264894501521,-0.182536129570424,-0.28449025796209,-0.216706107801706,-0.10251999261403,0.00888717622127159,-0.0169922619902452
