"","KLF8","SNAI2","TWIST2","ZEB2","miR34a","miR141","miR200b","NP63","miR205","miR200c","CDH1","GSC","TGFbeta","miR200a","OVOL2","TWIST1","TCF3","CLDN7","ZEB1","SNAI1","GRHL2","FOXC2","miR101"
"SNAI1",-0.0363494825768211,0.220643466114102,0.185261855091513,-0.121252712797027,-0.0989382167410063,0.114925157152501,0.150373095077146,0.0994965546483032,0.0994181424944194,-0.000296873100199667,-0.167040440243784,0.026799826297557,-0.0267079086136484,0.000296873100199667,-0.0845671047853478,0.145144305569763,0.144997666766172,-0.114925157152501,-0.115070390734582,0.113118026508099,-0.120331095975548,0.220105101214727,0.0365906388791744
"GSC",-0.0995378428254243,0.105425064215493,0.0396009650935524,-0.120764798245045,0.0486499505131954,0.21786504075861,0.179403204377451,0.163583879492346,0.162716046775244,0.0614129908404718,0.00906054963658365,0.00438292716011973,-0.00410482849927174,-0.0614129908404718,-0.120719885855338,0.0924464737661726,0.0913060444280688,-0.21786504075861,-0.218324286610797,0.21550908909288,-0.226948475981764,0.0359247514319265,0.100744094286957
"ZEB2",-0.125836261690736,-0.106534061399243,-0.0812895447814281,-0.0789176162539572,-0.066992023209623,-0.0553848571030084,-0.0492525346860004,-0.0387044041637248,-0.0377515067357732,-0.014800869686501,-0.00618701823447616,-0.0059390010411006,0.00576595976367417,0.014800869686501,0.0280170207327991,0.0478687078529392,0.0487081707265976,0.0553848571030084,0.0556924632983396,0.0568069576731688,0.0574024249175615,0.058426603429302,0.124858803876542
"NP63",-0.292447178526088,-0.262490371015946,-0.235508864606287,-0.0740656981196513,-0.0361730407707321,0.00504069196299369,-0.125198883262855,0.0248506272099199,0.124399208465294,-0.0200724469511263,0.0551815276287177,-0.0118975774811592,0.0117777616552003,0.0200724469511263,0.0773030198946076,0.247806187693967,0.248257214284341,-0.00504069196299369,-0.00503831698038195,0.16137151173878,-0.127381274633901,0.172856380737734,0.292123695879013
"miR200b",0.0474294782497454,-0.00909673078224167,-0.127932557898838,-0.0434521940827685,0.286078930558631,0.301330273754163,0.160326265892899,0.167615694503295,0.166268617908307,0.13963875728638,0.114619110320059,0.0988333668698633,-0.0983402298823167,-0.13963875728638,-0.105313884090185,-0.0904233601151467,-0.0929892828860475,-0.301330273754163,-0.301985347731768,-0.146397542565979,-0.31069631858296,-0.164392232485829,-0.0451042738262737
"miR141",-0.163705654672068,-0.208941832408136,-0.195501319767489,-0.0424540044617204,0.159362634820613,0.275840090063224,0.0829036150907594,0.152204931766255,0.151845948293712,0.125054887421284,0.0886327324169106,-0.117913559646771,0.118199897252443,-0.125054887421284,-0.0958109938245465,0.159285381943326,0.15754469542958,-0.275840090063224,-0.276182246249823,0.082141093269902,-0.286241514684333,0.14329888670445,0.165081685794867
"miR34a",-0.15764766189967,-0.334253342975474,-0.411297412283653,-0.022454716502149,0.150127885153094,0.190693615892111,-0.0368786979263081,0.140609363953393,0.140323633448351,0.144302320847357,0.102326056566515,-0.0551115281410795,0.0552599632369288,-0.144302320847357,-0.103220203317987,0.131817043483989,0.130591184713627,-0.190693615892111,-0.190856386611467,-0.0625879354856352,-0.198726067582797,-0.0391450324526428,0.158507180953143
"OVOL2",0.169806569001494,0.129821911924983,0.0896451796672516,-0.0200332660480684,0.192923607422916,0.155027802894134,0.160468109912953,0.0430585392400372,0.0422169138983632,0.126160983574179,-0.0302841308884635,0.0257941978975083,-0.0254972677828699,-0.126160983574179,-0.118613477264189,-0.131942357532141,-0.133339739015487,-0.155027802894134,-0.155386086556426,-0.168830709901836,-0.0846903485723561,-0.173851082965885,-0.168506984649147
"TWIST1",-0.0757555266982744,-0.23948328905998,-0.243082489615111,-0.0147168490365575,0.113386957969504,0.0917488475733922,-0.0331898077299935,0.0739725352569808,0.074003959563682,0.0284738718178309,0.00567046477663449,-0.0222413179676627,0.0223036751962443,-0.0284738718178309,-0.0607545033121057,-0.0367922566880592,0.0625550028640906,-0.0917488475733922,-0.0917420605250549,-0.183470161305363,-0.0959694619993396,-0.0737440995762017,0.0760861545925133
"SNAI2",0.364242063817359,0.220307276828902,0.277918104174195,-0.00277245260069894,0.115290906421973,0.0430644245907847,0.259061636715619,0.0328233340561844,0.0318277018161475,0.0217995262252476,-0.0440695395193467,0.212655619983148,-0.212375969008247,-0.0217995262252476,-0.0258205027404469,-0.320563450405689,-0.321932692335323,-0.0430644245907847,-0.0434094418930682,-0.239208304845882,-0.0441574536697954,-0.266014422264474,-0.362799866182868
