"","SNAI2","TWIST2","KLF8","ZEB2","OVOL2","TCF3","FOXC2","TGFbeta","miR200c","miR34a","miR200a","miR141","NP63","miR205","GRHL2","CLDN7","ZEB1","CDH1","GSC","TWIST1","miR200b","SNAI1","miR101"
"ZEB2",-0.113320269269585,-0.112744291183422,-0.100296124933007,-0.0931874168547915,-0.0178349492197385,-0.0148292494103413,-0.00892668801200739,-0.0060594625669684,-0.00482630967540512,-0.00415184510028653,-0.00342365527376833,-0.000857646743384576,0,0,0.000689779882545363,0.000857646743384576,0.000926631053750144,0.00250603076670543,0.00600219267799809,0.0146230370603324,0.0172452428606939,0.0199587612635887,0.100416442731092
"TWIST1",-0.141606047763711,-0.0939710815945248,-0.060933179703559,-0.0900259857163612,0.0965407744995038,-0.187191869832474,-0.109361888413806,0.0043639512274653,0.00443122613884822,0.061354895327343,0.0873172452893124,0.086162259808598,0,0,-0.0844950854727676,-0.086162259808598,-0.0859533421206862,0.134160213318287,-0.00445827045260624,0.0866175562719751,0.0473387912154058,-0.0168261196947664,0.0612498654576794
"TWIST2",-0.0844226480830333,-0.0922793183100453,-0.0158449747988043,-0.0729629136641113,-0.0826526164229563,0.0247113478901101,0.021941670966526,-0.00962353972791942,0.0713006909965647,-0.0172930664012477,0.000727965152560538,-0.0700575611537699,0,0,0.0697854017810648,0.0700575611537699,0.0700770400030757,0.0918835502935389,0.00962490415937448,-0.0247498187448755,-0.0212182493666325,0.0216031068615108,0.0158597480297099
"SNAI1",-0.156741422332095,-0.0355277289551494,-0.0248815072925407,-0.0609124422069724,0.106110164077821,-0.0203033048193151,0.0223865545222766,0.00323507423872991,-0.0206200583334091,0.114177815314157,0.0898091967202944,0.108994535454101,0,0,-0.108454855737723,-0.108994535454101,-0.109009282723733,-0.00527592576295726,-0.00322707291168054,0.020295640770347,0.0661034793425162,-0.0949177931227402,0.0249024095852414
"GSC",-0.00916958638469566,0.0280575700452309,0.0521224570385001,-0.0534095478505607,0.0797753309789061,0.095365025636843,-0.0546360945784086,0.0164194989342433,-0.00142640476909136,0.0523200575482143,0.0623077931676676,0.067290621784216,0,0,-0.066012391085141,-0.067290621784216,-0.0670032009697364,0.00626054868326401,-0.0165447961330869,-0.0961460759818468,0.0033747119992117,0.0236997125733863,-0.0516917921386638
"miR200c",-0.106561681095148,-0.078845015997339,0.000532511694092663,-0.0228302143888945,-0.0654333753943059,-0.0464079270390117,0.00533942594714264,-0.106679844914945,0.00653039552604521,0.00232162952633835,0.0140282795393365,0.00613497890892712,0,0,-0.00592531293587421,-0.00613497890892712,-0.00620885607641849,0.00581441582336972,0.106758246878403,0.046583918283817,-0.0052172384996586,0.116854304635927,-0.000638775877659538
"miR200b",-0.106561681095148,-0.078845015997339,0.000532511694092663,-0.0228302143888945,-0.0654333753943059,-0.0464079270390117,0.00533942594714264,-0.106679844914945,0.00653039552604521,0.00232162952633835,0.0140282795393365,0.00613497890892712,0,0,-0.00592531293587421,-0.00613497890892712,-0.00620885607641849,0.00581441582336972,0.106758246878403,0.046583918283817,-0.0052172384996586,0.116854304635927,-0.000638775877659538
"KLF8",-0.14127367197258,-0.153386593325385,-0.191033947367242,-0.0224762341822087,0.028948743886095,-0.061600112903705,-0.0789740888079603,-0.188063446722113,-0.00136173692417723,-0.0107948328067191,0.0239679444488273,0.0250301380139507,0,0,-0.0247923646194622,-0.0250301380139507,-0.0251361980658835,0.0168653600969162,0.187972817757096,0.0620841400092229,0.181277387083394,-0.0656047551850863,0.191019046458286
"ZEB1",0.0263166501970546,-0.06030587311877,0.0433681579258692,-0.0176996183385595,-0.084133831310111,-0.0861388576954883,0.084541285802862,-0.00562851412162115,0.013177140606286,-0.010596529516715,-0.00137180998753767,-0.0108493041175494,0,0,0.00758507964341895,0.0108493041175494,-0.0889773705352318,-0.0798577412499183,0.0055473309976488,0.0856358740469639,-0.022863254228196,0.0935682075365537,-0.0431198019980247
"GRHL2",0.0783748990949971,0.029462606205975,0.101697401108645,-0.0103201813909949,-0.112188546172045,-0.00249330829315766,0.0357038297925428,-0.0915680479804918,0.0278149792867632,-0.0182277245568351,-0.0223293955608903,-0.0328903889799391,0.0255409753580788,0.0256364332958402,0.0304532686742771,0.0328903889799391,0.032102777645498,-0.100028172790739,0.0917770315001734,0.00424485462531559,-0.111971104324914,0.101594365480284,-0.102596208274454
"miR205",-0.00810147233341134,-0.0907282453027527,0.0142845727512181,-0.00331873364531781,-0.0842555104624483,-0.0941797537762282,0.0874202873818148,-0.00674563469701317,0.00571220843178846,-0.00905059135037236,-0.00196612886191812,-0.00784637819178179,0,0,0.00583512590778829,0.00784637819178179,0.00751967417568261,-0.0587926547619759,0.00689164326708141,0.0951558256019355,-0.00853608969395254,0.100864700230102,-0.0148290373610185
"miR101",0.144352999570753,0.0601511143414667,-0.0823294903331667,-0.00179595567791371,0.0601473350089731,0.0421666841812466,-0.0406666061121924,0.0138428187194651,-0.00374596107485923,-0.0323294626152626,0.00517450187132485,0.00767890100549154,0,0,-0.00662971661949096,-0.00767890100549154,-0.00752333592853297,0.0271269719603313,-0.0138956404920967,-0.0427111883986992,-0.0277587563222099,-0.0359741761188043,-0.017384734618318
"miR141",-0.169114252690339,-0.046173674341099,-0.0593463756167994,-0.00176906394866654,0.0897634203892805,0.0151207960130976,-0.0256834078768761,-0.109865691938706,-0.0128318633980595,0.115047579356399,0.0141792408389002,0.0244502853447345,0,0,-0.0203869695760925,-0.0244502853447345,-0.0241697306633549,0.021753382465849,0.109769109809809,-0.0158853966312854,0.0933042790478821,0.0583514674037772,0.0597498192967821
"miR34a",-0.104673786082936,-0.00530782552473837,-0.0813114496576438,-0.000687796183418793,0.0533624773311291,0.0327752738658757,-0.0584080787729776,-0.0106464103684597,-0.0495035359242137,-0.0245345648544428,0.0500422984848224,0.0165322794354752,0,0,-0.0149496454101213,-0.0165322794354752,-0.0164344742225287,0.0646755763526291,0.0106023625554637,-0.0331272063452282,0.0729204660488898,-0.0495842813851247,0.0814958381026346
"OVOL2",-0.0226610443365818,-0.0520210360371099,-0.047910010472281,0.00384742260321694,-0.116309186223913,-0.0157481246301194,-0.00364615416816389,0.000353278460680623,0.0207933578466291,-0.0874426746918494,-0.0236488694155532,-0.0343681777702141,0.0240834337367673,0.0241428552949085,0.0329166838552041,0.0343681777702141,0.0338272876452292,0.0530163117297781,-0.000214802931580094,0.0169620660731811,-0.0343874747165075,-0.0806280883778533,0.0472772170787756
"FOXC2",-0.026322760930738,0.060289969810882,-0.0427536739041654,0.0176488849764521,0.0843803452609845,0.0850234904129286,-0.0853446261854115,0.0055473309976488,-0.0134495999598997,0.0106570688672929,0.00155575713734582,0.0112416743654271,0,0,-0.00793371174401234,-0.0112416743654271,-0.0108493041175494,0.0800989279275365,-0.00573078536744505,-0.0861388576954883,0.0230433062432225,-0.0932112737675975,0.0433681579258692
