"","miR200c","miR200a","CDH1","miR200b","TGFbeta","miR101","SNAI1","TWIST2","SNAI2","ZEB1","miR141","NP63","TCF3","TWIST1","miR34a","OVOL2","miR205","CLDN7","GRHL2","FOXC2","KLF8","GSC","ZEB2"
"miR101",0.164776225692858,0.164776225692858,0.114780847813386,0.182223344984877,0.124993010050449,0.16671635705465,0.0873983784170247,0.0254923613566346,0.156662071823218,0.0021778403214201,0.00214652955381191,-0.0337039909684909,-0.0266530699338234,-0.0263180743531462,-0.0199394245856425,0.0477340917344629,0.0333864390054424,-0.00214652955381191,0.00208761682177708,-0.177015565220139,-0.266296334192646,-0.124044733465587,-0.36004452075114
"miR200c",0.158385838789137,0.158385838789137,0.099056632390591,0.118595129378771,0.205341602113787,0.0461972647698711,0.179178810060964,-0.0843413703313991,-0.0710687680341563,0.0029270384872209,0.00282146779168187,-0.0492898957048936,-0.0582491714194812,-0.0580436018142044,-0.117740639847488,0.0597640414597775,0.049144169740792,-0.00282146779168187,0.00635132217170573,-0.179956764958169,-0.0457235786634628,-0.204349646836994,-0.341058324828599
"miR205",0.112758998227069,0.112758998227069,0.109989338921141,0.111097721302067,0.0664770265436899,0.0159030458055641,-0.0795694317683555,0.113700606466159,0.0345147187791475,0.0129350198966204,0.0129070699332659,0.0622789158250421,0.0988119627537396,0.0986925278046024,0.0137636967451911,-0.0708292087050611,-0.0620212604886037,-0.0129070699332659,-0.0212432424932926,0.0899611328329033,-0.0157591068857318,-0.0664056093083304,-0.25007117459699
"miR200b",0.109802711952648,0.109802711952648,0.134407734317585,0.0481461365253571,0.152543569681054,0.0223142580645863,0.0882966596160831,0.00545609049341665,-0.0609953726508443,0.00438820157269412,0.00432771603677219,0.0571537862918991,0.014755769769342,0.0146773871140926,0.00359152913575006,-0.0678568798587839,-0.0569014315735767,-0.00432771603677219,-0.013084327693782,-0.0965318335165537,-0.0221197405760233,-0.152354950464619,-0.229505546752527
"miR200a",0.109802711952648,0.109802711952648,0.134407734317585,0.0481461365253571,0.152543569681054,0.0223142580645863,0.0882966596160831,0.00545609049341665,-0.0609953726508443,0.00438820157269412,0.00432771603677219,0.0571537862918991,0.014755769769342,0.0146773871140926,0.00359152913575006,-0.0678568798587839,-0.0569014315735767,-0.00432771603677219,-0.013084327693782,-0.0965318335165537,-0.0221197405760233,-0.152354950464619,-0.229505546752527
"SNAI1",0.0570311240564138,0.0570311240564138,0.130487753249565,0.0958856202839252,0.0528769454327845,0.162007660661813,-0.0569918486332804,0.0708975301310649,0.174525002524301,0.0801373741060547,0.0801078023559553,0.0834515732812867,0.00568087501062939,0.00554138931940882,-0.0284265631560274,-0.0830027618803465,-0.0831979589710686,-0.0801078023559553,-0.084139066660633,-0.125032166870234,-0.161816420282327,-0.0526796444170062,-0.209536302993406
"SNAI2",0.077898777888065,0.077898777888065,-0.0303390285619078,0.230625957966099,0.24237467941554,0.18148990649638,0.0453787208585498,0.152820451740843,0.0419644675293648,0.0272366491924653,0.0272392201112603,0.029810943727762,0.108923079126089,0.108886807816695,0.000245379292994568,-0.0297206704348376,-0.0297919534670528,-0.0272392201112603,-0.0294179781081132,-0.00921950334820104,-0.181271391703275,-0.242027808791819,-0.188542278055504
"CDH1",0.0776181042713849,0.0776181042713849,-0.0305166229281628,0.230370751397191,0.242027808791819,0.181271391703275,0.0451244764009454,0.152750637686448,0.141865629386436,0.0272392201112603,0.0271253121040087,0.0297919534670528,0.10903463291095,0.108923079126089,0.000236149730706559,-0.0296611898315631,-0.0297662729328977,-0.0271253121040087,-0.0293138693786675,-0.00889997385855711,-0.18093170680146,-0.241203290102047,-0.188145035442552
"TCF3",0.0770555074091893,0.0770555074091893,0.0690977376399684,0.229961030510301,0.241203290102047,0.18093170680146,0.0448657176216297,0.15278573033103,0.141667642774102,0.0271253121040087,0.027136283833519,0.0297662729328977,0.109228243753157,0.10903463291095,0.000490454366468148,-0.02967283968361,-0.0291304347826087,-0.027136283833519,-0.0292521870749958,-0.00789035560179147,-0.180380373170109,-0.240260748865868,-0.18731673057292
"GRHL2",0.0363370130932381,0.0363370130932381,-0.0884710302033759,0.120599184439249,0.175042556955524,0.116629910176278,0.120859138891901,0.0394396325893575,0.0908944101199469,0.00483441967078668,0.00484511913166487,0.0352106223376619,0.00463192275637389,0.00478511080192565,-0.0164935699800645,-0.176223053251952,-0.0354761689645255,-0.00484511913166487,-0.00607191319110756,-0.1265574720188,-0.116512827558205,-0.174688338204658,-0.125821758111526
