"","GRHL2","ZEB2","CDH1","miR200c","TCF3","TWIST1","miR205","KLF8","miR200b","SNAI2","FOXC2","TGFbeta","GSC","miR101","SNAI1","NP63","miR200a","TWIST2","miR141","CLDN7","ZEB1","miR34a","OVOL2"
"ZEB1",-0.309439371394627,-0.119301765455577,-0.319255700266626,-0.232811329294576,-0.099555114140712,-0.099465574638167,-0.0976774597929282,0.0843954685070857,-0.195855763304643,0.084348093203006,-0.0884075735233035,-0.0147976410507515,-0.0146313871602504,-0.0847459589733041,0.0992900785963318,0.0982378690353699,0.314951927291034,0.0936108979563007,0.314544742296078,0.314544742296078,0.214872760742912,0.301329480603105,0.3604732099325
"FOXC2",-0.30878554456242,-0.119192474182978,-0.318764732528199,-0.23257546157829,-0.099938169571086,-0.099555114140712,-0.0966609241464115,0.083876837146149,-0.195846358878407,0.0841150465948826,-0.0883771695559235,-0.0146313871602504,-0.0142720771223654,-0.0843954685070857,0.0993103803847777,0.0976774597929282,0.314480191858462,0.0937476664041378,0.313936419625749,0.313936419625749,0.314544742296078,0.300875129719475,0.359504514266391
"ZEB2",-0.131682515695868,-0.11636909892432,-0.0826789149890156,-0.053430952930967,-0.045385734277595,-0.0452996771551504,-0.0443402779239266,-0.0414196607734659,-0.036475450893176,-0.0305827828669176,-0.0221384520843753,-0.00339292302928734,-0.00316076444711736,0.0410805833424995,0.0419339403894342,0.044944554341652,0.0663280348269754,0.10384222143544,0.130516071290001,0.130516071290001,0.130747082806207,0.135116112502789,0.194003582509682
"TWIST2",0.100453931190304,-0.114132063110495,-0.0976537243019508,0.111421293117235,-0.0166337220371942,-0.0167847557633102,0.0314721695974783,-0.0974626783700566,0.041864353687279,-0.0968625037841427,0.072455209133792,-0.00451819357040222,-0.00455776208259888,0.0975235093208444,-0.0993963635840452,-0.0316193718979421,0.00575749740649576,0.061127493037444,-0.100563040457477,-0.100563040457477,-0.100710154197814,-0.104538295966252,-0.157043471798057
"GSC",-0.124376527771862,-0.106409012983924,-0.0891695955545977,-0.0123799228470553,-0.134089173083131,-0.133871948447302,-0.0287565238364926,0.0604418862130887,-0.0079300220960056,0.00200656742827892,-0.0382949583743269,-0.00720038472788978,-0.00718449337584132,-0.0604116812088015,0.0273240128436738,0.0288465638755738,0.115571145495599,0.0442408589120341,0.123453783243562,0.123453783243562,0.123605578115357,0.0902544121180584,0.166191048117073
"miR205",-0.314881034260091,-0.0677267976260304,-0.208715273524934,-0.141428043017531,-0.113029213511227,-0.112666790217293,-0.0960158176588612,0.0593487361874611,-0.11115304724654,0.0543503502833674,-0.0981162439132714,-0.00953306102402655,-0.00928072012575643,-0.05984814165714,0.110842613819595,0.0969077015157634,0.198141730245142,0.116175090057066,0.319519211625961,0.319519211625961,0.320155849680147,0.309435784901927,0.366110847565622
"miR141",-0.233234241914447,-0.0490918525986815,-0.177657516870695,-0.0958080405241339,0.0483757129282759,0.0484748004358553,-0.0701526796169812,-0.0512327898488593,-0.0815726906452813,-0.0437297589790317,0.0474527627152678,-0.103350450914689,-0.103201600810153,0.0510634875902952,-0.0649650781625111,0.0705152173813316,0.138096875579875,0.0671436819655591,0.229276789958174,0.229276789958174,0.229439944669462,0.128047171467988,0.25995770024439
"CDH1",0.0420072165163829,-0.0489449653842336,0.0111943950037881,0.046822741690021,-0.0876686460624164,-0.0875039714276223,0.0119850046075228,-0.0360647218966374,0.0156798487101836,-0.0595435994287146,0.0259725695301162,-0.00134024717164674,-0.00155098023627836,0.0364432279300883,-0.00345147304450742,-0.0126270179614006,0.00154056914848146,0.0649226745640972,-0.0427379195344035,-0.0427379195344035,-0.0429529008438642,-0.0295399301947771,-0.0633366764485848
"KLF8",0.0414196114129839,-0.048639917623106,0.110715898902821,0.0469012929500257,-0.0867973972724842,-0.0876686460624164,0.0118115942028986,-0.036049820987682,0.0158706573542589,-0.0593979902270511,0.0258590621521367,-0.00155098023627836,-0.00153285444327492,0.0360647218966374,-0.00366915900170954,-0.0119850046075228,0.00236217286798977,0.0645015628291168,-0.0420979019796362,-0.0420979019796362,-0.0427379195344035,-0.0290101288702738,-0.0626633150002752
"OVOL2",-0.280144317084684,-0.0330298717482232,-0.307770339019631,-0.238769486709127,0.113773097713225,0.113981715798255,-0.272130847905493,0.13736949865924,-0.0218895800360447,0.172421942281316,0.0773521642275389,-0.241931975187537,-0.241684648247501,-0.137781856225892,-0.0934069953275615,0.272883881105938,0.264225890706449,-0.117384030938191,0.284681115659143,0.284681115659143,0.285126083044052,0.1962808289435,0.429236947860332
