"","miR205","ZEB1","OVOL2","miR34a","ZEB2","miR200c","SNAI1","miR200a","GSC","CDH1","TWIST1","miR200b","TCF3","TGFbeta","FOXC2","miR141","CLDN7","NP63","SNAI2","GRHL2","miR101","KLF8","TWIST2"
"NP63",-0.043430371110476,0.0558001443070145,0.181967598261736,0.030918064385517,-0.123538964081268,0.07612175456766,0.0479816091280001,-0.00963170237247858,0.141307322794835,0.13854702961898,-0.120114698144077,0.165223475741909,0.120161820325161,-0.1413244393414,-0.0135754814440965,-0.0557441625740236,-0.0557441625740236,-0.0566448653469616,-0.296533170289676,0.0644815321659743,-0.282995469268611,-0.283212038159449,-0.277961211237179
"TWIST2",-0.0813159316227273,-0.0783997880595104,-0.0780457372885695,-0.0436690485894053,-0.087436673991695,0.00705625649129327,0.0148081569476723,-0.0772539563846965,0.00966730185613473,-0.014422465820635,0.124807204576566,0.0741627868618373,-0.124737387099399,-0.00953713509532229,-0.0562533578961568,0.0784212040319516,0.0784212040319516,0.0816497042807559,-0.0845498861590625,0.088013900587156,-0.061239444607751,-0.0613393811697595,-0.0746810439382647
"ZEB2",-0.106149911198313,-0.102949387327747,-0.100118028438825,-0.0876843080804102,-0.0859321750375613,-0.0542906309349199,-0.0502730744360321,-0.0343344331532433,-0.0196521312252674,-0.0167213856142081,-0.010976787390629,0.0056378152835346,0.0108712456366874,0.0199089220177472,0.0485282100514972,0.10290593457709,0.10290593457709,0.106692210547553,0.113885845804751,0.114343106242865,0.126967645807078,0.127062110194005,0.142706051235379
"SNAI1",-0.0655931260084178,-0.0580983415945803,-0.0685714160476521,-0.0757605743379545,-0.0707897887518625,0.013818119273895,-0.0924678456714797,-0.0638206592508082,-0.00480552346881363,0.106435046419885,0.0261896352290458,0.0204807510023481,-0.0261441618718347,0.00488768343680833,-0.0943591412193282,0.0580392753052172,0.0580392753052172,0.065675213732015,0.0645543554241867,0.0616489775245051,-0.0237401449723346,-0.0236262742732933,0.0677339814843093
"FOXC2",-0.117418862639123,-0.142360669480855,-0.0935784562394916,-0.145594156579589,-0.05509190828658,-0.143588540598027,-0.092065264465253,-0.181064212436923,-0.0164180303976102,0.130320309835333,-0.0142033583773594,0.207029018372583,0.0142991222349529,0.0166210242860829,0.104114771573097,0.142408706141754,0.142408706141754,0.117906799749451,-0.0646996042906014,0.177464098849471,-0.0245819198098655,-0.0246760608159762,0.0624839628304147
"KLF8",0.14195652173913,0.150614088732421,0.127317168628499,0.0708033060294257,-0.0408669651044129,0.0956734230050543,0.0532959956805284,0.0542620187544562,0.228424617903594,0.29041136836207,-0.112555904864636,0.188776361805509,0.112507502154084,-0.228388366317587,-0.0133521572790575,-0.150551915598529,-0.150551915598529,-0.142014325207339,-0.269842591701866,-0.163066485481269,-0.262578383996481,-0.26271249217708,-0.280383394271186
"CDH1",0.142014325207339,0.150744040120976,0.127314838658089,0.0709781404665118,-0.0408625118524257,0.0956755460120814,0.0532713519872602,0.0543320779863522,0.228388366317587,0.190275873426548,-0.112869317879244,0.188594427982088,0.112555904864636,-0.228214460390464,-0.0129279981297655,-0.150614088732421,-0.150614088732421,-0.141423672921771,-0.269868780407202,-0.163128167784941,-0.262128705888364,-0.262578383996481,-0.279927189891623
"OVOL2",0.183370629294703,-0.172470451480522,0.0789409439662875,-0.181955479550162,-0.0245962403519583,-0.174236746073711,0.104269978381469,-0.192811746267174,0.21531038323828,-0.0310728967418703,0.0441419983719632,0.14470833166824,-0.0441258124860557,-0.215209799023113,-0.127856163731573,0.172489337119149,0.172489337119149,-0.183090807775456,-0.139049960035022,0.0115900461877179,-0.147749901712574,-0.147865054756453,-0.102872821808492
"miR200a",-0.151012419161245,-0.189807150945203,-0.127525059343609,-0.186217982839669,-0.00490036580276963,-0.0920526671180238,0.0570689572208767,-0.0952561906307942,0.0880166094320884,0.0689339495854953,0.0700234388186452,0.104009243752662,-0.0699864658680559,-0.0880563785439874,-0.103417445121003,0.189867636481125,0.189867636481125,0.150994647702208,-0.121568198482482,0.208660828679381,-0.0994613817668839,-0.0995118122268817,0.00660809522818553
"miR200c",0.150794126544445,0.194033130112031,0.124455755974211,0.0896873691820866,0.00333224309782188,0.095770596905134,0.13224996121243,0.0975901128859017,0.13158022756256,0.013015687154368,0.0895156521269153,-0.0334836238384884,-0.0896502336670606,-0.131513188202501,-0.165492899755509,-0.19409049093392,-0.19409049093392,-0.150683943498417,-0.0901210694264575,-0.213055045617746,-0.104427098024836,-0.104378468652696,-0.0901244742906953
