"","miR200c","SNAI2","TWIST2","TGFbeta","ZEB1","miR141","OVOL2","miR34a","TCF3","FOXC2","TWIST1","GRHL2","NP63","miR205","CLDN7","SNAI1","miR101","KLF8","GSC","ZEB2","CDH1","miR200b","miR200a"
"miR200b",0.122183876121206,0.111319578710894,0.0839560241900016,-0.0673198335093006,0.0117773304634066,0.0116351559749112,-0.05696567972768,-0.00504098048423629,0.00942211274998634,0.0286747250098999,-0.00877878340973167,-0.0171062397127579,0.0361963914986896,0.0357947565244582,-0.0116351559749112,0.0456230803646688,-0.0883178486269873,-0.0884421236891249,0.0671971173925839,-0.236550072218469,-0.111732427924937,-0.120371753401794,-0.122183876121206
"miR200c",0.105363991710059,-0.0458546092777276,0.0369670793385723,0.1126019334168,-0.00550983010176428,-0.00572030191126386,-0.0652256053868251,-0.086916322415783,0.0587888861650636,-0.0425595607199814,-0.0595150349146384,-0.00240894350741095,0.0461945366103244,0.0475913732906159,0.00572030191126386,-0.015097907675819,0.0348859720735912,0.0347202719907412,-0.112154246842852,-0.220351423802379,-0.0618849312621534,-0.0476614914946628,-0.105363991710059
"GSC",0.0862989003721978,-0.0152609782007655,0.000965989971437089,0.0211208331480619,0.0497623378598229,0.049751236804016,0.0655149699866415,-0.0329614485575279,-0.194887380818312,0.0624865347581164,0.195047104815245,-0.045637941146607,-0.0572867574486078,-0.0574208596344734,-0.049751236804016,-0.0970227097498056,0.109213102376917,0.109188743502492,-0.0211678959983592,-0.135219494769643,0.0371564804712146,-0.085330290383431,-0.0862989003721978
"miR34a",0.141663609264137,-0.116630140538073,-0.225709877167144,0.00716917403532894,0.105806935420954,0.105730071470147,0.0968837181477239,0.037239812430002,-0.080910737458948,0.0125338077572546,0.0821350215873443,-0.0999148105195635,-0.0967856118677977,-0.0980704530129905,-0.105730071470147,-0.0113311642403728,0.075290126107717,0.0752008129546746,-0.00756681114168932,-0.0952375830290602,0.0869277559872713,-0.02203457018088,-0.141663609264137
"ZEB1",0.0141168668261102,-0.033430354167072,-0.100498708909153,0.00746766587208657,-0.0884434947250139,0.011508970321344,0.0678939988076687,0.0039410104556124,-0.0829099308899461,0.0721478293226725,0.0827134247333541,0.00124677474607896,-0.0484441293986509,-0.0480360365144113,-0.011508970321344,-0.0744516869902714,0.0424903375983308,0.0424506594323438,-0.00734211788599976,-0.0185959059463889,0.0225649855956544,-0.00203475509062702,-0.0141168668261102
"CDH1",-0.0100042688285073,-0.082546560240711,-0.0917665835693716,-0.0108118731819253,-0.0342758305497349,-0.0351758642408356,-0.0309395408101475,0.000750120063040688,-0.0586110846737233,-0.0569898273393602,0.0608049757759809,0.0337370261945026,0.0310169872312434,0.0306060986847617,0.0351758642408356,0.059222342911338,0.0254932553267796,0.0246747764681209,0.0107607243798302,-0.0167147578596557,0.0998917281088234,0.0322729414373353,0.0100042688285073
"CLDN7",-0.00909774482791284,-0.0828870134100681,-0.091506897999467,-0.0107607243798302,-0.0351758642408356,-0.0343456700412233,-0.0306948939171631,0.0019368750299281,-0.0638385774133167,-0.0600664746898591,0.0586110846737233,0.0325390909284571,0.0306060986847617,0.0347101449275362,0.0343456700412233,0.0587253617637633,0.0246747764681209,0.0254645246427595,0.0119932783040644,-0.016162554613235,0.199559149630725,0.0315940176572533,0.00909774482791284
"OVOL2",0.00514906467983253,0.0987277032257287,0.102397761237405,0.0025580442558806,0.00391285858086353,0.00408799230884784,-0.0873200821063772,-0.0116083335645183,0.0151280424989736,0.0309692321115565,-0.015342055879306,-0.00752303543675314,0.0063336157904861,0.00612942170887329,-0.00408799230884784,0.041522334595407,-0.0972596454553208,-0.0970918510199546,-0.00262693755394056,-0.00607938874575401,-0.119690175872601,-0.024229309344056,-0.00514906467983253
"TCF3",0.00909774482791284,0.0828870134100681,0.091506897999467,0.0107607243798302,0.0351758642408356,0.0343456700412233,0.0306948939171631,-0.0019368750299281,0.0638385774133167,0.0600664746898591,-0.0586110846737233,-0.0325390909284571,-0.0306060986847617,-0.0347101449275362,-0.0343456700412233,-0.0587253617637633,-0.0246747764681209,-0.0254645246427595,-0.0119932783040644,0.016162554613235,-0.199559149630725,-0.0315940176572533,-0.00909774482791284
"KLF8",0.00909774482791284,0.0828870134100681,0.091506897999467,0.0107607243798302,0.0351758642408356,0.0343456700412233,0.0306948939171631,-0.0019368750299281,0.0638385774133167,0.0600664746898591,-0.0586110846737233,-0.0325390909284571,-0.0306060986847617,-0.0347101449275362,-0.0343456700412233,-0.0587253617637633,-0.0246747764681209,-0.0254645246427595,-0.0119932783040644,0.016162554613235,-0.199559149630725,-0.0315940176572533,-0.00909774482791284
"SNAI2",0.00924990020427424,-0.0172333722236609,0.0911863011602612,0.0110622232842629,0.0347336254898239,0.0342758305497349,0.0305070462541349,-0.00153694024809341,0.0608049757759809,0.0579967907907879,-0.0604603983367354,-0.032891321036129,-0.0316599432009675,-0.0310169872312434,-0.0342758305497349,-0.0593474614622782,-0.0250999286991912,-0.0254932553267796,-0.0108118731819253,0.016595822945598,-0.100038525764167,-0.031646056022181,-0.00924990020427424
"FOXC2",-0.0142795512677416,0.0334668987508651,0.10027606259872,-0.00734211788599976,-0.011508970321344,-0.0117610565152676,-0.0680374202503763,-0.00408593799184428,0.0829944284113521,-0.072210664188591,-0.0829099308899461,-0.0010817127439562,0.0480360365144113,0.0485646350505999,0.0117610565152676,0.0743133515480702,-0.0424506594323438,-0.0426577696457872,0.00751254591001165,0.0186241752824885,-0.022694118922823,0.00218608085824194,0.0142795512677416
