"","miR200c","miR200a","GSC","TWIST2","miR200b","SNAI1","miR34a","OVOL2","NP63","CLDN7","GRHL2","miR141","ZEB1","miR205","FOXC2","TWIST1","TCF3","miR101","KLF8","ZEB2","CDH1","TGFbeta","SNAI2"
"miR205",0.112477480058032,0.102452693844767,0.0632027413506545,-0.0215099066316306,0.0812411168988879,-0.0645471530595612,0.00937192807145678,0.0697847397131291,0.0499119548835956,0.00858212380667328,0.00120867168821924,-0.00858212380667328,-0.0086299492995243,-0.0495750209820992,0.0696234047818978,0.051904406685992,0.0516614183411957,-0.0696712524821654,-0.0699328458234258,-0.218673083323443,-0.0355553131103485,-0.0631344982146443,-0.0803138880482925
"miR200b",0.0847607008252896,0.0936506102370131,0.142131716380113,0.0446740457082569,0.0126987040415941,0.0250464781937227,0.0850807255828824,0.0628060713428115,0.0409890410547141,-0.00733623870602711,0.014544414178312,0.00733623870602711,0.00726414708941167,-0.040580297496868,-0.0233146634548857,-0.0731513478358063,-0.0729576095747181,-0.0610476471461616,-0.0613520309940057,-0.174968999751965,-0.0186905225310749,-0.142165804190312,-0.1554083965537
"miR200a",0.0847607008252896,0.0936506102370131,0.142131716380113,0.0446740457082569,0.0126987040415941,0.0250464781937227,0.0850807255828824,0.0628060713428115,0.0409890410547141,-0.00733623870602711,0.014544414178312,0.00733623870602711,0.00726414708941167,-0.040580297496868,-0.0233146634548857,-0.0731513478358063,-0.0729576095747181,-0.0610476471461616,-0.0613520309940057,-0.174968999751965,-0.0186905225310749,-0.142165804190312,-0.1554083965537
"TGFbeta",0.0903582298821759,0.0482337307776021,0.0415277869393159,-0.0884487569221911,0.132578796994425,-0.0122111591540231,-0.0318760273985565,0.0298906098777529,0.0324831791005594,0.0374586120299138,-0.0354487671571265,-0.0374586120299138,-0.0375448986352478,-0.0325186110983789,0.0103457662725368,0.0667292830905528,0.0669312207848328,0.0440424354467527,0.0440763663799919,-0.144440784233923,-0.0137860310116446,-0.141285826582587,0.100802541646776
"miR34a",0.128954417402177,-0.0416902546726112,-0.00909276608288899,0.0227298147263541,-0.0773502774667037,-0.0601990137805578,-0.00128425088193801,0.0852908628103019,0.0783221969484166,0.0756933561944244,-0.0677688555906157,-0.0756933561944244,-0.0757083482343651,-0.0783278737134175,0.0368005294932491,0.0330270274322101,0.0327742973967019,-0.10724315453685,-0.107145198175448,-0.10895274527578,0.086606933966181,0.00923939099464251,-0.137832111435346
"CLDN7",0.0652149413657467,0.0361347299717029,0.230124074381844,-0.20853990891763,0.223709667128479,-0.0577307088129168,-0.00644071825170561,0.0312707373775626,0.0289069699254419,0.0284312457854113,-0.0253506941073378,-0.0284312457854113,-0.0280984366569324,-0.0293115942028985,-0.029272554554671,0.160385750921955,0.162418664765131,0.175026393826483,0.175488322004102,-0.102492815943132,0.00282863083750257,-0.229326539489693,0.201430352077436
"CDH1",0.0647882169532889,0.036094392838187,0.229326539489693,-0.208624131264626,0.22368452180329,-0.0581291151874188,-0.00648310235766588,0.0311472489458657,0.0289583309937521,0.0280984366569324,-0.0251007184556156,-0.0280984366569324,-0.0281048540094536,-0.0289069699254419,-0.0293143730623477,0.159583626087958,0.160385750921955,0.175275496087814,0.175026393826483,-0.102107609646233,-0.0972973889277027,-0.229250839262592,0.201615768111209
"SNAI2",0.0646306294409336,0.0359293455619333,0.229250839262592,-0.208744992154492,0.223627414897227,-0.0581251078316947,-0.00659039601926398,0.03113918377932,0.0287819928585957,0.0281048540094536,-0.0251007184556156,-0.0281048540094536,-0.0280704036976012,-0.0289583309937521,-0.0287631528670656,0.159930470484041,0.159583626087958,0.175263703225964,0.175275496087814,-0.102064793077173,-0.0972314839663526,-0.229132343086787,0.101643587542742
"TWIST1",0.0697157535816227,0.0174261343409899,0.0128292329689311,0.0793469664691031,-0.0198661042911684,-0.00321028601582164,0.0440428967967375,0.0730869322469854,0.0658845552049403,0.0601312147521446,-0.0555377940298506,-0.0601312147521446,-0.060099747528035,-0.065672441134707,-0.100520955060967,-0.0871110381050927,0.0128211553152183,-0.02379970815062,-0.023948092356167,-0.0844488186585215,0.0684785038548814,-0.0128539878486193,-0.100824420453462
"GRHL2",-0.0548811297181185,0.100571436597438,0.123542746349105,-0.0645726524732909,0.16058404307217,0.0601308041439084,-0.0696255041902802,-0.0792346788218264,-0.169119433251686,-0.0687558099669355,-0.0516452799709567,0.0687558099669355,0.0687324458380791,0.168843473031612,-0.0798495080831569,-0.00553805425355778,-0.00565077753236002,0.130272890088585,0.13054138782176,-0.0736731059679925,-0.048578407112685,-0.123273894871531,0.127716629321326
