"","KLF8","ZEB2","FOXC2","miR141","CLDN7","GRHL2","NP63","miR34a","miR200c","miR200a","OVOL2","GSC","miR200b","TGFbeta","miR205","CDH1","ZEB1","SNAI1","TWIST1","TCF3","SNAI2","TWIST2","miR101"
"NP63",-0.279107348681235,-0.126728447427976,-0.0463834970278744,-0.131875125578233,-0.131875125578233,-0.164314976542535,-0.0667013236808761,-0.123161688972417,-0.0415690555452132,-0.0415690555452132,0.0174231630300247,0.0411830002099018,-0.0652759740719743,-0.0416177604926671,-0.0330460967834403,0.132270828128887,0.131725501673694,0.000342432662848249,0.17380562694723,0.173691187364598,0.310925621199509,0.314768961289603,0.279101865924505
"TWIST2",0.0866373750724844,-0.113366101013945,0.184563402444069,0.16431969301341,0.16431969301341,0.151874881834351,0.116533758761495,-0.0163544741687215,0.142675001140097,0.142675001140097,0.0954717642095379,0.102973314515566,-0.038422112321443,-0.102779292362657,-0.116648439623484,-0.218274382373071,-0.164234997685213,-0.26880173172539,-0.0950215978097363,-0.0947893478346711,0.0541528994956944,0.0697301865933892,-0.0869302326498484
"TWIST1",0.0599039162362376,-0.0993985413575496,0.0818672249051211,-0.0676228890979647,-0.0676228890979647,-0.0631423395988786,-0.0548181322529204,-0.0967567249942311,0.0191811934120637,0.0191811934120637,-0.0521029859308395,-0.014450581077515,0.0399391721872738,0.0145442735968411,0.0547788518695438,-0.135205353005094,0.0676437438464922,-0.185469935880611,-0.0857127273166873,0.0143371064346504,0.0445595950990953,0.102221137448529,-0.0598750360888493
"ZEB2",-0.12136072568019,-0.0927862083614646,-0.0588997175791122,-0.0397542214180369,-0.0397542214180369,-0.035964426140054,-0.0264394692869515,-0.0226133960384031,-0.0223883108584747,-0.0223883108584747,-0.0223633899582244,-0.0160227331060678,-0.000941058851965064,0.0159334413436947,0.0265014463554362,0.0348574096750696,0.0397102776758467,0.0515454312575017,0.0560978922324448,0.0561482275304784,0.103266738024691,0.114157196802509,0.121459167514986
"CDH1",-0.28501108983268,-0.0525599500192428,0.0397976417344517,0.0718437184423469,0.0718437184423469,0.0649417924496435,0.0488977674651189,0.0174131113913759,0.0635849485633167,0.0635849485633167,0.039401511196539,0.261547701908817,-0.271203225618883,-0.26247451820278,-0.0480246293038452,0.078761835624469,-0.0721581687158865,-0.0906042104304391,0.110025907862959,0.112017939735469,0.38731536257011,0.354182440218614,0.283804399657661
"SNAI2",-0.283804399657661,-0.0524962009053079,0.0412221576663703,0.0721581687158865,0.0721581687158865,0.0651243392629181,0.0492043245308524,0.0173358138072138,0.063712697020078,0.063712697020078,0.0394851872994505,0.26247451820278,-0.271223551805788,-0.262827421359087,-0.0488977674651189,0.0785546764157392,-0.0722639191756525,-0.0910650563387063,0.109069252077685,0.110025907862959,0.287018395792844,0.35389192366968,0.283129431741182
"ZEB1",-0.107169575833743,-0.0505137974425968,-0.254111531491761,-0.26271329694504,-0.26271329694504,-0.22824300249123,-0.125337193509942,-0.204076545593576,-0.223779696053683,-0.223779696053683,-0.0921482513537845,-0.17168703861937,0.225386781146248,0.171557831675583,0.125348689084146,0.22818907362611,0.162613046364032,0.221170989289453,0.216786664277728,0.21670313413777,0.0636379193259055,0.173557856544271,0.10741866654244
"FOXC2",-0.106377079727758,-0.0504600352230501,-0.254075722374625,-0.262837852180824,-0.262837852180824,-0.228338564702986,-0.125348689084146,-0.20412852382387,-0.223897877152619,-0.223897877152619,-0.0922222322469502,-0.171896545680735,0.225542210663493,0.17168703861937,0.125484227170349,0.228221166575996,0.26271329694504,0.221288078673978,0.21670313413777,0.216106018319834,0.0634748466093728,0.173277958325442,0.107169575833743
"OVOL2",-0.125820816697566,-0.0462057163441626,0.077408622575228,-0.109117022663908,-0.109117022663908,-0.0677808348781994,-0.0246119083724721,-0.136180630808316,-0.0889897171812342,-0.0889897171812342,-0.0807496673493421,-0.0277151631956441,-0.0108556403947315,0.027593222058078,0.0247123848253292,-0.00139154893658684,0.109047050693456,-0.0890721240991865,0.0101959340751861,0.0103595913660285,0.151718359440524,0.164793228634314,0.12583068695847
"GSC",0.195138026959888,-0.037629773153763,0.285704768785893,0.156899094592428,0.156899094592428,0.145660171071109,0.117696782591063,0.0288779375997876,0.106810747014479,0.106810747014479,0.0990271647128228,0.0874296291665416,-0.00924060643555574,-0.0872493234413764,-0.117836632013465,-0.0747391747381557,-0.156825007111281,-0.136437590022346,-0.266136924819687,-0.266191230978644,-0.149793482243945,-0.0938284314844232,-0.195235462457588
