"","KLF8","SNAI2","ZEB2","TWIST1","TCF3","SNAI1","NP63","miR205","CDH1","ZEB1","GRHL2","miR34a","GSC","TGFbeta","miR141","CLDN7","miR200c","miR200a","miR200b","FOXC2","OVOL2","TWIST2","miR101"
"SNAI1",0.412273619903962,0.335523212925165,-0.194664855499347,0.418003706988716,0.416383527036846,0.289883983932532,-0.166350316124342,-0.166009713330909,-0.0902309192895615,-0.154480341263316,0.139486648670652,0.293744106825942,0.0745914944536754,0.074903155899964,0.154358116510294,0.154358116510294,-0.00637324904406411,-0.170789111374542,0.00858085863128323,-0.141136716868578,0.18626186318996,-0.32139508140539,-0.413815085997012
"NP63",0.263322929874664,0.238988050917784,-0.110724171715165,0.213996667379942,0.213379591199083,0.127882159963128,-0.172014448867149,-0.0715684041551972,0.119245905518485,0.0292372893907808,0.0306561344564667,0.010187332247628,0.0971534870509951,0.0974324867600138,-0.0293604492033608,-0.0293604492033608,-0.0552912359692333,-0.0199849952453132,-0.121026323094019,-0.0116259666470777,0.108870211750536,-0.230593037799144,-0.263997308952464
"miR34a",0.329044846529064,0.330245071687128,-0.0816251761878735,0.345334295965061,0.343510073247701,0.334932704599359,-0.189034598390379,-0.188752652395336,0.0710124139935228,-0.171731039274407,0.15015568363269,0.22610401521875,0.120905669257381,0.121189264765711,0.171634899843676,0.171634899843676,0.108855598505801,-0.176103285843595,-0.0261780807878189,-0.115232292635473,0.21573922860314,-0.428469163606261,-0.330751400001713
"SNAI2",0.33634509218589,0.208502784461334,-0.0800737379157468,0.269613360122229,0.268139838178086,0.183255035676433,0.011958986881885,0.0121298992282674,0.171318284078536,-0.00189321427922637,0.00255641687903739,0.0684007653053745,0.200555650383691,0.200749984112012,0.00187898852856093,0.00187898852856093,-0.0378411976494689,-0.0401136422422817,-0.20837062860772,-0.0250971159439946,-0.0199009531251374,-0.305352289755173,-0.337686009948021
"ZEB2",-0.134490369542302,-0.130379806783287,-0.0793871175480714,-0.0492265505152603,-0.0486209032195648,-0.0427960213523342,-0.0216901490434123,-0.0215042178379584,-0.00326270202204285,-0.00193034187817257,-0.00110163023478942,-0.000787719850580645,0.000657016139816582,0.000735223407550234,0.00182846113510599,0.00182846113510599,0.0101978320668443,0.0106871919788756,0.0161905468145821,0.021427517531196,0.0327592015994894,0.115644897456423,0.134968657648739
"KLF8",0.329905430413722,0.306626140099772,-0.07926364062,0.266211551325497,0.261274474849214,0.181074381787423,0.0131314400603167,0.0134782608695652,0.0711124887873706,-0.00155972524063037,0.0024520282723562,0.0672013951771584,0.199439329307702,0.199874348339785,0.00159264042916125,0.00159264042916125,-0.0375309462304701,-0.0394704816958227,-0.207800052225208,-0.0249888423533575,-0.0205075929796869,-0.30210730267113,-0.334271396737668
"CLDN7",0.329905430413722,0.306626140099772,-0.07926364062,0.266211551325497,0.261274474849214,0.181074381787423,0.0131314400603167,0.0134782608695652,0.0711124887873706,-0.00155972524063037,0.0024520282723562,0.0672013951771584,0.199439329307702,0.199874348339785,0.00159264042916125,0.00159264042916125,-0.0375309462304701,-0.0394704816958227,-0.207800052225208,-0.0249888423533575,-0.0205075929796869,-0.30210730267113,-0.334271396737668
"miR200b",0.156841984548843,0.160929001572809,-0.0358255089141084,0.17496917873347,0.173896963166378,0.153120805596918,-0.136052293822188,-0.136389951543887,0.084643739729901,-0.0382665683847548,0.0146736787771191,0.144979962821206,-0.0397852038718655,-0.0399283726747016,0.038416331464473,0.038416331464473,0.00565602682280609,-0.0371056496022353,-0.0173342392563723,-0.0656822912756567,0.184043823489058,-0.159045305385598,-0.157670484963093
"miR200a",0.156841984548843,0.160929001572809,-0.0358255089141084,0.17496917873347,0.173896963166378,0.153120805596918,-0.136052293822188,-0.136389951543887,0.084643739729901,-0.0382665683847548,0.0146736787771191,0.144979962821206,-0.0397852038718655,-0.0399283726747016,0.038416331464473,0.038416331464473,0.00565602682280609,-0.0371056496022353,-0.0173342392563723,-0.0656822912756567,0.184043823489058,-0.159045305385598,-0.157670484963093
"miR205",-0.00812201938264595,0.00932840058954688,-0.00341301316809563,-0.074303906658924,-0.0737685086110677,-0.0825119805030544,0.116639146674785,0.117213916271455,-0.0642920414136563,0.0137357417106941,0.00699237290352737,-0.0226838868254848,-0.0389720406850734,-0.0386355861540466,-0.0140003346971167,-0.0140003346971167,-0.00835331761890372,0.00669857126268834,-0.015362268309417,0.0715770664914417,-0.164842018480223,0.084301975133933,0.00837610286721945
