"","miR101","NP63","miR205","miR34a","ZEB2","TWIST2","miR200a","SNAI1","TCF3","FOXC2","TGFbeta","GSC","CDH1","miR200b","TWIST1","miR200c","SNAI2","OVOL2","miR141","CLDN7","ZEB1","KLF8","GRHL2"
"miR34a",-0.213012513863282,0.0445859250141669,0.044326686079128,0.122619097030368,-0.158388526937058,-0.286642028606321,-0.0075384435798967,-0.299799736145321,-0.292149728045743,0.118584640881612,0.018655571095517,-0.0185976452044539,-0.0210806895732615,-0.0508462927074308,0.292484339463472,0.0075384435798967,0.161506858383164,-0.0509377409684426,-0.0269623785178516,-0.0269623785178516,-0.0268264982828335,0.212732089769858,-0.033901595345594
"TGFbeta",-0.259612407722122,-0.139306832209781,-0.139473090045703,0.107479705229179,-0.0873504401371639,-0.226878937312796,-0.111353818738185,-0.303091173148663,-0.305983125955843,0.0123818070495405,0.0899808676959747,-0.189925698997044,-0.0789997239957738,-0.067649249752882,0.306355235864403,0.111353818738185,0.23494631008638,0.129985573183217,0.142003832686907,0.142003832686907,0.142145356443171,0.259301489578767,0.152333793720479
"SNAI2",-0.296266082717125,-0.153241714669292,-0.153054524956587,-0.0253081894500897,-0.0862844674202491,-0.229084807349623,-0.123865276320182,-0.189803722348973,-0.272139149926479,0.0296083946961554,0.177690884580617,-0.177651673118805,-0.0730164838179128,-0.132552428552081,0.272597075207581,0.123865276320182,0.139147609984837,0.136672016290506,0.165805273404966,0.165805273404966,0.165930220058401,0.295967098984337,0.179864895533013
"KLF8",-0.295375076726888,-0.154184468459412,-0.157826086956522,-0.0247798656501505,-0.0860683213239093,-0.228284614230831,-0.123362918817306,-0.189214007720387,-0.272354636479781,0.0292227342549923,0.177440940054174,-0.177241556331136,-0.173131726170948,-0.132563286817627,0.271676998532056,0.123362918817306,0.23892996975956,0.13600399189132,0.164894797522139,0.164894797522139,0.165359267404741,0.295091959456735,0.179590681170023
"CLDN7",-0.295375076726888,-0.154184468459412,-0.157826086956522,-0.0247798656501505,-0.0860683213239093,-0.228284614230831,-0.123362918817306,-0.189214007720387,-0.272354636479781,0.0292227342549923,0.177440940054174,-0.177241556331136,-0.173131726170948,-0.132563286817627,0.271676998532056,0.123362918817306,0.23892996975956,0.13600399189132,0.164894797522139,0.164894797522139,0.165359267404741,0.295091959456735,0.179590681170023
"ZEB2",-0.105997516980389,-0.101359622195159,-0.100910288448645,-0.0896803476474792,-0.0858570775214749,-0.0596553507109865,-0.0322379145313051,-0.0238203007892737,-0.0209410731819476,-0.00881404407700484,-0.00421189686625995,0.00423468166079653,0.00734710661466322,0.0129135908709517,0.0211732650406191,0.0322379145313051,0.0957412173150043,0.0959403720538634,0.096767750025547,0.096767750025547,0.0968426262343068,0.105841402151469,0.108284409508121
"NP63",0.25303181053852,0.129060961818838,0.229318915387196,0.166484653258559,-0.0460262446617089,0.181220472891199,0.124517230108738,0.0909786390886455,0.185628521554115,-0.0141870091894501,0.0253457229526028,-0.0255408515834503,0.0814890227685492,0.0519839646452695,-0.185814766365065,-0.124517230108738,-0.238466656487378,0.0296281796983737,-0.215959603691091,-0.215959603691091,-0.216343333024501,-0.25268365548616,-0.302739363681118
"miR205",-0.0900382430422776,0.14306536788196,0.142411319720231,0.210013550548631,-0.035177958636102,-0.176223221335358,0.0717474250903276,-0.155472211159769,-0.147934263676348,0.107623026299612,0.0197301613013354,-0.0196650922646746,-0.0467084245192674,-0.0952163338137705,0.147921908336782,-0.0717474250903276,0.0679699356561914,-0.118663233073434,-0.177686049742018,-0.177686049742018,-0.177595988748986,0.0899043172646945,-0.202487737611161
"GSC",0.0864329595216413,0.0890341857627594,0.0888387797204981,-0.0125241405683365,-0.00866490780636018,-0.00894701510724845,0.0287788129601065,0.096996952307916,0.194503872276015,0.13279040807651,0.00787770290566694,-0.00782819523197751,-0.0133739061800208,-0.0280013110103343,-0.194543803275249,-0.0287788129601065,0.0188884121370117,-0.0872536649424184,-0.082176118097736,-0.082176118097736,-0.0820918948699834,-0.0864923951752386,-0.0914143379003116
"miR200b",0.10998502825244,0.169731146562058,0.169692049352177,0.106957767063371,0.00196376049869973,-0.00420198930761666,0.10920654983454,0.134341930624349,0.117854118124409,0.0211224950500894,-0.0879226184929283,0.0879385261376879,-0.00414067750354402,-0.0404067029389938,-0.117911795927328,-0.10920654983454,-0.097630294658814,-0.141990531979492,-0.21586656293275,-0.21586656293275,-0.215868125289766,-0.109988630428155,-0.234080690425482
