"","KLF8","ZEB2","SNAI1","miR34a","SNAI2","NP63","miR205","ZEB1","FOXC2","miR200b","TCF3","GSC","TGFbeta","miR200c","miR200a","TWIST1","CDH1","miR141","CLDN7","OVOL2","GRHL2","TWIST2","miR101"
"TWIST2",0.0935470372621723,-0.124130029266426,-0.0351537178801548,0.0522268884104127,0.157664797822394,0.106418706311359,0.106108896818522,0.106994925232449,-0.0117105126658273,-0.0474561830139711,-0.0776789414574897,0.0334679664092352,0.0336816363750971,0.0112035101564537,0.0112035101564537,0.0774652144865708,-0.204754569445788,-0.10704647423144,-0.10704647423144,-0.0994435031518121,-0.117164131840687,-0.119127987824764,-0.093509669678117
"SNAI1",0.0784993412894599,-0.104609253967232,-0.0896944463827977,-0.0115333238732309,0.0654366811960401,-0.118392467695103,-0.118268723514755,-0.116964939706677,-0.0619745181470342,0.0522205120432745,0.0104429162652828,-0.0925226533175357,-0.0926223771741753,0.112461328357539,0.112461328357539,-0.0103289774039561,0.0559987086159588,0.117010416888945,0.117010416888945,0.112627222109487,0.126284464051651,-0.00956205781902475,-0.0785601763204546
"ZEB2",-0.0932482703951305,-0.0876400618373997,-0.0632700886311876,-0.0542481663433086,-0.0469484938814842,-0.0289450131159101,-0.0289372659823495,-0.0269108693191468,-0.0113848697677333,-0.00685731251769943,-0.00574901902956721,-0.0033983252251,-0.00312059705385687,0.00306724215122167,0.00306724215122167,0.00591950955516515,0.0248793982859624,0.0269827995787095,0.0269827995787095,0.0275931944387109,0.0309300308633741,0.0559112096801725,0.092839587626429
"GSC",-0.0889112572311269,-0.0766024658660767,-0.0322511528817483,-0.0690271643105431,-0.0171198300944789,-0.0862672422978632,-0.0861829494953191,-0.0797617207552522,-0.106466116221755,0.0871227392252584,-0.0153516803970971,-0.0817075934612592,-0.0816617530226578,0.0774602798998926,0.0774602798998926,0.0154986264742757,-0.0286217022236024,0.07977426977486,0.07977426977486,0.0845858674476341,0.0884589250380238,-0.0293390670948149,0.0887962833438403
"NP63",-0.00776818579445539,-0.0715270854889103,0.0777253892444227,0.0391692014811971,-0.0431930904453034,-0.00287159248169918,0.0973863610866585,0.0243916310960555,-0.0746084217597013,0.0985741874488729,-0.12536595772366,-0.108913372210393,-0.109242009904452,0.00714688590648352,0.00714688590648352,0.125475909479522,0.0830006780698137,-0.0244374343321389,-0.0244374343321389,0.141304532870776,-0.139771971012901,0.0403612075433125,0.00801765122567421
"miR200a",0.0133249899986217,-0.0276593536026408,0.166287694882108,-0.0571493740302185,-0.116004009404007,-0.129231713720447,-0.129036227671042,-0.166903700641697,-0.0168066698714387,0.13633139847264,-0.0227250400511678,-0.217134677602793,-0.217057411899676,0.0934708715313932,0.0934708715313932,0.0228862421157373,0.0900502325127275,0.166952580096926,0.166952580096926,0.10656341869014,0.186602042926409,0.0223642995451874,-0.0135195074871848
"miR34a",0.0178607563512881,-0.017093175446377,-0.0112936046732129,-0.0399120433693094,0.0702076339565018,-0.0725214289149526,-0.0725535972499575,-0.0612898224150539,0.0601007090100962,0.00174760382125954,-0.0177977441682234,-0.0519232228779965,-0.0517747877821472,0.083836245442533,0.083836245442533,0.0178190018347615,-0.0271509493167705,0.0612743544373373,0.0612743544373373,0.0742284175721791,0.0683191579529488,-0.00798943260336552,-0.0179577523562051
"OVOL2",-0.0897103136956135,-0.00743261607511272,0.179504066131069,-0.0917613564306803,-0.138398727700569,-0.339946299146086,-0.339616779596393,-0.171890844375604,-0.0368289006565039,0.14040369646014,-0.0556123486339862,-0.342674519095294,-0.342943202957728,0.185631806470924,0.185631806470924,0.0557490294483161,0.252885750054158,0.17193445797272,0.17193445797272,0.205448639671453,0.200365618767602,0.121160256672209,0.0897673418697249
"CDH1",0.0185823105397941,-0.00392711526296227,0.0219476339275591,0.0537983660539211,0.0110330165546839,0.0824174318226674,0.0830080841082349,0.0755577845427002,-0.051501368182446,-0.0284170613007365,-0.0926749258887873,0.0423655288426292,0.0419215572404441,-0.0343255051903392,-0.0343255051903392,0.0934451782128245,-0.0210453823793946,-0.0755144674131819,-0.0755144674131819,-0.0819940380891146,-0.0834220880837323,0.0249141321827759,-0.0186373071429451
"TCF3",0.0177329587293337,-0.00316560917314018,0.0225062243083042,0.0525798230075635,0.0104914341283528,0.0830080841082349,0.0832971014492754,0.0755144674131819,-0.0498584982380049,-0.0282055447418003,-0.0916100662566479,0.0428730510467256,0.0423655288426292,-0.0334699333583965,-0.0334699333583965,0.0926749258887873,0.0781786011717098,-0.0748451919130539,-0.0748451919130539,-0.0815350339184676,-0.0828604544766161,0.0243175572248871,-0.0185823105397941
