"","miR200a","GSC","TGFbeta","miR101","KLF8","ZEB1","CLDN7","NP63","TWIST2","SNAI2","TWIST1","FOXC2","TCF3","miR34a","GRHL2","miR205","miR141","OVOL2","SNAI1","CDH1","ZEB2","miR200b","miR200c"
"miR200c",0.141649167837785,-0.0104410948617625,-0.0105638109784792,0.0122172567867078,0.0118048076674398,0.0257297788785407,0.0256411709163229,-0.029369666870882,0.0252541471549886,0.0961729393131453,0.0195062931574821,0.0109263330364122,-0.0192445246673095,-0.00974000491474585,-0.0290775660816632,0.0295722615039014,-0.0256411709163229,0.0533060885811464,0.0561490974914627,-0.138275919529225,-0.262478435972865,-0.141621068421185,-0.141649167837785
"NP63",0.140419539438452,0.164332347219757,0.163935243339436,0.0673798259697199,0.0659022230309623,0.0959948819196853,0.0956674736024962,0.0922465707384665,0.0624533191797424,0.0563127400716826,0.134081959996966,-0.0070485887047975,-0.133096882020976,-0.0723846331403243,0.0331293326392403,-0.191435091804675,-0.0956674736024962,-0.207592845201279,-0.0879164931850714,-0.0842406898773579,-0.207386952082674,-0.0992303546111385,-0.140419539438452
"miR200a",0.114303119018418,0.164090978598854,0.164060299569675,0.0176849319771373,0.0181874354892586,0.0255534567561307,0.0258701688427477,0.0693715646509356,0.000466560813268472,-0.0757360379892623,-0.0139024393996767,-0.0130758266011675,0.013557851500184,-0.0176776515987341,-0.0106579274248818,-0.0701570631403616,-0.0258701688427477,-0.0933916631444826,-0.101408988598408,0.00933216788106616,-0.200085676520757,-0.0241832253044528,-0.114303119018418
"miR101",0.00298314918000191,0.0330344606930676,0.0329128867719313,0.118901369013347,0.218628885827554,-0.105894961155248,-0.106001747352144,-0.101692385582195,-0.0328212820483898,0.0981193397390459,0.0196257293137666,0.0572452701281759,-0.019450047592304,0.0847903323144162,0.0945368945512756,0.101862971347469,0.106001747352144,0.107514237215966,-0.0598708362992652,-0.0297557922444858,-0.11554463146405,-0.126925277450572,-0.00298314918000191
"SNAI1",0.113350539119201,0.0380693001441304,0.0381666821489507,-0.117917320692063,-0.11768365177814,0.11839540948465,0.118446445847094,0.111943770227825,0.0127894921646066,-0.0967114118421768,-0.0252061498064795,-0.0471301925514528,0.0250523578905184,-0.130241956268643,-0.109414088344125,-0.112035659470658,-0.118446445847094,-0.113862386766207,-0.0615380730799039,-0.0476723853519781,-0.106409879136725,0.0371493348815473,-0.113350539119201
"TWIST2",0.0122743337463001,0.0435314001038202,0.0434410747414954,0.136959416518862,0.136625715303112,-0.0714209206840126,-0.0714907647348384,-0.0768745566284388,0.120957446711485,0.16797363278811,0.210178909361562,-0.0525460389022508,-0.209962332697697,0.0625915483531339,0.0649387278710927,0.0769995074183674,0.0714907647348384,0.0850486794004456,-0.0748577999309831,-0.19444123081587,-0.101981777619588,-0.117957212937682,-0.0122743337463001
"CLDN7",0.0312535154299975,0.0355168750269299,0.0369850642602088,0.0901632384480503,0.0924430775182336,-0.0222975291207297,-0.0221036952327145,-0.0241226857669431,0.0827943627340774,0.0964475033531761,0.133649397122575,0.00597840946883736,-0.135391894702439,0.0395768451710621,0.0201276035102855,0.0239492753623188,0.0221036952327145,0.0268583580219732,-0.0860853243492475,-0.236831994639896,-0.0877726043926422,-0.0669837420438626,-0.0312535154299975
"SNAI2",0.0312698390580482,0.0363242217371407,0.0365745718394783,0.0909963885508233,0.0915187429610068,-0.0223804921435287,-0.022319989854554,-0.0242921497036104,0.0831844455438144,-0.00372252155684574,0.1341929187199,0.00727302816662938,-0.1345896361664,0.0401385007100448,0.0202972998146916,0.0241483663010982,0.022319989854554,0.0270159891924906,-0.0856687930582973,-0.136753559889492,-0.0874804478404284,-0.0673217692721643,-0.0312698390580482
"ZEB1",0.02317933149914,0.0144032407187514,0.0142164051911869,-0.0325574671045861,-0.0334561040861064,-0.0740129978737887,0.0256706174730029,0.0706507042415156,0.0702005308182299,-0.0214958398754686,0.00417700939177856,-0.0936240948322083,-0.00357306845179406,-0.0285156376279384,-0.00534328141166727,-0.0699207352795659,-0.0256706174730029,-0.0975274483298772,0.0708633339172229,0.0758349574600201,-0.0184614944813864,0.0152303525272614,-0.02317933149914
"OVOL2",-0.116629824063114,-0.259790004141738,-0.259767958286358,-0.131062043402664,-0.131146488968175,-0.115744453789806,-0.115884533598613,-0.277116642496939,-0.113343189660478,-0.103547091344549,-0.0464080414792136,0.00202500169789213,0.0464637928640061,0.0656590432427661,-0.0333591379703031,0.277422393423375,0.115884533598613,0.261771921566727,0.148163909182019,-0.153969561069782,0.0179873477090042,-0.0083280960487539,0.116629824063114
"FOXC2",-0.0232881174479512,-0.0139722857790525,-0.0144032407187514,0.0334561040861064,0.0318796701474179,-0.0256706174730029,-0.0262814907624939,-0.0699207352795659,-0.0693997992660671,0.0212869965654638,-0.00357306845179406,0.0950895660599204,0.00462083771722894,0.0294757061169007,0.00574252749002828,0.071208347098487,0.0262814907624939,0.0978706448920359,-0.0699162318794899,-0.0758468155330289,0.0187658946540313,-0.0157735863845638,0.0232881174479512
"GRHL2",0.103608972238169,0.133830861233628,0.133981085461303,0.00225205643036877,0.00264555966554638,0.114853901239009,0.114985133402025,0.0957954660385811,0.0315622819539178,-0.00363090537608466,0.00381702864820224,-0.0296626790973228,-0.00407426895110992,-0.107127616423777,-0.0539055631091108,-0.0960193582926034,-0.114985133402025,-0.221707224671585,-0.0217053749382613,0.123719220026896,0.022568677698349,0.112744876272453,-0.103608972238169
