"","miR101","TWIST2","ZEB2","SNAI2","miR205","NP63","FOXC2","CDH1","miR34a","TWIST1","GSC","TGFbeta","miR200c","miR141","GRHL2","CLDN7","ZEB1","miR200a","TCF3","miR200b","OVOL2","SNAI1","KLF8"
"ZEB2",-0.108206103232596,-0.0887272226879978,-0.0872067478308573,-0.0799459105030822,-0.0195132656686056,-0.0194048057987574,-0.0177607044560191,-0.00930378615297341,-0.00752525158291105,-0.0051421093541179,-0.00485838000050941,-0.00485160614267421,-0.00407529779600123,-0.00165421910486417,-0.000921758822261916,0.00165421910486417,0.00170945565230991,0.00407529779600123,0.00495862907418869,0.00808691167258869,0.0274336064455529,0.0574349433923492,0.107896856660659
"GRHL2",-0.068559454810134,-0.0908327378737026,-0.0694842461091961,-0.0832386951361393,0.215096363396916,0.214889827131578,0.0203750117912037,-0.102788867588165,0.114968741945917,0.0642372562118614,0.0938259562467824,0.0938985738623747,-0.0824483045391749,0.101432155386472,0.0345561926859405,-0.101432155386472,-0.101420145787527,0.0824483045391749,-0.0642863920000572,0.132122479924161,-0.105612085792747,-0.0993435068902505,0.0687680907536175
"NP63",-0.0905206982784333,-0.0492086876407216,-0.0636747819983613,-0.0795888389170571,0.358498125185121,0.259132261040667,-0.0916679885975969,-0.1385838730666,-0.0307828099914408,0.00766569690653522,0.0158307531419948,0.0157571519917629,0.0197175021250574,-0.00124884640808486,0.157076571234552,0.00124884640808486,0.00127497121681394,-0.0197175021250574,-0.00786091737102529,0.0846511040006677,-0.160639765558268,0.115728601149849,0.089977905362155
"SNAI1",-0.361330272836111,0.000787368542440952,-0.0409740837863654,-0.188994202531973,0.155482664323234,0.156477518525635,-0.226137753522106,-0.210718222894337,-0.313123024958185,-0.371516863501399,0.0100412168158873,0.0100148709829199,0.0956971512920891,-0.133537501895692,0.143325815316092,0.133537501895692,0.13370651641519,-0.0956971512920891,0.370368788965968,-0.00409646757481341,-0.167203311007793,0.377557772121636,0.359909228906979
"miR101",0.314831929394754,-0.00139528994678899,-0.0276654205387749,0.177630076045595,-0.161654252021638,-0.162488810073286,0.19736288318047,0.137822648116441,0.193071476393617,0.314296521580668,-0.0123470823357735,-0.0123613358299757,-0.0486241959711097,0.11716718570153,-0.132480971587988,-0.11716718570153,-0.117298361338457,0.0486241959711097,-0.313132220979422,-0.00411370834231077,0.178208921697364,-0.39146458454588,-0.413328619720936
"TWIST1",0.163559587191188,-0.0699421689446557,-0.0271207947846745,0.0409032551343268,-0.169350789329068,-0.169704312779457,0.0416320785269011,0.184298323029367,0.182133625741976,0.251560173244642,-0.0168840053236549,-0.0169708040790172,-0.0510178082094547,0.137601172697126,-0.152699991472466,-0.137601172697126,-0.137729879813779,0.0510178082094547,-0.350601894714819,0.0145500812760795,0.181414646916952,-0.309919356352628,-0.162510939080846
"GSC",0.171659674335677,0.0283739930516183,-0.0100683895958214,0.0916197748457026,0.0813494767506651,0.0812211218013366,0.0114941810148973,0.0347465023242589,0.0528311690905604,0.0304459986172974,0.0214838951003894,0.0213873245764026,0.0332935727630285,-0.0507002095089479,0.0576785932662229,0.0507002095089479,0.0506130903535935,-0.0332935727630285,-0.0297240461511588,-0.0682426190613224,-0.0957121869737135,-0.18289715366281,-0.171021471825738
"TWIST2",0.0629325934395931,-0.0591679240748438,-0.00600593587951822,-0.0242231046364336,0.106097594132939,0.106178041901797,0.0780031434440027,0.10853735421106,0.0310212731352612,0.0311686401127133,0.0166766075899595,0.0165600851436976,0.0355037311802345,-0.0656233624654742,0.0744423947398131,0.0656233624654742,0.0655505051119934,-0.0355037311802345,-0.0305816033659228,-0.0275641882143174,-0.123882822397762,-0.13673980933489,-0.0625093838248268
"miR205",-0.0283518598550672,0.0679175680960303,-0.00494718617184627,-0.0226489808699318,0.11740123603271,0.117341777108916,-0.090310585522284,-0.0146228722500694,-0.0058450427155938,-0.0889075913295751,0.0241607438793991,0.024000451862259,0.00315845901914576,-0.00437832723347283,0.0214619204689467,0.00437832723347283,0.00429509845370612,-0.00315845901914576,0.089220593265245,0.0118313996176328,-0.145706966038372,0.0767740952203578,0.02830054250104
"TCF3",-0.112308659858784,-0.0401573656228138,-0.00419519485075504,-0.0813843551123399,0.0405797101449275,0.0401172823992628,-0.103647731546596,-0.237966519490202,-0.0768099854489893,-0.0181937413369618,-0.00262376353418401,-0.00238812822513924,0.017899468723818,-0.0298043457534778,0.0327616535187511,0.0298043457534778,0.0301225259092763,-0.017899468723818,0.0145635380455774,0.0168588083981524,-0.0467084360937784,0.167950318848328,0.109194369887096
