"","TWIST2","ZEB2","OVOL2","NP63","miR205","CDH1","miR141","CLDN7","miR200c","SNAI1","miR200a","GSC","TGFbeta","miR200b","TWIST1","TCF3","FOXC2","ZEB1","GRHL2","miR34a","miR101","KLF8","SNAI2"
"CDH1",0.383063704037356,-0.139596291621255,0.0428533128981443,0.03699659376338,0.0368168300242942,0.280666299364254,0.0242517908698225,0.0242517908698225,0.0788403838687966,0.126477170164311,0.0543217335786889,0.21036905857748,0.210502045462927,-0.240541321245373,-0.287790227367304,-0.286371900674077,-0.155701601295886,-0.0241892216827406,-0.0272577784594447,0.0324836381538307,-0.394739897797325,-0.393235578946431,-0.435073053912862
"GSC",0.0182606240649367,-0.132435559297844,0.176685007110768,0.165417901778952,0.165415986033439,0.0417003335526209,0.131524948764201,0.131524948764201,0.131548149515199,-0.0741474324076942,-0.00366638273346802,-0.0138783018743844,-0.0138520200229197,0.013594621309094,-0.0201281525922315,-0.0201505139518021,0.106804765177079,-0.131524707436901,-0.14927966893189,-0.114163742383578,0.128426432835743,0.128422535415835,0.080676221467066
"TWIST2",0.147357223100801,-0.11807871659173,0.113211209169793,0.0962553967651399,0.0962947648222407,0.141660328639827,0.0584646794537057,0.0584646794537057,0.0838059280922411,0.0499564205275655,0.0265297536039413,0.00762781051621792,0.00767174520907075,-0.0407874095992427,-0.215010996721206,-0.21471177896192,-0.104089623758676,-0.058438528291378,-0.0666905005196192,-0.00112164625050115,-0.130609057904511,-0.130404839712581,-0.171247315930084
"GRHL2",0.102460650650731,-0.086078812339742,-0.0365948046639952,-0.142917682255858,-0.142853465097727,0.128582902060611,0.20890931053098,0.20890931053098,0.234846816745343,0.117872896577604,-0.179068185610751,0.143165902410887,0.14322410736995,-0.160324700343977,-0.105986223474412,-0.105807022364521,-0.0595647872406365,-0.208913896014213,-0.0484841183681807,-0.189505783960031,-0.0758164819271552,-0.0755796757296993,-0.0693212263361778
"ZEB2",-0.114929260848383,-0.0781384097854438,-0.0498127618137132,-0.044228915362339,-0.0441127083589303,-0.0395244427561468,-0.0275015293734128,-0.0275015293734128,-0.023199401683858,-0.00256424393934981,-0.00124399158982674,0.00123889631159043,0.0012752288217974,0.00852167862134254,0.0133505952205132,0.0134593844130376,0.0179689490549287,0.0275577479039243,0.0327907980633381,0.0331317110774053,0.101202397302168,0.101340613615671,0.101428705477569
"TGFbeta",0.154759714881409,-0.0741283834467767,0.0231967044619263,0.0228604196286544,0.0229639900838193,0.0503102326264514,0.0197078694867432,0.0197078694867432,0.0433530638738478,0.0369433293062519,0.0211491084585099,0.206083495219932,0.106129975934779,-0.121791385722155,-0.111340916686114,-0.111086792846121,-0.0261095307313104,-0.019698091481765,-0.0222376888992245,0.0510313666039584,-0.124634023990643,-0.124451904899992,-0.211454613281642
"miR200c",0.151626952110395,-0.0608668237576898,0.213735672201555,0.209186733542862,0.209190287834669,0.0804848481150763,0.177746757694748,0.177746757694748,0.113229919566407,0.0833560324836529,-0.0610747409618025,0.100548617125647,0.100670196982024,-0.0873286387799841,-0.140505788591254,-0.140418532427863,-0.0391930993472508,-0.177756801418425,-0.204263613478765,-0.0847530182094733,-0.144560587913589,-0.14446152808145,-0.174689579200676
"FOXC2",0.136805057452916,-0.0489085752378692,0.19468786489928,0.189164456031866,0.189083133180144,0.0476575605396935,0.134423108443769,0.134423108443769,0.173135864583527,0.107207628081667,-0.14072151818531,-0.00962128677956498,-0.00951599048447482,-0.167760472031768,-0.112140477122181,-0.112005281087932,-0.116883767953841,-0.134413331070312,-0.182869999137163,-0.135015314594259,-0.0575508300631471,-0.0575662349550561,-0.0411876726171366
"NP63",0.219391291042949,0.0153983896942908,0.0217080111334679,0.130818930447447,0.230700701728617,0.10678781399666,-0.129612370448769,-0.129612370448769,-0.0839726836702205,0.0720841571852172,0.085047837956423,-0.00234465645490217,-0.00228132523260958,-0.0924650627779784,-0.192988279704841,-0.192250032201194,-0.10239534590109,0.129698887672482,-0.0460864698309466,0.141914387120082,-0.278876025246942,-0.278234542709522,-0.281671928011755
"miR200b",-0.0157590016775599,0.0221029304643333,0.184875105175465,0.180933918385046,0.180845061089862,-0.0333513543145018,0.15059691088341,0.15059691088341,0.0624014659650625,-0.0140371688214742,-0.0807416349014151,-0.110474566370673,-0.110485928974072,-0.0464665712752986,0.050458870740416,0.0505135907072882,-0.0161971604882696,-0.150576600242197,-0.176971906698049,-0.147896531941754,0.0930381043205478,0.0929228346976956,0.132236223200607
"SNAI1",-0.0483068686026305,0.0332070164979456,-0.124706727688658,-0.114447421983919,-0.114444971604111,-0.105810150104186,-0.0923954275917934,-0.0923954275917934,-0.069554858658199,-0.100899831902588,0.0216131654695722,0.00469008623419909,0.00463056416712455,0.00329836420927976,0.0182344891734013,0.0181624471131005,-0.0745742050481377,0.09239056330914,0.100862928118339,0.0941923495547096,-0.059544633293034,-0.0595811343116308,-0.0293578216161433
"miR200a",-0.121631572564888,0.0350531493506629,-0.196324081730972,-0.19316389235201,-0.193039492138753,0.00291378001079313,-0.164475107346669,-0.164475107346669,-0.0941131165917324,-0.0809914844301769,0.0652667520826089,-0.108030617664497,-0.108053342871296,0.11789908457269,0.136130647592723,0.136138042182841,0.0321149244705914,0.164502560191386,0.190891109741342,0.0733038225750835,0.120681767253928,0.120755611856068,0.139835761622897
"miR141",-0.121631572564888,0.0350531493506629,-0.196324081730972,-0.19316389235201,-0.193039492138753,0.00291378001079313,-0.164475107346669,-0.164475107346669,-0.0941131165917324,-0.0809914844301769,0.0652667520826089,-0.108030617664497,-0.108053342871296,0.11789908457269,0.136130647592723,0.136138042182841,0.0321149244705914,0.164502560191386,0.190891109741342,0.0733038225750835,0.120681767253928,0.120755611856068,0.139835761622897
"miR205",-0.153613500698158,0.0366345265961656,-0.207044333036247,-0.20142972321754,-0.201459452679437,-0.0473330189294347,-0.158722806952837,-0.158722806952837,-0.0914211760548483,-0.105379235423363,0.0598263079192313,0.0110101894735939,0.0108641809035256,0.0802831246858338,0.110909836712286,0.110745098851407,0.116983721124306,0.158703552533637,0.194295740536982,0.159222834666854,0.0668164271607601,0.0667075342388,0.0575375337604749
"miR34a",-0.238054404471264,0.0402173705544973,0.160705072772338,0.148436301761742,0.148449547546744,-0.0483991761576441,0.113739084835667,0.113739084835667,0.0919218142624215,-0.103425886606263,-0.125119366096638,-0.0190468771958329,-0.0190571349057086,0.0295410960927056,0.149270083114186,0.149048845917993,0.160683921716649,-0.113738370929003,-0.129019422224186,-0.106965039746801,0.177969061363776,0.177742417233475,0.226525849825265
"miR101",-0.038657914537708,0.0447773100772063,-0.147708604130444,-0.131363653342737,-0.131442385234402,-0.0254007863669743,-0.0828234243292831,-0.0828234243292831,-0.0585899422201403,-0.0242310206653629,0.021256440331806,0.00205019583495366,0.00195629046138635,0.0395664834930365,0.0279098448347666,0.0277319807316709,0.108886713015211,0.0828000236503339,0.0982742325566513,0.0149256787007262,0.110851433022505,0.210775669404992,0.104201205287929
