"","SNAI2","miR101","TWIST2","ZEB2","CDH1","miR205","TCF3","CLDN7","ZEB1","GRHL2","miR34a","SNAI1","TGFbeta","GSC","miR200c","miR200a","FOXC2","miR200b","miR141","TWIST1","NP63","OVOL2","KLF8"
"miR34a",-0.054867015588902,-0.0735556178358914,-0.134899525741509,-0.109802640733144,-0.0744336746570992,-0.113465843485067,-0.00566081092264305,-0.0925344586526144,-0.0926539190343641,-0.0865183002213389,-0.0925360459902098,0.10171150476429,-0.0282753936064537,0.0282747902117552,0.139971961273003,0.139971961273003,-0.106944324107954,0.107417643477162,0.0925344586526144,0.005247467406625,0.113259587690036,0.13155254335438,0.0732867180202798
"NP63",-0.209274942208995,-0.242362651970247,-0.216078658630688,-0.105449692199561,-0.135653316896483,0.164404229069104,-0.0472888468730108,0.0901687709003638,0.0901127891673729,0.121556785176086,0.0369552753248575,0.123755913979143,-0.115824995908285,0.115771934613932,-0.0184119786138525,-0.0184119786138525,-0.120692854052314,0.118729967244119,-0.0901687709003638,0.0466986976527707,-0.264517083755261,-0.205893729756428,0.24189661764819
"SNAI1",0.0810576214506017,-0.0183930520568823,0.0785789999809281,-0.0992144881190646,-0.0726382123509488,-0.0558146066742358,0.0350646391747293,-0.0435075466643207,-0.0432977648235371,-0.0406235985853229,-0.0767940709095253,-0.0888970644347391,-0.00454426107766176,0.00462564042838334,0.0656546411666601,0.0656546411666601,-0.0187828056935867,0.0172122353753321,0.0435075466643207,-0.0340064894805249,0.0554666527413762,0.0672916659161835,0.0190691008372179
"ZEB2",-0.124018785730351,-0.110749832903048,-0.106271436674391,-0.0877238018197611,-0.0426645073190495,-0.0364448259680012,-0.0259593646194296,-0.025909846485623,-0.0257603395638699,-0.0229226771037543,-0.0210053520383713,-0.00897031785634519,-0.00200027105959609,0.0020969524850621,0.00238041338565836,0.00238041338565836,0.00538789700743577,0.0175151298156104,0.025909846485623,0.0267046517741863,0.0362046648276231,0.0440844739787792,0.111253974420644
"GSC",-0.108894096965571,-0.00674681004204956,-0.112492104915385,-0.0660136223406262,0.0232747932828314,0.197241440666398,0.0570087824947455,0.184076562559618,0.184345401171986,0.16616203324786,0.118177480051954,0.00387546904500185,-0.00538924254522008,0.0054387502189095,-0.0619346541157449,-0.0619346541157449,-0.0819075635257859,-0.0233299023834156,-0.184076562559618,-0.0559546041149857,-0.197369795615726,-0.219900940240263,0.007388909971896
"TCF3",-0.218251606223272,-0.258017299360781,-0.235405270903309,-0.0424094108955677,-0.298616612978842,0.162210144927536,-0.0495094631131711,0.143779429254052,0.144404817836139,0.128742867020596,0.0420190745881661,0.123733622832395,-0.200538037982267,0.200664918533291,-0.0510681198591886,-0.0510681198591886,-0.114273585401058,0.171038221154816,-0.143779429254052,0.0512519606930356,-0.16301939348245,-0.186274878337333,0.25883684935333
"KLF8",-0.218251606223272,-0.258017299360781,-0.235405270903309,-0.0424094108955677,-0.298616612978842,0.162210144927536,-0.0495094631131711,0.143779429254052,0.144404817836139,0.128742867020596,0.0420190745881661,0.123733622832395,-0.200538037982267,0.200664918533291,-0.0510681198591886,-0.0510681198591886,-0.114273585401058,0.171038221154816,-0.143779429254052,0.0512519606930356,-0.16301939348245,-0.186274878337333,0.25883684935333
"FOXC2",0.0405415057676919,0.0572914846809527,0.14375260131718,-0.0296761925764101,-0.0839937464364219,-0.180298996501745,0.0092083650419307,-0.170775763854611,-0.170788942053618,-0.142125842034989,-0.162591187288107,-0.10682214667183,0.00337505561575457,-0.00321765393752702,0.1895811493379,0.1895811493379,0.103729774648704,0.185034968465103,0.170775763854611,-0.00882530961155665,0.179797505582797,0.208400605657953,-0.056923478929793
"GRHL2",0.0105186628741611,0.008559862875105,0.0345795728054694,-0.0119896111442957,-0.0932206226895754,0.142714470866088,0.0380370594755173,-0.0665117169974979,-0.0665280937233319,-0.0935450055422834,-0.0715567260097629,0.000728634773871264,-0.115223807605595,0.115258730581033,0.0791813027867098,0.0791813027867098,-0.030118390957953,0.0828219024867631,0.0665117169974979,-0.0380168270921425,-0.143042499052213,-0.0826578346701296,-0.00851848781458297
"miR200c",-0.0849198430599583,0.000743454380419776,0.00737237056409596,-0.0109887430725635,-0.0102684188313786,-0.186608186279109,-0.076512208771345,-0.185151126417736,-0.185189738955428,-0.166134824916338,-0.0911169479624541,-0.072683533464313,0.0888742147451966,-0.0888867136089362,0.0967027957214426,0.0967027957214426,0.0428316280280185,0.125725791073191,0.185151126417736,0.0763687537230583,0.186753912243211,0.204823462485148,-0.000833508773273059
