"","ZEB2","TWIST2","CDH1","TCF3","miR205","TGFbeta","GRHL2","miR141","CLDN7","FOXC2","GSC","miR200c","miR200a","ZEB1","NP63","OVOL2","TWIST1","miR200b","KLF8","miR101","SNAI2","miR34a","SNAI1"
"TWIST1",-0.0995505674805279,0.081533207814585,0.145664049152978,-0.183700054677345,0.0284994161607833,0.0321540905077867,0.147826138356432,0.146133082212845,0.146133082212845,-0.185435545408536,-0.0324489555936924,0.027560877952422,0.027560877952422,-0.145991788206549,-0.0286447535792765,-0.0856238940818934,0.0836828987957367,-0.0578444166833845,-0.0569158718531504,-0.0568182768723208,-0.0882999693039425,-0.0655732504867632,-0.0229778611971203
"miR101",-0.0959298566785336,0.0339228417121853,-0.00243502024886786,-0.0387315577260825,-0.0242309073782879,0.0455896948261728,-0.0027961923794457,-0.00102448254326866,-0.00102448254326866,-0.12941619117877,-0.0446615408213601,-0.0486000816664814,-0.0486000816664814,0.000216005564922527,0.0253672710146515,0.0232903296507068,0.0398587578395663,-0.051618995046286,0.0749514830612103,-0.0250764298505051,0.0765127880029057,0.00653397545095443,0.0274192834439455
"ZEB2",-0.0857740019328517,-0.045625175121446,-0.0185167416872342,-0.0108093425232893,-0.00887657864933913,-0.00623887527685625,-0.00547917472987866,-0.00537828563166719,-0.00537828563166719,-0.00536416450474111,0.00546111323632394,0.00571655332923176,0.00571655332923176,0.00575217568393324,0.00848147483774942,0.00981510793706143,0.0106063776118632,0.0176137851864864,0.0244421021780745,0.024864706014323,0.0320038016811687,0.0449884798422183,0.0893606619921649
"miR34a",-0.0738177670393145,0.230804452744427,-0.0650890570982973,-0.0913421411793692,-0.0208786311258763,-0.00648750293963235,-0.077893743599538,-0.0771525271004849,-0.0771525271004849,-0.115722994126786,0.00714218618758533,-0.115298004392508,-0.115298004392508,0.0765804498938589,0.0216998697959995,0.0573138315705087,0.0922955868896509,0.0705739462689316,-0.065953082988475,-0.0662392692208045,-0.0941828399278663,0.0547298518317381,0.0229951065929737
"SNAI1",-0.0736326800946989,0.00499236286942972,-0.0113326529253885,-0.0203768469110471,0.0142254702753468,0.0421885989329192,0.114070121737177,0.113501829925146,0.113501829925146,-0.111916389381731,-0.0425502198846868,0.01776844816413,0.01776844816413,-0.113170672650534,-0.0147143210472165,-0.0849342515508224,0.0197417527198853,-0.0841230391283332,-0.0337424267676362,-0.0334632095740965,0.0561383025336081,0.0010228228450412,-0.0825837079287592
"TWIST2",-0.0625797598902056,0.1047230703794,-0.0935929720996115,-0.0794980952513737,-0.0213509572361416,0.00783322387391813,-0.0756548706316656,-0.0746796208760387,-0.0746796208760387,-0.0272885081442968,-0.00751476557230782,-0.0694809933744334,-0.0694809933744334,0.0744046570087661,0.021758331044402,0.0548275212900238,0.0798058620894969,0.0386097921633024,-0.0211552374237265,-0.0213212190180189,-0.101467981476905,0.0166484092365259,-0.0395738253947073
"TCF3",-0.0246229533246383,-0.0378264662483653,0.00173019357047915,0.0455596161274029,0.00815217391304348,0.0144628303708441,0.0276126509199722,0.0273670004182413,0.0273670004182413,-0.0200828263073512,-0.0150609815399578,0.00186356843147252,0.00186356843147252,-0.0277510109511016,-0.00716951495350591,-0.0192796479478461,-0.0438655212580902,-0.0330562093073739,0.0121187829253466,0.0116568547477277,0.0418088031253202,-0.00956115162168817,0.0281266891421036
"KLF8",-0.0246229533246383,-0.0378264662483653,0.00173019357047915,0.0455596161274029,0.00815217391304348,0.0144628303708441,0.0276126509199722,0.0273670004182413,0.0273670004182413,-0.0200828263073512,-0.0150609815399578,0.00186356843147252,0.00186356843147252,-0.0277510109511016,-0.00716951495350591,-0.0192796479478461,-0.0438655212580902,-0.0330562093073739,0.0121187829253466,0.0116568547477277,0.0418088031253202,-0.00956115162168817,0.0281266891421036
"CLDN7",-0.0246229533246383,-0.0378264662483653,0.00173019357047915,0.0455596161274029,0.00815217391304348,0.0144628303708441,0.0276126509199722,0.0273670004182413,0.0273670004182413,-0.0200828263073512,-0.0150609815399578,0.00186356843147252,0.00186356843147252,-0.0277510109511016,-0.00716951495350591,-0.0192796479478461,-0.0438655212580902,-0.0330562093073739,0.0121187829253466,0.0116568547477277,0.0418088031253202,-0.00956115162168817,0.0281266891421036
"SNAI2",-0.0245761777385247,-0.037828484066867,0.10192376659713,0.0448057603019149,0.00773448670491834,0.0146656638784948,0.0277019593985903,0.0275215905984681,0.0275215905984681,-0.0197964451515628,-0.0144894277479336,0.00204473974833128,0.00204473974833128,-0.0276671046022628,-0.00749575199886044,-0.0195506906018622,-0.0445110559130865,-0.0330934333595387,0.0126694392645664,0.0120735528922588,-0.0584643817792381,-0.00994035546191955,0.0286981906321744
"TGFbeta",-0.0123512515386141,-0.0822776977370445,0.0921387533890105,0.0224430308818654,0.00102949250754788,0.0949229684012505,0.0075893394091314,0.00751274609542664,0.00751274609542664,-0.00225227094087214,-0.194879962880037,-0.00118882700588925,-0.00118882700588925,-0.00745699431265617,-0.00118484819029522,-0.00393286923705,-0.0227856442732842,-0.080044026299417,0.0588025052812741,0.0591009590001736,0.0219566261290759,-0.101256683837003,-0.0963700270572679
"miR141",-0.00480635473656486,-0.0993595268418067,0.0381634351487618,0.0513495263503177,0.0454828466701977,0.0881139323361738,0.0146354835690446,0.0129128167459092,0.0129128167459092,0.0182467487234772,-0.0890604371993681,0.00447364474122833,0.00447364474122833,-0.0121898918350193,-0.0464567226254137,-0.0261885961157193,-0.0520490545754682,-0.039764626631677,0.0983040314177905,0.0982013694099377,0.0923965504768768,-0.110357252970669,-0.111135220163575
"miR205",-0.00205678710631146,-0.0968976795621021,0.0676544816010666,0.096140985234743,0.049674400125174,-0.00584234797493804,0.0155999535479233,0.0118575857401764,0.0118575857401764,0.101701150393755,0.00399502215363983,0.00437258433862717,0.00437258433862717,-0.0104905219769934,-0.0515374464040364,-0.0294066614456985,-0.0978707327739712,-0.0160183554606319,0.0286487969520417,0.0293960276923884,0.00675685293365895,-0.0318607081310126,-0.11421540610122
"miR200a",-0.00122703039170196,-0.00794161516880624,0.0491608584475771,0.0214725983222262,0.0471578303316724,-0.107955501039903,0.0161214552783963,0.0151427012306837,0.0151427012306837,0.0225162846535289,0.106698797103897,0.00678120743714816,0.00678120743714816,-0.0141331954042079,-0.0485724384710007,-0.0288209170607299,-0.0228849650347393,-0.01757578250296,-0.0635176052774855,-0.0629772789203658,-0.0683986737491123,-0.027550802395713,0.0542986779835626
"FOXC2",0.000436561560586611,0.106447563801929,-0.0850444650601924,-0.0915652034969206,-0.0471758497136344,0.0171990522805502,-0.0187356480711072,-0.0150011153008579,-0.0150011153008579,-0.100204107161114,-0.0150942119075625,-0.00917818894619464,-0.00917818894619464,0.0133512898057189,0.0494528895618317,0.0341603839965628,0.0935762445063843,0.0203418685394058,-0.0399241398348236,-0.0403400719163669,-0.024922581801174,0.0277614120844725,0.0859876963937737
