"","SNAI2","CDH1","ZEB2","FOXC2","miR34a","OVOL2","TCF3","miR200c","miR200a","miR141","miR205","GRHL2","TGFbeta","GSC","CLDN7","ZEB1","TWIST1","NP63","miR200b","SNAI1","TWIST2","miR101","KLF8"
"NP63",-0.00762311604218155,-0.0246270861990592,-0.129462411505351,-0.0771215459788328,0.0861571084819301,-0.04105134396289,-0.126305362325242,0.0831414618734417,0.0831414618734417,0.0553205530990675,-0.0740204794764222,0.102975856777995,0.0147159435087498,-0.013510938630534,-0.0553205530990675,-0.0593637913539302,0.125917165309647,-0.0339277148485993,-0.148013570461474,0.056781632194887,0.0345098324903065,0.0277817035021315,0.018469241196084
"miR101",0.067725512037531,-0.0550621372833271,-0.0908047767485735,-0.128922074761871,-0.0290999430640654,-0.061328885943833,-0.0224279709809533,-0.00729533424957825,-0.00729533424957825,-0.105373279844457,-0.0715441585140316,-0.0969224626281698,0.00483187741657383,-0.00464909731445174,0.105373279844457,0.104722675052261,0.0226080174656821,0.0702896970401706,0.0182490314856536,0.0433338072379408,-0.0120943251325702,0.037128349973592,0.13542566235895
"ZEB2",-0.0922519854264682,-0.0750824089495555,-0.0610373891779357,-0.0515093476133064,-0.0458408123360658,-0.0359727405856468,-0.0340146054638527,-0.0296246645368995,-0.0296246645368995,-0.0279906751851122,-0.0233074725101604,-0.0194129692090627,-0.00389832780458364,0.0014394174104067,0.0279906751851122,0.0348196309197705,0.036334900331276,0.0366945193028471,0.0405476689398297,0.0517388069453382,0.0684100964935892,0.106278511894777,0.119472700843438
"GSC",0.0268916935582947,0.0598788236178549,-0.0579249055922292,-0.0997885585720506,0.0343278301997067,0.0824072503525465,-0.0578505844031418,0.0924098334643514,0.0924098334643514,0.11823265120623,0.0940288676531789,0.108337158281381,0.0148526777367093,-0.0159167871181079,-0.11823265120623,-0.115582394795974,0.0588025394248642,-0.0888506075332533,-0.0860149818460132,-0.0596069758247736,-0.0100599686085979,-0.0913269830929421,-0.0865545924155705
"SNAI1",0.0775868965977324,-0.0984718167092895,-0.0485962742528574,-0.118537237642745,0.0111367946488276,-0.0818599493250778,-0.0193402288824284,-0.0236913454063561,-0.0236913454063561,-0.105593350772495,-0.0894292540596426,-0.0996657890475437,-0.0102590904403514,0.0101187744855101,0.105593350772495,0.105814868660315,0.0194602989829296,0.0898139636896353,0.0418967460509171,-0.0678548517104799,-0.00864722927001038,0.0283779848929655,0.0284924795410426
"miR200c",0.156997965255951,0.117651521944626,-0.0404960208681139,-0.0606887092476249,0.117793879369817,0.0437182640410837,-0.0282820647200832,0.0424790509354025,0.0424790509354025,0.0382301490344334,0.0352890238454226,0.0231843250055489,-0.11378851038697,0.111905727003641,-0.0382301490344334,-0.033346444194921,0.0298985221198495,-0.0256746645065209,-0.0296572472902818,0.000616707568144335,-0.0451563353966993,-0.0783397278796235,-0.0691001471728766
"miR200a",-0.0517337712018045,0.108881163999139,-0.0346366017118403,0.131884797103788,0.0327330373196679,0.0403509378593622,0.060082258777091,0.0342967520742788,0.0342967520742788,0.0305901655878582,0.0303585604527329,0.0169038609289924,0.103831757443867,-0.105162318301971,-0.0305901655878582,-0.0265104050302306,-0.0591431458321215,-0.022244112256536,-0.0915284312075177,-0.0779470744717741,0.0416396484124388,-0.032487150231224,-0.0235339424937506
"GRHL2",0.0329268183239731,0.0813651509849164,-0.0278348165769588,-0.0249915161610021,0.0179833509857884,-0.0381210907711953,-0.012272835863121,0.022741815906762,0.022741815906762,0.0210666395223234,0.0156098484382954,-0.024079493860209,-0.0876550470545947,0.0869272078998415,-0.0210666395223234,-0.0184972404171477,0.0125416375279571,-0.0104360282116262,-0.0550076767192118,-0.00501863740892357,-0.0130096351614461,-0.0349670007115024,-0.0287404942631552
"FOXC2",0.078594720612964,0.116443370167342,-0.0216298628012576,0.108952282189885,0.0188890816761868,0.0424097245841742,0.0165690015817026,0.024037436951176,0.024037436951176,0.0226822083246436,0.028247312464492,0.00993454278902494,-0.0172512835445332,0.0155980231587363,-0.0226822083246436,-0.0177701409202812,-0.015493066475799,-0.018488570257932,-0.0206082205308737,-0.0918434748735124,0.0120766576210169,-0.090154651108774,-0.0796194166976688
"TCF3",-0.0539001798704961,-0.137037226888363,-0.0196045605948975,-0.0852457809335523,0.00283145710053395,-0.020225801969881,-0.129632468728645,-0.00398832451411208,-0.00398832451411208,-0.0293895698843986,-0.0211594202898551,-0.0268814612019005,0.00528349794607985,-0.00521099477406607,0.0293895698843986,0.0314559122755042,0.126486292542778,0.0249744491915892,-0.00875105347897467,0.0745082876281055,0.0723373456137679,0.0557864455022679,0.0650399099636001
