"","SNAI2","TWIST2","miR101","ZEB2","TCF3","miR34a","FOXC2","miR200c","miR200a","CLDN7","GRHL2","miR200b","NP63","TGFbeta","CDH1","GSC","miR205","OVOL2","miR141","ZEB1","TWIST1","KLF8","SNAI1"
"TWIST1",-0.223005598184066,-0.1913652879062,-0.0487127382748894,-0.117455756478174,-0.376266365956785,-0.0601214111531957,-0.0111975993355196,0.0891337206552481,0.0891337206552481,0.069771090818716,0.0713262485234058,-0.138528975461561,0.0205205828056129,0.0793117704891838,-0.0897781551009854,-0.0795395780528963,-0.0203398930420808,-0.052638042055258,-0.069771090818716,-0.0697156838241074,0.276211630524987,0.0486828622603498,0.249604934184795
"SNAI1",-0.234337710901786,-0.226983273159711,0.0392091583497186,-0.0889767396760238,-0.311553978164061,-0.214174642056194,-0.0846421872532737,-0.00502481464524546,-0.00502481464524546,-0.100643368773241,-0.101659722919119,-0.0729407601744763,-0.0126763210893331,0.0244736165238083,-0.076290425351596,-0.0245713888372652,0.012706950836944,0.0788644425272192,0.100643368773241,0.100629548033638,0.311835504229492,-0.0391115103256092,0.149132500617105
"miR34a",0.0606125141193882,0.168604302347653,0.0587144586985803,-0.0872304946094621,0.0497330774010764,-0.0317346383944462,-0.0807810707586753,0.08581877473876,0.08581877473876,0.018893163873746,0.0183631344801393,-0.00609216644391971,0.0155786116734235,0.0251719042078841,-0.013244052648809,-0.0254446386116396,-0.0154385848034025,-0.032114997706895,-0.018893163873746,-0.0188284363362242,-0.0497307154381277,-0.0582928622019608,0.0503358713412328
"ZEB2",-0.191300991138648,-0.184703018435531,-0.101671485471371,-0.0809430348510599,-0.0773319517832493,-0.0751246375351955,-0.0221506491726851,-0.0212839300288176,-0.0212839300288176,-0.0211670991763174,-0.0197711374153336,-0.013932083780782,-0.0112649978006806,-0.00575715845260283,0.00436112601860556,0.00482298187660322,0.0119157570197695,0.0171109110864986,0.0211670991763174,0.0214216782861006,0.0776972886238163,0.101779870925844,0.152748520154517
"FOXC2",0.0290859590266237,0.104578853750913,0.0279116372119806,-0.033135183941734,0.0161629378237891,0.0240969169850532,-0.0854638024476848,0.0223466327131119,0.0223466327131119,0.0173244251880527,0.0212582407496911,-0.0168728093467567,0.045161401469193,0.00510056532192613,-0.119359558698758,-0.00561402045159254,-0.0447412334019661,-0.0320724458941106,-0.0173244251880527,-0.0171590600456644,-0.0168389179950374,-0.0279578518877077,0.0381215637567033
"miR200c",0.200900330839598,0.192749937534369,0.0291709246012429,-0.0283366936242031,0.112337249918843,0.162024831276047,0.0286217938112498,0.0345728926212791,0.0345728926212791,0.038672793820372,0.0377748054967138,-0.00439706533710648,0.0507075976312018,0.109482858502439,-0.0285008211693032,-0.110299829686877,-0.0500678251058774,-0.0368357306715322,-0.038672793820372,-0.0385096391090844,-0.113643134533659,-0.0289944179912504,-0.209445384363293
"miR200a",0.200900330839598,0.192749937534369,0.0291709246012429,-0.0283366936242031,0.112337249918843,0.162024831276047,0.0286217938112498,0.0345728926212791,0.0345728926212791,0.038672793820372,0.0377748054967138,-0.00439706533710648,0.0507075976312018,0.109482858502439,-0.0285008211693032,-0.110299829686877,-0.0500678251058774,-0.0368357306715322,-0.038672793820372,-0.0385096391090844,-0.113643134533659,-0.0289944179912504,-0.209445384363293
"miR200b",-0.110586971565786,-0.0349366751055664,0.01587215249073,-0.0242825812840702,-0.0673375609671341,-0.00779639200243242,-0.0456628903893281,0.0104031347397436,0.0104031347397436,-0.000763708631880397,0.00257606689026685,-0.0806040374626463,0.0432264370324051,-0.0774752664394305,-0.024730428183839,0.0769900832742637,-0.0428141391827517,-0.0195403833107267,0.000763708631880397,0.000921953078259188,0.0670107200839243,-0.0160252449585806,0.170055857470413
"GRHL2",-0.125519630469565,-0.0544745869965694,-0.0959824433650054,-0.0177952854871214,-0.0609905681864662,0.0940663432832088,-0.0433087639592239,0.115698250929221,0.115698250929221,0.114611737323814,0.153925552536454,-0.169364228672192,0.256161588754126,-0.0332420980949381,-0.0148223242678384,0.0330630485542029,-0.256083486805048,0.0517014119716617,-0.114611737323814,-0.114564353997068,0.0609616647816451,0.0958952916417782,0.116192498747488
"TGFbeta",0.278923910920113,0.293254313502425,0.0212323475530152,-0.00782990748622452,0.203704501217604,0.231298337509962,0.0420356281043364,0.0614927953595696,0.0614927953595696,0.114307453477148,0.11515077227211,0.115447964532575,0.0137021576998786,-0.0811659121197289,-0.00647555078543462,-0.0187815255765652,-0.0137430407742858,-0.0868823674771955,-0.114307453477148,-0.114382075094087,-0.204532672660437,-0.0212565839339003,-0.269554605093401
"miR141",0.13886141815952,0.139475948202333,0.00627484877798133,-0.0041412575100848,0.084073100558376,0.13364835865758,0.0198732832488947,0.0156097966136637,0.0156097966136637,0.024501506192796,0.0254981998803422,0.029414238642201,0.0469859436873347,0.0817036949237974,-0.0939070788140969,-0.081755962899436,-0.0469575093528758,-0.0294855461321553,-0.024501506192796,-0.0244861058164912,-0.0844561403264816,-0.00617038568227152,-0.157801254132362
