"","miR101","ZEB2","miR34a","GSC","miR200a","miR200c","FOXC2","TCF3","CDH1","ZEB1","GRHL2","miR141","CLDN7","miR205","NP63","TWIST1","OVOL2","TGFbeta","miR200b","SNAI2","TWIST2","SNAI1","KLF8"
"TWIST1",-0.000330038287769107,-0.112494478237376,-0.00137065892166801,0.0430788454558439,0.0153607150501385,0.0950323566256682,-0.233069886697686,-0.217938046273779,-0.137335924163965,-0.0834178976347859,-0.0800820075090196,-0.0834612113432661,-0.0834612113432661,-0.021297729647974,-0.0213645062997141,0.118041798510171,-0.0593823924917856,-0.0432327017333994,-0.0360168363851136,0.0902015592493965,0.098424352200199,-0.0464084728163548,0.000263315188630532
"ZEB2",-0.0893545942696699,-0.078829968528278,-0.0193817998243507,-0.0154741960952075,-0.0125562758911064,-0.0112357873822094,-0.00818006054850653,-0.00675739226086249,-0.00637256998271946,-7.14758918616198e-06,0.000117042461429477,0.000328445123517507,0.000328445123517507,0.00585388686685747,0.00621025501064426,0.00663561331400682,0.0067240277605311,0.0157038914563465,0.0213299017731016,0.0355741335189319,0.0633762827032336,0.0738013368805384,0.0895962242278072
"GSC",0.11250145323209,-0.0654199963487995,0.0869637125462527,0.0318938208854296,0.0946901843437516,-0.0243372446649487,0.113603094280088,0.0694862944285752,0.0544101464441261,0.118541673549036,0.118990531298249,0.11845238244798,0.11845238244798,0.0167063275438436,0.0168346824931722,-0.0691796243544632,0.080618862072162,-0.0320606800819384,-0.0759589610992612,-0.0900754303797735,0.00240494825567738,-0.0575004337338811,-0.11250145323209
"SNAI2",0.0199933087964469,-0.0438739745397395,0.0215500746561889,0.0164183153424053,0.0151687103136946,0.0288535799004118,-0.0876605987419983,-0.12263446645231,-0.0199250160794415,-0.0124242603037555,-0.0108022770433381,-0.0123006848070111,-0.0123006848070111,-0.0061645467156604,-0.00619710144830466,0.122419105552782,-0.0133990755692873,-0.0163075752799255,-0.0151420906942476,-0.0783495875124469,0.0330374243622878,-0.0821707440760822,-0.0199718041660143
"CLDN7",0.0198973969970454,-0.0436886025313135,0.0212954224754527,0.0164577955053275,0.0152197832404715,0.0289312158534201,-0.0871630615428066,-0.122009388834418,-0.119755889569979,-0.0125974873611174,-0.0106847045289509,-0.01232319412336,-0.01232319412336,-0.00739130434782609,-0.00606182457903996,0.122299805097729,-0.0134694633101319,-0.0163671665403103,-0.015089330363397,0.021752751605666,0.0330203564670925,-0.0824949181099771,-0.0195248742731592
"OVOL2",-0.0684226608310405,-0.0298364151505611,-0.0073346364787879,0.0235859968294436,0.00353554949977741,0.0179192276732849,-0.0185213367056438,-0.0305107310817453,-0.106411129247017,-0.0118116193739309,0.0242481576927953,-0.0117386583095961,-0.0117386583095961,-0.00710585857664375,-0.00723010365275737,0.0304046236074629,-0.0806845540561832,-0.0235708403038704,-0.0180024767294546,0.0838628577495042,0.0847956320345424,-0.103377578536692,0.0684237575266965
"miR200c",0.0158515738511341,-0.0271784407459543,0.00751286480396032,0.138568263363819,0.0126307510039038,0.0117614954323288,0.0127869396769881,0.00926142261013341,0.00453880771450509,0.00132565415533923,0.00355801689420562,0.00154237539290455,0.00154237539290455,-0.0367103063676636,-0.0366534376987459,-0.00950544408402312,-0.0158471080348492,-0.138362600242285,-0.0428238159428557,0.0749219231025001,0.00743864126119539,-0.0932609675400418,-0.0157345031404249
"miR200a",0.0327710987233686,-0.00152891999643599,0.107829130791655,0.0852770593100832,0.00278623665801095,-0.00157119007820845,-0.0304712225754424,-0.0565016419810961,-0.0525916693900621,0.00401345927762707,-0.000101905761198785,0.00394717070135838,0.00394717070135838,0.0401293590820261,0.0401009247475673,0.0565238257514497,0.0209219210737989,-0.0851941123052655,-0.0275862620866003,0.0644356875491477,0.0762974306454304,-0.127957508780346,-0.0327098617362283
"ZEB1",0.0425995173109417,0.000213454461064383,0.00753478689611329,-0.017801519680132,0.00301155424793644,-0.00324805964902758,-0.100610777712336,-0.0826684991061546,0.0136752527558699,-0.0953617362134705,-0.00174087662775723,0.00460581640899566,0.00460581640899566,0.0320846487436654,0.0319984319371359,0.0825693446234706,0.0253361898525199,0.017862121167041,0.00597124181191184,-0.0266848276273188,0.0551883867530799,-0.0908984413035613,-0.0426222955173416
"FOXC2",0.0426222955173416,0.000259896941799587,0.00738068673100597,-0.0176614864629503,0.00293194271267001,-0.00316696466900463,-0.100489837486535,-0.0822629110034056,0.0136927678912314,0.00460581640899566,-0.00181679759440866,0.00446765787101057,0.00446765787101057,0.0316644806764385,0.0320846487436654,0.0826684991061546,0.0252045198874271,0.017801519680132,0.00606750893865444,-0.0266629008770429,0.0551557849719094,-0.091023556976542,-0.0423638356642016
"miR141",-0.0327710987233686,0.00152891999643599,-0.107829130791655,-0.0852770593100832,-0.00278623665801095,0.00157119007820845,0.0304712225754424,0.0565016419810961,0.0525916693900621,-0.00401345927762707,0.000101905761198785,-0.00394717070135838,-0.00394717070135838,-0.0401293590820261,-0.0401009247475673,-0.0565238257514497,-0.0209219210737989,0.0851941123052655,0.0275862620866003,-0.0644356875491477,-0.0762974306454304,0.127957508780346,0.0327098617362283
"miR34a",0.102417114583034,0.00486142583166112,0.00608477275991594,-0.0282254522376232,-0.0892074592209507,0.0851489145603051,-0.129683178748792,-0.0564353902740268,-0.00501683203091319,-0.0789050366230282,-0.0761535651855575,-0.078874100667595,-0.078874100667595,-0.0194156765422945,-0.01958597949232,0.0563495722868916,-0.0573883987336409,0.0281246853229613,0.100915348362882,-0.115507799381054,-0.00548147023395215,-0.0819975466283966,-0.10252275379631
"miR205",0.0165082683169257,0.0126127244112367,0.000991090768078711,-0.0264842970431962,-0.0022923881882601,-0.00903105367304364,-0.102744742721136,-0.0896857430538148,-0.0426311894088139,0.00549401291197797,-0.000251329528162073,0.00529712094790299,0.00529712094790299,0.0368816720933256,0.0368222131695321,0.0898710731473036,0.0209542474044439,0.0263985963607648,0.00878753231370146,-0.00770210236234216,0.0760767400825587,-0.0725537327372541,-0.0165470692431413
"TWIST2",0.078541815038788,0.0236166907675602,0.00526618099607778,-0.0232856212176329,-0.0494004605571905,0.0292630839032032,-0.108558178367141,-0.160165754105007,0.0457307990525686,-0.0771721389610793,-0.0748792886297993,-0.077160408604315,-0.077160408604315,-0.0197082844760867,-0.0200711552632767,0.160001896760635,-0.0552801304940431,0.0230217401742249,0.0665726779669749,-0.0818530667535733,-0.0848301358928492,-0.0727279367810922,-0.078818161358081
"GRHL2",-0.019986194852404,0.0251893253087532,-0.00854647259544926,-0.0835835727364599,-0.00748946276042876,-0.00775087778749228,0.0293165456228773,0.0191697178019073,0.0289681094226248,-0.00141665223856232,-0.0530734003290729,-0.00125004634774485,-0.00125004634774485,0.135891940499077,0.135581268301636,-0.0194674228715645,-0.0546418984804793,0.0834699344830521,0.0517001561131878,0.00755890762389261,-0.0107436659103238,0.0836976608830629,0.0198162930081327
"miR200b",-0.0158515738511341,0.0271784407459543,-0.00751286480396032,-0.138568263363819,-0.0126307510039038,-0.0117614954323288,-0.0127869396769881,-0.00926142261013341,-0.00453880771450509,-0.00132565415533923,-0.00355801689420562,-0.00154237539290455,-0.00154237539290455,0.0367103063676636,0.0366534376987459,0.00950544408402312,0.0158471080348492,0.138362600242285,0.0428238159428557,-0.0749219231025001,-0.00743864126119539,0.0932609675400418,0.0157345031404249
