"","CDH1","miR200a","GSC","miR200c","TWIST2","KLF8","FOXC2","TWIST1","CLDN7","GRHL2","miR205","NP63","OVOL2","miR141","ZEB1","TCF3","miR34a","SNAI1","miR101","ZEB2","TGFbeta","miR200b","SNAI2"
"miR200c",0.171456575392507,0.141792827473139,0.208575629400113,0.113695971891873,0.0627474511599149,0.0640334278721263,0.145901952848799,0.0860253803423522,0.023804288108191,0.0256409035151371,-0.0437146173851946,-0.0438852233919478,-0.0266166956436736,-0.023804288108191,-0.0238094215669593,-0.0861629197185446,-0.114352959082212,-0.0872138940645587,-0.0647484597513814,-0.264917174490022,-0.208649486322211,-0.13764486564751,-0.192444605638767
"miR200a",0.121894491289767,0.133669557134119,0.1759745099371,0.0893323008346905,0.155841366091778,0.076156086644889,0.16733159622832,0.0749837031271029,0.0397076496859433,0.031155862718849,0.0321267041878174,0.0323257445290294,-0.0011679809195811,-0.0397076496859433,-0.040056055300608,-0.0753637850591614,-0.0379828645712778,-0.126943381030275,-0.0765054976891597,-0.227296820383788,-0.176451739279887,-0.156336531247511,-0.229304816919959
"miR200b",0.011480365188372,0.105092672114135,-0.0528568414236449,0.103084899145583,0.00037271104489286,-0.0117859545453759,-0.0878306062409571,-0.0587536208161295,0.00250427753631679,-0.00215292505576005,0.0391744521925926,0.0393450581993458,0.0151169482378752,-0.00250427753631679,-0.00254601478804153,0.0587018586853044,0.081716442042143,0.0489250715124408,0.0117157121189504,-0.209745624766489,0.0527613955550875,-0.0695571044719187,0.0908694489642614
"miR101",0.0412044448571726,0.0669617835750624,0.0685946736613619,0.131787090800157,0.0518150271292737,-0.0800526081487865,-0.0257526576389578,0.0221409935000296,-0.069989044387471,-0.0754310950804882,0.024260167847895,0.024352021721504,0.0425824315846676,0.069989044387471,0.0696627532302909,-0.0223581404725206,0.0340009745828628,-0.0438718219644031,-0.0201361363018609,-0.198186779497212,-0.0689912561765167,-0.121140877133732,0.047707714951183
"GSC",0.123544553577459,0.137324379338123,0.0646594311320843,0.0408117285292192,0.0433859875771141,0.0273053522102189,0.153019476157946,0.0972805632370288,0.0974504503197952,0.0988719691414418,-0.0166466854081141,-0.0168593331599867,-0.069876917040082,-0.0974504503197952,-0.0972648696259792,-0.0972150763982862,-0.0676212979587861,-0.0090141672117315,-0.027698017265952,-0.195336920366455,-0.0644711797308949,-0.0666803014257049,-0.146075809172516
"TWIST1",0.14596210205071,0.0742173002897382,0.0719182699165902,0.0928769446370938,0.186193568842783,0.132168675847657,0.0399472134192182,-0.101939669179405,-0.0313193295125916,-0.0353651425869998,0.0128987236251928,0.0129929965452965,0.0347654128106213,0.0313193295125916,0.0310640130942281,0.00171991050547288,0.0147073101456218,-0.0357300743585982,-0.132315068318901,-0.184256027013243,-0.0722018542978278,-0.125262702495611,-0.199861809105759
"TWIST2",0.146489465541686,0.105682106664538,0.0529881547786663,0.0248271957301382,0.118246040785848,0.0892205559049627,-0.0486764691354646,-0.165114107232499,0.0790300129162491,0.079743375048703,-0.0216897024799094,-0.0216554693867783,-0.0556938397167761,-0.0790300129162491,-0.0790512136527863,0.165024341904713,-0.0292611726051867,-0.00205813085277521,-0.0894282501512238,-0.129973959193164,-0.0530151705214765,-0.0581505720907127,-0.135473337214125
"SNAI2",-0.245165122151157,-0.0158518427182789,-0.189096762373156,0.0961276837069605,-0.338080191924072,-0.307868367063489,0.0216953929296286,0.150507103894844,-0.111722911015075,-0.113668037854022,0.0237524381663208,0.0236927544898063,0.069933895240222,0.111722911015075,0.111691888594949,-0.150452696930753,0.0780258233859596,0.0253457898705496,0.307645690083849,-0.0825973233699897,0.189015323183239,0.199927549458735,0.290326219077877
"KLF8",-0.345314058716797,-0.0160252720535616,-0.189889886063561,0.095863753243936,-0.33797796126613,-0.306872064071025,0.0210723338144581,0.150086163066211,-0.111645179386334,-0.113458036264565,0.0225,0.0238294797687861,0.0697175450429747,0.111645179386334,0.111546433820742,-0.149553733250141,0.0780206813584295,0.0252107315602283,0.307781019517308,-0.0821417117140311,0.18920110592943,0.200201934830666,0.390633733716541
"CLDN7",-0.345314058716797,-0.0160252720535616,-0.189889886063561,0.095863753243936,-0.33797796126613,-0.306872064071025,0.0210723338144581,0.150086163066211,-0.111645179386334,-0.113458036264565,0.0225,0.0238294797687861,0.0697175450429747,0.111645179386334,0.111546433820742,-0.149553733250141,0.0780206813584295,0.0252107315602283,0.307781019517308,-0.0821417117140311,0.18920110592943,0.200201934830666,0.390633733716541
