"","CDH1","miR200a","GSC","miR200c","TWIST2","KLF8","FOXC2","TWIST1","CLDN7","GRHL2","miR205","NP63","OVOL2","miR141","ZEB1","TCF3","miR34a","SNAI1","miR101","ZEB2","TGFbeta","miR200b","SNAI2"
"SNAI1",-0.113836360197786,0.000997701397101782,0.0149968537057871,0.0644746984998442,-0.0219984348059208,-0.0163991614636754,-0.0582348001798706,0.016403208151087,-0.0696247699299885,-0.0697846237099562,0.00810402982149113,0.0084164532471221,0.0623455108937079,0.0696247699299885,0.0696978885914614,-0.0164864908165411,0.0737056456477176,-0.107523508119668,0.0164637401888851,-0.0565219785044225,-0.0150044647241999,-0.00365295906045619,0.117149682410986
"FOXC2",0.051248907207126,0.0121688022273732,0.0247022272912955,0.0190206973278781,-0.0941777854785276,-0.011806683840981,-0.081325979079421,0.010801774294202,-0.00459433897863231,0.00327337062675583,-0.0326195877711598,-0.0329719867952856,-0.0209563331085079,0.00459433897863231,0.00492124333466474,-0.0105708144023589,0.014744135055245,0.0690800507244556,0.0114592179457001,-0.0474590914387166,-0.0243168645618418,-0.0129724648486735,0.0364081574412067
"OVOL2",-0.00758190002208914,0.0214356066258157,0.03247703773987,-0.00459590361534701,0.0912830482699124,0.0919407565896283,0.0868510467499052,0.0257671650253462,0.0208395911942133,0.0275000646503288,-0.0578079908275952,-0.0577291222140623,-0.0619909708263882,-0.0208395911942133,-0.0208688027935279,-0.0258139242513011,-0.0756525698826479,-0.0750083618305324,-0.092067973285723,-0.0224124841463052,-0.0325204405176478,-0.02077520555765,-0.106688087792442
"GRHL2",-0.0556248053565353,0.00413487844609537,0.0929958612875674,0.00382693978065582,0.0029868656939877,-0.0205841744180398,0.0914900497637112,0.0309669864249883,-0.00147807292355053,0.101477684509567,-0.223937906250019,-0.223814678730363,0.0863672363162302,0.00147807292355053,0.00126779576384252,-0.0310276835751126,-0.00863100433371182,-0.0753551318364587,0.0206290707603084,-0.0059757465760861,-0.0933312327183562,-0.0481813255073971,0.0118445020346988
"miR34a",0.0991488417067578,-0.036031063168995,0.0312079219997039,0.0277346070465599,0.290743226471289,0.127561725380727,0.0406936593795436,-0.114497963006454,0.0137812719344419,0.0117918386688679,0.00990768515012694,0.00994931476013318,0.0167005707651905,-0.0137812719344419,-0.0137957880366067,0.114446787142567,-0.0365509132251337,-0.0231898435124611,-0.127475293297138,0.0100340497553331,-0.0311940439216367,-0.108601942249768,-0.255764765309569
"TGFbeta",-0.17836120657635,-0.0663072109895832,-0.218103000096501,0.0436570256355937,-0.187072005110146,-0.11639295134989,-0.116594919594302,-0.0252986346071268,-0.108644320410828,-0.109402072376653,0.0130655518460013,0.0128011746315015,0.0842337332635986,0.108644320410828,0.108469860216744,0.0254256965271232,0.144980912995124,0.0805524086055826,0.116516903126417,0.0259810240497208,0.117990490702618,0.132547023162802,0.293230302952067
"ZEB1",-0.051183524621087,-0.0121074865107704,-0.0243168645618418,-0.0193396379505293,0.0940354508729297,0.0114592179457001,0.0813982729574133,-0.010759107819835,0.00492124333466474,-0.00302218931917771,0.0329719867952856,0.0331415465147935,0.0209560660294712,-0.00492124333466474,-0.104731012631084,0.010801774294202,-0.0150437742651759,-0.0689960107629818,-0.0113379791051842,0.0474394038653615,0.024450645202754,0.0132133891498819,-0.0364142681748902
"TCF3",0.345314058716797,0.0160252720535616,0.189889886063561,-0.095863753243936,0.33797796126613,0.306872064071025,-0.0210723338144581,-0.150086163066211,0.111645179386334,0.113458036264565,-0.0225,-0.0238294797687861,-0.0697175450429747,-0.111645179386334,-0.111546433820742,0.149553733250141,-0.0780206813584295,-0.0252107315602283,-0.307781019517308,0.0821417117140311,-0.18920110592943,-0.200201934830666,-0.390633733716541
"CDH1",0.245199409155971,0.0158872765967966,0.18920110592943,-0.0958871063212347,0.338202554191453,0.307781019517308,-0.0216279225593054,-0.150452696930753,0.111546433820742,0.113519718568237,-0.0238294797687861,-0.0237524381663208,-0.0698643331787654,-0.111546433820742,-0.111722911015075,0.150086163066211,-0.0778458469213434,-0.0253996665419509,-0.307868367063489,0.0824712523610886,-0.189096762373156,-0.200167914684823,-0.390393845175671
"NP63",0.138623139835876,-0.050701752510154,-0.0268811898487487,-0.0943815536314147,0.260389078221992,0.266517138975914,-0.0475483853768972,-0.157655436679533,0.0364338217007833,-0.117966518257173,0.311269912864181,0.211382767550338,-0.093461615455267,-0.0364338217007833,-0.0364049826262123,0.157518557963051,-0.0278974888384651,-0.00330519950697931,-0.266270414923061,0.197024970790692,0.0271567662484543,-0.0887688095613571,-0.29315352970423
"ZEB2",-0.332196690368966,-0.293993450637472,-0.260756505101948,-0.234222776014612,-0.212802451575106,-0.188625853560978,-0.152632454609707,-0.0683232296173001,-0.0611984129676735,-0.0596184380519832,0.0137565705999637,0.0142059043464775,0.0306779515161212,0.0611984129676735,0.061356757737018,0.0684677406342355,0.0911767632713589,0.11819283555264,0.18949393155873,0.220970883218082,0.26096895791587,0.29642547217398,0.309430340328488
"miR141",-0.121894491289767,-0.133669557134119,-0.1759745099371,-0.0893323008346905,-0.155841366091778,-0.076156086644889,-0.16733159622832,-0.0749837031271029,-0.0397076496859433,-0.031155862718849,-0.0321267041878174,-0.0323257445290294,0.0011679809195811,0.0397076496859433,0.040056055300608,0.0753637850591614,0.0379828645712778,0.126943381030275,0.0765054976891597,0.227296820383788,0.176451739279887,0.156336531247511,0.229304816919959
"miR205",-0.124348988423675,-0.14025387581973,-0.103476665540431,-0.121973270344463,0.0487568843913142,-0.0321494842156609,0.0435996039501166,-0.0278063553525958,-0.0147420895472552,-0.0183942627371347,0.0392983565107459,0.0395560118471843,0.0231707826718387,0.0147420895472552,0.0145358809287287,0.0277692893338981,0.0121767276056739,-0.0453325923042243,0.032949283952816,0.274882829847607,0.103313199423941,0.135128672714802,0.0450760201145115
