"","miR200b","GSC","miR200a","TWIST2","ZEB1","miR141","GRHL2","SNAI2","KLF8","miR101","TWIST1","FOXC2","NP63","miR205","TCF3","miR34a","OVOL2","CLDN7","SNAI1","ZEB2","TGFbeta","CDH1","miR200c"
"miR200c",-0.00384676640160804,-0.0501779210282342,0.207479298110872,-0.0245517078892687,-0.182029543632921,-0.182024856561871,-0.18402135494779,0.0613029530130863,0.0767909194468088,0.0768089303253794,0.00870430018761764,0.0141655059817447,0,0,-0.00868507425331118,0.0883857981950082,0.121907286492573,0.182024856561871,0.107878370107392,-0.242008112102504,0.0501404244370153,0.0185909193220682,-0.02819937582843
"miR200b",0.041188277340359,0.159824196725212,0.21210156293867,-0.105658628224038,-0.198854518813259,-0.198799389929964,-0.199190517496539,-0.0789865230704037,-0.075011281513988,-0.0749770608447037,-0.0139240604353257,0.0275872577143594,0,0,0.0138515934521706,0.191879626830666,0.131055761371259,0.198799389929964,-0.068206843834213,-0.229483486318542,-0.15989805364731,0.0346687223205786,-0.0132102450620214
"miR200a",0.203592945663104,0.201811383819345,0.00481247143177054,0.0455450801111363,0.213450582580343,0.213481160139093,0.211747863039553,-0.039181568737906,-0.0773755683841679,-0.0772927183427428,-0.00473795724074284,-0.01286156927213,0,0,0.0046891529459649,-0.0981742522260292,-0.143111090413193,-0.213481160139093,-0.152683099516162,-0.229149348527315,-0.201877286919063,-0.17407625156423,-0.220232720282715
"miR141",0.203592945663104,0.201811383819345,0.00481247143177054,0.0455450801111363,0.213450582580343,0.213481160139093,0.211747863039553,-0.039181568737906,-0.0773755683841679,-0.0772927183427428,-0.00473795724074284,-0.01286156927213,0,0,0.0046891529459649,-0.0981742522260292,-0.143111090413193,-0.213481160139093,-0.152683099516162,-0.229149348527315,-0.201877286919063,-0.17407625156423,-0.220232720282715
"SNAI1",0.0195533348900607,0.0383090367341549,0.16986046239334,-0.0304275107208216,-0.179685241902129,-0.179651346345227,-0.178959012943307,-0.107757781538887,0.0688595586574133,0.0689203936884079,0.149836079242006,0.159172269053149,0,0,-0.149841699544583,-0.0264756892666177,0.158910522637973,0.179651346345227,0.0349327059082456,-0.155555617911674,-0.0383533367644038,-0.118233772089417,0.0251919964761456
"GSC",-0.0215768640850153,0.0274381878196743,0.194675381484809,-0.0755342959565862,-0.229419384101216,-0.229410937645711,-0.226752519314181,-0.0916874716026513,0.0469260777194798,0.0469582314337209,0.159763128658755,0.209207033281141,0,0,-0.159767920378663,0.0946242097982358,0.186170327642016,0.229410937645711,0.0744107058258223,-0.147404072031236,-0.0274479671132426,0.00147195765221468,0.0548225241539464
"TWIST2",0.0876490734968053,0.0600132136203309,0.0511969721670111,-0.0681386130060272,0.0417519812662751,0.0417602678485765,0.0436141493143836,-0.0831355192111586,-0.00700970193551845,-0.00689759918335244,0.156920963077409,0.0918398957052767,0,0,-0.156906714612681,-0.0469857850687754,-0.06102417064958,-0.0417602678485765,0.0456531548374659,-0.141655494960106,-0.0600440497712152,-0.186509596758329,-0.0892195494944611
"NP63",0.163999209912231,0.0229108120478307,-0.0433004044941334,0.0540862247857953,0.136371039930616,0.136320486729309,-0.0580476250175505,0.027142141637299,0.0126535708609994,0.0127495191037759,-0.0540194561802268,-0.0328682605872541,0.257988251503474,-0.357896892948014,0.0540710661880805,-0.122034262383533,-0.24845789508764,-0.136320486729309,-0.0214293185574283,-0.128028210656462,-0.0231127872973044,-0.175748435437181,-0.132889926380133
"miR101",0.138342928916576,0.0617841606141279,-0.0738429596525238,0.0642380930945926,0.246106158113483,0.246146367730832,0.241333859571836,0.115078372615737,0.0105661853006873,-0.089347417591622,-0.164607976445409,-0.190945025655546,0,0,0.164578514293363,-0.0675280784902936,-0.181370883194846,-0.246146367730832,-0.198205736919865,-0.107737996852677,-0.0618503974401262,-0.043025421694322,-0.180263287419935
"TCF3",0.0341987447331642,0.0170078604447891,-0.0334198277765145,0.00969614904292099,0.0885295123880444,0.0885624275765753,0.0885582942255539,0.00536474406532899,-0.00161561417580399,-0.00142190235938319,0.0576462816142383,0.00436503505303489,0,0,-0.0571622545087203,-0.0483610227726467,-0.0922846244037204,-0.0885624275765753,-0.0173001211000473,-0.0219817118677984,-0.0169897346517857,-0.124563019755464,-0.0552628472164017
"SNAI2",0.0343481829650747,0.0167626339704837,-0.0334055171864113,0.00927833869462716,0.0886522034171199,0.0886578594384688,0.0886431680505323,-0.0945382745263312,-0.00188452084471203,-0.0018186195579027,0.057590520978869,0.00425083705149414,0,0,-0.0576834662091918,-0.0482174728843412,-0.0923443063354929,-0.0886578594384688,-0.0171181912686677,-0.0219528633438495,-0.0168242519819024,-0.0244910238838792,-0.0553881389579855
"TGFbeta",-0.0558274745045497,-0.182598715314344,-0.00714881542741306,0.0766682559786551,0.0247895699077178,0.0247406798828267,0.0245019963081941,0.0127975209458372,0.0455608032616936,0.0454479309735715,0.00586909697213847,-0.0215198525810321,0,0,-0.00583052460356815,-0.104640685126964,-0.0186615010815366,-0.0247406798828267,0.0703177854517422,-0.0157328046553759,0.0826703911830336,-0.0288130513867645,-0.0208915518500681
