"","SNAI2","miR34a","ZEB2","GRHL2","KLF8","ZEB1","miR200b","TGFbeta","GSC","TCF3","NP63","miR205","TWIST1","miR200c","miR200a","CDH1","TWIST2","FOXC2","miR141","CLDN7","miR101","OVOL2","SNAI1"
"ZEB2",-0.131922956187995,-0.120102287186111,-0.100079346364586,-0.0866553657542219,-0.0856567581319891,-0.0851747365115169,-0.0516300121840596,-0.00351490244763589,-0.00308568618298743,-0.00212826159475137,0,0,0.00223705078727577,0.03360903616252,0.0355347696249374,0.0428782968519973,0.0793494195040567,0.0837035862272248,0.0849623826735588,0.0849623826735588,0.0860793619682376,0.0891820613120156,0.090104124905561
"SNAI1",0.120177705625262,-0.039177771891059,-0.0893476497817433,0.0651692766281717,0.134284918219218,0.0647424368609504,0.0271054935561894,0.0249227470009944,0.0250088100553546,0.0598805141752407,0,0,-0.0603735679921925,0.0166805530104122,-0.0745283068130349,-0.158791160068799,-0.0963739129141599,0.0297824618351472,-0.0648170997391388,-0.0648170997391388,-0.134023795547718,-0.0739799770703482,-0.0574701783853532
"FOXC2",-0.0909750557569126,-0.203226928182544,-0.0502671616945377,-0.186445566242545,-0.0408856368253656,-0.183844177366367,-0.223351912875429,-0.0179361260622677,-0.0179610932250211,0.09076601558703,0,0,-0.0905350556951868,0.206666450308194,0.173416823895941,0.120989142800157,-0.0574755829568605,0.0988078818903147,0.183886262582553,0.183886262582553,0.0406442935187911,0.12376500524157,0.110861756052404
"GSC",0.0241901962385136,0.12615525016926,-0.041578433434487,0.118565559936551,-0.0985045198440655,0.120178655545524,0.0334295181925969,0.0355502848607447,0.035526447832672,-0.0383834750944397,0,0,0.0380336795411558,-0.0364284684435522,-0.0879162575889347,-0.0305159370997451,0.0421605874617529,-0.196727745592824,-0.120181310145826,-0.120181310145826,0.0986857498697884,-0.113786566055496,-0.144087282208389
"miR205",-0.0362284726730645,-0.173015284439393,-0.0258494908515854,-0.170376915973481,-0.0159718804278921,-0.165101907932684,-0.0966689215715965,-0.00281676661634176,-0.0027802644738247,0.094161318770224,0,0,-0.094169555663268,0.0905113226867899,0.068919277704732,0.02905719650973,-0.0813058430103674,0.0748690673077138,0.165108119035652,0.165108119035652,0.016020694496357,0.109001653037814,0.0831346793683102
"miR200b",-0.140156945631552,-0.223363169861951,-0.0256661552426251,-0.208590701862069,-0.00766425953809482,-0.210266057544105,-0.123179896935142,-0.114231463258052,-0.114253052204512,0.0242724926676332,0,0,-0.0243804536833541,0.116604740610871,0.094551982766734,0.0987979372921897,-0.0029583096179582,0.136992979290745,0.210265387962527,0.210265387962527,0.00754178556381436,0.143146193787687,0.154685535999449
"miR200a",-0.0970756617356007,-0.180677081757596,-0.0256063763361929,-0.174055375935946,0.0109030743287206,-0.170367412813513,-0.12825805572534,-0.0919032353918478,-0.0918464223748493,0.0251987864340476,0,0,-0.0255611213498233,0.0941563247970496,0.0720518690546109,0.0148994321708561,-0.0214564422206361,0.105667558328629,0.170331478602135,0.170331478602135,-0.0107013524887293,0.112016801667019,0.126695658876273
"SNAI2",-0.0231068018729703,-0.09323991372736,-0.0210849213573444,-0.102692108617249,0.0799147786341478,-0.103711583370687,-0.0165423129529839,-0.0146901399927084,-0.0153851739257042,0.15472857716218,0,0,-0.155540147709877,0.0633247290384575,0.0423100995528368,-0.108518847394023,-0.116704933488652,0.0305539569657939,0.103971931747323,0.103971931747323,-0.0805606112448793,0.10531761426545,0.0908187959704164
"OVOL2",-0.104866208928621,-0.115536704642632,-0.0123081565050543,-0.0533138339534326,-0.090863371723318,-0.0820004928980727,-0.090093005134002,-0.0114204519301015,-0.0117628516214596,-0.0273922740277626,0.00906664885944927,-0.00906556846748307,0.0273922740277626,0.0930246144734238,0.0846401108945252,-0.0174740685788265,0.0876489643545898,0.0858899095137292,0.0821805178705934,0.0821805178705934,0.0904334670261705,-0.0149911768011185,0.0773286527879453
"TWIST2",-0.135903240212974,0.129234813138977,0.00096243168989338,0.16624036305173,-0.119169631216959,0.169133521730154,0.00506503867514715,0.0386519364598958,0.0384737417118654,-0.239033176042971,0,0,0.238335001271303,-0.0875362680578734,-0.0869269490093127,0.135880006290668,0.165432674876772,0.0398335411266706,-0.169078959428507,-0.169078959428507,0.119334743797669,-0.146926573724826,-0.0858478549318614
