"","KLF8","SNAI2","ZEB2","SNAI1","TCF3","miR205","miR141","CLDN7","TGFbeta","GSC","miR200c","miR200a","miR200b","ZEB1","OVOL2","NP63","GRHL2","TWIST1","CDH1","FOXC2","miR34a","TWIST2","miR101"
"GSC",-0.152383735883295,-0.0813378439826387,-0.105968364663318,-0.144908950241699,-0.258292353940031,-0.0351559786100343,-0.0166827169847286,-0.0166827169847286,0.00512383163998301,0.00508288084816584,0.0529067002773271,-0.0529067002773271,-0.0450941274319996,0.0165900473014707,0.0449671928296589,0.0353628791253699,0.0213027167774283,0.258309923579693,-0.0164768649033652,-0.113944301394384,0.051633769882218,0.0726350312965818,0.152640965597224
"TWIST1",0.108669593564053,-0.0178452259852512,-0.0973052378812008,0.262583011021198,0.0721646077430889,0.117309272239608,0.116017554294803,0.116017554294803,0.0233166784475544,0.0235244314251904,-0.0109786447883758,0.0109786447883758,0.00571126985506553,-0.115986333872451,-0.110052505377466,-0.117042165632647,-0.128086030453837,-0.172325546251508,-0.118078161261666,-0.226080038767999,-0.155079510963288,0.00375671367605128,-0.10906594869028
"TGFbeta",0.163072308457988,0.149741566039071,-0.0841436189898891,0.181647788672024,0.103483571356856,-0.100312423875773,-0.097697668557629,-0.097697668557629,0.102995035779964,0.202848643248155,0.0916492628519143,-0.0916492628519143,-0.175759095369516,0.0977736625261438,0.0983816171787221,0.100353306950181,0.103686732430306,-0.103674164236851,-0.124668887534507,-0.130722763709462,-0.0787073221595115,-0.162475703187201,-0.163459398084125
"TWIST2",-0.129568733356108,-0.135456853066242,-0.0805956467886272,-0.118421183608915,-0.249619147860965,0.193413770920808,0.212372184770924,0.212372184770924,0.017839354128247,0.0179733412971336,-0.0677901726149416,0.0677901726149416,0.0842659018763016,-0.212428038487994,-0.171282411723289,-0.193251163728436,-0.227820593838672,0.24970321380286,-0.0780869006530046,-0.0345298836260335,-0.0646661001508124,0.110665171628842,0.129563519274612
"ZEB2",-0.122136239374578,-0.0973684977480526,-0.0762448658481477,-0.0643415985736528,-0.0362837673629151,-0.0343330347888953,-0.030999506540218,-0.030999506540218,-0.0122616642128338,-0.0118201318430304,-0.00126359562895288,0.00126359562895288,0.0196133608154034,0.0310743827489777,0.033030672380806,0.0342168277854866,0.0350333450018879,0.0366003926247399,0.0389736119401776,0.0423241671399042,0.0513313685615855,0.117690712935444,0.122023876472234
"SNAI1",0.293029858677111,0.174156458358899,-0.0662311410953241,0.220969130336786,0.325721671186385,-0.148812461724725,-0.15269958460712,-0.15269958460712,0.00840296255487718,0.00842540530147905,0.118143470618659,-0.118143470618659,-0.135319275065518,0.152743517572672,0.139168050246054,0.148923954006029,0.162569009401908,-0.325972541055943,-0.161612370198144,-0.129101564991472,-0.105600620984375,-0.152630402592858,-0.29321610746431
"ZEB1",0.0252106643491806,0.0841437970529284,-0.0483209444757779,-0.14622361021144,-0.108273961889477,-0.142405162252376,-0.166713343784902,-0.166713343784902,-0.0251058891650319,-0.0249913180520456,0.19511280568869,-0.19511280568869,-0.212847980608436,0.0667307035863277,0.119505977239897,0.142810381243065,0.20016212323164,0.108255332865457,-0.067385225917507,0.115368491965376,0.200736836043986,0.0610333701332941,-0.0253304336279932
"FOXC2",0.0254588542743813,0.0840854455371669,-0.0482755116141892,-0.146123045538441,-0.108380992083258,-0.142256070357554,-0.166653404234576,-0.166653404234576,-0.0249913180520456,-0.0250597063674134,0.195036161042937,-0.195036161042937,-0.212750687544286,0.166713343784902,0.119483275521778,0.142405162252376,0.20009224572502,0.108273961889477,-0.0673862050244527,0.115336736710557,0.200714210226093,0.0610023586829124,-0.0252106643491806
"miR101",-0.327686079368399,-0.0919094544014084,-0.042260188184645,-0.300144589661206,-0.295259330018877,-0.074116221812473,-0.060614862490657,-0.060614862490657,-0.00755372394136365,-0.00745227260027754,0.0446228616972626,-0.0446228616972626,-0.0373422366907919,0.0606036565317236,0.0750318221966573,0.0742185732716374,0.0723974890273045,0.295415370305642,-0.000868429572039475,0.136221900031789,0.12915943569891,0.0969896532088304,0.227902736730762
"miR205",0.0463570242896249,0.0873851532508328,-0.0410738661507115,-0.116099003317283,-0.0962042486790375,-0.136995436600054,-0.16676550119984,-0.16676550119984,-0.00930452967234299,-0.00913312830748027,0.0986410019566812,-0.0986410019566812,-0.11628055598421,0.166850593310497,0.116424265480854,0.137332370501551,0.192301299075462,0.0960559846042465,-0.0615204126003318,0.0989570435968419,0.187882532358593,0.0442774411904064,-0.0464383810703997
"KLF8",-0.111008492069538,-0.0969278417185004,-0.0139543369467275,-0.142054189685185,-0.183695665091957,-0.00206521739130435,0.0109843321213271,0.0109843321213271,-0.00722895015388849,-0.00837087511310546,-0.000651428099402265,0.000651428099402265,0.0306410351676268,-0.0112513108727443,0.00608798366087648,-0.000189117868811261,-0.0100243790517348,0.184470108460786,0.121902379455354,0.0470654305971671,0.0436029947254015,0.11477042977175,0.113169123868077
"CDH1",-0.113169123868077,-0.0970860214987248,-0.0132952556526125,-0.142263661077964,-0.184470108460786,0.000189117868811261,0.0112513108727443,0.0112513108727443,-0.00783659792277775,-0.00722895015388849,-0.000152521448021249,0.000152521448021249,0.0302727301104582,-0.0111293811748411,0.00584799670871078,4.20069385847326e-05,-0.0105145910440732,0.18473040062546,0.0216626576463542,0.0471789379751466,0.0434334583015605,0.114952911523574,0.113152948396562
"miR141",0.124570281742888,0.0894406695097302,-0.0123793365091478,0.193723354888667,0.0918588055494946,0.141445305182038,0.175883666393173,0.175883666393173,0.133559133296407,0.133904556439758,-0.0798386126136459,0.0798386126136459,0.0159817979762789,-0.175833447774787,-0.120043448026825,-0.14097258437166,-0.195845922399537,-0.0921826885966573,-0.0471188138036674,-0.145157525012521,-0.207538895357347,-0.117906219033299,-0.125137624417864
"miR200c",-0.114363650105404,-0.138578327827814,0.00916937660273016,-0.0665959427731833,0.0105058879412261,0.165843403356746,0.204386559665022,0.204386559665022,-0.0858189103008747,-0.0857757324079559,-0.105829681456553,0.105829681456553,0.113468064659781,-0.204440349385159,-0.143021877918831,-0.166145518160371,-0.223418808342626,-0.0101701735498748,0.0315385220324139,0.075196264382086,-0.112361465564178,0.0243204245723758,0.114291606591121
"OVOL2",0.064427386654515,0.0778076221073966,0.0102161109586082,-0.0871823970187432,0.0115210580415319,-0.0764912615879307,-0.073221156062173,-0.073221156062173,-0.0231932970722729,-0.0236342141798567,0.0793735481497713,-0.0793735481497713,-0.0570226541061496,0.0731049890044333,-0.0185889952972119,0.0761314910631843,0.0614213338299961,-0.011387974090737,0.0598861052943595,0.0891407685982443,0.111636778655598,-0.0675880931945578,-0.0639075529135765
"miR34a",-0.117442596301398,-0.0281250018007235,0.0118521570160197,-0.199225196875277,-0.159506790713831,0.205185928884647,0.225669647481424,0.225669647481424,0.0333112398182253,0.0331724590375532,-0.180069988529434,0.180069988529434,0.0978168995754291,-0.225786966143182,-0.181161236766769,-0.20533541702967,-0.24262327431165,0.159765819317202,0.0309032583077989,0.0791243533307588,-0.0380140980622724,0.0692228662538958,0.117654835084435
"miR200b",-0.124570281742888,-0.0894406695097302,0.0123793365091478,-0.193723354888667,-0.0918588055494946,-0.141445305182038,-0.175883666393173,-0.175883666393173,-0.133559133296407,-0.133904556439758,0.0798386126136459,-0.0798386126136459,-0.0159817979762789,0.175833447774787,0.120043448026825,0.14097258437166,0.195845922399537,0.0921826885966573,0.0471188138036674,0.145157525012521,0.207538895357347,0.117906219033299,0.125137624417864
