"","miR101","SNAI2","TWIST2","FOXC2","ZEB2","miR34a","OVOL2","NP63","miR205","miR200c","GRHL2","CLDN7","GSC","TGFbeta","CDH1","miR141","ZEB1","miR200a","miR200b","TCF3","TWIST1","SNAI1","KLF8"
"SNAI1",-0.28780038198818,-0.237778824109736,-0.235626283957935,-0.265028517646103,-0.102917487032619,-0.231929096158284,0.129012597948806,0.129958125988658,0.129949549659327,-0.0233256657879361,0.131237643893446,0.141251860430591,-0.0423195421084695,-0.042210060535916,0.0729634088901287,-0.141251860430591,-0.141237730847645,-0.125870752882248,0.0619596149440351,0.292704492882493,0.292659019525282,0.12218526231287,0.287821908229916
"miR34a",-0.0544975523778552,0.00127016664150561,0.0799733175296619,-0.0828220360730868,-0.0860756255119782,-0.150260685375519,0.154714462068561,0.16366108040007,0.163704602265076,-0.122590556204404,0.180273561560972,0.194491287232896,0.0153540427271769,0.0151923329479591,0.05679649590022,-0.194491287232896,-0.194483196290706,-0.190964288398,-0.0816218565140989,-0.00235070304912365,-0.00237038607369593,0.0828618780572565,0.0544572174055134
"ZEB2",-0.215803392510369,-0.191033903617788,-0.165239520195488,-0.0811794142559512,-0.0784955969411694,-0.0328569600481798,-0.0168174639855349,-0.0137326912384073,-0.013329840293257,-0.0130150495348807,-0.00903975748217269,-0.00792964183111568,0.00397179068832632,0.00524219693505485,0.00680065028084736,0.00792964183111568,0.00795198194586041,0.0130485515230262,0.0204026997571805,0.143870187465486,0.145209755880898,0.158594035415229,0.215173961384851
"NP63",-0.159265762498684,-0.0977023261107081,-0.104024193764585,-0.133462107328214,-0.0758391811645385,0.075387905920703,-0.129866110326923,-0.225528321699838,-0.125350978621592,0.0930267729888728,-0.118608896919627,-0.104179200938986,-0.0328990296606631,-0.0332122624628129,-0.15879187133706,0.104179200938986,0.10406214822455,0.0456936880281084,0.16254477843028,0.167744168036925,0.167180945777304,0.118872319364987,0.159602952037584
"miR205",0.125021269232697,0.163751077907421,0.242659798573564,-0.0570722808996374,-0.027455248715303,0.200359108822219,-0.12342702061299,-0.131999165649657,-0.131909977263967,0.105533906548796,-0.17063121246339,-0.188525795988259,-0.0282200403526939,-0.0274788881546301,-0.143017748815738,0.188525795988259,0.188545671517755,0.0808896491240415,0.0677416963295281,-0.0839999283411409,-0.0843747069746404,0.0324476764286683,-0.124591955758763
"miR101",0.293455919530145,0.228696137753062,0.221732097323631,0.240525949065398,-0.0222857484623323,0.21375430890682,-0.153783341056691,-0.164900923742741,-0.16492454331024,0.114396732172696,-0.190506791592773,-0.208475665375693,-0.0214140423264054,-0.0209545767485939,-0.0560929972224622,0.208475665375693,0.208507635317356,0.0954818212628176,0.0549869235056854,-0.292359688612682,-0.292531005570879,-0.222987426947089,-0.39325654158932
"TWIST2",0.0385536842028124,-0.037360946106591,-0.0529280942580481,0.117142612530786,-0.0193676092193355,0.0160747858590398,0.0810429641039253,0.0739427195573697,0.0737458792718657,-0.0263222035291892,0.0632247983491653,0.0690861058994533,-0.00414120730875058,-0.003816199736156,-0.0717811335268931,-0.0690861058994533,-0.0690042086380073,-0.0431105206153999,-0.004745736453366,-0.180790937696863,-0.180591459190672,-0.0897547424587864,-0.0386197292350963
"ZEB1",0.0993871552433517,0.155069516404127,0.234922739730616,-0.0713723822413796,-0.0184142671913993,0.189036480751053,-0.123661847728436,-0.129369972159847,-0.129637244260088,0.198094960429462,-0.164389242612976,-0.18794880461358,-0.0261654044655547,-0.0261034308695082,-0.186989593071117,0.18794880461358,0.0879647101908026,0.18555829362993,0.157920339529559,-0.0601394573483046,-0.060337165377414,0.0662363405279232,-0.0992747337730552
"TGFbeta",-0.286161742845194,-0.316014051229983,-0.328104367794137,-0.18518303966582,-0.0162704220283278,-0.257140334508811,0.148971108812303,0.151752019449637,0.151514897618075,-0.0812863362599209,0.155427729258719,0.16777404885706,-0.00651608050749852,-0.106435716654725,0.0121777222927788,-0.16777404885706,-0.167792747147282,-0.0955697070404006,0.112709987402237,0.295718758294691,0.295927502877542,0.24023676096771,0.286036406132617
"TWIST1",0.0847359401285794,-0.0166392097775309,-0.0282982488419376,0.104269959708115,-0.0129363082955624,0.058453254568514,0.072800433661813,0.0648923330183648,0.0646723628714562,-0.0090925733443979,0.0532593950654887,0.0574156115774411,-0.0107769493059559,-0.0104689233979375,-0.122510506123563,-0.0574156115774411,-0.0573229375174165,-0.0401461957159445,0.0020338504314379,-0.0292295665150763,-0.129279400266414,-0.204232168870912,-0.0846841550367107
