"","SNAI2","miR101","KLF8","ZEB2","SNAI1","TCF3","TWIST1","miR200b","CDH1","NP63","GSC","CLDN7","ZEB1","miR200c","miR200a","TGFbeta","miR141","GRHL2","FOXC2","miR205","OVOL2","miR34a","TWIST2"
"ZEB2",-0.149328734149896,-0.103220695756305,-0.102806046815798,-0.0894243067870435,-0.0723718865645662,-0.0423338216215752,-0.0415365754494934,-0.0376516839977453,-0.0248271215635084,-0.0228136521163937,-0.0138829679434316,-0.0134012493978597,-0.0133469948334796,-0.00129289833558809,0.00129289833558809,0.0125719185496919,0.0134012493978597,0.0158381362478303,0.0168858199124557,0.0201331439044321,0.0269983736315103,0.0700734344779545,0.0987977517826952
"TCF3",-0.313593203456592,-0.210491012282225,-0.210595318644913,-0.0666026721503797,-0.147424622400204,0.0449384971922631,0.045906551403299,-0.259758596345373,-0.220828230954723,-0.101688866549384,-0.181944379812753,-0.132848953512429,-0.132121162121579,0.0994070607884201,-0.0994070607884201,0.181998757191763,0.132848953512429,0.141841720735662,-0.106299015468373,0.104347826086957,0.078566225497316,0.136322378705495,0.26598503858879
"KLF8",-0.313593203456592,-0.210491012282225,-0.210595318644913,-0.0666026721503797,-0.147424622400204,0.0449384971922631,0.045906551403299,-0.259758596345373,-0.220828230954723,-0.101688866549384,-0.181944379812753,-0.132848953512429,-0.132121162121579,0.0994070607884201,-0.0994070607884201,0.181998757191763,0.132848953512429,0.141841720735662,-0.106299015468373,0.104347826086957,0.078566225497316,0.136322378705495,0.26598503858879
"CLDN7",-0.313593203456592,-0.210491012282225,-0.210595318644913,-0.0666026721503797,-0.147424622400204,0.0449384971922631,0.045906551403299,-0.259758596345373,-0.220828230954723,-0.101688866549384,-0.181944379812753,-0.132848953512429,-0.132121162121579,0.0994070607884201,-0.0994070607884201,0.181998757191763,0.132848953512429,0.141841720735662,-0.106299015468373,0.104347826086957,0.078566225497316,0.136322378705495,0.26598503858879
"SNAI1",-0.0805826045811183,-0.0860408774350393,-0.0857791308145032,-0.0602995212146304,-0.109039255691878,0.0191838428386973,0.0200876896803427,0.00950592292198723,0.108277444743432,0.0501259615488709,0.0109835832763399,0.0486882190651164,0.0485999670798328,0.0153262116038693,-0.0153262116038693,-0.0114529294117965,-0.0486882190651164,-0.049984996472162,0.00448843488632874,-0.0516157924726641,-0.0512344203598814,-0.0688803930011256,0.0746731387281949
"GRHL2",-0.133479871575447,-0.107000951729507,-0.107369805992458,-0.0240220171697638,-0.0964710811356609,-0.0194427965455351,-0.0212955047945668,-0.12643077017797,-0.0856210529895834,-0.0436363424507786,-0.105632326711854,-0.0409528118349162,-0.0411015125054885,0.0368514606719526,-0.0368514606719526,0.106441098476351,0.0409528118349162,0.0446588463598371,-0.0323712616698612,0.0453111953587745,-0.0555880144548437,0.0496226418116848,0.0638271283075416
"ZEB1",-0.0354072372488426,-0.0401481675462178,-0.040212093480308,-0.0148375496507428,0.0616900437255699,0.0829676296697131,0.0822771539084771,-0.000746428702589134,0.0206112727525795,0.0169351088462773,0.0202123335892407,0.00205700699984408,-0.0980974134327331,0.00348456210327712,-0.00348456210327712,-0.0200003427274876,-0.00205700699984408,-0.0072098708745747,0.0760071343889114,-0.0167712969138713,-0.0246130088002983,-0.00491480824773576,0.105497866977485
"TWIST2",-0.0280088627010941,0.0481743616322043,0.0483264390091737,-0.0110113359483681,-0.101945382804337,-0.000476024736080569,-0.000142610661447111,-0.0384627363391014,0.0772377977941936,-0.0957082212864465,0.0105700106448601,-0.122017361415176,-0.122259178953244,0.0647305851234767,-0.0647305851234767,-0.0108633634076974,0.122017361415176,0.130410356611462,-0.0746087179628592,0.0941660204408891,0.0730301086543098,0.110722459661914,0.0151648726888965
"miR141",-0.115621883651498,-0.0363494452724374,-0.0363314343938667,-0.00803628411740002,-0.0198237268330419,-0.00573987858004622,-0.00502851901070715,0.000890885566096927,0.014828216180425,0.0204561005606874,-0.0883028335590206,0.0117053554867242,0.0120006409628301,-0.00367697713955122,0.00367697713955122,0.0877869713646746,-0.0117053554867242,-0.0159606529171976,0.0709155179553298,-0.0206586951937067,-0.024611181221183,-0.0254210257701344,0.0950850992754817
"GSC",0.139656805172054,0.16637485722233,0.166438190295835,-0.00229021928908378,-0.0697225126584436,-0.025784300995598,-0.0256197852787567,0.0102591893864246,-0.00261917616807357,-0.0708691405542471,0.0251648982472125,-0.0769429054708761,-0.0771144891812834,0.0442327624990495,-0.0442327624990495,-0.025457665848413,0.0769429054708761,0.0843000597246589,-0.147569072692517,0.0695951697885237,0.061008961767307,0.0739241826694536,-0.118694020645379
