"","KLF8","ZEB2","ZEB1","OVOL2","TCF3","TWIST1","miR200c","FOXC2","TGFbeta","GSC","NP63","miR205","miR200a","miR200b","SNAI1","miR34a","GRHL2","miR141","CLDN7","CDH1","miR101","TWIST2","SNAI2"
"TWIST1",0.0965905380096902,-0.110597813998543,-0.0374360408420674,-0.0614072337723488,0.234845323316293,0.134623930748875,-0.0674808116114354,0.204919226060803,0.00478455343515252,0.00458118739822075,0,0,0.0674808116114354,-0.0199653380076518,0.00161988629843584,0.0290033900879004,0.0404933250268809,0.0374766397312127,0.0374766397312127,0.0352499334946784,-0.0966004966812034,-0.194920643254393,-0.202566434446584
"TWIST2",-0.120875536682205,-0.103169320052559,-0.108777245897988,-0.109814213220551,-0.0987932741868307,-0.0987918493403579,-0.10632132334583,-0.0630736932738547,-0.0442034820136233,-0.044220673849957,0,0,0.10632132334583,0.13701636389983,-0.00617619825365323,0.0727510492607276,0.105177477147494,0.108736889166001,0.108736889166001,0.1621151888167,0.120746053658385,0.124975029369802,0.178033479010257
"ZEB2",-0.119719871776183,-0.0900853451681434,-0.0603666783601933,-0.0525463039400463,-0.0459101236108533,-0.0458240664884087,-0.0207159384638063,-0.0205619782303783,-0.00993168264606567,-0.00979928451565043,0,0,0.0207159384638063,0.0339322006420872,0.0371513724400096,0.0416903740313043,0.057281319922104,0.060309968838149,0.060309968838149,0.0816812352132682,0.119742742101439,0.120642686352814,0.15236225647645
"SNAI2",-0.314651394110953,-0.0691516278588351,-0.199453337949239,-0.163219465175074,-0.159540829095336,-0.158935551619819,-0.13414806432608,-0.0759548092304165,-0.249335338143527,-0.249197020789223,0,0,0.13414806432608,0.354447330747471,0.00829910009178801,0.122788325897105,0.19570388642212,0.199612220730768,0.199612220730768,0.307879369073053,0.314352410378165,0.325305218995468,0.289936376270995
"GRHL2",0.135712707061422,-0.0690734287010834,-0.0865779476014315,-0.116207887961861,0.0820770285806326,0.0817070649989227,-0.112026481495014,-0.0118595742603394,-0.0947808051156048,-0.095273607102334,0.0255409753580788,0.0256364332958402,0.112026481495014,0.0405036978743144,-0.00477063385589908,0.0938121079690941,0.0617977009791755,0.0865689949913089,0.0865689949913089,0.0570709748262552,-0.135995289921583,-0.137813397068409,-0.152074507596263
"CDH1",-0.315049310710222,-0.068936593534219,-0.199612220730768,-0.163137805363799,-0.160119846359612,-0.159540829095336,-0.133967165051542,-0.0759891809285057,-0.249197020789223,-0.24883488727039,0,0,0.133967165051542,0.354488305759167,0.00837167775656825,0.122646421376927,0.195588368516844,0.199482269342213,0.199482269342213,0.308016722403717,0.314651394110953,0.325724854010594,0.390260031608594
"miR141",0.00636478038261756,-0.0687950749487602,-0.232660845886981,-0.15597911940992,-0.106755515246337,-0.106712626623654,-0.148988845555932,-0.0639329670092168,0.0545388382586816,0.0543956694558455,0,0,0.148988845555932,0.174227149761179,0.125791947985809,0.121178708887522,0.228781944275969,0.232728473626406,0.232728473626406,0.0617288778724371,-0.00658811527689371,-0.00457755369559912,0.103050916864266
"CLDN7",-0.314915202529623,-0.0686849847969386,-0.199482269342213,-0.163060916340289,-0.161910746650028,-0.160119846359612,-0.133001196854187,-0.0761624290317377,-0.24883488727039,-0.247330446451105,0,0,0.133001196854187,0.354013502854142,0.0085441836094454,0.122529865085537,0.195481236094678,0.1993615803176,0.1993615803176,0.408192013054567,0.315049310710222,0.326721485116714,0.390799518938498
"GSC",0.0397151696914112,-0.0545204912709652,-0.107019470762721,-0.103897350095213,-0.215469139722671,-0.215448375603069,-0.0830017630212003,-0.0375989171406761,-0.0284414860409227,-0.0284084809251297,0,0,0.0830017630212003,0.111988646034476,0.0944686853066012,0.00636231668585987,0.106160534628975,0.107007645725014,0.107007645725014,-0.00554973669859415,-0.0397161440463882,0.0571035192428572,0.112553722557296
"miR200b",0.0851480677009033,-0.0527486237723127,-0.177698145069839,-0.117493645978426,0.157343944358815,0.157301055736132,-0.110939457245484,0.0346556492168097,-0.110385858780282,-0.110758552171792,0,0,0.110939457245484,0.047730405336072,-0.0771578230929142,0.179686832012858,0.180782949867528,0.17794745261089,0.17794745261089,0.01881593657533,-0.0853443862773235,-0.20470355896834,-0.217855851251065
"OVOL2",-0.0788341676245677,-0.0527201150282588,-0.137361516006638,-0.149958970700046,-0.0764341510666263,-0.0766068005163062,-0.1432931952343,-0.0374138940593928,-0.0283460226780273,-0.02857888202547,0.0240834337367673,0.0241428552949085,0.1432931952343,0.120011894773255,0.099118650641977,0.0948874286301221,0.103053706307129,0.137283120226151,0.137283120226151,0.00789800775438374,0.0785775408410664,0.0782238937881587,0.0959349837774428
"NP63",0.305226215441247,-0.0379149703543095,0.117670880652011,-0.0144974519567353,0.172388903179904,0.172252024463422,0.0617884272998379,0.0653846793805454,0.0361847166738616,0.0360477843013371,0.0215802590359401,0.12148890048048,-0.0617884272998379,-0.214309040475982,-0.0178772204440963,-0.0834020677993655,0.0218006512563288,-0.117429650275305,-0.117429650275305,-0.208635438708719,-0.304987715523488,-0.290194651569257,-0.355431900279769
"TGFbeta",-0.104223892358886,-0.0307476180332806,-0.142377459639227,-0.128539342689645,-0.173033271969948,-0.172640741395674,-0.0873077669023649,-0.0812687981863426,-0.138314288730154,-0.0381053427129427,0,0,0.0873077669023649,0.221274551794324,0.104876618675624,-0.0215611687276331,0.139581046376745,0.142409881445207,0.142409881445207,0.0718259742494601,0.104135948919675,0.244051365627065,0.294366379074317
"miR200c",0.0559059131859442,-0.0174126041832206,-0.204242240862078,-0.136684353147445,0.138618817727605,0.138777061956127,-0.109771322612004,0.0265771534507909,-0.106066195485259,-0.106280948689513,0,0,0.109771322612004,0.0222929465903223,-0.0650948514428289,0.196547956481581,0.203914440636854,0.204475032057527,0.204475032057527,0.118750256289357,-0.0561058339380785,-0.172767926669257,-0.167313501939633
